date,AAPL_unscaled,AAPL_monthly,isPartial,scale,AAPL
2018-01-01,12,31.0,False,0.31,3.7199999999999998
2018-01-02,56,31.0,,0.31,17.36
2018-01-03,62,31.0,,0.31,19.22
2018-01-04,56,31.0,,0.31,17.36
2018-01-05,61,31.0,,0.31,18.91
2018-01-06,16,31.0,,0.31,4.96
2018-01-07,9,31.0,,0.31,2.79
2018-01-08,54,31.0,,0.31,16.74
2018-01-09,57,31.0,,0.31,17.669999999999998
2018-01-10,54,31.0,,0.31,16.74
2018-01-11,53,31.0,,0.31,16.43
2018-01-12,57,31.0,,0.31,17.669999999999998
2018-01-13,17,31.0,,0.31,5.27
2018-01-14,10,31.0,,0.31,3.1
2018-01-15,22,31.0,,0.31,6.82
2018-01-16,60,31.0,,0.31,18.6
2018-01-17,71,31.0,,0.31,22.01
2018-01-18,75,31.0,,0.31,23.25
2018-01-19,61,31.0,,0.31,18.91
2018-01-20,19,31.0,,0.31,5.89
2018-01-21,10,31.0,,0.31,3.1
2018-01-22,50,31.0,,0.31,15.5
2018-01-23,68,31.0,,0.31,21.08
2018-01-24,64,31.0,,0.31,19.84
2018-01-25,65,31.0,,0.31,20.15
2018-01-26,73,31.0,,0.31,22.63
2018-01-27,26,31.0,,0.31,8.06
2018-01-28,14,31.0,,0.31,4.34
2018-01-29,88,31.0,,0.31,27.28
2018-01-30,100,31.0,,0.31,31.0
2018-01-31,99,31.0,,0.31,30.69
2018-02-01,92,45.0,False,0.45,41.4
2018-02-02,100,45.0,,0.45,45.0
2018-02-03,22,45.0,,0.45,9.9
2018-02-04,11,45.0,,0.45,4.95
2018-02-05,58,45.0,,0.45,26.1
2018-02-06,72,45.0,,0.45,32.4
2018-02-07,50,45.0,,0.45,22.5
2018-02-08,48,45.0,,0.45,21.6
2018-02-09,53,45.0,,0.45,23.85
2018-02-10,13,45.0,,0.45,5.8500000000000005
2018-02-11,7,45.0,,0.45,3.15
2018-02-12,43,45.0,,0.45,19.35
2018-02-13,39,45.0,,0.45,17.55
2018-02-14,40,45.0,,0.45,18.0
2018-02-15,52,45.0,,0.45,23.400000000000002
2018-02-16,43,45.0,,0.45,19.35
2018-02-17,11,45.0,,0.45,4.95
2018-02-18,6,45.0,,0.45,2.7
2018-02-19,13,45.0,,0.45,5.8500000000000005
2018-02-20,33,45.0,,0.45,14.85
2018-02-21,36,45.0,,0.45,16.2
2018-02-22,31,45.0,,0.45,13.950000000000001
2018-02-23,30,45.0,,0.45,13.5
2018-02-24,9,45.0,,0.45,4.05
2018-02-25,6,45.0,,0.45,2.7
2018-02-26,37,45.0,,0.45,16.650000000000002
2018-02-27,40,45.0,,0.45,18.0
2018-02-28,37,45.0,,0.45,16.650000000000002
2018-03-01,83,28.0,False,0.28,23.240000000000002
2018-03-02,98,28.0,,0.28,27.44
2018-03-03,21,28.0,,0.28,5.880000000000001
2018-03-04,14,28.0,,0.28,3.9200000000000004
2018-03-05,73,28.0,,0.28,20.44
2018-03-06,69,28.0,,0.28,19.32
2018-03-07,84,28.0,,0.28,23.520000000000003
2018-03-08,79,28.0,,0.28,22.12
2018-03-09,83,28.0,,0.28,23.240000000000002
2018-03-10,25,28.0,,0.28,7.000000000000001
2018-03-11,13,28.0,,0.28,3.6400000000000006
2018-03-12,85,28.0,,0.28,23.8
2018-03-13,85,28.0,,0.28,23.8
2018-03-14,74,28.0,,0.28,20.720000000000002
2018-03-15,69,28.0,,0.28,19.32
2018-03-16,59,28.0,,0.28,16.520000000000003
2018-03-17,23,28.0,,0.28,6.44
2018-03-18,12,28.0,,0.28,3.3600000000000003
2018-03-19,83,28.0,,0.28,23.240000000000002
2018-03-20,79,28.0,,0.28,22.12
2018-03-21,76,28.0,,0.28,21.28
2018-03-22,89,28.0,,0.28,24.92
2018-03-23,85,28.0,,0.28,23.8
2018-03-24,24,28.0,,0.28,6.720000000000001
2018-03-25,13,28.0,,0.28,3.6400000000000006
2018-03-26,98,28.0,,0.28,27.44
2018-03-27,100,28.0,,0.28,28.000000000000004
2018-03-28,97,28.0,,0.28,27.160000000000004
2018-03-29,81,28.0,,0.28,22.680000000000003
2018-03-30,40,28.0,,0.28,11.200000000000001
2018-03-31,12,28.0,,0.28,3.3600000000000003
2018-04-01,8,29.0,False,0.29,2.32
2018-04-02,70,29.0,,0.29,20.299999999999997
2018-04-03,69,29.0,,0.29,20.009999999999998
2018-04-04,69,29.0,,0.29,20.009999999999998
2018-04-05,66,29.0,,0.29,19.139999999999997
2018-04-06,62,29.0,,0.29,17.98
2018-04-07,16,29.0,,0.29,4.64
2018-04-08,10,29.0,,0.29,2.9
2018-04-09,65,29.0,,0.29,18.849999999999998
2018-04-10,66,29.0,,0.29,19.139999999999997
2018-04-11,60,29.0,,0.29,17.4
2018-04-12,55,29.0,,0.29,15.95
2018-04-13,57,29.0,,0.29,16.529999999999998
2018-04-14,15,29.0,,0.29,4.35
2018-04-15,10,29.0,,0.29,2.9
2018-04-16,57,29.0,,0.29,16.529999999999998
2018-04-17,65,29.0,,0.29,18.849999999999998
2018-04-18,61,29.0,,0.29,17.689999999999998
2018-04-19,70,29.0,,0.29,20.299999999999997
2018-04-20,100,29.0,,0.29,28.999999999999996
2018-04-21,21,29.0,,0.29,6.09
2018-04-22,14,29.0,,0.29,4.06
2018-04-23,72,29.0,,0.29,20.88
2018-04-24,84,29.0,,0.29,24.36
2018-04-25,76,29.0,,0.29,22.04
2018-04-26,78,29.0,,0.29,22.619999999999997
