date,AAPL
2013-01-01,9.13
2013-01-02,27.39
2013-01-03,24.07
2013-01-04,20.75
2013-01-05,7.47
2013-01-06,4.15
2013-01-07,19.09
2013-01-08,19.09
2013-01-09,18.26
2013-01-10,19.09
2013-01-11,18.26
2013-01-12,5.81
2013-01-13,4.15
2013-01-14,29.88
2013-01-15,34.03
2013-01-16,31.54
2013-01-17,29.05
2013-01-18,25.73
2013-01-19,10.79
2013-01-20,5.81
2013-01-21,9.96
2013-01-22,26.56
2013-01-23,53.12
2013-01-24,83.0
2013-01-25,54.78
2013-01-26,16.599999999999998
2013-01-27,9.13
2013-01-28,31.54
2013-01-29,31.54
2013-01-30,30.71
2013-01-31,26.56
2013-02-01,56.12
2013-02-02,20.74
2013-02-03,11.59
2013-02-04,48.19
2013-02-05,51.24
2013-02-06,48.19
2013-02-07,54.9
2013-02-08,61.0
2013-02-09,20.13
2013-02-10,11.59
2013-02-11,54.9
2013-02-12,54.9
2013-02-13,51.85
2013-02-14,43.92
2013-02-15,42.7
2013-02-16,13.42
2013-02-17,7.93
2013-02-18,20.13
2013-02-19,40.87
2013-02-20,40.26
2013-02-21,37.82
2013-02-22,39.04
2013-02-23,14.03
2013-02-24,9.15
2013-02-25,34.77
2013-02-26,39.04
2013-02-27,52.46
2013-02-28,39.04
2013-03-01,38.34
2013-03-02,15.12
2013-03-03,8.64
2013-03-04,45.36
2013-03-05,54.0
2013-03-06,45.36
2013-03-07,37.260000000000005
2013-03-08,38.34
2013-03-09,12.420000000000002
2013-03-10,8.100000000000001
2013-03-11,36.72
2013-03-12,37.260000000000005
2013-03-13,36.72
2013-03-14,35.1
2013-03-15,43.2
2013-03-16,12.96
2013-03-17,10.260000000000002
2013-03-18,42.66
2013-03-19,44.28
2013-03-20,37.260000000000005
2013-03-21,33.480000000000004
2013-03-22,34.56
2013-03-23,12.420000000000002
2013-03-24,6.48
2013-03-25,37.260000000000005
2013-03-26,36.18
2013-03-27,35.1
2013-03-28,32.400000000000006
2013-03-29,23.22
2013-03-30,6.48
2013-03-31,7.0200000000000005
2013-04-01,22.78
2013-04-02,24.790000000000003
2013-04-03,23.450000000000003
2013-04-04,21.44
2013-04-05,22.110000000000003
2013-04-06,6.7
2013-04-07,6.7
2013-04-08,20.77
2013-04-09,21.44
2013-04-10,22.110000000000003
2013-04-11,22.78
2013-04-12,20.1
2013-04-13,6.03
2013-04-14,4.0200000000000005
2013-04-15,19.43
2013-04-16,20.77
2013-04-17,36.18
2013-04-18,40.2
2013-04-19,36.18
2013-04-20,10.72
2013-04-21,7.37
2013-04-22,36.85
2013-04-23,67.0
2013-04-24,56.95
2013-04-25,36.85
2013-04-26,31.49
2013-04-27,8.71
2013-04-28,6.03
2013-04-29,30.82
2013-04-30,36.18
2013-05-01,55.00000000000001
2013-05-02,52.25000000000001
2013-05-03,52.8
2013-05-04,14.85
2013-05-05,11.0
2013-05-06,50.05
2013-05-07,54.45
2013-05-08,50.05
2013-05-09,48.400000000000006
2013-05-10,41.25
2013-05-11,11.55
2013-05-12,8.25
2013-05-13,37.95
2013-05-14,42.35
2013-05-15,53.35
2013-05-16,47.85
2013-05-17,40.150000000000006
2013-05-18,10.45
2013-05-19,8.25
2013-05-20,39.6
2013-05-21,46.75000000000001
2013-05-22,37.95
2013-05-23,36.85
2013-05-24,31.35
2013-05-25,11.55
2013-05-26,7.15
2013-05-27,9.35
2013-05-28,39.6
2013-05-29,36.3
2013-05-30,35.2
2013-05-31,35.75
2013-06-01,8.280000000000001
2013-06-02,5.5200000000000005
2013-06-03,24.380000000000003
2013-06-04,26.68
2013-06-05,26.22
2013-06-06,23.0
2013-06-07,25.3
2013-06-08,7.36
2013-06-09,5.98
2013-06-10,46.0
2013-06-11,38.18
2013-06-12,26.68
2013-06-13,22.540000000000003
2013-06-14,22.540000000000003
2013-06-15,7.36
2013-06-16,5.5200000000000005
2013-06-17,22.540000000000003
2013-06-18,20.7
2013-06-19,23.0
2013-06-20,25.76
2013-06-21,24.380000000000003
2013-06-22,5.98
2013-06-23,4.140000000000001
2013-06-24,27.6
2013-06-25,26.68
2013-06-26,26.68
2013-06-27,24.84
2013-06-28,27.14
2013-06-29,5.98
2013-06-30,5.0600000000000005
2013-07-01,22.95
2013-07-02,25.5
2013-07-03,20.91
2013-07-04,6.63
2013-07-05,19.38
2013-07-06,6.63
2013-07-07,3.5700000000000003
