date,BA
2004-01-01,20.009999999999998
2004-01-02,22.04
2004-01-03,10.149999999999999
2004-01-04,0.0
2004-01-05,0.0
2004-01-06,25.81
2004-01-07,15.659999999999998
2004-01-08,13.919999999999998
2004-01-09,14.79
2004-01-10,28.999999999999996
2004-01-11,10.44
2004-01-12,10.149999999999999
2004-01-13,9.569999999999999
2004-01-14,16.529999999999998
2004-01-15,15.95
2004-01-16,16.24
2004-01-17,22.91
2004-01-18,10.729999999999999
2004-01-19,6.67
2004-01-20,11.309999999999999
2004-01-21,26.389999999999997
2004-01-22,11.889999999999999
2004-01-23,18.849999999999998
2004-01-24,0.0
2004-01-25,16.82
2004-01-26,8.12
2004-01-27,6.09
2004-01-28,6.09
2004-01-29,22.33
2004-01-30,16.24
2004-01-31,5.51
2004-02-01,4.050000000000001
2004-02-02,9.72
2004-02-03,12.690000000000001
2004-02-04,14.31
2004-02-05,11.34
2004-02-06,14.850000000000001
2004-02-07,21.060000000000002
2004-02-08,27.0
2004-02-09,10.8
2004-02-10,15.66
2004-02-11,5.4
2004-02-12,18.630000000000003
2004-02-13,9.72
2004-02-14,8.91
2004-02-15,9.72
2004-02-16,7.290000000000001
2004-02-17,15.66
2004-02-18,8.370000000000001
2004-02-19,9.99
2004-02-20,13.770000000000001
2004-02-21,8.64
2004-02-22,9.450000000000001
2004-02-23,8.100000000000001
2004-02-24,7.83
2004-02-25,9.18
2004-02-26,8.370000000000001
2004-02-27,8.91
2004-02-28,6.210000000000001
2004-02-29,0.0
2004-03-01,15.6
2004-03-02,12.6
2004-03-03,7.8
2004-03-04,12.299999999999999
2004-03-05,7.199999999999999
2004-03-06,12.6
2004-03-07,0.0
2004-03-08,0.0
2004-03-09,0.0
2004-03-10,6.8999999999999995
2004-03-11,0.0
2004-03-12,9.299999999999999
2004-03-13,0.0
2004-03-14,13.5
2004-03-15,13.799999999999999
2004-03-16,17.099999999999998
2004-03-17,12.6
2004-03-18,8.7
2004-03-19,9.9
2004-03-20,7.5
2004-03-21,12.0
2004-03-22,30.0
2004-03-23,0.0
2004-03-24,8.7
2004-03-25,18.3
2004-03-26,8.7
2004-03-27,9.0
2004-03-28,10.5
2004-03-29,9.6
2004-03-30,7.199999999999999
2004-03-31,9.9
2004-04-01,17.689999999999998
2004-04-02,16.82
2004-04-03,19.139999999999997
2004-04-04,17.98
2004-04-05,15.659999999999998
2004-04-06,14.209999999999999
2004-04-07,22.91
2004-04-08,14.209999999999999
2004-04-09,10.149999999999999
2004-04-10,14.79
2004-04-11,18.849999999999998
2004-04-12,0.0
2004-04-13,0.0
2004-04-14,22.619999999999997
2004-04-15,22.33
2004-04-16,12.469999999999999
2004-04-17,11.02
2004-04-18,18.56
2004-04-19,10.729999999999999
2004-04-20,13.919999999999998
2004-04-21,19.43
2004-04-22,15.37
