date,CAT
2013-01-01,56.4
2013-01-02,48.0
2013-01-03,51.0
2013-01-04,54.6
2013-01-05,58.2
2013-01-06,58.8
2013-01-07,50.4
2013-01-08,47.4
2013-01-09,50.4
2013-01-10,55.8
2013-01-11,49.8
2013-01-12,55.2
2013-01-13,56.4
2013-01-14,49.2
2013-01-15,46.8
2013-01-16,48.6
2013-01-17,47.4
2013-01-18,49.8
2013-01-19,57.0
2013-01-20,57.0
2013-01-21,51.0
2013-01-22,48.0
2013-01-23,53.4
2013-01-24,49.2
2013-01-25,51.0
2013-01-26,54.6
2013-01-27,60.0
2013-01-28,50.4
2013-01-29,47.4
2013-01-30,47.4
2013-01-31,47.4
2013-02-01,53.07
2013-02-02,61.0
2013-02-03,52.46
2013-02-04,49.41
2013-02-05,48.8
2013-02-06,49.41
2013-02-07,49.41
2013-02-08,51.24
2013-02-09,59.17
2013-02-10,54.9
2013-02-11,48.8
2013-02-12,46.97
2013-02-13,50.63
2013-02-14,51.85
2013-02-15,49.41
2013-02-16,59.78
2013-02-17,61.0
2013-02-18,53.68
2013-02-19,49.41
2013-02-20,47.58
2013-02-21,49.41
2013-02-22,54.9
2013-02-23,59.17
2013-02-24,59.17
2013-02-25,51.24
2013-02-26,54.29
2013-02-27,53.07
2013-02-28,53.68
2013-03-01,49.41
2013-03-02,53.07
2013-03-03,50.63
2013-03-04,43.92
2013-03-05,41.48
2013-03-06,43.31
2013-03-07,46.36
2013-03-08,48.8
2013-03-09,61.0
2013-03-10,53.68
2013-03-11,44.53
2013-03-12,49.41
2013-03-13,46.36
2013-03-14,46.36
2013-03-15,45.75
2013-03-16,51.24
2013-03-17,52.46
2013-03-18,42.09
2013-03-19,44.53
2013-03-20,42.7
2013-03-21,43.92
2013-03-22,44.53
2013-03-23,51.24
2013-03-24,52.46
2013-03-25,45.14
2013-03-26,45.14
2013-03-27,44.53
2013-03-28,42.09
2013-03-29,45.75
2013-03-30,47.58
2013-03-31,56.73
2013-04-01,48.8
2013-04-02,48.8
2013-04-03,48.8
2013-04-04,48.8
2013-04-05,53.07
2013-04-06,56.12
2013-04-07,57.34
2013-04-08,50.63
2013-04-09,44.53
