date,DOW
2004-01-01,1.92
2004-01-02,3.16
2004-01-03,2.32
2004-01-04,1.56
2004-01-05,2.12
2004-01-06,3.8000000000000003
2004-01-07,4.0
2004-01-08,3.88
2004-01-09,2.7600000000000002
2004-01-10,2.36
2004-01-11,2.12
2004-01-12,2.44
2004-01-13,3.24
2004-01-14,2.92
2004-01-15,2.44
2004-01-16,3.52
2004-01-17,1.8800000000000001
2004-01-18,1.8800000000000001
2004-01-19,2.44
2004-01-20,3.04
2004-01-21,2.64
2004-01-22,3.3200000000000003
2004-01-23,2.4
2004-01-24,1.96
2004-01-25,0.24
2004-01-26,3.2
2004-01-27,3.2800000000000002
2004-01-28,2.72
2004-01-29,2.92
2004-01-30,2.56
2004-01-31,1.92
2004-02-01,1.47
2004-02-02,2.1
2004-02-03,2.58
2004-02-04,2.61
2004-02-05,2.46
2004-02-06,2.1
2004-02-07,2.19
2004-02-08,1.41
2004-02-09,1.8299999999999998
2004-02-10,1.6199999999999999
2004-02-11,3.0
2004-02-12,2.6399999999999997
2004-02-13,1.6199999999999999
2004-02-14,1.23
2004-02-15,1.3499999999999999
2004-02-16,2.16
2004-02-17,2.76
2004-02-18,2.76
2004-02-19,2.79
2004-02-20,2.55
2004-02-21,0.8099999999999999
2004-02-22,2.01
2004-02-23,2.88
2004-02-24,2.82
2004-02-25,2.46
2004-02-26,2.28
2004-02-27,2.16
2004-02-28,1.38
2004-02-29,0.0
2004-03-01,1.92
2004-03-02,2.07
2004-03-03,1.1099999999999999
2004-03-04,2.61
2004-03-05,1.89
2004-03-06,1.47
2004-03-07,2.31
2004-03-08,0.0
2004-03-09,0.0
2004-03-10,2.31
2004-03-11,0.0
2004-03-12,2.61
2004-03-13,1.1099999999999999
2004-03-14,1.08
2004-03-15,2.19
2004-03-16,2.07
2004-03-17,2.04
2004-03-18,2.13
2004-03-19,2.46
2004-03-20,1.3499999999999999
2004-03-21,1.53
2004-03-22,0.0
2004-03-23,0.0
2004-03-24,3.0
2004-03-25,2.25
2004-03-26,2.07
2004-03-27,1.23
2004-03-28,1.56
2004-03-29,2.01
2004-03-30,2.07
2004-03-31,2.2199999999999998
2004-04-01,4.0
2004-04-02,3.84
2004-04-03,1.8
2004-04-04,1.52
2004-04-05,3.36
2004-04-06,2.52
2004-04-07,3.4
2004-04-08,2.2800000000000002
2004-04-09,2.12
2004-04-10,0.44
2004-04-11,1.0
2004-04-12,0.0
2004-04-13,0.0
2004-04-14,1.84
2004-04-15,2.32
2004-04-16,1.96
2004-04-17,1.44
2004-04-18,1.28
2004-04-19,1.76
2004-04-20,3.0
2004-04-21,2.64
2004-04-22,1.6
2004-04-23,2.12
2004-04-24,1.48
2004-04-25,1.04
2004-04-26,1.8
2004-04-27,2.64
2004-04-28,3.12
2004-04-29,2.7600000000000002
2004-04-30,2.12
2004-05-01,0.8999999999999999
2004-05-02,1.56
2004-05-03,2.28
2004-05-04,2.4899999999999998
2004-05-05,0.87
2004-05-06,1.92
2004-05-07,1.5899999999999999
2004-05-08,0.8999999999999999
2004-05-09,1.29
2004-05-10,3.0
2004-05-11,2.46
2004-05-12,1.89
2004-05-13,1.98
2004-05-14,2.58
2004-05-15,0.69
2004-05-16,1.77
2004-05-17,2.58
2004-05-18,2.34
2004-05-19,2.52
2004-05-20,1.98
2004-05-21,2.01
2004-05-22,0.96
2004-05-23,1.3499999999999999
2004-05-24,2.2199999999999998
2004-05-25,2.1
2004-05-26,1.8299999999999998
2004-05-27,2.01
2004-05-28,2.2199999999999998
2004-05-29,0.72
2004-05-30,1.02
2004-05-31,1.26
2004-06-01,2.4
2004-06-02,2.67
2004-06-03,2.16
2004-06-04,2.1
2004-06-05,1.29
2004-06-06,0.96
2004-06-07,2.28
2004-06-08,1.8299999999999998
2004-06-09,2.25
2004-06-10,2.28
2004-06-11,1.65
2004-06-12,0.78
2004-06-13,1.29
2004-06-14,1.98
2004-06-15,2.1
2004-06-16,1.92
2004-06-17,2.37
2004-06-18,1.5
2004-06-19,1.98
2004-06-20,1.3499999999999999
2004-06-21,2.2199999999999998
2004-06-22,2.04
2004-06-23,2.13
2004-06-24,3.0
2004-06-25,1.68
2004-06-26,1.23
2004-06-27,0.32999999999999996
2004-06-28,2.4899999999999998
2004-06-29,1.8599999999999999
2004-06-30,1.65
2004-07-01,2.07
2004-07-02,1.41
2004-07-03,1.5
2004-07-04,0.51
2004-07-05,0.6599999999999999
2004-07-06,1.71
2004-07-07,1.3499999999999999
2004-07-08,1.44
2004-07-09,1.41
2004-07-10,1.23
2004-07-11,0.51
2004-07-12,1.53
2004-07-13,2.07
2004-07-14,3.0
2004-07-15,2.67
2004-07-16,1.44
2004-07-17,1.5
2004-07-18,0.6599999999999999
2004-07-19,2.13
2004-07-20,2.16
2004-07-21,1.8299999999999998
2004-07-22,1.74
2004-07-23,1.68
2004-07-24,0.84
2004-07-25,0.27
2004-07-26,1.71
2004-07-27,1.47
2004-07-28,1.74
2004-07-29,1.5
2004-07-30,1.5
2004-07-31,0.48
2004-08-01,1.44
2004-08-02,2.37
2004-08-03,1.77
2004-08-04,1.65
2004-08-05,2.6399999999999997
2004-08-06,3.0
2004-08-07,1.1099999999999999
2004-08-08,1.29
2004-08-09,2.94
2004-08-10,2.4
2004-08-11,1.92
2004-08-12,2.4299999999999997
2004-08-13,2.4899999999999998
2004-08-14,0.8099999999999999
2004-08-15,0.57
2004-08-16,1.77
2004-08-17,2.1
2004-08-18,2.07
2004-08-19,2.82
2004-08-20,2.25
2004-08-21,0.78
2004-08-22,0.99
2004-08-23,1.38
2004-08-24,1.5899999999999999
2004-08-25,2.28
2004-08-26,1.2
2004-08-27,1.68
2004-08-28,0.78
2004-08-29,0.87
2004-08-30,2.37
2004-08-31,2.2199999999999998
2004-09-01,2.04
2004-09-02,1.95
2004-09-03,1.95
2004-09-04,1.23
2004-09-05,1.29
2004-09-06,1.05
2004-09-07,2.58
2004-09-08,2.73
2004-09-09,2.34
2004-09-10,1.8299999999999998
2004-09-11,1.5899999999999999
2004-09-12,0.69
2004-09-13,2.82
2004-09-14,2.55
2004-09-15,2.13
2004-09-16,2.73
2004-09-17,2.13
2004-09-18,0.9299999999999999
2004-09-19,1.17
2004-09-20,3.0
2004-09-21,1.92
2004-09-22,2.85
2004-09-23,2.4299999999999997
2004-09-24,2.04
2004-09-25,0.8999999999999999
2004-09-26,1.5899999999999999
2004-09-27,2.73
2004-09-28,2.4
2004-09-29,2.6399999999999997
2004-09-30,3.0
2004-10-01,2.1
2004-10-02,0.8099999999999999
2004-10-03,0.0
2004-10-04,2.2199999999999998
2004-10-05,2.16
2004-10-06,2.1
2004-10-07,2.37
2004-10-08,2.52
2004-10-09,1.3199999999999998
2004-10-10,1.56
2004-10-11,1.53
2004-10-12,0.0
2004-10-13,2.61
2004-10-14,2.19
2004-10-15,2.85
2004-10-16,2.07
2004-10-17,1.5899999999999999
2004-10-18,2.13
2004-10-19,2.34
2004-10-20,2.52
2004-10-21,2.34
2004-10-22,3.0
2004-10-23,1.5899999999999999
2004-10-24,1.53
2004-10-25,2.46
2004-10-26,2.13
2004-10-27,2.2199999999999998
2004-10-28,2.31
2004-10-29,1.26
2004-10-30,1.8599999999999999
2004-10-31,1.56
2004-11-01,2.67
2004-11-02,2.61
2004-11-03,2.61
2004-11-04,2.4299999999999997
2004-11-05,2.55
2004-11-06,1.38
2004-11-07,1.3499999999999999
