date,GS
2004-01-01,22.419999999999998
2004-01-02,38.94
2004-01-03,25.369999999999997
2004-01-04,41.89
2004-01-05,59.0
2004-01-06,34.809999999999995
2004-01-07,48.379999999999995
2004-01-08,40.12
2004-01-09,41.3
2004-01-10,47.79
2004-01-11,31.27
2004-01-12,47.199999999999996
2004-01-13,35.989999999999995
2004-01-14,40.12
2004-01-15,44.839999999999996
2004-01-16,43.07
2004-01-17,31.86
2004-01-18,52.51
2004-01-19,28.91
2004-01-20,28.91
2004-01-21,12.389999999999999
2004-01-22,44.25
2004-01-23,37.76
2004-01-24,24.779999999999998
2004-01-25,34.809999999999995
2004-01-26,43.07
2004-01-27,20.65
2004-01-28,26.549999999999997
2004-01-29,41.89
2004-01-30,35.4
2004-01-31,46.61
2004-02-01,39.27
2004-02-02,40.8
2004-02-03,25.5
2004-02-04,25.5
2004-02-05,36.21
2004-02-06,29.580000000000002
2004-02-07,51.0
2004-02-08,26.52
2004-02-09,24.990000000000002
2004-02-10,17.34
2004-02-11,21.42
2004-02-12,26.01
2004-02-13,29.07
2004-02-14,14.790000000000001
2004-02-15,42.84
2004-02-16,20.91
2004-02-17,22.44
2004-02-18,28.560000000000002
2004-02-19,16.32
2004-02-20,32.64
2004-02-21,19.38
2004-02-22,31.11
2004-02-23,17.85
2004-02-24,28.05
2004-02-25,43.86
2004-02-26,33.660000000000004
2004-02-27,46.92
2004-02-28,19.38
2004-02-29,0.0
2004-03-01,52.64000000000001
2004-03-02,24.080000000000002
2004-03-03,26.320000000000004
2004-03-04,21.28
2004-03-05,54.88
2004-03-06,50.400000000000006
2004-03-07,52.080000000000005
2004-03-08,0.0
2004-03-09,0.0
2004-03-10,47.040000000000006
2004-03-11,50.400000000000006
2004-03-12,16.8
2004-03-13,51.52
2004-03-14,56.00000000000001
2004-03-15,15.680000000000001
2004-03-16,47.040000000000006
2004-03-17,39.760000000000005
2004-03-18,33.6
2004-03-19,30.800000000000004
2004-03-20,39.2
2004-03-21,33.040000000000006
2004-03-22,0.0
2004-03-23,0.0
2004-03-24,56.00000000000001
2004-03-25,43.68000000000001
2004-03-26,44.800000000000004
2004-03-27,42.00000000000001
2004-03-28,19.040000000000003
2004-03-29,29.120000000000005
2004-03-30,47.040000000000006
2004-03-31,31.92
2004-04-01,20.520000000000003
2004-04-02,32.400000000000006
2004-04-03,28.62
2004-04-04,33.480000000000004
2004-04-05,22.68
2004-04-06,34.56
2004-04-07,27.0
2004-04-08,29.700000000000003
2004-04-09,38.34
2004-04-10,26.46
2004-04-11,0.0
2004-04-12,0.0
2004-04-13,0.0
2004-04-14,33.480000000000004
2004-04-15,22.14
2004-04-16,27.540000000000003
2004-04-17,34.56
2004-04-18,41.580000000000005
2004-04-19,42.120000000000005
2004-04-20,28.080000000000002
2004-04-21,36.18
2004-04-22,30.78
2004-04-23,25.92
2004-04-24,49.14
2004-04-25,54.0
2004-04-26,29.160000000000004
2004-04-27,29.700000000000003
2004-04-28,37.260000000000005
2004-04-29,37.800000000000004
2004-04-30,48.06
2004-05-01,24.5
2004-05-02,28.419999999999998
2004-05-03,34.3
2004-05-04,37.73
2004-05-05,27.439999999999998
2004-05-06,26.95
2004-05-07,27.93
2004-05-08,49.0
2004-05-09,27.93
2004-05-10,33.81
2004-05-11,27.93
2004-05-12,28.91
2004-05-13,35.769999999999996
2004-05-14,30.87
2004-05-15,8.33
2004-05-16,36.26
2004-05-17,21.56
2004-05-18,37.24
2004-05-19,30.38
2004-05-20,30.38
2004-05-21,23.52
2004-05-22,35.28
2004-05-23,14.209999999999999
2004-05-24,30.87
2004-05-25,44.1
2004-05-26,38.71
2004-05-27,38.71
2004-05-28,36.26
2004-05-29,18.62
2004-05-30,29.89
2004-05-31,26.46
2004-06-01,35.75
2004-06-02,41.25
2004-06-03,30.800000000000004
2004-06-04,46.75000000000001
2004-06-05,26.400000000000002
2004-06-06,49.50000000000001
2004-06-07,36.300000000000004
2004-06-08,48.95
2004-06-09,43.45
2004-06-10,18.700000000000003
2004-06-11,28.05
2004-06-12,43.45
2004-06-13,40.150000000000006
2004-06-14,40.150000000000006
2004-06-15,36.85
2004-06-16,41.800000000000004
2004-06-17,33.0
2004-06-18,34.650000000000006
2004-06-19,36.300000000000004
2004-06-20,52.800000000000004
2004-06-21,28.05
2004-06-22,37.95
2004-06-23,42.35
2004-06-24,49.50000000000001
2004-06-25,40.7
2004-06-26,38.5
2004-06-27,18.150000000000002
2004-06-28,28.05
2004-06-29,55.00000000000001
2004-06-30,29.150000000000002
2004-07-01,35.339999999999996
2004-07-02,34.72
2004-07-03,29.759999999999998
2004-07-04,22.32
2004-07-05,19.22
2004-07-06,21.7
2004-07-07,29.14
2004-07-08,22.94
2004-07-09,35.339999999999996
2004-07-10,27.28
