date,GS
2013-01-01,50.7
2013-01-02,65.0
2013-01-03,52.65
2013-01-04,60.45
2013-01-05,48.75
2013-01-06,49.4
2013-01-07,56.55
2013-01-08,53.95
2013-01-09,57.85
2013-01-10,57.85
2013-01-11,53.95
2013-01-12,50.05
2013-01-13,48.75
2013-01-14,56.55
2013-01-15,55.25
2013-01-16,61.75
2013-01-17,58.5
2013-01-18,61.75
2013-01-19,53.95
2013-01-20,56.55
2013-01-21,48.75
2013-01-22,50.05
2013-01-23,55.25
2013-01-24,56.55
2013-01-25,51.35
2013-01-26,48.1
2013-01-27,48.75
2013-01-28,51.35
2013-01-29,53.3
2013-01-30,53.95
2013-01-31,52.65
2013-02-01,58.9
2013-02-02,57.04
2013-02-03,50.84
2013-02-04,53.32
2013-02-05,56.42
2013-02-06,61.38
2013-02-07,58.28
2013-02-08,58.9
2013-02-09,57.04
2013-02-10,58.28
2013-02-11,52.7
2013-02-12,58.9
2013-02-13,55.8
2013-02-14,53.32
2013-02-15,57.66
2013-02-16,58.9
2013-02-17,55.8
2013-02-18,50.84
2013-02-19,58.9
2013-02-20,57.66
2013-02-21,60.76
2013-02-22,55.8
2013-02-23,55.18
2013-02-24,53.94
2013-02-25,56.42
2013-02-26,58.9
2013-02-27,62.0
2013-02-28,60.76
2013-03-01,53.07
2013-03-02,47.58
2013-03-03,50.02
2013-03-04,52.46
2013-03-05,53.68
2013-03-06,53.68
2013-03-07,52.46
2013-03-08,54.9
2013-03-09,50.63
2013-03-10,53.07
2013-03-11,56.73
2013-03-12,61.0
2013-03-13,52.46
2013-03-14,59.78
2013-03-15,57.34
2013-03-16,51.85
2013-03-17,51.85
2013-03-18,56.12
2013-03-19,58.56
2013-03-20,59.78
2013-03-21,60.39
2013-03-22,51.24
2013-03-23,57.34
2013-03-24,53.07
2013-03-25,51.85
2013-03-26,53.07
2013-03-27,58.56
2013-03-28,61.0
2013-03-29,51.85
2013-03-30,51.24
2013-03-31,46.36
2013-04-01,51.85
2013-04-02,53.07
2013-04-03,59.78
2013-04-04,59.78
2013-04-05,56.73
2013-04-06,51.85
2013-04-07,55.51
2013-04-08,50.02
2013-04-09,54.29
2013-04-10,56.12
2013-04-11,49.41
2013-04-12,56.12
2013-04-13,51.85
2013-04-14,49.41
2013-04-15,51.24
2013-04-16,61.0
2013-04-17,56.73
2013-04-18,46.36
2013-04-19,53.68
2013-04-20,54.9
2013-04-21,54.9
2013-04-22,55.51
2013-04-23,53.07
2013-04-24,58.56
2013-04-25,56.12
2013-04-26,50.02
2013-04-27,53.07
2013-04-28,53.68
2013-04-29,56.12
2013-04-30,54.29
2013-05-01,55.04
2013-05-02,52.48
2013-05-03,58.88
2013-05-04,47.36
2013-05-05,51.2
2013-05-06,51.2
2013-05-07,64.0
2013-05-08,45.44
2013-05-09,58.88
2013-05-10,49.92
2013-05-11,58.24
2013-05-12,51.84
2013-05-13,47.36
2013-05-14,60.16
2013-05-15,50.56
2013-05-16,50.56
2013-05-17,55.68
2013-05-18,43.52
2013-05-19,48.0
2013-05-20,49.28
2013-05-21,49.28
