date,HON
2004-01-01,12.18
2004-01-02,0.0
2004-01-03,9.24
2004-01-04,0.0
2004-01-05,42.0
2004-01-06,10.92
2004-01-07,8.82
2004-01-08,0.0
2004-01-09,10.08
2004-01-10,14.28
2004-01-11,0.0
2004-01-12,7.14
2004-01-13,2.94
2004-01-14,8.4
2004-01-15,6.72
2004-01-16,0.0
2004-01-17,0.0
2004-01-18,5.46
2004-01-19,12.6
2004-01-20,7.14
2004-01-21,10.92
2004-01-22,8.4
2004-01-23,15.54
2004-01-24,12.6
2004-01-25,11.34
2004-01-26,15.12
2004-01-27,6.72
2004-01-28,16.38
2004-01-29,10.08
2004-01-30,5.46
2004-01-31,6.72
2004-02-01,36.0
2004-02-02,7.92
2004-02-03,14.399999999999999
2004-02-04,8.64
2004-02-05,26.64
2004-02-06,25.56
2004-02-07,32.4
2004-02-08,24.119999999999997
2004-02-09,21.96
2004-02-10,17.64
2004-02-11,7.92
2004-02-12,15.479999999999999
2004-02-13,17.64
2004-02-14,16.919999999999998
2004-02-15,20.16
2004-02-16,20.16
2004-02-17,21.96
2004-02-18,9.36
2004-02-19,21.599999999999998
2004-02-20,11.879999999999999
2004-02-21,0.0
2004-02-22,0.0
2004-02-23,19.8
2004-02-24,0.0
2004-02-25,24.119999999999997
2004-02-26,13.68
2004-02-27,7.56
2004-02-28,23.759999999999998
2004-02-29,0.0
2004-03-01,16.32
2004-03-02,0.0
2004-03-03,20.8
2004-03-04,19.84
2004-03-05,0.0
2004-03-06,16.32
2004-03-07,0.0
2004-03-08,0.0
2004-03-09,0.0
2004-03-10,18.88
2004-03-11,0.0
2004-03-12,0.0
2004-03-13,0.0
2004-03-14,25.6
2004-03-15,21.44
2004-03-16,16.0
2004-03-17,12.8
2004-03-18,11.200000000000001
2004-03-19,32.0
2004-03-20,26.240000000000002
2004-03-21,14.72
2004-03-22,0.0
2004-03-23,0.0
2004-03-24,26.560000000000002
2004-03-25,0.0
2004-03-26,24.0
2004-03-27,0.0
2004-03-28,0.0
2004-03-29,17.92
2004-03-30,23.04
2004-03-31,7.68
2004-04-01,6.88
2004-04-02,6.88
2004-04-03,6.88
2004-04-04,0.0
2004-04-05,15.91
2004-04-06,14.19
2004-04-07,9.03
2004-04-08,0.0
2004-04-09,9.89
2004-04-10,0.0
2004-04-11,43.0
2004-04-12,0.0
2004-04-13,0.0
2004-04-14,8.6
2004-04-15,6.45
2004-04-16,0.0
2004-04-17,0.0
2004-04-18,0.0
2004-04-19,9.89
2004-04-20,11.18
2004-04-21,5.16
2004-04-22,10.32
2004-04-23,6.88
2004-04-24,11.61
2004-04-25,0.0
2004-04-26,9.459999999999999
2004-04-27,0.0
2004-04-28,8.6
2004-04-29,0.0
2004-04-30,13.76
2004-05-01,0.0
2004-05-02,0.0
2004-05-03,27.200000000000003
2004-05-04,18.0
2004-05-05,27.200000000000003
2004-05-06,40.0
2004-05-07,29.200000000000003
2004-05-08,0.0
2004-05-09,34.4
2004-05-10,26.400000000000002
2004-05-11,15.200000000000001
2004-05-12,27.200000000000003
2004-05-13,12.4
2004-05-14,24.0
2004-05-15,0.0
2004-05-16,11.600000000000001
2004-05-17,15.600000000000001
2004-05-18,28.400000000000002
2004-05-19,17.6
2004-05-20,18.8
2004-05-21,11.600000000000001
2004-05-22,0.0
2004-05-23,18.400000000000002
2004-05-24,21.200000000000003
2004-05-25,20.400000000000002
2004-05-26,31.200000000000003
2004-05-27,12.0
