date,HON
2013-01-01,24.91
2013-01-02,28.09
2013-01-03,28.62
2013-01-04,30.21
2013-01-05,26.5
2013-01-06,21.73
2013-01-07,28.09
2013-01-08,30.74
2013-01-09,40.81
2013-01-10,30.21
2013-01-11,27.03
2013-01-12,31.8
2013-01-13,22.26
2013-01-14,27.03
2013-01-15,24.91
2013-01-16,28.09
2013-01-17,25.97
2013-01-18,29.15
2013-01-19,28.09
2013-01-20,53.0
2013-01-21,25.44
2013-01-22,27.56
2013-01-23,29.68
2013-01-24,29.68
2013-01-25,31.270000000000003
2013-01-26,26.5
2013-01-27,28.09
2013-01-28,25.44
2013-01-29,27.03
2013-01-30,23.85
2013-01-31,39.75
2013-02-01,49.5
2013-02-02,47.5
2013-02-03,41.0
2013-02-04,40.5
2013-02-05,42.5
2013-02-06,48.5
2013-02-07,47.5
2013-02-08,42.0
2013-02-09,42.5
2013-02-10,38.0
2013-02-11,35.5
2013-02-12,41.0
2013-02-13,45.5
2013-02-14,43.5
2013-02-15,43.5
2013-02-16,41.5
2013-02-17,49.5
2013-02-18,46.5
2013-02-19,43.5
2013-02-20,46.5
2013-02-21,43.0
2013-02-22,42.5
2013-02-23,40.0
2013-02-24,44.0
2013-02-25,37.0
2013-02-26,50.0
2013-02-27,43.5
2013-02-28,45.0
2013-03-01,39.95
2013-03-02,36.19
2013-03-03,36.66
2013-03-04,40.89
2013-03-05,40.89
2013-03-06,39.01
2013-03-07,40.89
2013-03-08,39.01
2013-03-09,40.42
2013-03-10,28.67
2013-03-11,31.02
2013-03-12,40.42
2013-03-13,39.48
2013-03-14,41.83
2013-03-15,42.77
2013-03-16,36.19
2013-03-17,47.0
2013-03-18,39.01
2013-03-19,43.71
2013-03-20,45.12
2013-03-21,40.89
2013-03-22,42.77
2013-03-23,35.72
2013-03-24,44.18
2013-03-25,45.59
2013-03-26,39.01
2013-03-27,34.309999999999995
2013-03-28,33.84
2013-03-29,39.01
2013-03-30,42.3
2013-03-31,40.42
2013-04-01,44.52
2013-04-02,38.16
2013-04-03,42.93
2013-04-04,41.870000000000005
2013-04-05,41.870000000000005
2013-04-06,38.16
2013-04-07,40.81
2013-04-08,36.04
2013-04-09,37.1
2013-04-10,39.22
2013-04-11,42.93
2013-04-12,40.28
2013-04-13,33.92
2013-04-14,34.45
2013-04-15,39.22
2013-04-16,42.93
2013-04-17,41.34
2013-04-18,36.57
2013-04-19,39.75
2013-04-20,38.16
2013-04-21,36.57
2013-04-22,50.35
2013-04-23,42.93
2013-04-24,45.05
2013-04-25,37.63
2013-04-26,53.0
2013-04-27,41.870000000000005
2013-04-28,43.46
2013-04-29,38.690000000000005
2013-04-30,38.690000000000005
2013-05-01,34.44
2013-05-02,39.06
2013-05-03,37.38
2013-05-04,39.48
2013-05-05,30.24
2013-05-06,37.38
2013-05-07,35.28
2013-05-08,42.0
2013-05-09,32.76
2013-05-10,38.64
2013-05-11,39.9
2013-05-12,39.06
2013-05-13,35.28
2013-05-14,34.02
2013-05-15,35.7
2013-05-16,32.76
2013-05-17,34.02
