date,INTC
2004-01-01,22.0
2004-01-02,0.0
2004-01-03,0.0
2004-01-04,0.0
2004-01-05,0.0
2004-01-06,0.0
2004-01-07,0.0
2004-01-08,4.84
2004-01-09,8.58
2004-01-10,0.0
2004-01-11,0.0
2004-01-12,2.86
2004-01-13,5.94
2004-01-14,6.6
2004-01-15,0.0
2004-01-16,3.3
2004-01-17,0.0
2004-01-18,0.0
2004-01-19,0.0
2004-01-20,3.52
2004-01-21,0.0
2004-01-22,5.5
2004-01-23,0.0
2004-01-24,0.0
2004-01-25,0.0
2004-01-26,2.64
2004-01-27,3.3
2004-01-28,0.0
2004-01-29,3.96
2004-01-30,0.0
2004-01-31,8.14
2004-02-01,9.45
2004-02-02,0.0
2004-02-03,0.0
2004-02-04,0.0
2004-02-05,5.25
2004-02-06,0.0
2004-02-07,0.0
2004-02-08,0.0
2004-02-09,0.0
2004-02-10,15.0
2004-02-11,0.0
2004-02-12,11.25
2004-02-13,0.0
2004-02-14,0.0
2004-02-15,0.0
2004-02-16,0.0
2004-02-17,0.0
2004-02-18,6.75
2004-02-19,5.25
2004-02-20,0.0
2004-02-21,0.0
2004-02-22,0.0
2004-02-23,0.0
2004-02-24,0.0
2004-02-25,4.5
2004-02-26,0.0
2004-02-27,0.0
2004-02-28,0.0
2004-02-29,0.0
2004-03-01,0.0
2004-03-02,0.0
2004-03-03,0.0
2004-03-04,0.0
2004-03-05,0.0
2004-03-06,0.0
2004-03-07,16.0
2004-03-08,0.0
2004-03-09,0.0
2004-03-10,0.0
2004-03-11,0.0
2004-03-12,0.0
2004-03-13,0.0
2004-03-14,9.120000000000001
2004-03-15,0.0
2004-03-16,0.0
2004-03-17,0.0
2004-03-18,0.0
2004-03-19,0.0
2004-03-20,0.0
2004-03-21,0.0
2004-03-22,0.0
2004-03-23,0.0
2004-03-24,8.32
2004-03-25,0.0
2004-03-26,0.0
2004-03-27,0.0
2004-03-28,0.0
2004-03-29,0.0
2004-03-30,2.72
2004-03-31,0.0
2004-04-01,0.0
2004-04-02,0.0
2004-04-03,0.0
2004-04-04,0.0
2004-04-05,0.0
2004-04-06,17.0
2004-04-07,7.140000000000001
2004-04-08,9.520000000000001
2004-04-09,0.0
2004-04-10,13.940000000000001
2004-04-11,0.0
2004-04-12,0.0
2004-04-13,0.0
2004-04-14,0.0
2004-04-15,7.3100000000000005
2004-04-16,0.0
2004-04-17,0.0
2004-04-18,0.0
2004-04-19,0.0
2004-04-20,10.71
2004-04-21,0.0
2004-04-22,9.01
2004-04-23,6.800000000000001
2004-04-24,0.0
2004-04-25,0.0
2004-04-26,13.600000000000001
2004-04-27,0.0
2004-04-28,0.0
2004-04-29,6.29
2004-04-30,7.48
2004-05-01,0.0
2004-05-02,0.0
2004-05-03,0.0
2004-05-04,4.0
2004-05-05,3.84
2004-05-06,3.04
2004-05-07,0.0
2004-05-08,16.0
2004-05-09,0.0
2004-05-10,5.92
2004-05-11,0.0
2004-05-12,0.0
2004-05-13,0.0
2004-05-14,0.0
2004-05-15,0.0
2004-05-16,11.52
2004-05-17,0.0
2004-05-18,3.84
2004-05-19,0.0
2004-05-20,0.0
2004-05-21,9.28
2004-05-22,0.0
2004-05-23,13.6
2004-05-24,4.32
2004-05-25,0.0
2004-05-26,4.8
2004-05-27,4.64
2004-05-28,5.28
2004-05-29,0.0
2004-05-30,12.96
2004-05-31,0.0
2004-06-01,0.0
2004-06-02,0.0
2004-06-03,0.0
2004-06-04,0.0
2004-06-05,16.0
2004-06-06,7.84
2004-06-07,0.0
2004-06-08,0.0
2004-06-09,0.0
2004-06-10,0.0
2004-06-11,0.0
2004-06-12,0.0
2004-06-13,0.0
2004-06-14,3.2
2004-06-15,0.0
2004-06-16,4.64
2004-06-17,0.0
2004-06-18,0.0
2004-06-19,0.0
2004-06-20,0.0
2004-06-21,0.0
2004-06-22,2.4
2004-06-23,0.0
2004-06-24,0.0
2004-06-25,9.6
2004-06-26,7.36
2004-06-27,0.0
2004-06-28,0.0
2004-06-29,0.0
2004-06-30,0.0
2004-07-01,0.0
2004-07-02,0.0
2004-07-03,0.0
2004-07-04,0.0
2004-07-05,0.0
2004-07-06,0.0
2004-07-07,0.0
2004-07-08,0.0
2004-07-09,0.0
2004-07-10,0.0
2004-07-11,0.0
2004-07-12,0.0
2004-07-13,14.08
2004-07-14,0.0
2004-07-15,0.0
