date,INTC
2013-01-01,2.48
2013-01-02,11.78
2013-01-03,11.78
2013-01-04,7.13
2013-01-05,0.93
2013-01-06,1.24
2013-01-07,8.68
2013-01-08,8.37
2013-01-09,8.68
2013-01-10,8.99
2013-01-11,9.61
2013-01-12,4.03
2013-01-13,0.0
2013-01-14,7.75
2013-01-15,8.06
2013-01-16,6.82
2013-01-17,27.59
2013-01-18,31.0
2013-01-19,9.61
2013-01-20,2.79
2013-01-21,5.27
2013-01-22,13.02
2013-01-23,10.85
2013-01-24,11.16
2013-01-25,9.3
2013-01-26,1.55
2013-01-27,2.79
2013-01-28,8.37
2013-01-29,6.82
2013-01-30,9.3
2013-01-31,7.75
2013-02-01,26.0
2013-02-02,9.1
2013-02-03,4.94
2013-02-04,15.34
2013-02-05,17.68
2013-02-06,19.5
2013-02-07,14.56
2013-02-08,12.22
2013-02-09,7.0200000000000005
2013-02-10,6.76
2013-02-11,15.34
2013-02-12,18.46
2013-02-13,20.28
2013-02-14,21.84
2013-02-15,18.72
2013-02-16,9.88
2013-02-17,7.800000000000001
2013-02-18,10.4
2013-02-19,18.46
2013-02-20,22.62
2013-02-21,20.8
2013-02-22,20.28
2013-02-23,5.46
2013-02-24,7.0200000000000005
2013-02-25,17.68
2013-02-26,20.28
2013-02-27,21.58
2013-02-28,20.02
2013-03-01,21.6
2013-03-02,6.48
2013-03-03,4.32
2013-03-04,12.96
2013-03-05,23.49
2013-03-06,22.14
2013-03-07,25.380000000000003
2013-03-08,24.57
2013-03-09,8.64
2013-03-10,3.78
2013-03-11,23.49
2013-03-12,12.96
2013-03-13,18.36
2013-03-14,17.55
2013-03-15,12.96
2013-03-16,7.0200000000000005
2013-03-17,7.0200000000000005
2013-03-18,19.44
2013-03-19,18.09
2013-03-20,17.55
2013-03-21,27.0
2013-03-22,11.88
2013-03-23,4.86
2013-03-24,4.86
2013-03-25,17.28
2013-03-26,20.25
2013-03-27,22.950000000000003
2013-03-28,19.71
2013-03-29,15.39
2013-03-30,2.7
2013-03-31,4.59
2013-04-01,11.52
2013-04-02,13.68
2013-04-03,10.8
2013-04-04,10.44
2013-04-05,16.56
2013-04-06,4.68
2013-04-07,4.68
2013-04-08,13.32
2013-04-09,15.84
2013-04-10,21.96
2013-04-11,21.96
2013-04-12,19.8
2013-04-13,6.84
2013-04-14,4.32
2013-04-15,16.56
2013-04-16,36.0
2013-04-17,35.64
2013-04-18,22.68
2013-04-19,19.08
2013-04-20,9.72
2013-04-21,3.96
2013-04-22,17.64
2013-04-23,25.92
2013-04-24,23.4
2013-04-25,19.44
2013-04-26,14.76
2013-04-27,6.12
2013-04-28,4.68
2013-04-29,20.88
2013-04-30,23.4
2013-05-01,24.75
2013-05-02,33.0
2013-05-03,30.360000000000003
2013-05-04,7.590000000000001
2013-05-05,2.97
2013-05-06,22.11
2013-05-07,21.78
2013-05-08,26.4
2013-05-09,21.78
2013-05-10,20.130000000000003
2013-05-11,9.9
2013-05-12,6.930000000000001
2013-05-13,21.45
2013-05-14,17.16
2013-05-15,21.45
2013-05-16,26.73
2013-05-17,25.74
2013-05-18,7.590000000000001
2013-05-19,2.97
2013-05-20,15.84
2013-05-21,18.81
2013-05-22,17.82
2013-05-23,18.48
2013-05-24,16.830000000000002
2013-05-25,5.28
2013-05-26,4.62
2013-05-27,7.260000000000001
2013-05-28,18.81
2013-05-29,17.16
2013-05-30,18.81
2013-05-31,16.17
2013-06-01,7.68
2013-06-02,3.84
2013-06-03,32.0
2013-06-04,27.52
2013-06-05,24.0
2013-06-06,27.2
2013-06-07,17.92
2013-06-08,9.6
2013-06-09,7.36
2013-06-10,15.04
2013-06-11,25.92
2013-06-12,11.84
2013-06-13,23.36
2013-06-14,19.84
2013-06-15,4.16
2013-06-16,5.12
2013-06-17,21.12
2013-06-18,21.12
2013-06-19,23.04
2013-06-20,24.32
2013-06-21,27.2
2013-06-22,7.04
2013-06-23,3.84
2013-06-24,16.96
2013-06-25,15.04
2013-06-26,11.84
2013-06-27,21.44
2013-06-28,10.56
2013-06-29,4.48
2013-06-30,3.52
2013-07-01,11.1
2013-07-02,12.9
2013-07-03,10.8
2013-07-04,3.0
2013-07-05,12.0
2013-07-06,6.6
2013-07-07,3.6
2013-07-08,20.4
2013-07-09,16.2
2013-07-10,15.9
2013-07-11,14.1
2013-07-12,13.8
2013-07-13,3.9
2013-07-14,0.0
2013-07-15,12.6
2013-07-16,12.9
2013-07-17,30.0
2013-07-18,30.0
2013-07-19,22.2
2013-07-20,7.199999999999999
2013-07-21,0.0
2013-07-22,9.3
2013-07-23,14.4
2013-07-24,14.4
2013-07-25,13.5
2013-07-26,11.4
2013-07-27,5.4
2013-07-28,3.0
2013-07-29,10.8
2013-07-30,13.2
2013-07-31,12.0
2013-08-01,20.64
2013-08-02,22.56
2013-08-03,6.72
2013-08-04,5.76
2013-08-05,18.96
2013-08-06,10.8
2013-08-07,16.56
2013-08-08,19.2
2013-08-09,17.28
2013-08-10,6.48
2013-08-11,2.16
2013-08-12,17.04
2013-08-13,19.2
2013-08-14,18.96
2013-08-15,23.76
2013-08-16,16.8
2013-08-17,6.24
2013-08-18,0.0
2013-08-19,24.0
2013-08-20,23.52
2013-08-21,20.88
2013-08-22,22.8
2013-08-23,14.88
2013-08-24,4.8
2013-08-25,7.68
2013-08-26,15.84
2013-08-27,12.96
2013-08-28,20.88
2013-08-29,12.96
2013-08-30,18.24
2013-08-31,0.0
2013-09-01,0.0
2013-09-02,2.4
2013-09-03,15.12
2013-09-04,13.68
2013-09-05,19.68
2013-09-06,15.36
2013-09-07,2.16
2013-09-08,4.8
2013-09-09,16.56
2013-09-10,14.88
2013-09-11,13.92
2013-09-12,12.48
2013-09-13,24.0
2013-09-14,7.199999999999999
2013-09-15,2.88
2013-09-16,16.32
2013-09-17,18.96
2013-09-18,20.16
2013-09-19,17.04
2013-09-20,17.52
2013-09-21,5.04
2013-09-22,2.4
2013-09-23,8.879999999999999
2013-09-24,12.72
2013-09-25,16.8
2013-09-26,12.72
2013-09-27,16.32
2013-09-28,5.52
2013-09-29,1.92
2013-09-30,10.56
2013-10-01,10.14
2013-10-02,10.14
2013-10-03,7.28
2013-10-04,6.76
2013-10-05,8.58
2013-10-06,0.0
2013-10-07,10.4
2013-10-08,7.800000000000001
2013-10-09,10.92
2013-10-10,12.48
2013-10-11,13.26
2013-10-12,2.6
2013-10-13,0.0
2013-10-14,10.4
2013-10-15,26.0
2013-10-16,23.92
2013-10-17,13.0
2013-10-18,17.16
2013-10-19,7.0200000000000005
2013-10-20,4.68
2013-10-21,12.22
2013-10-22,14.56
2013-10-23,5.720000000000001
2013-10-24,9.88
2013-10-25,15.08
2013-10-26,7.0200000000000005
2013-10-27,1.56
2013-10-28,12.74
