date,JNJ_unscaled,JNJ_monthly,isPartial,scale,JNJ
2018-01-01,9,39.0,False,0.39,3.5100000000000002
2018-01-02,35,39.0,,0.39,13.65
2018-01-03,43,39.0,,0.39,16.77
2018-01-04,35,39.0,,0.39,13.65
2018-01-05,48,39.0,,0.39,18.72
2018-01-06,17,39.0,,0.39,6.63
2018-01-07,15,39.0,,0.39,5.8500000000000005
2018-01-08,39,39.0,,0.39,15.21
2018-01-09,49,39.0,,0.39,19.11
2018-01-10,46,39.0,,0.39,17.94
2018-01-11,44,39.0,,0.39,17.16
2018-01-12,50,39.0,,0.39,19.5
2018-01-13,19,39.0,,0.39,7.41
2018-01-14,14,39.0,,0.39,5.46
2018-01-15,26,39.0,,0.39,10.14
2018-01-16,41,39.0,,0.39,15.99
2018-01-17,42,39.0,,0.39,16.38
2018-01-18,47,39.0,,0.39,18.330000000000002
2018-01-19,41,39.0,,0.39,15.99
2018-01-20,13,39.0,,0.39,5.07
2018-01-21,12,39.0,,0.39,4.68
2018-01-22,41,39.0,,0.39,15.99
2018-01-23,100,39.0,,0.39,39.0
2018-01-24,84,39.0,,0.39,32.76
2018-01-25,58,39.0,,0.39,22.62
2018-01-26,66,39.0,,0.39,25.740000000000002
2018-01-27,25,39.0,,0.39,9.75
2018-01-28,17,39.0,,0.39,6.63
2018-01-29,41,39.0,,0.39,15.99
2018-01-30,51,39.0,,0.39,19.89
2018-01-31,55,39.0,,0.39,21.45
2018-02-01,60,43.0,False,0.43,25.8
2018-02-02,64,43.0,,0.43,27.52
2018-02-03,26,43.0,,0.43,11.18
2018-02-04,13,43.0,,0.43,5.59
2018-02-05,57,43.0,,0.43,24.509999999999998
2018-02-06,100,43.0,,0.43,43.0
2018-02-07,61,43.0,,0.43,26.23
2018-02-08,68,43.0,,0.43,29.24
2018-02-09,67,43.0,,0.43,28.81
2018-02-10,32,43.0,,0.43,13.76
2018-02-11,17,43.0,,0.43,7.31
2018-02-12,59,43.0,,0.43,25.37
2018-02-13,44,43.0,,0.43,18.919999999999998
2018-02-14,48,43.0,,0.43,20.64
2018-02-15,61,43.0,,0.43,26.23
2018-02-16,53,43.0,,0.43,22.79
2018-02-17,26,43.0,,0.43,11.18
2018-02-18,13,43.0,,0.43,5.59
2018-02-19,32,43.0,,0.43,13.76
2018-02-20,51,43.0,,0.43,21.93
2018-02-21,48,43.0,,0.43,20.64
2018-02-22,48,43.0,,0.43,20.64
2018-02-23,55,43.0,,0.43,23.65
2018-02-24,14,43.0,,0.43,6.02
2018-02-25,17,43.0,,0.43,7.31
2018-02-26,51,43.0,,0.43,21.93
2018-02-27,52,43.0,,0.43,22.36
2018-02-28,49,43.0,,0.43,21.07
2018-03-01,77,32.0,False,0.32,24.64
2018-03-02,92,32.0,,0.32,29.44
2018-03-03,42,32.0,,0.32,13.44
2018-03-04,31,32.0,,0.32,9.92
2018-03-05,85,32.0,,0.32,27.2
2018-03-06,80,32.0,,0.32,25.6
2018-03-07,97,32.0,,0.32,31.04
2018-03-08,93,32.0,,0.32,29.76
2018-03-09,100,32.0,,0.32,32.0
2018-03-10,36,32.0,,0.32,11.52
2018-03-11,31,32.0,,0.32,9.92
2018-03-12,81,32.0,,0.32,25.92
2018-03-13,88,32.0,,0.32,28.16
2018-03-14,67,32.0,,0.32,21.44
2018-03-15,89,32.0,,0.32,28.48
2018-03-16,90,32.0,,0.32,28.8
2018-03-17,29,32.0,,0.32,9.28
2018-03-18,30,32.0,,0.32,9.6
2018-03-19,69,32.0,,0.32,22.080000000000002
2018-03-20,74,32.0,,0.32,23.68
2018-03-21,71,32.0,,0.32,22.72
2018-03-22,78,32.0,,0.32,24.96
2018-03-23,91,32.0,,0.32,29.12
2018-03-24,36,32.0,,0.32,11.52
2018-03-25,35,32.0,,0.32,11.200000000000001
