date,PG
2013-01-01,35.34
2013-01-02,45.6
2013-01-03,40.47
2013-01-04,41.61
2013-01-05,33.629999999999995
2013-01-06,36.48
2013-01-07,41.04
2013-01-08,41.61
2013-01-09,41.04
2013-01-10,34.2
2013-01-11,37.05
2013-01-12,38.19
2013-01-13,33.629999999999995
2013-01-14,40.47
2013-01-15,43.31999999999999
2013-01-16,36.48
2013-01-17,41.61
2013-01-18,42.18
2013-01-19,36.48
2013-01-20,29.64
2013-01-21,32.489999999999995
2013-01-22,42.18
2013-01-23,42.18
2013-01-24,45.6
2013-01-25,56.99999999999999
2013-01-26,37.62
2013-01-27,39.9
2013-01-28,51.87
2013-01-29,46.74
2013-01-30,48.45
2013-01-31,41.04
2013-02-01,52.2
2013-02-02,46.8
2013-02-03,49.2
2013-02-04,48.6
2013-02-05,60.0
2013-02-06,52.2
2013-02-07,50.4
2013-02-08,50.4
2013-02-09,51.0
2013-02-10,46.8
2013-02-11,56.4
2013-02-12,56.4
2013-02-13,51.0
2013-02-14,51.6
2013-02-15,54.0
2013-02-16,45.6
2013-02-17,47.4
2013-02-18,48.0
2013-02-19,55.2
2013-02-20,57.6
2013-02-21,54.0
2013-02-22,51.6
2013-02-23,48.0
2013-02-24,51.6
2013-02-25,49.8
2013-02-26,54.6
2013-02-27,55.8
2013-02-28,57.0
2013-03-01,48.13999999999999
2013-03-02,44.08
2013-03-03,38.86
2013-03-04,41.18
2013-03-05,44.08
2013-03-06,56.26
2013-03-07,51.62
2013-03-08,46.4
2013-03-09,41.76
2013-03-10,37.7
2013-03-11,44.08
2013-03-12,45.82
2013-03-13,42.34
2013-03-14,42.34
2013-03-15,43.5
2013-03-16,37.7
2013-03-17,34.8
2013-03-18,45.82
2013-03-19,48.13999999999999
2013-03-20,45.24
2013-03-21,51.62
2013-03-22,45.82
2013-03-23,38.28
2013-03-24,40.6
2013-03-25,57.99999999999999
2013-03-26,43.5
2013-03-27,49.3
2013-03-28,45.82
2013-03-29,41.18
2013-03-30,38.86
2013-03-31,37.12
2013-04-01,49.02
2013-04-02,46.74
2013-04-03,47.31
2013-04-04,48.45
2013-04-05,47.31
2013-04-06,39.33
2013-04-07,40.47
2013-04-08,49.02
2013-04-09,49.02
2013-04-10,51.87
2013-04-11,53.58
2013-04-12,51.3
2013-04-13,44.46
2013-04-14,38.76
2013-04-15,49.59
2013-04-16,50.73
2013-04-17,48.45
2013-04-18,45.6
2013-04-19,47.31
2013-04-20,46.74
2013-04-21,43.88999999999999
2013-04-22,50.73
2013-04-23,54.15
2013-04-24,53.01
2013-04-25,56.99999999999999
2013-04-26,49.59
2013-04-27,38.76
2013-04-28,45.6
2013-04-29,46.74
2013-04-30,49.59
2013-05-01,54.0
2013-05-02,54.0
2013-05-03,49.2
2013-05-04,44.4
2013-05-05,40.2
2013-05-06,49.2
2013-05-07,51.0
2013-05-08,51.0
2013-05-09,44.4
2013-05-10,43.2
2013-05-11,46.8
2013-05-12,42.6
2013-05-13,51.6
2013-05-14,43.2
2013-05-15,44.4
2013-05-16,52.8
2013-05-17,43.8
2013-05-18,42.6
2013-05-19,42.6
2013-05-20,48.0
2013-05-21,50.4
2013-05-22,48.0
2013-05-23,55.2
2013-05-24,60.0
2013-05-25,49.2
2013-05-26,43.2
2013-05-27,51.0
2013-05-28,57.0
2013-05-29,47.4
2013-05-30,50.4
2013-05-31,50.4
2013-06-01,49.6
2013-06-02,55.18
2013-06-03,53.94
2013-06-04,62.0
2013-06-05,61.38
2013-06-06,53.94
2013-06-07,56.42
2013-06-08,48.98
2013-06-09,45.88
2013-06-10,47.12
2013-06-11,61.38
2013-06-12,49.6
2013-06-13,53.32
2013-06-14,54.56
2013-06-15,50.22
2013-06-16,43.4
2013-06-17,55.18
2013-06-18,56.42
2013-06-19,52.7
2013-06-20,56.42
2013-06-21,54.56
2013-06-22,45.88
2013-06-23,48.36
2013-06-24,58.9
2013-06-25,53.94
2013-06-26,45.26
2013-06-27,53.94
2013-06-28,60.76
2013-06-29,54.56
2013-06-30,50.22
2013-07-01,38.43
2013-07-02,37.21
2013-07-03,37.21
2013-07-04,34.16
2013-07-05,37.21
2013-07-06,34.16
2013-07-07,34.16
2013-07-08,40.26
2013-07-09,35.99
2013-07-10,32.33
2013-07-11,35.99
2013-07-12,40.26
2013-07-13,32.33
2013-07-14,28.67
2013-07-15,37.82
2013-07-16,60.39
2013-07-17,61.0
2013-07-18,37.21
2013-07-19,34.77
2013-07-20,34.77
2013-07-21,30.5
2013-07-22,35.99
2013-07-23,35.38
2013-07-24,42.09
2013-07-25,35.38
2013-07-26,40.26
2013-07-27,29.28
2013-07-28,32.33
2013-07-29,39.04
2013-07-30,35.38
2013-07-31,40.26
2013-08-01,49.2
2013-08-02,49.8
2013-08-03,44.4
2013-08-04,40.2
2013-08-05,51.6
2013-08-06,49.2
2013-08-07,49.2
2013-08-08,46.8
2013-08-09,48.6
2013-08-10,43.8
2013-08-11,43.2
2013-08-12,52.8
2013-08-13,51.6
2013-08-14,55.2
2013-08-15,50.4
2013-08-16,52.8
2013-08-17,49.8
2013-08-18,51.6
2013-08-19,52.8
2013-08-20,60.0
2013-08-21,52.2
2013-08-22,49.2
2013-08-23,45.6
2013-08-24,42.0
2013-08-25,49.8
2013-08-26,53.4
2013-08-27,48.6
2013-08-28,48.6
2013-08-29,54.6
2013-08-30,52.8
2013-08-31,46.8
2013-09-01,44.84
2013-09-02,48.97
2013-09-03,51.92
2013-09-04,50.74
2013-09-05,51.92
2013-09-06,47.2
2013-09-07,44.25
2013-09-08,50.74
2013-09-09,54.87
2013-09-10,51.33
2013-09-11,56.05
2013-09-12,52.51
2013-09-13,59.0
2013-09-14,46.02
2013-09-15,39.53
2013-09-16,47.79
2013-09-17,52.51
2013-09-18,45.43
2013-09-19,51.33
2013-09-20,44.84
2013-09-21,43.07
2013-09-22,37.17
2013-09-23,50.15
2013-09-24,51.92
2013-09-25,51.92
2013-09-26,51.33
2013-09-27,51.33
2013-09-28,43.66
2013-09-29,45.43
2013-09-30,52.51
2013-10-01,52.8
2013-10-02,52.8
2013-10-03,58.74
2013-10-04,60.06
2013-10-05,50.16
2013-10-06,46.86
2013-10-07,56.1
