Date,Price,Volume,Market_cap
22-10-2023,1.32e-06,7.874272,181957.900945
21-10-2023,1.32e-06,7.874272,181957.900945
20-10-2023,1.32e-06,7.874272,181957.900945
19-10-2023,1.32e-06,7.874272,181957.900945
18-10-2023,1.32e-06,7.874272,181957.900945
17-10-2023,1.32e-06,7.874272,181957.900945
16-10-2023,1.32e-06,7.874272,181957.900945
15-10-2023,6.2e-07,4.173995,85470.79855721
14-10-2023,6.2e-07,4.173995,85470.79855721
13-10-2023,6.1e-07,0.792946,84888.81406977
12-10-2023,,,
11-10-2023,1.26e-06,3.135436,174496.21926886
10-10-2023,1.26e-06,3.135436,174496.21926886
09-10-2023,1.26e-06,3.135436,174496.21926886
08-10-2023,1.31e-06,13.210856,181013.12102187
07-10-2023,1.31e-06,13.210856,181013.12102187
06-10-2023,1.35e-06,1.655964,187462.48888897
05-10-2023,1.35e-06,1.655964,187462.48888897
04-10-2023,1.35e-06,1.655964,187462.48888897
03-10-2023,1.35e-06,1.655964,187462.48888897
02-10-2023,1.35e-06,1.655964,187462.48888897
01-10-2023,1.29e-06,7.083027,178553.34333663
30-09-2023,1.29e-06,7.083027,178553.34333663
29-09-2023,1.29e-06,7.083027,178553.34333663
28-09-2023,1.29e-06,7.083027,178553.34333663
27-09-2023,1.29e-06,7.083027,178553.34333663
26-09-2023,1.29e-06,7.083027,178553.34333663
25-09-2023,1.29e-06,7.083027,178553.34333663
24-09-2023,1.29e-06,7.083027,178553.34333663
23-09-2023,1.29e-06,7.083027,178553.34333663
22-09-2023,1.29e-06,7.083027,178553.34333663
21-09-2023,1.29e-06,7.083027,178553.34333663
20-09-2023,1.29e-06,7.083027,178553.34333663
19-09-2023,6.7e-07,13.765177,93207.19697621
18-09-2023,1.3e-06,152.289344,179206.73060752
17-09-2023,1.3e-06,152.289344,179206.73060752
16-09-2023,1.3e-06,152.289344,179206.73060752
15-09-2023,1.32e-06,28.108049,182503.81474681
14-09-2023,6e-07,32.432525,82998.10544714
13-09-2023,6e-07,32.432525,82998.10544714
12-09-2023,6e-07,32.432525,82998.10544714
11-09-2023,6.3e-07,1.884553,86893.24459118
10-09-2023,6.3e-07,1.884553,86893.24459118
09-09-2023,6.3e-07,1.884553,86893.24459118
08-09-2023,6.3e-07,1.884553,86893.24459118
07-09-2023,6.3e-07,1.884553,86893.24459118
06-09-2023,6.3e-07,1.884553,86893.24459118
