Date,Price,Volume,Market_cap,crypto_name
26-02-2024,10.58836928,301884353.614371,7981159819.229444,Uniswap
25-02-2024,11.03609073,381673286.978815,8318637324.120941,Uniswap
24-02-2024,11.25566289,839984767.066245,8484143503.907953,Uniswap
23-02-2024,11.33529685,1146864346.117924,8544168928.124153,Uniswap
22-02-2024,7.35876055,49884203.264707,5546788410.138988,Uniswap
21-02-2024,7.3858396,59268219.569274,5567199696.982135,Uniswap
20-02-2024,7.55758224,74035950.602324,5696653572.0443125,Uniswap
19-02-2024,7.72977243,59004197.862167,5826444797.921819,Uniswap
18-02-2024,7.64981584,62067434.06147,5766176192.267856,Uniswap
17-02-2024,7.75478935,78115044.065011,5845301720.1604,Uniswap
16-02-2024,7.45832364,77769820.881792,5621835752.835201,Uniswap
15-02-2024,7.50322612,94467295.834088,5655681743.152377,Uniswap
14-02-2024,6.88835215,44328545.820996,5192210241.738574,Uniswap
13-02-2024,6.68616436,46189113.802034,5039807821.093212,Uniswap
12-02-2024,6.8345413,43746225.295622,5151649417.331871,Uniswap
11-02-2024,6.67525495,40755141.400981,5031584674.156251,Uniswap
10-02-2024,6.62344486,31396081.427938,4992531957.4600525,Uniswap
09-02-2024,6.6517784,53708256.084484,5013888836.269701,Uniswap
08-02-2024,6.31578035,33096547.984334,4760624700.239213,Uniswap
07-02-2024,6.39139589,35582979.019443,4817621176.3912525,Uniswap
06-02-2024,6.27827326,42462344.502001,4732353107.722736,Uniswap
05-02-2024,5.99511922,26067950.240441,4518921033.049332,Uniswap
04-02-2024,5.97785667,21307245.506127,4505909099.510001,Uniswap
03-02-2024,6.10538377,29146605.719292,4602034774.38442,Uniswap
02-02-2024,6.13257279,36437280.003167,4622528955.580052,Uniswap
01-02-2024,6.0461204,43491089.385515,4557364020.016897,Uniswap
31-01-2024,5.99847972,54331494.710857,4521454067.173512,Uniswap
30-01-2024,6.26309278,46524912.406651,4720910572.625705,Uniswap
29-01-2024,6.141796,39463470.932563,4629481103.3093,Uniswap
28-01-2024,5.94564346,32102446.913233,4481627851.256806,Uniswap
27-01-2024,5.98509255,28735661.752819,4511363265.649056,Uniswap
26-01-2024,5.95455906,44274248.225517,4488348133.558653,Uniswap
25-01-2024,5.74934307,35313479.52127,4333663165.96104,Uniswap
24-01-2024,5.86800205,44630314.208151,4423104346.909496,Uniswap
23-01-2024,5.82635518,55288801.281375,4391712324.475979,Uniswap
22-01-2024,6.03386736,41334782.896054,4548128086.50592,Uniswap
21-01-2024,6.37140449,26891351.945117,4802552327.185231,Uniswap
20-01-2024,6.48059253,47037922.689636,4884854628.218807,Uniswap
19-01-2024,6.34716044,49573752.698654,4784277972.618723,Uniswap
