date,UNH_unscaled,UNH_monthly,isPartial,scale,UNH
2018-01-01,25,95.0,False,0.95,23.75
2018-01-02,49,95.0,,0.95,46.55
2018-01-03,49,95.0,,0.95,46.55
2018-01-04,49,95.0,,0.95,46.55
2018-01-05,42,95.0,,0.95,39.9
2018-01-06,35,95.0,,0.95,33.25
2018-01-07,32,95.0,,0.95,30.4
2018-01-08,50,95.0,,0.95,47.5
2018-01-09,49,95.0,,0.95,46.55
2018-01-10,51,95.0,,0.95,48.449999999999996
2018-01-11,51,95.0,,0.95,48.449999999999996
2018-01-12,51,95.0,,0.95,48.449999999999996
2018-01-13,35,95.0,,0.95,33.25
2018-01-14,31,95.0,,0.95,29.45
2018-01-15,32,95.0,,0.95,30.4
2018-01-16,72,95.0,,0.95,68.39999999999999
2018-01-17,71,95.0,,0.95,67.45
2018-01-18,63,95.0,,0.95,59.849999999999994
2018-01-19,56,95.0,,0.95,53.199999999999996
2018-01-20,39,95.0,,0.95,37.05
2018-01-21,51,95.0,,0.95,48.449999999999996
2018-01-22,73,95.0,,0.95,69.35
2018-01-23,100,95.0,,0.95,95.0
2018-01-24,80,95.0,,0.95,76.0
2018-01-25,66,95.0,,0.95,62.699999999999996
2018-01-26,61,95.0,,0.95,57.949999999999996
2018-01-27,44,95.0,,0.95,41.8
2018-01-28,49,95.0,,0.95,46.55
2018-01-29,74,95.0,,0.95,70.3
2018-01-30,78,95.0,,0.95,74.1
2018-01-31,81,95.0,,0.95,76.95
2018-02-01,100,100.0,False,1.0,100.0
2018-02-02,86,100.0,,1.0,86.0
2018-02-03,53,100.0,,1.0,53.0
2018-02-04,55,100.0,,1.0,55.0
2018-02-05,86,100.0,,1.0,86.0
2018-02-06,98,100.0,,1.0,98.0
2018-02-07,91,100.0,,1.0,91.0
2018-02-08,89,100.0,,1.0,89.0
2018-02-09,73,100.0,,1.0,73.0
2018-02-10,55,100.0,,1.0,55.0
2018-02-11,58,100.0,,1.0,58.0
2018-02-12,88,100.0,,1.0,88.0
2018-02-13,98,100.0,,1.0,98.0
2018-02-14,91,100.0,,1.0,91.0
2018-02-15,100,100.0,,1.0,100.0
2018-02-16,66,100.0,,1.0,66.0
2018-02-17,61,100.0,,1.0,61.0
2018-02-18,54,100.0,,1.0,54.0
2018-02-19,65,100.0,,1.0,65.0
2018-02-20,81,100.0,,1.0,81.0
2018-02-21,77,100.0,,1.0,77.0
2018-02-22,78,100.0,,1.0,78.0
2018-02-23,63,100.0,,1.0,63.0
2018-02-24,58,100.0,,1.0,58.0
2018-02-25,60,100.0,,1.0,60.0
2018-02-26,82,100.0,,1.0,82.0
2018-02-27,92,100.0,,1.0,92.0
2018-02-28,87,100.0,,1.0,87.0
2018-03-01,83,78.0,False,0.78,64.74000000000001
2018-03-02,74,78.0,,0.78,57.72
2018-03-03,75,78.0,,0.78,58.5
2018-03-04,73,78.0,,0.78,56.940000000000005
2018-03-05,90,78.0,,0.78,70.2
2018-03-06,80,78.0,,0.78,62.400000000000006
2018-03-07,82,78.0,,0.78,63.96
2018-03-08,66,78.0,,0.78,51.480000000000004
2018-03-09,66,78.0,,0.78,51.480000000000004
2018-03-10,43,78.0,,0.78,33.54
2018-03-11,34,78.0,,0.78,26.52
2018-03-12,55,78.0,,0.78,42.9
2018-03-13,47,78.0,,0.78,36.660000000000004
2018-03-14,48,78.0,,0.78,37.44
2018-03-15,56,78.0,,0.78,43.68
2018-03-16,51,78.0,,0.78,39.78
2018-03-17,42,78.0,,0.78,32.76
2018-03-18,56,78.0,,0.78,43.68
2018-03-19,81,78.0,,0.78,63.18
2018-03-20,89,78.0,,0.78,69.42
2018-03-21,96,78.0,,0.78,74.88
2018-03-22,96,78.0,,0.78,74.88
2018-03-23,72,78.0,,0.78,56.160000000000004
2018-03-24,67,78.0,,0.78,52.260000000000005
2018-03-25,62,78.0,,0.78,48.36
2018-03-26,100,78.0,,0.78,78.0
2018-03-27,91,78.0,,0.78,70.98
2018-03-28,78,78.0,,0.78,60.84
2018-03-29,91,78.0,,0.78,70.98
2018-03-30,80,78.0,,0.78,62.400000000000006
2018-03-31,45,78.0,,0.78,35.1
2018-04-01,41,93.0,False,0.93,38.13
2018-04-02,80,93.0,,0.93,74.4
2018-04-03,94,93.0,,0.93,87.42
2018-04-04,86,93.0,,0.93,79.98
2018-04-05,72,93.0,,0.93,66.96000000000001
2018-04-06,75,93.0,,0.93,69.75
2018-04-07,56,93.0,,0.93,52.080000000000005
2018-04-08,47,93.0,,0.93,43.71
2018-04-09,79,93.0,,0.93,73.47
2018-04-10,93,93.0,,0.93,86.49000000000001
2018-04-11,80,93.0,,0.93,74.4
2018-04-12,67,93.0,,0.93,62.31
2018-04-13,58,93.0,,0.93,53.940000000000005
2018-04-14,54,93.0,,0.93,50.220000000000006
2018-04-15,62,93.0,,0.93,57.660000000000004
2018-04-16,82,93.0,,0.93,76.26
2018-04-17,100,93.0,,0.93,93.0
2018-04-18,76,93.0,,0.93,70.68
2018-04-19,75,93.0,,0.93,69.75
2018-04-20,65,93.0,,0.93,60.45
2018-04-21,34,93.0,,0.93,31.62
2018-04-22,41,93.0,,0.93,38.13
2018-04-23,86,93.0,,0.93,79.98
2018-04-24,79,93.0,,0.93,73.47
2018-04-25,80,93.0,,0.93,74.4
2018-04-26,73,93.0,,0.93,67.89
2018-04-27,65,93.0,,0.93,60.45
