date,Visa
2004-01-01,60.06
2004-01-02,63.18
2004-01-03,47.58
2004-01-04,62.400000000000006
2004-01-05,50.7
2004-01-06,67.86
2004-01-07,66.3
2004-01-08,78.0
2004-01-09,60.84
2004-01-10,60.06
2004-01-11,49.14
2004-01-12,60.06
2004-01-13,62.400000000000006
2004-01-14,69.42
2004-01-15,63.96
2004-01-16,60.84
2004-01-17,40.56
2004-01-18,54.6
2004-01-19,57.72
2004-01-20,59.28
2004-01-21,65.52
2004-01-22,63.18
2004-01-23,54.6
2004-01-24,51.480000000000004
2004-01-25,62.400000000000006
2004-01-26,57.72
2004-01-27,55.38
2004-01-28,55.38
2004-01-29,61.620000000000005
2004-01-30,59.28
2004-01-31,49.14
2004-02-01,42.339999999999996
2004-02-02,71.53999999999999
2004-02-03,56.94
2004-02-04,59.86
2004-02-05,64.24
2004-02-06,61.32
2004-02-07,43.8
2004-02-08,56.94
2004-02-09,59.86
2004-02-10,59.86
2004-02-11,64.24
2004-02-12,55.48
2004-02-13,51.83
2004-02-14,56.94
2004-02-15,71.53999999999999
2004-02-16,67.89
2004-02-17,73.0
2004-02-18,67.89
2004-02-19,70.81
2004-02-20,64.24
2004-02-21,63.51
2004-02-22,49.64
2004-02-23,64.24
2004-02-24,60.589999999999996
2004-02-25,70.08
2004-02-26,60.589999999999996
2004-02-27,64.97
2004-02-28,56.94
2004-02-29,45.99
2004-03-01,70.0
2004-03-02,70.0
2004-03-03,57.4
2004-03-04,60.199999999999996
2004-03-05,43.4
2004-03-06,46.199999999999996
2004-03-07,49.699999999999996
2004-03-08,0.0
2004-03-09,0.0
2004-03-10,61.599999999999994
2004-03-11,46.199999999999996
2004-03-12,66.5
2004-03-13,64.39999999999999
2004-03-14,55.3
2004-03-15,65.1
2004-03-16,58.8
2004-03-17,61.599999999999994
2004-03-18,60.9
2004-03-19,58.8
2004-03-20,56.699999999999996
2004-03-21,55.3
2004-03-22,46.9
2004-03-23,0.0
2004-03-24,46.9
2004-03-25,41.3
2004-03-26,65.8
2004-03-27,55.3
2004-03-28,51.8
2004-03-29,60.9
2004-03-30,58.8
2004-03-31,62.3
2004-04-01,48.96
2004-04-02,48.96
2004-04-03,55.080000000000005
2004-04-04,37.400000000000006
2004-04-05,57.800000000000004
