date,WMT_unscaled,WMT_monthly,isPartial,scale,WMT
2018-01-01,14,70.0,False,0.7,9.799999999999999
2018-01-02,59,70.0,,0.7,41.3
2018-01-03,56,70.0,,0.7,39.199999999999996
2018-01-04,59,70.0,,0.7,41.3
2018-01-05,60,70.0,,0.7,42.0
2018-01-06,29,70.0,,0.7,20.299999999999997
2018-01-07,18,70.0,,0.7,12.6
2018-01-08,57,70.0,,0.7,39.9
2018-01-09,64,70.0,,0.7,44.8
2018-01-10,56,70.0,,0.7,39.199999999999996
2018-01-11,100,70.0,,0.7,70.0
2018-01-12,87,70.0,,0.7,60.9
2018-01-13,30,70.0,,0.7,21.0
2018-01-14,13,70.0,,0.7,9.1
2018-01-15,19,70.0,,0.7,13.299999999999999
2018-01-16,53,70.0,,0.7,37.099999999999994
2018-01-17,71,70.0,,0.7,49.699999999999996
2018-01-18,89,70.0,,0.7,62.3
2018-01-19,72,70.0,,0.7,50.4
2018-01-20,21,70.0,,0.7,14.7
2018-01-21,17,70.0,,0.7,11.899999999999999
2018-01-22,70,70.0,,0.7,49.0
2018-01-23,76,70.0,,0.7,53.199999999999996
2018-01-24,69,70.0,,0.7,48.3
2018-01-25,66,70.0,,0.7,46.199999999999996
2018-01-26,82,70.0,,0.7,57.4
2018-01-27,32,70.0,,0.7,22.4
2018-01-28,21,70.0,,0.7,14.7
2018-01-29,68,70.0,,0.7,47.599999999999994
2018-01-30,86,70.0,,0.7,60.199999999999996
2018-01-31,72,70.0,,0.7,50.4
2018-02-01,24,100.0,False,1.0,24.0
2018-02-02,24,100.0,,1.0,24.0
2018-02-03,10,100.0,,1.0,10.0
2018-02-04,9,100.0,,1.0,9.0
2018-02-05,28,100.0,,1.0,28.0
2018-02-06,40,100.0,,1.0,40.0
2018-02-07,26,100.0,,1.0,26.0
2018-02-08,32,100.0,,1.0,32.0
2018-02-09,28,100.0,,1.0,28.0
2018-02-10,7,100.0,,1.0,7.0
2018-02-11,5,100.0,,1.0,5.0
2018-02-12,20,100.0,,1.0,20.0
2018-02-13,23,100.0,,1.0,23.0
2018-02-14,26,100.0,,1.0,26.0
2018-02-15,25,100.0,,1.0,25.0
2018-02-16,20,100.0,,1.0,20.0
2018-02-17,10,100.0,,1.0,10.0
2018-02-18,8,100.0,,1.0,8.0
2018-02-19,12,100.0,,1.0,12.0
2018-02-20,97,100.0,,1.0,97.0
2018-02-21,100,100.0,,1.0,100.0
2018-02-22,64,100.0,,1.0,64.0
2018-02-23,41,100.0,,1.0,41.0
2018-02-24,15,100.0,,1.0,15.0
2018-02-25,6,100.0,,1.0,6.0
2018-02-26,33,100.0,,1.0,33.0
2018-02-27,34,100.0,,1.0,34.0
2018-02-28,34,100.0,,1.0,34.0
2018-03-01,90,68.0,False,0.68,61.2
2018-03-02,100,68.0,,0.68,68.0
2018-03-03,30,68.0,,0.68,20.400000000000002
2018-03-04,18,68.0,,0.68,12.24
2018-03-05,83,68.0,,0.68,56.440000000000005
2018-03-06,84,68.0,,0.68,57.120000000000005
2018-03-07,86,68.0,,0.68,58.480000000000004
2018-03-08,77,68.0,,0.68,52.36000000000001
2018-03-09,80,68.0,,0.68,54.400000000000006
2018-03-10,23,68.0,,0.68,15.64
2018-03-11,22,68.0,,0.68,14.96
2018-03-12,64,68.0,,0.68,43.52
2018-03-13,58,68.0,,0.68,39.440000000000005
2018-03-14,69,68.0,,0.68,46.92
2018-03-15,78,68.0,,0.68,53.040000000000006
2018-03-16,85,68.0,,0.68,57.800000000000004
2018-03-17,20,68.0,,0.68,13.600000000000001
2018-03-18,17,68.0,,0.68,11.56
2018-03-19,65,68.0,,0.68,44.2
2018-03-20,70,68.0,,0.68,47.6
2018-03-21,69,68.0,,0.68,46.92
2018-03-22,61,68.0,,0.68,41.480000000000004
2018-03-23,70,68.0,,0.68,47.6
2018-03-24,25,68.0,,0.68,17.0
2018-03-25,12,68.0,,0.68,8.16
2018-03-26,64,68.0,,0.68,43.52
2018-03-27,63,68.0,,0.68,42.84
2018-03-28,71,68.0,,0.68,48.28
2018-03-29,60,68.0,,0.68,40.800000000000004
2018-03-30,61,68.0,,0.68,41.480000000000004
2018-03-31,16,68.0,,0.68,10.88
2018-04-01,17,44.0,False,0.44,7.48
2018-04-02,80,44.0,,0.44,35.2
2018-04-03,100,44.0,,0.44,44.0
2018-04-04,77,44.0,,0.44,33.88
2018-04-05,77,44.0,,0.44,33.88
2018-04-06,78,44.0,,0.44,34.32
2018-04-07,21,44.0,,0.44,9.24
2018-04-08,11,44.0,,0.44,4.84
2018-04-09,57,44.0,,0.44,25.080000000000002
2018-04-10,54,44.0,,0.44,23.76
2018-04-11,54,44.0,,0.44,23.76
2018-04-12,68,44.0,,0.44,29.92
2018-04-13,55,44.0,,0.44,24.2
2018-04-14,21,44.0,,0.44,9.24
2018-04-15,14,44.0,,0.44,6.16
2018-04-16,51,44.0,,0.44,22.44
2018-04-17,60,44.0,,0.44,26.4
2018-04-18,53,44.0,,0.44,23.32
2018-04-19,49,44.0,,0.44,21.56
2018-04-20,73,44.0,,0.44,32.12
2018-04-21,23,44.0,,0.44,10.12
2018-04-22,8,44.0,,0.44,3.52
2018-04-23,51,44.0,,0.44,22.44
2018-04-24,50,44.0,,0.44,22.0
2018-04-25,59,44.0,,0.44,25.96
2018-04-26,43,44.0,,0.44,18.92
2018-04-27,61,44.0,,0.44,26.84
2018-04-28,19,44.0,,0.44,8.36
2018-04-29,19,44.0,,0.44,8.36
