date,Chevron Stock Price
2013-01-01,0.0
2013-01-02,2.1700000000000004
2013-01-03,2.03
2013-01-04,3.43
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,2.24
2013-01-09,2.5900000000000003
2013-01-10,0.0
2013-01-11,2.3800000000000003
2013-01-12,5.180000000000001
2013-01-13,2.3800000000000003
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,2.31
2013-01-17,2.3800000000000003
2013-01-18,0.0
2013-01-19,0.0
2013-01-20,7.000000000000001
2013-01-21,2.7300000000000004
2013-01-22,0.0
2013-01-23,2.5900000000000003
2013-01-24,0.0
2013-01-25,2.87
2013-01-26,0.0
2013-01-27,3.5700000000000003
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,6.090000000000001
2013-02-01,2.94
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.0
2013-02-06,2.88
2013-02-07,0.0
2013-02-08,4.32
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,3.72
2013-02-12,3.24
2013-02-13,1.7999999999999998
2013-02-14,2.64
2013-02-15,5.58
2013-02-16,0.0
2013-02-17,4.08
2013-02-18,1.98
2013-02-19,1.92
2013-02-20,2.4
2013-02-21,6.0
2013-02-22,0.0
2013-02-23,0.0
2013-02-24,3.0
2013-02-25,0.0
2013-02-26,2.82
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-02,0.0
2013-03-03,5.12
2013-03-04,1.84
2013-03-05,3.76
2013-03-06,0.0
2013-03-07,1.6
2013-03-08,2.16
2013-03-09,0.0
2013-03-10,1.76
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,2.16
2013-03-15,3.36
2013-03-16,0.0
2013-03-17,0.0
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,4.5600000000000005
2013-03-21,0.0
2013-03-22,0.0
2013-03-23,0.0
2013-03-24,0.0
2013-03-25,4.64
2013-03-26,0.0
2013-03-27,0.0
