Date,Price,Volume,Market_cap,crypto_name
26-02-2024,401.23727883,1085512696.618521,61732822956.65815,BinanceCoin
25-02-2024,388.41009524,578196604.923135,59759281874.92003,BinanceCoin
24-02-2024,381.99831215,401669316.049286,58772789614.28079,BinanceCoin
23-02-2024,375.63827884,919910108.494149,57794259375.21732,BinanceCoin
22-02-2024,381.98471759,1062469035.828363,58770698007.19388,BinanceCoin
21-02-2024,377.70872816,1213572725.987037,58112810736.72162,BinanceCoin
20-02-2024,355.40273251,698147241.504498,54680896122.96929,BinanceCoin
19-02-2024,352.15624048,533996207.28336,54181403358.85357,BinanceCoin
18-02-2024,350.30860426,311232699.62677,53897133163.36012,BinanceCoin
17-02-2024,353.20472802,417148398.242006,54342719614.8682,BinanceCoin
16-02-2024,361.01276456,656636368.28408,55544034055.29657,BinanceCoin
15-02-2024,355.12980638,879123124.399725,54638904759.42569,BinanceCoin
14-02-2024,334.21560751,289281915.931556,51421126642.1272,BinanceCoin
13-02-2024,324.79269385,305144950.988257,49971353423.677185,BinanceCoin
12-02-2024,327.73457716,369503180.989618,50423980264.45449,BinanceCoin
11-02-2024,320.33388939,175984465.024018,49285338936.28586,BinanceCoin
10-02-2024,322.97711855,197962989.612486,49692015998.545265,BinanceCoin
09-02-2024,322.97145693,450608851.908398,49691144922.681206,BinanceCoin
08-02-2024,319.12499773,522996407.098181,49099343518.74987,BinanceCoin
07-02-2024,307.50388247,232145652.566678,47311363466.283554,BinanceCoin
06-02-2024,302.70998822,167390658.018745,46573793354.022415,BinanceCoin
05-02-2024,300.71418072,267434248.640569,46266726096.203926,BinanceCoin
04-02-2024,304.51223906,254031285.470465,46851080728.920135,BinanceCoin
03-02-2024,299.75969444,120386057.12747,46119872511.76856,BinanceCoin
02-02-2024,300.98186205,182053447.02037,46307910514.13713,BinanceCoin
01-02-2024,300.13358643,224776844.643591,46177398093.96176,BinanceCoin
31-01-2024,300.34624393,255605346.622915,46210116758.6474,BinanceCoin
30-01-2024,307.86615291,224144678.459225,47367101001.33674,BinanceCoin
29-01-2024,310.72052748,248424313.124108,47806264083.79178,BinanceCoin
28-01-2024,305.01700778,226913957.330792,46928742502.10697,BinanceCoin
27-01-2024,305.89380464,167320789.038993,47063643090.71076,BinanceCoin
26-01-2024,302.55417029,370536451.667828,46549819807.478165,BinanceCoin
25-01-2024,292.10050982,463425883.274375,44941459853.97903,BinanceCoin
24-01-2024,293.3118477,383092778.481771,45127831636.5124,BinanceCoin
23-01-2024,297.95553824,455369902.368779,45842291984.516014,BinanceCoin
22-01-2024,305.21551425,354058955.38961,46959283943.23371,BinanceCoin
21-01-2024,318.78019167,189903469.49807,49046292986.47912,BinanceCoin
20-01-2024,316.56013248,175344793.49528,48704723227.513054,BinanceCoin
19-01-2024,314.41419459,407696033.989621,48374557485.66568,BinanceCoin
18-01-2024,313.22108165,454565742.1013,48190989720.86313,BinanceCoin
17-01-2024,309.03981023,496169793.708214,47547675399.10377,BinanceCoin
16-01-2024,315.4152041,454030030.110827,48528568954.99364,BinanceCoin
15-01-2024,317.60714424,837180650.407115,48865812424.58855,BinanceCoin
14-01-2024,301.02506109,198244374.584773,46314556952.83616,BinanceCoin
13-01-2024,302.36198478,230100095.072442,46520250883.906975,BinanceCoin
12-01-2024,296.95798464,500522852.613308,45688812228.550415,BinanceCoin
11-01-2024,308.64615676,588203272.661465,47487109390.903336,BinanceCoin
10-01-2024,304.76619663,498387514.995707,46890153663.15689,BinanceCoin
09-01-2024,300.87806228,613557492.893814,46291940282.38776,BinanceCoin
08-01-2024,304.77845054,438058862.923338,46892039003.6552,BinanceCoin
07-01-2024,302.59577807,221360745.321404,46556221420.390015,BinanceCoin
06-01-2024,307.68799398,396520163.919293,47339690155.11203,BinanceCoin
05-01-2024,317.11601728,528265586.323786,48790249521.502075,BinanceCoin
04-01-2024,323.9957517,548293386.348601,49848738972.413315,BinanceCoin
03-01-2024,316.84658004,996215751.033008,48748794945.79105,BinanceCoin
02-01-2024,311.8040429,443359530.574985,47972969594.701355,BinanceCoin
01-01-2024,314.21500908,280199629.998957,48343911569.28203,BinanceCoin
31-12-2023,312.71952812,309407222.700313,48113822625.91445,BinanceCoin
30-12-2023,317.39487052,271138837.450579,48833152808.19219,BinanceCoin
29-12-2023,313.56286547,605037004.628302,48243575264.84747,BinanceCoin
28-12-2023,322.98315667,999074616.969793,49692944999.76911,BinanceCoin
27-12-2023,323.90009019,957028341.496739,49834020861.730576,BinanceCoin
26-12-2023,297.8707259,1005330712.72729,45829243085.423325,BinanceCoin
25-12-2023,267.15289124,196679459.616645,41103115307.4822,BinanceCoin
24-12-2023,264.89464891,231322635.983305,40755670836.24017,BinanceCoin
23-12-2023,271.59152898,171871665.171123,41786027021.260445,BinanceCoin
22-12-2023,271.48751839,378351404.684062,41770024352.41403,BinanceCoin
21-12-2023,271.44595195,496552122.80681,41763629099.910355,BinanceCoin
20-12-2023,260.16862921,426152999.220679,40028543640.500885,BinanceCoin
19-12-2023,252.05141979,573630924.607506,38779661051.32953,BinanceCoin
18-12-2023,241.28191972,301749247.251688,37122707232.517296,BinanceCoin
17-12-2023,239.03280888,166052843.272019,36776667697.23972,BinanceCoin
16-12-2023,243.97382957,169231086.698234,37536874117.70613,BinanceCoin
15-12-2023,245.35231882,237175810.069756,37748963167.421295,BinanceCoin
14-12-2023,253.20034675,314964851.126228,38956430528.89245,BinanceCoin
13-12-2023,252.47229317,436520881.396106,38844415008.98521,BinanceCoin
12-12-2023,253.95434321,656852493.859077,39072437521.55324,BinanceCoin
11-12-2023,246.27761893,729667228.816224,37891326280.02916,BinanceCoin
10-12-2023,239.63456946,170880986.178094,36869252264.33425,BinanceCoin
09-12-2023,237.64371102,314378751.287101,36562946449.48148,BinanceCoin
08-12-2023,239.01076891,294152236.940211,36773276712.52599,BinanceCoin
07-12-2023,232.85989605,294773614.225362,35826927095.26872,BinanceCoin
06-12-2023,229.73186359,313591521.320263,35345660065.04877,BinanceCoin
05-12-2023,231.16493606,308918623.65339,35566147077.44515,BinanceCoin
04-12-2023,233.02147565,497448909.688915,35851787110.319954,BinanceCoin
03-12-2023,228.20646282,211934412.003656,35110967775.3328,BinanceCoin
02-12-2023,229.1901835,166591796.58352,35262319250.57326,BinanceCoin
01-12-2023,228.64488046,152072044.772702,35178421025.341545,BinanceCoin
30-11-2023,227.68270624,129320640.325016,35030384603.898605,BinanceCoin
29-11-2023,227.21242348,152043248.73685,34958028709.14864,BinanceCoin
28-11-2023,229.58040801,185356131.062092,35322357691.96325,BinanceCoin
27-11-2023,227.22727502,271882858.380155,34960313709.024254,BinanceCoin
26-11-2023,231.91396337,149291214.162928,35681389535.479645,BinanceCoin
25-11-2023,233.83432176,117807108.845969,35976848484.304436,BinanceCoin
24-11-2023,232.81774559,215884342.278903,35820441988.82534,BinanceCoin
23-11-2023,233.8180361,247760389.723504,35974342835.56697,BinanceCoin
22-11-2023,236.27007041,642661909.80898,36351603393.807686,BinanceCoin
21-11-2023,227.55965373,1338679723.269462,35011452217.7252,BinanceCoin
20-11-2023,253.25254084,590468470.804392,38964460911.38993,BinanceCoin
19-11-2023,246.75809474,149861829.827813,37965250437.38147,BinanceCoin
18-11-2023,245.03657385,178089266.233984,37700383861.212425,BinanceCoin
17-11-2023,244.90334907,280512356.522179,37679886409.356224,BinanceCoin
16-11-2023,242.83052808,390280534.814657,37360970153.428764,BinanceCoin
15-11-2023,253.78218442,373418083.595667,39045949833.75184,BinanceCoin
14-11-2023,242.24307491,371106773.237824,37270586869.17933,BinanceCoin
13-11-2023,240.85866126,351736548.565487,37057586315.41084,BinanceCoin
12-11-2023,247.64121629,240798135.478079,38101124119.32728,BinanceCoin
11-11-2023,251.68301253,294338953.165976,38722979328.23888,BinanceCoin
10-11-2023,251.1835483,338501897.536601,38646133684.87782,BinanceCoin
09-11-2023,251.57562147,516867750.029773,38706456553.709946,BinanceCoin
08-11-2023,246.80107974,215314055.409098,37971863944.29516,BinanceCoin
07-11-2023,246.38912977,336727042.79139,37908482908.34481,BinanceCoin
06-11-2023,255.03511231,323324435.593375,39238720495.301216,BinanceCoin
05-11-2023,244.18232658,228768859.698589,37568952666.132675,BinanceCoin
04-11-2023,237.37666879,146936949.499825,36521860360.28012,BinanceCoin
03-11-2023,230.47681281,189625536.948086,35460275083.69507,BinanceCoin
02-11-2023,231.79362037,300974003.649823,35662874025.44519,BinanceCoin
01-11-2023,228.03586975,218287157.594755,35084720981.23938,BinanceCoin
31-10-2023,226.50117176,169879827.576931,34848598258.171646,BinanceCoin
30-10-2023,228.12941182,148550657.547729,35099113004.847145,BinanceCoin
29-10-2023,227.18095408,100282103.460232,34953186947.51614,BinanceCoin
28-10-2023,225.75453866,123431067.289331,34733724163.80413,BinanceCoin
27-10-2023,224.47699426,313640246.761945,34537166100.27564,BinanceCoin
26-10-2023,223.13993993,237647079.808096,34331452069.187912,BinanceCoin
25-10-2023,222.20428509,213040474.69402,34187495817.80693,BinanceCoin
24-10-2023,225.06427684,360389784.831896,34627523136.93848,BinanceCoin
23-10-2023,228.44508348,300538869.763999,35147681029.91069,BinanceCoin
22-10-2023,217.77626967,195034334.594876,33506218413.476746,BinanceCoin
21-10-2023,214.29003264,188604806.337845,32969839405.175194,BinanceCoin
20-10-2023,212.13320291,240346360.633189,32637997886.25611,BinanceCoin
19-10-2023,211.27807206,194614569.75408,32506430746.32768,BinanceCoin
18-10-2023,210.37503732,180057401.409233,32367493297.803726,BinanceCoin
17-10-2023,211.70747898,249112977.893761,32572497641.341072,BinanceCoin
16-10-2023,214.77377483,471906825.820123,33044266116.32701,BinanceCoin
15-10-2023,209.7335765,220573635.874424,32268800606.04948,BinanceCoin
14-10-2023,206.61136343,106736682.580078,31788428923.761505,BinanceCoin
13-10-2023,206.02644982,224849954.842846,31698436368.06249,BinanceCoin
12-10-2023,205.18949764,209370628.834553,31569666127.897472,BinanceCoin
11-10-2023,206.44910246,260217108.319635,31763464074.719208,BinanceCoin
10-10-2023,208.62758565,362509039.719527,32098637111.17273,BinanceCoin
09-10-2023,205.69729366,317764896.450424,31647793668.376995,BinanceCoin
08-10-2023,211.38408611,170516568.883043,32522741659.94343,BinanceCoin
07-10-2023,212.42200184,105668615.872496,32682431378.20608,BinanceCoin
06-10-2023,213.62292745,172901659.179487,32867201169.259407,BinanceCoin
05-10-2023,210.63789931,208430727.683722,32407936231.23244,BinanceCoin
04-10-2023,213.32687485,245537180.758211,32821651655.818916,BinanceCoin
03-10-2023,213.34805704,185215174.664484,32824910666.484188,BinanceCoin
02-10-2023,214.59463841,341740223.486652,33016704876.478367,BinanceCoin
01-10-2023,217.99507031,247508092.406727,33539882236.663296,BinanceCoin
30-09-2023,214.67220658,139111598.282024,33028639216.68106,BinanceCoin
29-09-2023,215.23159464,226452675.609966,33114704509.05569,BinanceCoin
28-09-2023,214.92025894,224236315.058969,33066803596.82861,BinanceCoin
27-09-2023,211.83092589,236640886.89297,32591490707.9484,BinanceCoin
26-09-2023,212.4854049,193675191.429383,32692186328.430077,BinanceCoin
25-09-2023,209.83769782,212461265.452204,32284820310.741364,BinanceCoin
24-09-2023,208.28030009,137509720.992227,32045205092.9878,BinanceCoin
23-09-2023,210.67612749,104159563.078335,32413817871.918262,BinanceCoin
