Date,Price,Volume,Market_cap,crypto_name
26-02-2024,274.6787425,86071408.711447,5398208078.9393835,BitcoinCash
25-02-2024,267.89532547,51664825.543871,5264680582.865059,BitcoinCash
24-02-2024,267.66540425,53572157.729774,5259922943.664873,BitcoinCash
23-02-2024,264.72310477,68155152.035886,5201863580.476953,BitcoinCash
22-02-2024,260.16891563,70348401.743455,5112122412.589719,BitcoinCash
21-02-2024,262.91825015,84760771.430068,5165908129.892595,BitcoinCash
20-02-2024,265.50404665,138176015.852114,5216479113.319077,BitcoinCash
19-02-2024,273.24441267,69020184.746997,5368332188.543817,BitcoinCash
18-02-2024,270.38696118,49729488.62631,5311939405.315077,BitcoinCash
17-02-2024,267.36279622,86032634.543505,5252281947.575514,BitcoinCash
16-02-2024,274.93794424,169035506.851624,5400858609.586629,BitcoinCash
15-02-2024,270.72368222,193025286.861002,5317823569.935323,BitcoinCash
14-02-2024,281.11369499,219920829.032725,5521594757.933875,BitcoinCash
13-02-2024,270.67526082,146213384.789804,5316356453.96349,BitcoinCash
12-02-2024,280.85572916,258632109.661227,5516083727.017404,BitcoinCash
11-02-2024,276.57785193,384904921.341529,5431810936.397059,BitcoinCash
10-02-2024,247.60035692,49322553.015967,4862437683.67818,BitcoinCash
09-02-2024,250.41697547,80649404.663145,4917535158.0745535,BitcoinCash
08-02-2024,244.44334219,55912766.614763,4800017774.791383,BitcoinCash
07-02-2024,240.51792126,41778920.003924,4722727199.055038,BitcoinCash
06-02-2024,235.15600801,58657834.027063,4617235282.80302,BitcoinCash
05-02-2024,235.4280113,51805029.246925,4622364120.999622,BitcoinCash
04-02-2024,235.05977682,80577012.289458,4614924166.563986,BitcoinCash
03-02-2024,240.35078863,55260421.375743,4718560648.782935,BitcoinCash
02-02-2024,236.22347538,43821944.801084,4637351741.850672,BitcoinCash
01-02-2024,236.63084318,60590973.865088,4645091527.038706,BitcoinCash
31-01-2024,234.27175341,74254361.022926,4598568542.098285,BitcoinCash
30-01-2024,237.7347095,62860586.01466,4666332631.4893465,BitcoinCash
29-01-2024,241.312597,63097796.347248,4736349398.849854,BitcoinCash
28-01-2024,236.9752331,63064327.78454,4651012161.086056,BitcoinCash
27-01-2024,243.81713129,69485732.925065,4785095563.136694,BitcoinCash
26-01-2024,242.08432302,62461927.71258,4750860936.435343,BitcoinCash
25-01-2024,236.68823595,74845510.335996,4644771397.212645,BitcoinCash
24-01-2024,236.45947292,83033348.573166,4640066380.760074,BitcoinCash
23-01-2024,229.18155967,116214550.476083,4497019161.082477,BitcoinCash
22-01-2024,234.88514418,124080704.320993,4608741579.089233,BitcoinCash
21-01-2024,236.95192974,51248381.270952,4649048670.213076,BitcoinCash
20-01-2024,238.93092844,48344426.988043,4687673966.223737,BitcoinCash
19-01-2024,236.53083767,85981076.411341,4640383170.921927,BitcoinCash
18-01-2024,237.41712059,83521458.640292,4657557048.006751,BitcoinCash
17-01-2024,244.04826421,93997290.802971,4787404780.909279,BitcoinCash
16-01-2024,251.27358877,87328117.191796,4914774740.338818,BitcoinCash
15-01-2024,250.31343115,88691299.772394,4895994579.533539,BitcoinCash
14-01-2024,246.38053643,93178281.31555,4819069297.687733,BitcoinCash
13-01-2024,254.57243852,122882247.525976,4979298447.351441,BitcoinCash
12-01-2024,259.68817797,311497609.888911,5079359528.730443,BitcoinCash
11-01-2024,276.45553796,290887297.025863,5407319971.173548,BitcoinCash
10-01-2024,254.17631893,139618802.853008,4971550563.56394,BitcoinCash
09-01-2024,245.1267264,142771849.793992,4794545455.456,BitcoinCash
08-01-2024,254.30329729,168194767.213653,4974034191.342321,BitcoinCash
07-01-2024,232.13163405,63519101.076639,4540368516.40583,BitcoinCash
06-01-2024,236.11498238,87098502.355483,4618280643.36144,BitcoinCash
05-01-2024,239.42612024,114704292.615311,4683044699.273148,BitcoinCash
04-01-2024,239.91493109,92473217.650948,4692605573.673834,BitcoinCash
03-01-2024,234.06771226,182059816.570607,4578237153.354121,BitcoinCash
02-01-2024,256.70449588,111540364.496411,5021000329.869817,BitcoinCash
01-01-2024,266.68431048,93936544.446337,5216200075.797526,BitcoinCash
31-12-2023,259.70302018,116730231.875997,5079649834.280135,BitcoinCash
30-12-2023,271.41937996,268684175.601784,5308815459.736804,BitcoinCash
29-12-2023,254.54238924,186086124.016991,4978710699.83543,BitcoinCash
28-12-2023,262.35407662,290306394.806289,5131503056.566874,BitcoinCash
27-12-2023,264.4482888,287532911.698424,5172464707.767039,BitcoinCash
26-12-2023,229.30920445,101271629.085141,4485163328.381456,BitcoinCash
25-12-2023,234.8442531,70675380.375811,4593425869.749324,BitcoinCash
24-12-2023,229.34066548,59932703.846179,4485778689.051181,BitcoinCash
23-12-2023,233.38992583,73009157.953497,4564980019.282475,BitcoinCash
22-12-2023,238.68828656,97902575.859062,4668613073.756882,BitcoinCash
21-12-2023,233.07781292,54431275.123845,4558875260.530076,BitcoinCash
20-12-2023,229.52154989,96945777.114677,4489316689.8708935,BitcoinCash
19-12-2023,225.05312928,61418525.239726,4401916812.82708,BitcoinCash
18-12-2023,227.98863618,70769104.862734,4459333731.318641,BitcoinCash
17-12-2023,225.94801963,47147494.188606,4419420381.315103,BitcoinCash
16-12-2023,229.53024507,49753106.527599,4489486762.759693,BitcoinCash
15-12-2023,227.18551619,66354609.454132,4443625141.109241,BitcoinCash
14-12-2023,237.11933366,68642688.277256,4637925208.31062,BitcoinCash
13-12-2023,235.50812129,82927255.074196,4606410770.592125,BitcoinCash
12-12-2023,231.83596073,70283747.16991,4534585307.16522,BitcoinCash
11-12-2023,230.49821713,131305688.644891,4508419769.893405,BitcoinCash
10-12-2023,250.92958563,48046605.535211,4908046226.009746,BitcoinCash
09-12-2023,252.74448904,88044667.093399,4943544749.670056,BitcoinCash
08-12-2023,253.94998223,71153409.578746,4967123540.93667,BitcoinCash
07-12-2023,247.13433855,78480719.653705,4833813257.1082535,BitcoinCash
06-12-2023,244.56910513,180224089.113046,4783638686.704324,BitcoinCash
05-12-2023,251.48916072,127079611.176184,4918991210.474889,BitcoinCash
04-12-2023,251.28435793,289533552.856307,4914985379.185129,BitcoinCash
03-12-2023,230.18051467,59677367.127024,4502205682.424639,BitcoinCash
02-12-2023,228.13549192,40494913.08795,4462206149.72438,BitcoinCash
01-12-2023,225.23786766,27985679.444173,4405530194.964309,BitcoinCash
30-11-2023,221.59328904,25110407.960826,4334244219.404709,BitcoinCash
29-11-2023,223.14570337,33831415.745552,4364608599.377125,BitcoinCash
