Date,Price,Volume,Market_cap,crypto_name
26-02-2024,0.68944438,20905582.903117,461781263.71784365,Terra
25-02-2024,0.69332523,31573807.470601,463784729.36425126,Terra
24-02-2024,0.66532188,13072535.815838,444436172.9351848,Terra
23-02-2024,0.65166344,18648938.188588,434750648.6751277,Terra
22-02-2024,0.66060229,20463418.037279,440142983.87706435,Terra
21-02-2024,0.66892766,53060388.706972,445072234.6574795,Terra
20-02-2024,0.6861551,48892586.424851,455943410.14409685,Terra
19-02-2024,0.71496566,42487681.699807,474426555.63688886,Terra
18-02-2024,0.71407044,23534503.143735,473218126.58050895,Terra
17-02-2024,0.71363397,34035384.672504,472270342.6294863,Terra
16-02-2024,0.71538427,46743628.228006,472811759.1084609,Terra
15-02-2024,0.73107773,148646419.445597,482551202.4157973,Terra
14-02-2024,0.69135652,44131743.312324,455692532.6913102,Terra
13-02-2024,0.66088252,30249956.63011,435037728.0602684,Terra
12-02-2024,0.67458653,37275701.714023,443476944.3051692,Terra
11-02-2024,0.66056378,25255412.658199,433566703.34282273,Terra
10-02-2024,0.68381129,45935331.669303,448320142.5783318,Terra
09-02-2024,0.66838689,35502389.401085,437590303.502652,Terra
08-02-2024,0.65826648,44962206.450755,430396918.882946,Terra
07-02-2024,0.65957811,40233294.908626,430686543.1562525,Terra
06-02-2024,0.64110621,26276389.45807,418034482.9936776,Terra
05-02-2024,0.63098477,29791394.834024,410893544.23258376,Terra
04-02-2024,0.62877637,54430122.881013,408877669.32791984,Terra
03-02-2024,0.6595669,50642310.067674,428332776.5441871,Terra
02-02-2024,0.61964616,19294738.316214,401836747.35233927,Terra
01-02-2024,0.60661341,22553665.687813,392863905.4484164,Terra
31-01-2024,0.60210704,31946309.036511,389428307.152626,Terra
30-01-2024,0.62615497,29496746.673115,404405807.28528327,Terra
29-01-2024,0.64721401,29665822.215503,417451520.38058394,Terra
28-01-2024,0.63676488,27750321.228947,410125031.28813165,Terra
27-01-2024,0.65221486,75303201.787691,419031290.9127753,Terra
26-01-2024,0.61587325,27875910.489995,395605678.5536808,Terra
25-01-2024,0.5878343,28541825.96914,377086195.1419205,Terra
24-01-2024,0.59931894,27763440.65637,383936532.86812335,Terra
23-01-2024,0.58343512,37673773.803938,372618202.69449455,Terra
22-01-2024,0.59025747,46438661.19089,377077875.2646952,Terra
21-01-2024,0.64619774,21775479.898654,412219067.13629526,Terra
20-01-2024,0.66032912,24191470.999138,420665842.68047935,Terra
19-01-2024,0.65792194,43425661.731918,418566155.7171223,Terra
18-01-2024,0.68966414,43481697.051666,438124443.50495815,Terra
17-01-2024,0.73118687,30050472.370976,463625777.54586303,Terra
16-01-2024,0.74426719,38312534.648654,430563211.86514413,Terra
15-01-2024,0.73317554,44938273.030161,424146621.23356485,Terra
14-01-2024,0.71843781,43675163.877009,415620753.27368623,Terra
13-01-2024,0.75388456,71752981.667988,436126919.70197743,Terra
12-01-2024,0.69929637,61820681.806714,404547309.45094806,Terra
11-01-2024,0.7296352,46829692.8268,422098512.62183905,Terra
10-01-2024,0.72645465,57359556.179245,420258547.0831637,Terra
09-01-2024,0.67330043,42611920.691319,389508495.18225074,Terra
08-01-2024,0.72468784,49189003.277945,419236435.07919407,Terra
07-01-2024,0.66035193,27507063.11227,382017706.3605671,Terra
06-01-2024,0.69938587,34090091.12525,404599088.7991016,Terra
05-01-2024,0.72457032,57729231.714487,419168448.0880313,Terra
04-01-2024,0.75845934,42028023.095548,438773455.0485392,Terra
03-01-2024,0.69946932,92348671.854982,404647360.6966096,Terra
02-01-2024,0.8364747,37934761.923069,483905831.1166457,Terra
01-01-2024,0.86121098,28497788.99616,498215918.8121404,Terra
31-12-2023,0.82895949,43353142.952372,479558233.47952175,Terra
30-12-2023,0.86098385,29572229.195233,498084527.41064227,Terra
29-12-2023,0.85232696,44762761.703269,493076459.4399488,Terra
28-12-2023,0.87300135,58394355.887301,505036725.91473526,Terra
27-12-2023,0.91765633,40637231.901839,530869907.4955033,Terra
26-12-2023,0.90512552,69222707.007831,523620758.5107778,Terra
25-12-2023,0.9715595,51881726.182612,562053229.9286069,Terra
24-12-2023,0.95067044,46289551.493923,549968776.7714821,Terra
23-12-2023,0.97783031,48388900.308327,565680932.2551533,Terra
22-12-2023,1.00475508,98506018.017531,581257079.3380356,Terra
21-12-2023,0.96346777,54644967.278305,557372112.2548016,Terra
20-12-2023,0.94311122,56790208.658966,545595719.4219508,Terra
19-12-2023,0.954769,122726653.454432,552339816.7752159,Terra
18-12-2023,0.90248556,53796924.671959,522093524.12192416,Terra
17-12-2023,0.94264413,38452957.845974,545325505.3442018,Terra
16-12-2023,0.9652257,54559576.980416,558389085.6132036,Terra
15-12-2023,0.93651914,53570227.789397,541782161.6989969,Terra
14-12-2023,1.00193363,72911737.051339,579624853.0643896,Terra
13-12-2023,1.00043454,88302406.068719,578757618.0622984,Terra
12-12-2023,0.97371103,79908007.532796,563297902.753764,Terra
11-12-2023,0.96059279,116408814.801484,555708920.858902,Terra
10-12-2023,1.08266348,258971172.307574,626327575.716854,Terra
09-12-2023,0.9591807,76987380.601088,554892015.2886521,Terra
08-12-2023,1.03979998,85248501.182104,601530768.6203471,Terra
07-12-2023,0.99775369,108830984.095416,577206732.0597855,Terra
06-12-2023,1.03844701,159199560.858503,600748070.5865971,Terra
05-12-2023,1.15119301,304461137.859692,665972332.2529596,Terra
04-12-2023,1.21333402,728242551.173653,701921296.018352,Terra
03-12-2023,0.88476969,92225246.765717,511844781.4729433,Terra
02-12-2023,0.80498736,86392024.600141,465690208.52089745,Terra
01-12-2023,0.79639674,116544453.391305,460720479.7390373,Terra
30-11-2023,0.73487914,55670024.131483,425132164.09522545,Terra
29-11-2023,0.74958001,130633157.969576,433636708.69550174,Terra
28-11-2023,0.75451579,150551362.801853,436492091.55455375,Terra
27-11-2023,0.74082009,418191100.115093,428569041.2862885,Terra
26-11-2023,0.78068233,339614223.885008,451629595.7442761,Terra
25-11-2023,0.66852613,70355710.564754,386746535.9214838,Terra
24-11-2023,0.63238381,35044806.18856,365837977.0649388,Terra
23-11-2023,0.63233233,42888412.450081,365808194.4490696,Terra
22-11-2023,0.6332602,77036901.652346,366344971.40191126,Terra
21-11-2023,0.56954248,49474772.973488,329483874.6066621,Terra
20-11-2023,0.62205531,32744370.758973,359862873.24635,Terra
19-11-2023,0.65374797,34876172.147368,378197277.30552834,Terra
18-11-2023,0.64277528,64523680.110752,371849504.548414,Terra
17-11-2023,0.64986044,65927590.783016,375948313.6620211,Terra
16-11-2023,0.68964407,85432098.145306,398963394.96670216,Terra
15-11-2023,0.75252917,97919111.940099,435342814.33108413,Terra
14-11-2023,0.704751,73490240.808756,407531151.9095335,Terra
13-11-2023,0.72643851,151995267.49015,419409072.22177017,Terra
12-11-2023,0.79709628,215787731.600147,459524615.85619766,Terra
11-11-2023,0.7212297,347413602.509155,415130358.44624734,Terra
10-11-2023,0.84136449,705285215.160517,483562463.924328,Terra
09-11-2023,0.48248717,82277463.604198,276891438.011587,Terra
08-11-2023,0.48164335,35598536.620019,275967746.1948525,Terra
07-11-2023,0.46653513,24038066.612439,266915019.33220068,Terra
06-11-2023,0.47902175,26958802.866383,273622675.1914177,Terra
05-11-2023,0.45620503,18629577.199945,260202095.2468478,Terra
04-11-2023,0.44922383,19760138.597475,255810791.36043143,Terra
03-11-2023,0.44471891,26937274.519041,252868025.73511752,Terra
02-11-2023,0.45007922,22044033.856601,255505809.18338627,Terra
01-11-2023,0.46301997,25633003.310583,262459538.4810092,Terra
31-10-2023,0.45580587,21204450.488304,257955974.51095068,Terra
30-10-2023,0.47823912,30522347.318356,270245733.80691457,Terra
29-10-2023,0.46992826,20401347.014597,265121753.55369064,Terra
28-10-2023,0.47382184,40134693.00499,266915132.55323613,Terra
27-10-2023,0.441713,18233477.454536,248424234.5836264,Terra
26-10-2023,0.45107869,42358774.877851,253308211.39472285,Terra
25-10-2023,0.45689752,65942763.29046,256186848.00321928,Terra
24-10-2023,0.44095482,62487549.0203,180702774.90640765,Terra
23-10-2023,0.43155868,30755111.364378,176485295.97525066,Terra
22-10-2023,0.41528247,19228665.088954,169451130.17400435,Terra
21-10-2023,0.41519278,30777582.230445,169061849.99827173,Terra
20-10-2023,0.40490831,23331102.000483,164505653.15798637,Terra
19-10-2023,0.39293598,20495913.912321,159308117.8822442,Terra
18-10-2023,0.40536171,17997877.399465,163976525.82838207,Terra
17-10-2023,0.41067836,29351801.65805,165770492.85189068,Terra
16-10-2023,0.43012087,43555352.556876,173253000.15381175,Terra
15-10-2023,0.40999938,16643515.765976,164774889.95897046,Terra
14-10-2023,0.40234971,7710199.062332,161359205.17023212,Terra
13-10-2023,0.40414422,11581176.57611,161735496.37142277,Terra
12-10-2023,0.40265856,11141655.872219,160774282.4633475,Terra
11-10-2023,0.40370246,16417561.144024,160848086.10406002,Terra
10-10-2023,0.40511168,24083888.263123,161054971.04933766,Terra
09-10-2023,0.40450595,21854425.214079,160472180.6791905,Terra
08-10-2023,0.42477706,12167832.491945,168126328.5329962,Terra
07-10-2023,0.43733278,12024997.920325,172724415.2040076,Terra
06-10-2023,0.44113992,20656843.220856,173851226.35294372,Terra
05-10-2023,0.42859994,19369497.706888,168518309.2505017,Terra
04-10-2023,0.44062753,30434785.067017,172873280.5277094,Terra
03-10-2023,0.45269855,31505463.679951,177197723.29395425,Terra
02-10-2023,0.46917613,59197566.039092,183249092.7513089,Terra
01-10-2023,0.49521271,36117527.371657,192967585.96833244,Terra
30-09-2023,0.48083596,42606580.624507,186956567.98890013,Terra
29-09-2023,0.49257953,55482823.436034,191103933.39693323,Terra
28-09-2023,0.52931981,136659987.526113,204875557.02162585,Terra
27-09-2023,0.55514798,248452991.836606,214399933.56584305,Terra
26-09-2023,0.44636771,41536939.751766,171982056.28326562,Terra
25-09-2023,0.4114139,26329941.629494,158163686.82546994,Terra
24-09-2023,0.4052117,47752953.227862,155431336.7738175,Terra
