Date,Price,Volume,Market_cap,crypto_name
26-02-2024,54490.71190535,18263643223.040623,1070125000192.8116,Bitcoin
25-02-2024,51735.22921957,6653402773.255789,1015968981540.994,Bitcoin
24-02-2024,51565.46917763,5962552422.385099,1012582403676.8044,Bitcoin
23-02-2024,50820.15328452,10940855729.227415,997902293808.0304,Bitcoin
22-02-2024,51320.8017772,13687033806.523186,1007683583649.794,Bitcoin
21-02-2024,51738.08993894,15154438777.231953,1015832435550.992,Bitcoin
20-02-2024,52300.02524986,18280057887.70388,1026819784536.9023,Bitcoin
19-02-2024,51797.6697605,10592990897.65991,1016911276864.2546,Bitcoin
18-02-2024,52087.17875871,7926605393.280917,1022551377027.2568,Bitcoin
17-02-2024,51686.85047979,9677488925.375822,1014652570419.372,Bitcoin
16-02-2024,52207.96535213,13938923251.151785,1024833849964.0244,Bitcoin
15-02-2024,51960.82102303,19715323777.79788,1019939579390.9594,Bitcoin
14-02-2024,51838.75253901,19502630738.001408,1017490049899.4436,Bitcoin
13-02-2024,49727.50421476,18067807407.247498,976008239526.1888,Bitcoin
12-02-2024,49990.33978785,19774045578.339703,981125405778.3348,Bitcoin
11-02-2024,48195.76828037,10729231940.199951,945844024920.3496,Bitcoin
10-02-2024,47734.13894659,8946206047.393436,936749922144.106,Bitcoin
09-02-2024,47143.29796522,23227078402.60452,925110001845.4032,Bitcoin
08-02-2024,45316.31901037,14867498245.8613,889212944231.0344,Bitcoin
07-02-2024,44307.40002301,11845186708.106527,869377339399.7446,Bitcoin
06-02-2024,43079.10611357,9258767755.64514,845232782998.3018,Bitcoin
05-02-2024,42649.37173579,10443640300.360882,836755083833.1677,Bitcoin
04-02-2024,42567.03990652,5761274392.101059,835099599456.2329,Bitcoin
03-02-2024,42992.43786319,4224834581.282743,843403848833.9985,Bitcoin
02-02-2024,43141.8889782,9917499266.995708,846294461390.8424,Bitcoin
01-02-2024,43071.84665904,11597021679.78132,844869864225.6302,Bitcoin
31-01-2024,42601.07225272,14048786279.722675,835595536620.4862,Bitcoin
30-01-2024,42960.86792073,13127821572.12578,842615904302.2478,Bitcoin
29-01-2024,43281.70482407,9442810955.714314,848870789231.0282,Bitcoin
28-01-2024,42042.85155889,8321443000.689816,824532296431.7883,Bitcoin
27-01-2024,42146.8193232,5056420834.414387,826528882582.4087,Bitcoin
26-01-2024,41884.8020487,13696429833.78752,821346015300.7198,Bitcoin
25-01-2024,39936.91433854,9517224909.276676,783110213388.7079,Bitcoin
