Date,Price,Volume,Market_cap
26-02-2024,0.61929202,285801043.620208,22701335416.86473
25-02-2024,0.59167429,145110762.962285,21680411612.667267
24-02-2024,0.59678314,167939567.358375,21867612740.203987
23-02-2024,0.58387655,200654141.574764,21394683292.254593
22-02-2024,0.58692088,216784216.615283,21497858855.033924
21-02-2024,0.59811183,250452611.831761,21907763409.051952
20-02-2024,0.62316814,388998489.417134,22825531054.36544
19-02-2024,0.632396,308694165.338163,23163531092.535427
18-02-2024,0.61909092,336747389.495921,22676189579.9049
17-02-2024,0.60745003,201626783.411008,22249804754.373272
16-02-2024,0.59932994,246150120.563534,21952380518.2652
15-02-2024,0.60823835,394407791.188056,22278679547.576286
14-02-2024,0.5769795,285434721.126668,21125486215.848827
13-02-2024,0.54516456,225232090.474276,19960616426.93476
12-02-2024,0.5595806,246799748.828098,20488444423.780094
11-02-2024,0.54146308,273825219.149925,19825090718.408257
10-02-2024,0.55121111,200824447.089062,20182004305.055004
09-02-2024,0.54036153,267911643.550611,19777089994.19482
08-02-2024,0.52883831,367481520.697066,19355343139.97453
07-02-2024,0.50196601,274894127.647408,18371824117.49009
06-02-2024,0.49832439,127199875.698992,18238541513.146786
05-02-2024,0.49310398,135809115.034496,18040575810.39744
04-02-2024,0.49428041,113869886.902337,18083616420.716854
03-02-2024,0.51238513,122895375.70452,18738622951.000187
02-02-2024,0.5136155,205735486.398509,18783619185.861942
01-02-2024,0.50721771,201834662.813718,18549643090.74472
31-01-2024,0.49844769,255289147.349055,18228911666.923466
30-01-2024,0.51586548,242524640.002892,18865903812.062813
29-01-2024,0.52550134,235943230.768294,19218300578.85301
28-01-2024,0.48997809,167953806.601082,17919166954.98429
27-01-2024,0.48606795,111572388.574104,17769224462.061096
26-01-2024,0.4855052,186447896.456679,17748652110.792328
25-01-2024,0.46664372,170902482.761941,17059131449.681978
24-01-2024,0.4765326,201213359.332572,17420639770.614258
23-01-2024,0.47591822,285035057.612876,17398179990.39955
22-01-2024,0.47775919,224677931.34098,17465480458.763386
21-01-2024,0.50289378,109838950.991562,18377095416.600143
20-01-2024,0.51566263,172956711.194814,18843703598.62425
19-01-2024,0.50350163,226735612.855403,18399307747.736725
18-01-2024,0.50163556,190223472.222344,18331116478.95301
17-01-2024,0.52718904,134587984.62949,19264909616.116608
16-01-2024,0.53559212,151678811.587608,19468919886.118744
15-01-2024,0.52799275,140128367.53494,19192680816.91056
14-01-2024,0.5267171,146466388.178276,19146310378.55337
13-01-2024,0.54963946,159826861.12839,19979544449.90826
12-01-2024,0.54797436,311711058.413355,19919017797.475563
11-01-2024,0.58158093,585113743.243345,21140625814.532597
10-01-2024,0.56669542,552511297.336102,20599533154.197163
09-01-2024,0.51086137,335887412.824671,18569950479.957973
08-01-2024,0.54082066,421100831.706093,19658978667.2318
07-01-2024,0.49382153,183064389.731204,17950547582.917427
06-01-2024,0.52303241,228986544.498457,19012370964.4216
05-01-2024,0.54048213,330016076.503775,19646673024.91432
04-01-2024,0.57039771,292663950.265029,20734112594.77722
03-01-2024,0.55714197,596051439.998426,20252262749.99661
02-01-2024,0.60561068,317623920.691868,22014113447.591988
01-01-2024,0.62320551,166931996.998618,22653690567.347656
31-12-2023,0.59324672,187367293.579711,21564680286.388054
30-12-2023,0.60208509,186288355.52043,21885957357.537598
29-12-2023,0.60842952,363711553.9416,22116579369.180874
28-12-2023,0.61657225,624201085.737149,22412569732.37018
27-12-2023,0.63349067,446073961.264844,23027558938.65777
26-12-2023,0.60894634,425308505.25176,22135365905.4464
25-12-2023,0.62514863,305851048.432353,22724323444.15058
24-12-2023,0.59351668,353207847.465276,21574493578.58718
23-12-2023,0.61455018,235908143.124473,22339067014.08845
22-12-2023,0.62395701,410982033.52239,22681007898.434326
21-12-2023,0.63615363,397913318.298197,23124358127.931847
20-12-2023,0.58900567,341971567.529056,21410516791.677647
19-12-2023,0.57589821,329080514.212832,20934057184.37114
18-12-2023,0.60096564,331991235.27329,21845265096.680386
17-12-2023,0.5805048,220816785.43344,21101507865.076653
16-12-2023,0.60658655,283419184.959056,22049586922.348927
15-12-2023,0.60274666,415302977.006182,21910005526.809563
14-12-2023,0.6423969,681976816.22796,23351302913.281406
13-12-2023,0.66390188,1015733832.234558,24133014796.82104
12-12-2023,0.57634621,617355756.752144,20950342003.318123
11-12-2023,0.55046168,700458842.097307,20009432379.72135
10-12-2023,0.59431348,585625400.606293,21603457310.21434
09-12-2023,0.57888128,1224171540.89868,21042492629.571545
08-12-2023,0.54623792,945975172.862084,19855897743.468445
07-12-2023,0.45658083,284188147.321001,16596837814.459564
06-12-2023,0.44247744,396920109.25059,16084175884.35889
05-12-2023,0.42556325,245117484.08595,15469340519.111078
04-12-2023,0.40716923,250013387.600089,14800712660.8389
03-12-2023,0.39539647,131382588.935433,14372769773.708614
02-12-2023,0.39799979,94956176.122185,14467401156.530218
01-12-2023,0.38425233,98037725.279991,13967677241.551731
30-11-2023,0.37601468,99527430.290453,13668236484.885592
29-11-2023,0.38151214,111492345.342298,13868070384.121696
28-11-2023,0.38568141,125680075.860032,14019624559.847551
27-11-2023,0.37779027,103553943.727148,13732779325.746351
26-11-2023,0.38809208,102579689.841631,14107253074.905125
25-11-2023,0.39444584,89720261.267949,14338213939.980885
24-11-2023,0.38615254,164626918.113819,14036750385.894268
23-11-2023,0.38651056,99907438.047779,14049764316.24269
22-11-2023,0.3803153,129111942.571057,13824565194.507496
21-11-2023,0.3589225,213716070.282681,13046930795.5826
20-11-2023,0.38019406,203350308.600255,13820157866.443249
19-11-2023,0.38465676,127587909.135147,13982378120.274763
18-11-2023,0.37745901,161223945.915523,13720738118.09304
17-11-2023,0.36712776,194192369.046368,13345194399.848194
16-11-2023,0.37103737,398967974.385444,13487309585.467464
15-11-2023,0.37899316,194386865.468947,13776504874.231974
14-11-2023,0.35771479,209150640.028208,13003030281.841124
13-11-2023,0.35743614,189156073.31872,12992901467.116287
12-11-2023,0.3836993,181593583.14705,13947574191.684635
11-11-2023,0.38445845,274732743.57087,13969383473.10036
10-11-2023,0.38623783,265376768.111046,14034037428.717474
09-11-2023,0.36832182,355969565.658114,13383055491.742289
08-11-2023,0.35785614,163308138.322476,13002782705.482525
07-11-2023,0.35149738,242479613.488957,12771735479.418337
06-11-2023,0.36276169,235130016.270858,13175573343.632608
