Date,Name,Market Cap,Price,Circulating Supply,Symbol
01-01-2019,Bitcoin,"$67,098,634,180.61","$3,843.52","17,457,600",BTC
01-01-2019,XRP,"$14,880,496,657.82",$0.3648,"40,794,121,066",XRP
01-01-2019,Ethereum,"$14,665,318,369.58",$140.82,"104,142,732",ETH
01-01-2019,Bitcoin Cash,"$2,892,087,607.88",$164.85,"17,543,263",BCH
01-01-2019,EOS,"$2,413,813,876.21",$2.6635,"906,245,118",EOS
01-01-2019,Stellar,"$2,221,377,985.38",$0.1159,"19,161,366,563",XLM
01-01-2019,Litecoin,"$1,913,387,273.89",$31.98,"59,830,877",LTC
01-01-2019,Tether,"$1,892,772,546.78",$1.0183,"1,858,694,256",USDT
01-01-2019,Bitcoin SV,"$1,616,381,094.86",$92.14,"17,542,223",BSV
01-01-2019,TRON,"$1,303,479,300.08",$0.01956,"66,635,727,527",TRX
01-01-2019,Cardano,"$1,103,113,660.39",$0.04255,"25,927,070,538",ADA
01-01-2019,IOTA,"$1,026,158,620.95",$0.3692,"2,779,530,283",MIOTA
01-01-2019,Monero,"$807,214,006.71",$48.37,"16,689,183",XMR
01-01-2019,Binance Coin,"$794,641,453.82",$6.0753,"130,799,308",BNB
01-01-2019,Dash,"$692,537,856.94",$81.05,"8,544,455",DASH
01-01-2019,NEM,"$595,065,819.42",$0.06612,"8,999,999,999",XEM
01-01-2019,Ethereum Classic,"$560,395,113.51",$5.2273,"107,206,270",ETC
01-01-2019,Neo,"$511,301,110.82",$7.8662,"65,000,000",NEO
01-01-2019,Maker,"$336,000,438.21",$461.39,"728,228",MKR
01-01-2019,Zcash,"$333,412,877.94",$59.75,"5,580,344",ZEC
02-01-2019,Bitcoin,"$68,849,856,731.67","$3,943.41","17,459,475",BTC
02-01-2019,Ethereum,"$16,150,049,902.42",$155.05,"104,161,831",ETH
02-01-2019,XRP,"$15,307,691,624.00",$0.3752,"40,794,121,066",XRP
02-01-2019,Bitcoin Cash,"$3,014,732,747.34",$171.83,"17,545,125",BCH
02-01-2019,EOS,"$2,616,899,859.15",$2.8876,"906,245,118",EOS
02-01-2019,Stellar,"$2,286,718,690.17",$0.1193,"19,162,755,952",XLM
02-01-2019,Litecoin,"$2,000,859,669.00",$33.43,"59,845,627",LTC
02-01-2019,Tether,"$1,908,446,133.84",$1.0240,"1,863,694,256",USDT
02-01-2019,Bitcoin SV,"$1,664,647,783.18",$94.88,"17,544,073",BSV
02-01-2019,TRON,"$1,347,509,925.82",$0.02022,"66,636,793,748",TRX
02-01-2019,Cardano,"$1,173,420,169.64",$0.04526,"25,927,070,538",ADA
02-01-2019,IOTA,"$1,097,094,205.88",$0.3947,"2,779,530,283",MIOTA
