Date,Price,Volume,Market_cap
26-02-2024,3176.2670336,10250367521.5128,381645755089.7988
25-02-2024,3111.72766233,8249212031.26248,373892822555.74896
24-02-2024,2991.56382066,6571612952.71593,359455962804.6198
23-02-2024,2925.40070284,6832695142.479523,351511591044.765
22-02-2024,2972.46854114,10781083604.715584,357175000244.5513
21-02-2024,2968.74233607,10386250997.168867,356732702503.1612
20-02-2024,3014.19813447,12267672250.983929,362199546637.3155
19-02-2024,2947.75960048,8806859168.343288,354219042805.03625
18-02-2024,2875.27616975,5872147564.481311,345508866824.7549
17-02-2024,2786.94623823,4915759777.948894,334893733751.7888
16-02-2024,2806.71176589,7654952721.113755,337270192400.5633
15-02-2024,2824.69318637,9760546958.463837,339434663776.70984
14-02-2024,2780.72556821,8356841994.20916,334152300808.6692
13-02-2024,2642.30201064,8979840357.430285,317520601813.57245
12-02-2024,2656.75747809,7835917335.735781,319262539349.02264
11-02-2024,2505.27372651,4154723222.123964,301060188701.3278
10-02-2024,2499.56286872,3450671140.742902,300377397388.8682
09-02-2024,2488.25624746,8027331510.38087,299030593689.3428
08-02-2024,2420.24262605,5670986618.174572,290865419407.2637
07-02-2024,2423.75447935,5567436095.936215,291292087074.47345
06-02-2024,2372.1109053,5472844323.199681,285088928365.5444
05-02-2024,2298.60984788,4108343990.035851,276254347437.6712
04-02-2024,2288.2637387,2836698825.37491,275009415440.14856
03-02-2024,2295.99986316,2301241530.285982,275937159047.26434
02-02-2024,2306.28474855,4044713012.78636,277174024834.6374
01-02-2024,2303.41362259,5237599905.991054,276830098216.28754
31-01-2024,2283.9484169,6445782205.326263,274491363873.31168
30-01-2024,2347.66483098,5507517513.830289,282150116496.7058
29-01-2024,2316.71906865,4660898088.2323,278428670279.9007
28-01-2024,2257.90081505,3753201949.66742,271357338651.10837
27-01-2024,2269.3046481,2325461383.544485,272725720106.0753
26-01-2024,2269.73562869,5458863065.059662,272776735451.72607
25-01-2024,2218.43446243,5031562420.181499,266611769976.2501
24-01-2024,2234.92104901,5120919164.5314,268590831972.5674
23-01-2024,2238.56905714,9087437546.020182,269027461237.94525
22-01-2024,2310.11136947,8291107665.401053,277624426777.4941
21-01-2024,2454.24174053,2101453406.099644,294943251516.3096
20-01-2024,2470.95552253,2690904012.203579,296947131572.05414
19-01-2024,2490.47728306,6654291207.928586,299298249701.5791
18-01-2024,2466.95799328,6722171808.590673,296474658361.46027
17-01-2024,2527.74614396,5624942684.955299,303783870111.36285
16-01-2024,2588.68008546,6046709344.957163,311304416732.48627
15-01-2024,2513.36060907,5188450766.016556,302246794743.5397
14-01-2024,2476.76621393,4922510429.316538,297846097684.9764
13-01-2024,2579.4598621,6894662807.179197,310195629181.0033
12-01-2024,2526.55727398,13232568480.00055,303833773410.9594
11-01-2024,2618.79081552,12472283912.955736,314925413901.12885
10-01-2024,2585.04502958,16553858902.8551,310867279305.908
09-01-2024,2343.84240341,8648404766.149738,281861206568.2774
08-01-2024,2332.80595769,8156671879.300281,280534007306.9793
07-01-2024,2222.55534427,3364892753.443413,267275705093.75095
06-01-2024,2241.87348956,3193875179.064484,269598828752.9904
05-01-2024,2268.96300028,6649492071.55166,272856506046.55408
04-01-2024,2272.19904514,6700969368.584893,273245659987.91852
03-01-2024,2211.32674214,11528915153.926989,265925397863.36728
02-01-2024,2356.40821904,7799351312.73833,283372321798.647
01-01-2024,2350.86833469,3136283985.710507,282706117243.2302
31-12-2023,2282.1595325,3303379427.196421,274443468756.38208
30-12-2023,2294.73444473,3222817389.005985,275955677909.5658
29-12-2023,2300.47808622,6157833652.372542,276646385491.1607
28-12-2023,2346.97930878,8394983192.903917,282238438386.2576
27-12-2023,2379.12764956,7111025103.591806,286104470551.30945
26-12-2023,2232.16347835,4962475565.415811,268431141252.68372
25-12-2023,2272.94938444,3661215359.722335,273335892820.8244
24-12-2023,2268.37086435,3902512314.068113,272785298124.34543
23-12-2023,2312.95728084,3499589982.757292,278147084023.0756
22-12-2023,2328.08486651,7663540378.537967,279966267575.6731
21-12-2023,2238.01842341,5584198454.800301,269135233762.71405
20-12-2023,2199.70598555,5517609765.228575,264527931690.51303
19-12-2023,2177.7273198,4551522100.313772,261884864375.24884
18-12-2023,2216.92108775,4594059704.776782,266598151714.89032
17-12-2023,2197.78222701,2744433719.036525,264296588106.288
16-12-2023,2227.34863084,2720387239.261588,267852126757.3401
15-12-2023,2221.75508269,4371922360.943737,267179468804.55927
14-12-2023,2315.9100226,5786184841.389515,278502169054.96326
13-12-2023,2261.25409057,6580907899.92285,271929463089.83884
12-12-2023,2202.84005826,4983110139.873306,264904822864.77292
11-12-2023,2224.31181112,9223592659.123943,267486930842.6985
10-12-2023,2352.30058931,3400053549.832325,282878354512.60675
09-12-2023,2341.10082008,4649535066.419709,281531514612.59045
08-12-2023,2360.04257758,6705024064.766008,283809375366.8429
07-12-2023,2357.4275482,8129771935.277443,283494902288.1023
06-12-2023,2232.22641581,6634973345.430957,268438709863.16876
05-12-2023,2294.30085931,8355661124.684261,275903536643.17126
04-12-2023,2241.96691937,8416085526.432513,269610064251.3512
03-12-2023,2194.32134086,3877500378.835453,263880395640.90363
02-12-2023,2165.05498951,4580551448.656783,260360940114.00476
01-12-2023,2087.8982467,5775823847.176703,251082375739.21164
30-11-2023,2052.97522538,3581031838.576634,246882671478.68137
29-11-2023,2029.11011782,4068540858.317671,244012748141.6797
28-11-2023,2049.09195866,4916553987.986127,246415685200.11707
27-11-2023,2027.21296268,5191091425.449698,243784603776.71008
26-11-2023,2063.94072511,3860204862.394854,248201339056.89096
25-11-2023,2084.54743443,2266063967.538611,250679420323.50583
24-11-2023,2081.47421077,6328960970.382044,250309846615.83163
23-11-2023,2062.85267458,3737270943.79316,248070494408.43665
22-11-2023,2065.83451641,7175655676.929096,248429078899.21072
21-11-2023,1940.73567764,7519431951.042803,233385187900.2028
20-11-2023,2023.42962804,7727971617.448631,243329634934.24884
19-11-2023,2013.39489522,4081777404.81257,242122897699.97495
18-11-2023,1963.33428477,4400660163.406903,236102806910.89325
17-11-2023,1961.09796826,7051293838.866357,235833876342.86255
16-11-2023,1961.00028635,8145605186.222678,235822129502.54532
15-11-2023,2059.66784444,7499757263.62388,247687499346.3402
14-11-2023,1979.8836061,7395487879.993487,238096270020.7964
13-11-2023,2055.01421324,8025245064.69145,247136587637.16364
12-11-2023,2046.24479077,4045428100.014669,246083348926.4192
11-11-2023,2054.29649591,5440835786.217771,247053369921.235
10-11-2023,2079.40952908,8185144338.135814,250077200215.2365
09-11-2023,2120.79575852,15221885925.860916,255060887874.85568
08-11-2023,1889.66578698,3718503672.861121,227265797378.4674
07-11-2023,1887.73264328,5403092039.979382,227034480344.35803
06-11-2023,1900.15612101,4953449360.831549,228530176657.38663
05-11-2023,1894.08717057,5138930380.694222,227799805983.1834
04-11-2023,1858.2785714,2767401039.517252,223492114766.53207
03-11-2023,1833.51564539,4490833538.793257,220513840998.80084
02-11-2023,1800.82990563,5642869828.393567,216583638045.26215
01-11-2023,1846.57051836,6336441109.440209,222085749532.5452
31-10-2023,1816.52504909,3664539342.888532,218472590298.53384
30-10-2023,1809.86531435,4255121046.236932,217671755088.9425
29-10-2023,1795.39758626,2222783639.131518,215930150988.72552
28-10-2023,1777.27474052,2299861885.095049,213749124242.16156
27-10-2023,1780.38354744,4207196004.890934,214122507602.8097
26-10-2023,1803.67007091,6660899298.186729,216909377784.31003
25-10-2023,1787.62703911,5498802844.015718,214984743395.87683
24-10-2023,1783.95494398,9166763421.544846,214548259051.71884
23-10-2023,1765.53172111,8626850991.287153,212336545515.09647
22-10-2023,1663.09815445,4927396570.743317,200016157097.60028
21-10-2023,1629.3756912,3997785564.707872,195958218190.43152
20-10-2023,1604.86097834,6344459370.688828,193008561173.74847
19-10-2023,1567.2707336,4707075337.780928,188485596110.74216
18-10-2023,1563.82634821,4129837423.970477,188069297210.81403
17-10-2023,1565.63261116,4121044617.270796,188284412479.9965
16-10-2023,1600.32293875,8474692191.300982,192454452503.50677
15-10-2023,1557.68368683,2528164753.967568,187324135881.5917
14-10-2023,1555.7517711,2123755770.396926,187089061730.25323
13-10-2023,1552.25962252,4237643947.334309,186666875193.7049
12-10-2023,1539.2699543,4529745832.257076,185102710966.57407
11-10-2023,1566.35024378,4890918394.472906,188356864737.0453
10-10-2023,1567.82478972,4757796504.996257,188531793222.7484
09-10-2023,1579.42055294,6028571496.291799,189924063251.65036
08-10-2023,1633.46342324,2836127788.586682,196419926936.88223
07-10-2023,1635.1442573,2059650457.790768,196619307044.4794
06-10-2023,1646.73550312,4344461333.092196,198010787410.05023
05-10-2023,1611.94997945,4652545741.889749,193825804321.91275
04-10-2023,1647.37747697,4316311578.750614,198083710049.8026
03-10-2023,1656.66931411,4082841902.64397,199199126827.78717
02-10-2023,1663.23010693,7114311274.974134,199986967041.74216
01-10-2023,1733.1078299,4554606348.187623,208386523785.0913
30-09-2023,1671.198412,2605522791.038957,200940382543.47772
29-09-2023,1667.99536191,4703726428.118625,200553142218.0716
28-09-2023,1652.79638567,5737597372.133042,198723869319.53967
27-09-2023,1597.13427346,4514881083.173714,192029630680.80804
26-09-2023,1593.45351459,2641377883.18836,191584686744.9442
25-09-2023,1587.94162564,3379736540.00574,190920156088.0335
24-09-2023,1581.08205003,2478743499.775925,190093500634.17047
23-09-2023,1594.92269254,1537936742.897852,191755796198.98468
22-09-2023,1594.09326121,2659771456.429739,191654796622.05392
21-09-2023,1584.35775483,4068122984.313024,190483838993.77356
20-09-2023,1623.05074302,4094708527.539533,195134700243.13528
19-09-2023,1643.57624271,3352268498.836446,197600949714.55127
18-09-2023,1636.89228018,4604998343.335894,196796076939.3216
17-09-2023,1622.92984924,2117788078.017434,195115778277.68332
16-09-2023,1635.09449367,2047257718.778291,196576506383.95837
15-09-2023,1641.41677006,3209352928.867358,197335777561.7336
14-09-2023,1627.24358343,4281354126.090758,195631420168.62408
13-09-2023,1608.08520845,3951483195.148551,193327699220.16785
12-09-2023,1592.61409159,5547271791.389977,191466820137.00385
11-09-2023,1551.64593099,6361522758.531813,186541651085.60553
10-09-2023,1617.13776134,3543277288.504182,194413227108.40833
09-09-2023,1635.73378677,1427933207.641218,196647089482.54828
08-09-2023,1636.60528306,3714105794.801357,196750956924.152
07-09-2023,1647.16436812,3970982662.106497,198019964858.86603
06-09-2023,1632.49198352,4097023949.095802,196255793203.1108
