Date,Price,Volume,Market_cap
26-02-2024,8.14047798,320745710.098209,4190518481.920621
25-02-2024,8.12936288,402672158.460172,4182740989.943186
24-02-2024,8.07715725,275811686.062363,4153725932.266048
23-02-2024,8.01357088,578166452.56241,4119871271.6486335
22-02-2024,8.08462757,739781273.707491,4153981977.30822
21-02-2024,7.20853469,502364009.874199,3694795613.9315577
20-02-2024,7.74709296,627244213.221081,3962955781.520548
19-02-2024,7.42398533,681668801.218815,3795312714.6003823
18-02-2024,6.26518957,272680166.483915,3201827755.727086
17-02-2024,6.19837051,387856448.672326,3166740084.4085803
16-02-2024,5.80773876,165961119.132841,2966035212.3810954
15-02-2024,5.87280541,192619292.95893,2998388781.0714755
14-02-2024,5.59224921,132858696.989181,2851570717.5918417
13-02-2024,5.49032506,147634516.29938,2798987861.660588
12-02-2024,5.45845715,101973806.511747,2772873254.180178
11-02-2024,5.3033615,76608321.37401,2687238117.9941454
10-02-2024,5.35326458,89964343.528482,2711951761.333849
09-02-2024,5.47527557,150604751.95423,2773053780.744752
08-02-2024,5.22452759,87794384.093635,2645474306.763856
07-02-2024,5.18175075,84858883.96158,2621288357.4915414
06-02-2024,5.06696188,75536258.652089,2562485473.1631875
05-02-2024,4.98917373,72346061.989831,2518573128.1760507
04-02-2024,4.92502546,68780882.147054,2482921465.6745405
03-02-2024,5.06645428,124083051.890994,2553539175.6993747
02-02-2024,5.0412443,86731518.904337,2540833112.1256943
01-02-2024,4.97285725,90307780.343253,2498578908.1393647
31-01-2024,4.96133508,112788222.016207,2487707268.3769464
30-01-2024,5.1661871,98560431.464696,2589900075.6533933
29-01-2024,5.33357748,98285768.066725,2669556505.5234737
28-01-2024,5.19576085,90902594.621873,2598652388.82891
27-01-2024,5.33065817,96199389.742638,2664429051.285934
26-01-2024,5.17831606,118334038.397044,2587656787.779102
25-01-2024,4.96768947,92742938.834193,2479510011.986598
24-01-2024,5.00234727,115382218.495817,2495913826.258016
23-01-2024,4.88277537,196191920.39096,2433483498.7307086
22-01-2024,5.03296816,179760752.339951,2507251938.979576
21-01-2024,5.3743113,89599699.441629,2673322956.3042326
20-01-2024,5.51046436,98804922.594735,2739769487.1803727
19-01-2024,5.4723987,198043036.395917,2720843469.5010486
18-01-2024,5.60408229,218138556.261079,2786315753.4226017
17-01-2024,5.78591965,131745679.769993,2876724188.733571
16-01-2024,5.85570822,145626182.660943,2752356050.490686
15-01-2024,5.92499589,151965779.069542,2784923304.426431
14-01-2024,5.82908431,182580918.844963,2739842026.5900235
13-01-2024,6.03591444,153084106.753365,2837058306.9633474
12-01-2024,5.9830287,289381593.816494,2812200442.5141788
11-01-2024,6.45688239,408847570.096125,3034925692.2344847
10-01-2024,5.93741355,273748545.164611,2790759973.0559087
09-01-2024,5.47209748,224447616.315645,2572047657.670393
08-01-2024,5.87805258,340416622.127011,2762858560.644935
07-01-2024,5.61322053,171908637.995472,2638379664.9316807
06-01-2024,5.90194378,215394641.753553,2774088134.319698
05-01-2024,6.14415706,318349099.425236,2887935539.802792
04-01-2024,6.5087454,285588922.768492,3059302838.8332567
03-01-2024,6.29336447,640081678.110461,2958067431.2697167
02-01-2024,7.16395665,507165928.115721,3367271504.9365144
01-01-2024,7.6228418,801696735.372369,3582961098.0607314
31-12-2023,6.9048584,674680355.233537,3245487665.068171
30-12-2023,6.02464016,158107358.837386,2831759060.924021
29-12-2023,5.80795997,320721649.693942,2729912960.613062
28-12-2023,6.26032423,368837129.017293,2942537544.0066385
27-12-2023,5.93596282,286387031.399486,2790078088.1757755
26-12-2023,5.76441457,232826293.89077,2709445335.9736657
25-12-2023,5.79782527,221298710.309923,2725149351.9222107
24-12-2023,5.64498922,212938926.621663,2653311890.0447083
23-12-2023,5.6309932,140524456.723692,2646733343.908848
22-12-2023,5.53452437,211369373.740956,2601390145.2209897
21-12-2023,5.50605017,169879180.342782,2588006426.906197
20-12-2023,5.32016712,151385468.714873,2500635894.9024854
19-12-2023,5.10215465,164033491.152287,2398163584.632154
18-12-2023,5.30126018,251505471.581251,2491749074.5532513
17-12-2023,5.27670403,337983251.194323,2480206957.2725587
16-12-2023,5.69190906,571441271.38698,2675365601.2903905
15-12-2023,4.8026691,176571503.88451,2257396518.8036485
14-12-2023,4.87355329,154523981.861168,2290714186.704214
13-12-2023,4.72201836,117723260.654693,2219488289.092016
12-12-2023,4.64376679,165921942.738996,2182707735.9156365
11-12-2023,4.61618277,230629148.885419,2169742429.8733096
10-12-2023,5.14653447,113934021.571113,2419023413.586997
09-12-2023,5.13031414,179940437.002937,2411399381.401954
08-12-2023,5.22915333,140595966.955867,2457856723.986043
07-12-2023,5.03791275,192790268.433806,2367967995.992798
06-12-2023,4.74000096,134577891.375605,2227940640.3211193
05-12-2023,4.78623458,137193286.756226,2249671808.6212344
04-12-2023,4.72818097,166096771.597115,2222384894.9674053
03-12-2023,4.57809761,78801265.360894,2151841278.319346
02-12-2023,4.66933282,67830605.244787,2194724525.7768726
01-12-2023,4.50362196,63457539.795193,2116835519.9501088
30-11-2023,4.38507362,49465483.751999,2061114294.4082944
29-11-2023,4.43098484,77542682.400036,2082693924.9667273
28-11-2023,4.53463935,86011714.172023,2131414609.2016609
27-11-2023,4.53544373,76199708.969206,2131792691.4785569
26-11-2023,4.60086993,78195207.229961,2162544941.1734757
25-11-2023,4.77141908,63870353.982141,2242708089.1974964
24-11-2023,4.64139792,84920225.729434,2181594296.826904
23-11-2023,4.49111355,70460447.368242,2110956198.7828088
22-11-2023,4.47730136,102332409.641271,2104464059.7183027
21-11-2023,4.23458603,186226148.573366,1990380678.1366673
20-11-2023,4.68484564,115384685.175266,2202016011.9823594
19-11-2023,4.89046344,102731995.227148,2298662459.35278
18-11-2023,4.71833659,122014334.322065,2217757746.0722017
