Date,Price,Volume,Market_cap
26-02-2024,0.13451688,1490090.029948,34877863.87276183
25-02-2024,0.1297358,1635108.666317,33638213.55696961
24-02-2024,0.11899874,1360530.125847,30854282.52560016
23-02-2024,0.12129995,2401609.177016,31450946.7729637
22-02-2024,0.10556615,1158065.439734,27371447.32618906
21-02-2024,0.10531764,870485.463156,27307014.65888745
20-02-2024,0.1057999,948202.690909,27432054.58210402
19-02-2024,0.1145027,2329368.551099,29688539.42785545
18-02-2024,0.10020196,1009306.01567,25980608.01896745
17-02-2024,0.0989921,906328.578486,25666913.3725864
16-02-2024,0.09928602,1745705.383812,25743121.02785798
15-02-2024,0.10229174,1646329.059611,26522450.78137091
14-02-2024,0.1014761,1326286.446645,26310969.49481848
13-02-2024,0.09987094,1275398.911355,25894779.86396769
12-02-2024,0.10024854,2087512.982179,25992685.52810002
11-02-2024,0.0991045,1541645.4749,25696056.71154205
10-02-2024,0.09535158,1240358.62572,24722989.64066804
09-02-2024,0.09403937,1630062.901559,24382757.4819781
08-02-2024,0.09532696,1913850.661686,24716605.59048009
07-02-2024,0.09498628,1478597.463087,24628272.97952874
06-02-2024,0.09430597,1354865.172796,24451882.11682072
05-02-2024,0.09784948,1778618.05982,25370652.08654969
04-02-2024,0.09552241,1620386.108225,24767282.75515012
03-02-2024,0.09378473,1616236.630256,24316733.88966642
02-02-2024,0.09364593,1683450.312051,24280744.86774968
01-02-2024,0.09395656,1988810.382907,24361286.17589428
31-01-2024,0.09602195,2448355.625456,24896805.8380987
30-01-2024,0.10520947,2721174.55151,27278968.39702753
29-01-2024,0.11414944,2951174.208167,29596944.14156897
28-01-2024,0.11460861,2794248.529007,29715998.6627737
27-01-2024,0.11375103,1337414.401037,29493644.19706365
26-01-2024,0.11128504,1971956.824346,28854255.88216548
25-01-2024,0.10546148,1865095.22209,27344308.89075106
24-01-2024,0.10672043,2700237.643435,27670731.81070752
23-01-2024,0.10054198,3164999.682998,26068768.96448999
22-01-2024,0.10295352,2619236.270065,26694039.98365659
21-01-2024,0.11045154,1909553.332323,28638144.48745588
20-01-2024,0.11229155,2122948.531981,29115226.31591369
19-01-2024,0.11427035,2227881.16571,29628294.89524162
18-01-2024,0.11061832,2108765.536615,28681386.80560152
17-01-2024,0.12124032,1842717.859672,31435485.5703509
16-01-2024,0.12630743,1097892.764259,32749298.19939528
15-01-2024,0.12976001,1227194.331121,33644491.25482196
14-01-2024,0.12127087,988764.844807,31443404.94004145
13-01-2024,0.12612593,2854933.126534,32702237.07888475
12-01-2024,0.12555935,5165952.348237,32555334.55361919
11-01-2024,0.13252395,4347295.990578,34361132.39602903
10-01-2024,0.11181787,2191900.667491,28992410.0759424
09-01-2024,0.10943085,1435562.024942,28373497.53869306
08-01-2024,0.11549667,721166.39579,29946257.29950657
07-01-2024,0.11049764,282349.526986,28650095.54519199
06-01-2024,0.10852385,421428.433342,28138328.70775497
05-01-2024,0.1147368,472535.603801,29749236.25823021
04-01-2024,0.12340054,1633977.700276,31995593.02496221
03-01-2024,0.11005342,1564573.4188,28534917.13209258
02-01-2024,0.11719466,1464594.542642,30386517.20413096
01-01-2024,0.12007521,610758.434563,31133392.02941518
31-12-2023,0.11553164,578425.130535,29955324.06660801
30-12-2023,0.11509256,1219402.983059,29841478.98706442
