Date,Price,Volume,Market_cap
26-02-2024,2.90542371,158969642.41961,4194715894.7132206
25-02-2024,2.59906444,53122041.606244,3752125361.535756
24-02-2024,2.58298527,71210313.801863,3728514939.9424167
23-02-2024,2.45037364,93073673.054863,3536792701.2064166
22-02-2024,2.54582245,103299681.504604,3674204447.5708575
21-02-2024,2.64655412,205025210.308135,3819279139.148896
20-02-2024,2.71001172,153193918.137742,3910511898.5531154
19-02-2024,2.65412503,156905695.39503,3829544488.2384887
18-02-2024,2.63921027,81836093.73222,3799654433.0192766
17-02-2024,2.53713496,98596136.0583,3652398068.605956
16-02-2024,2.59118004,138525397.491658,3729871078.418228
15-02-2024,2.5418264,259877482.735123,3658544471.3036056
14-02-2024,2.55481415,208765573.757223,3676903733.882356
13-02-2024,2.13057224,145405337.296046,3066083098.126024
12-02-2024,1.99380912,113035614.458331,2869019666.758632
11-02-2024,1.84310942,60864880.149406,2651878836.609775
10-02-2024,1.81301266,56555466.990165,2608385110.299648
09-02-2024,1.80406256,105162846.751121,2595252503.8497505
08-02-2024,1.78521311,144390467.420285,2567890208.6012654
07-02-2024,1.65918688,50101984.638871,2386400673.0736446
06-02-2024,1.49996763,27224564.74143,2157170030.405815
05-02-2024,1.48117314,21824240.341727,2129920189.2029607
04-02-2024,1.46594097,20393360.113201,2107812685.572356
03-02-2024,1.52312967,16077111.799646,2189817976.1970296
02-02-2024,1.5526034,34442552.562184,2231989284.9286933
01-02-2024,1.49560636,32148493.732836,2149810812.554862
31-01-2024,1.502027,40535994.031801,2158835744.729011
30-01-2024,1.53709039,63106224.616407,2209130356.7766867
29-01-2024,1.5388707,47977017.449068,2211485976.035205
28-01-2024,1.47337255,41500673.584056,2117135768.538728
27-01-2024,1.51592753,32610861.014753,2178076768.3040447
26-01-2024,1.50842331,51660144.323022,2167054982.79859
25-01-2024,1.45511112,48243719.826211,2090246574.2028608
24-01-2024,1.4775275,72671744.168877,2122200721.2104216
23-01-2024,1.38944767,92804633.540944,1995477476.675208
22-01-2024,1.32809308,68859534.450949,1907177574.977904
21-01-2024,1.45434633,22421556.221847,2088246579.3229933
20-01-2024,1.48681953,36059313.275006,2134691086.0735688
19-01-2024,1.4937565,82325228.758603,2144443328.7728508
18-01-2024,1.48560923,64156393.071553,2132561477.7060232
17-01-2024,1.57319039,47950039.827035,2258070246.2200074
16-01-2024,1.63385176,64183446.342865,2321377925.154401
15-01-2024,1.58684098,46464258.400056,2254584977.116596
14-01-2024,1.58921153,52479089.603882,2257953049.2678723
13-01-2024,1.67217622,57804404.221755,2375829356.331006
12-01-2024,1.6322973,104439276.731585,2319169352.6945024
11-01-2024,1.78230584,181674098.762769,2532301609.609752
10-01-2024,1.84433531,218695332.500881,2620433123.3131604
09-01-2024,1.83280498,251861879.08238,2604050825.2522783
08-01-2024,2.03320856,735406106.758728,2888784399.6112967
07-01-2024,1.66740861,259314330.359619,2369055519.5384703
06-01-2024,1.57041036,78977900.246301,2231240335.9934707
05-01-2024,1.60516179,130194602.392822,2280615188.23586
04-01-2024,1.71702143,161824597.35213,2439545467.880325
03-01-2024,1.54229496,176288170.471845,2191293944.2146564
02-01-2024,1.55510268,117700910.192655,2209491164.813115
01-01-2024,1.61221281,103881106.452533,2290633283.9178524
31-12-2023,1.50346783,61237413.551742,2136128336.7359111
30-12-2023,1.4220477,56750016.72273,2020446546.7633803
29-12-2023,1.4269964,83550355.070641,2027477661.1602235
28-12-2023,1.47369163,85051672.06755,2093822279.744259
27-12-2023,1.55907347,103220119.65514,2215132874.8712254
26-12-2023,1.62851594,119390329.384616,2313796790.1315
25-12-2023,1.5207642,117893869.604389,2160703030.088808
24-12-2023,1.39058663,69051424.034431,1975746634.610052
23-12-2023,1.47439376,142359352.270848,2094819862.1450224
22-12-2023,1.40802612,66995371.434595,2000524666.7016103
21-12-2023,1.41140458,131007265.885209,2005324783.779682
20-12-2023,1.45134005,247845176.664678,2062065135.9660137
19-12-2023,1.17527298,94224228.597942,1669828818.3118155
18-12-2023,1.2576486,224396408.632533,1786868167.73767
17-12-2023,1.05161536,57429590.863515,1494135964.267982
16-12-2023,1.00926472,50920150.751114,1433964142.0728817
15-12-2023,0.98382056,48785352.533692,1397813063.1055045
14-12-2023,1.07546684,102971973.212315,1528024177.3488162
13-12-2023,1.00110195,78135886.879562,1422366467.75181
12-12-2023,0.92915391,85454735.11961,1320142644.8158317
11-12-2023,0.90853147,65403641.277609,1290842261.9989104
10-12-2023,0.98982303,31281387.400217,1406341374.782039
09-12-2023,0.99281375,46448053.366481,1410590586.308575
08-12-2023,1.04103991,78746914.725754,1479110364.273435
07-12-2023,0.99476476,63863500.640238,1413362583.378175
06-12-2023,1.03242125,133706060.765625,1466864956.5622876
05-12-2023,1.1723541,265084666.410132,1665681663.202242
04-12-2023,1.17512267,401675802.548904,1669615256.4091454
03-12-2023,0.82971269,63458962.563945,1178856478.2302384
02-12-2023,0.77913617,58638065.717792,1106997313.9410963
01-12-2023,0.7637898,62391540.444186,1085193175.182939
30-11-2023,0.69180778,35346404.108877,982921057.7723373
29-11-2023,0.72094318,83993421.254464,1024316666.2240386
28-11-2023,0.72349538,48010815.020145,1027942827.3254596
27-11-2023,0.65291245,30188645.555427,927658540.4747776
26-11-2023,0.69301287,41707878.847899,984633255.9956659
25-11-2023,0.65684303,11281623.060579,933243113.2598526
24-11-2023,0.64506706,20950155.785978,916511810.2744032
23-11-2023,0.63172579,11654190.108382,897556523.2319331
22-11-2023,0.62677112,15362672.942913,890516924.9612045
21-11-2023,0.58940775,24723471.036792,837431011.5437953
20-11-2023,0.6387793,17500923.434062,907578156.2613432
19-11-2023,0.64890038,10565874.566157,921958189.0611187
18-11-2023,0.63387232,13432989.417423,900606312.9918895
17-11-2023,0.63171897,29708427.578208,897546827.6028706
16-11-2023,0.64900499,33006025.177979,922106821.7565408
15-11-2023,0.65331458,23777593.758721,928229895.4990658
14-11-2023,0.6199763,25308747.065065,880836807.5642047
13-11-2023,0.64049077,21885655.606078,909895842.4202152
12-11-2023,0.67372772,17965259.128994,957039605.5324941
11-11-2023,0.67028849,23730672.571877,952054248.853912
10-11-2023,0.68978235,26220320.090945,979637133.4768984
09-11-2023,0.67936118,64870131.805275,964750563.6305032
08-11-2023,0.7028611,31641660.069936,998017057.4807159
07-11-2023,0.67223113,38654485.270101,954437162.808743
06-11-2023,0.67486204,21002242.237609,958088924.3630899
05-11-2023,0.64609194,19614499.425346,917170929.499828
04-11-2023,0.65076487,16297050.225411,923695814.8992792
03-11-2023,0.64039349,22653375.008097,908872872.6325849
02-11-2023,0.62507995,24019939.12875,887057415.2082725
01-11-2023,0.64756686,32808377.815224,918884014.2675165
31-10-2023,0.62558866,22244086.933203,885692976.4912907
30-10-2023,0.63221632,18157930.437095,894992817.4121926
29-10-2023,0.63647007,64877866.915754,900926151.7083688
28-10-2023,0.65579404,22779798.405138,928191493.551672
27-10-2023,0.63638548,25411585.520461,900632137.0167949
26-10-2023,0.64455445,54473668.74276,912113211.8138627
25-10-2023,0.67664264,74407965.227714,957418584.5517817
24-10-2023,0.67981041,140064263.559212,961817261.0076104
23-10-2023,0.73535147,129783048.936698,1040310307.258658
22-10-2023,0.62707671,38161318.169944,887034941.142972
21-10-2023,0.61970083,59242373.460186,876510906.0267699
20-10-2023,0.62966226,75464299.097395,890511696.614821
19-10-2023,0.56730728,44429210.040197,802255234.6815156
18-10-2023,0.53935952,27113312.960476,762661320.1129738
17-10-2023,0.55457783,39457353.375948,784095371.4636711
16-10-2023,0.54440697,89767155.372564,769634099.8250203
15-10-2023,0.51160221,7448822.379489,723184012.515207
14-10-2023,0.50186468,6405407.084919,709339094.7969911
13-10-2023,0.50047969,6789449.4352,707314489.6799884
12-10-2023,0.48641057,6085822.498171,687365796.9962261
11-10-2023,0.49363819,8768738.440822,697503948.7598827
10-10-2023,0.49888105,9934436.071004,704834231.4467386
09-10-2023,0.48870376,9968075.365382,690385559.0900936
08-10-2023,0.50403896,6784136.292053,711979867.2856687
07-10-2023,0.51955666,16408418.651808,733826110.5771277
06-10-2023,0.51936375,19784048.224151,733477823.1609422
