Date,Name,Market Cap,Price,Circulating Supply,Symbol
01-01-2022,Bitcoin,"$902,104,193,384.61","$47,686.81","18,917,268",BTC
01-01-2022,Ethereum,"$448,537,615,143.00","$3,769.70","118,985,060",ETH
01-01-2022,Binance Coin,"$87,963,039,449.38",$527.35,"166,801,148",BNB
01-01-2022,Tether,"$78,377,058,040.56",$1.0005,"78,337,882,507",USDT
01-01-2022,Solana,"$55,188,725,653.37",$178.52,"309,149,464",SOL
01-01-2022,Cardano,"$46,108,724,312.75",$1.3770,"33,485,518,330",ADA
01-01-2022,USD Coin,"$42,454,938,451.83",$1.0001,"42,451,317,815",USDC
01-01-2022,XRP,"$40,380,448,983.19",$0.8495,"47,535,964,473",XRP
01-01-2022,Terra,"$33,053,437,381.20",$91.36,"361,790,989",LUNA
01-01-2022,Polkadot,"$28,228,553,768.10",$28.58,"987,579,315",DOT
02-01-2022,Bitcoin,"$895,688,387,523.14","$47,345.22","18,918,243",BTC
02-01-2022,Ethereum,"$455,713,570,380.85","$3,829.57","118,998,781",ETH
02-01-2022,Binance Coin,"$88,637,570,485.46",$531.40,"166,801,148",BNB
02-01-2022,Tether,"$78,373,882,136.14",$1.0005,"78,337,882,507",USDT
02-01-2022,Solana,"$54,552,495,291.77",$176.38,"309,284,593",SOL
02-01-2022,Cardano,"$46,129,061,735.77",$1.3776,"33,485,491,062",ADA
02-01-2022,USD Coin,"$42,562,534,941.23",$0.9998,"42,572,544,666",USDC
02-01-2022,XRP,"$40,838,984,413.81",$0.8591,"47,535,964,473",XRP
02-01-2022,Terra,"$32,335,168,164.92",$89.37,"361,805,570",LUNA
02-01-2022,Polkadot,"$29,361,884,232.15",$29.73,"987,579,315",DOT
03-01-2022,Bitcoin,"$878,946,596,803.07","$46,458.12","18,919,118",BTC
03-01-2022,Ethereum,"$447,650,792,403.76","$3,761.38","119,012,373",ETH
03-01-2022,Binance Coin,"$85,424,866,706.51",$512.14,"166,801,148",BNB
03-01-2022,Tether,"$78,350,771,577.00",$1.0002,"78,337,882,507",USDT
03-01-2022,Solana,"$52,670,374,804.03",$170.30,"309,284,038",SOL
03-01-2022,Cardano,"$44,255,641,774.58",$1.3216,"33,485,462,815",ADA
03-01-2022,USD Coin,"$42,567,699,046.19",$0.9997,"42,580,138,539",USDC
03-01-2022,XRP,"$39,591,978,497.78",$0.8329,"47,535,964,473",XRP
03-01-2022,Terra,"$32,025,873,981.04",$88.75,"360,860,219",LUNA
03-01-2022,Polkadot,"$29,731,174,495.54",$30.11,"987,579,315",DOT
04-01-2022,Bitcoin,"$868,383,282,082.04","$45,897.58","18,920,025",BTC
04-01-2022,Ethereum,"$451,591,466,825.10","$3,794.06","119,026,020",ETH
04-01-2022,Binance Coin,"$84,652,601,973.37",$507.51,"166,801,148",BNB
04-01-2022,Tether,"$78,254,281,727.36",$1.0002,"78,237,982,507",USDT
04-01-2022,Solana,"$51,940,766,392.62",$167.94,"309,283,702",SOL
04-01-2022,Cardano,"$43,940,063,350.92",$1.3117,"33,499,644,969",ADA
04-01-2022,USD Coin,"$42,619,659,433.81",$1.0006,"42,594,749,894",USDC
04-01-2022,XRP,"$39,201,627,718.07",$0.8247,"47,535,964,473",XRP
04-01-2022,Terra,"$30,443,069,520.91",$84.58,"359,927,615",LUNA
04-01-2022,Polkadot,"$28,420,292,061.32",$28.78,"987,579,315",DOT
