date,Disney Stock Price_unscaled,Disney Stock Price_monthly,scale,Disney Stock Price
2004-01-01,0,2.0,0.02,0.0
2004-01-02,0,2.0,0.02,0.0
2004-01-03,0,2.0,0.02,0.0
2004-01-04,0,2.0,0.02,0.0
2004-01-05,0,2.0,0.02,0.0
2004-01-06,0,2.0,0.02,0.0
2004-01-07,0,2.0,0.02,0.0
2004-01-08,0,2.0,0.02,0.0
2004-01-09,54,2.0,0.02,1.08
2004-01-10,0,2.0,0.02,0.0
2004-01-11,0,2.0,0.02,0.0
2004-01-12,35,2.0,0.02,0.7000000000000001
2004-01-13,0,2.0,0.02,0.0
2004-01-14,0,2.0,0.02,0.0
2004-01-15,0,2.0,0.02,0.0
2004-01-16,50,2.0,0.02,1.0
2004-01-17,0,2.0,0.02,0.0
2004-01-18,0,2.0,0.02,0.0
2004-01-19,51,2.0,0.02,1.02
2004-01-20,0,2.0,0.02,0.0
2004-01-21,0,2.0,0.02,0.0
2004-01-22,0,2.0,0.02,0.0
2004-01-23,0,2.0,0.02,0.0
2004-01-24,72,2.0,0.02,1.44
2004-01-25,0,2.0,0.02,0.0
2004-01-26,0,2.0,0.02,0.0
2004-01-27,0,2.0,0.02,0.0
2004-01-28,45,2.0,0.02,0.9
2004-01-29,0,2.0,0.02,0.0
2004-01-30,0,2.0,0.02,0.0
2004-01-31,100,2.0,0.02,2.0
2004-02-01,0,0.0,0.0,0.0
2004-02-02,0,0.0,0.0,0.0
2004-02-03,0,0.0,0.0,0.0
2004-02-04,0,0.0,0.0,0.0
2004-02-05,59,0.0,0.0,0.0
2004-02-06,0,0.0,0.0,0.0
2004-02-07,0,0.0,0.0,0.0
2004-02-08,0,0.0,0.0,0.0
2004-02-09,28,0.0,0.0,0.0
2004-02-10,0,0.0,0.0,0.0
2004-02-11,0,0.0,0.0,0.0
2004-02-12,59,0.0,0.0,0.0
2004-02-13,31,0.0,0.0,0.0
2004-02-14,0,0.0,0.0,0.0
2004-02-15,0,0.0,0.0,0.0
2004-02-16,0,0.0,0.0,0.0
2004-02-17,78,0.0,0.0,0.0
2004-02-18,0,0.0,0.0,0.0
2004-02-19,31,0.0,0.0,0.0
2004-02-20,37,0.0,0.0,0.0
