date,stock_name,name_price_attention
2014-01-01,MSFT,1.54
2014-01-02,MSFT,3.1500000000000004
2014-01-03,MSFT,1.54
2014-01-04,MSFT,1.4
2014-01-05,MSFT,2.1
2014-01-06,MSFT,2.24
2014-01-07,MSFT,1.1900000000000002
2014-01-08,MSFT,1.6800000000000002
2014-01-09,MSFT,3.5000000000000004
2014-01-10,MSFT,2.8000000000000003
2014-01-11,MSFT,3.01
2014-01-12,MSFT,3.01
2014-01-13,MSFT,3.1500000000000004
2014-01-14,MSFT,4.62
2014-01-15,MSFT,5.6000000000000005
2014-01-16,MSFT,6.300000000000001
2014-01-17,MSFT,2.5200000000000005
2014-01-18,MSFT,1.8200000000000005
2014-01-19,MSFT,2.8000000000000003
2014-01-20,MSFT,0.0
2014-01-21,MSFT,4.2
2014-01-22,MSFT,4.9
2014-01-23,MSFT,5.53
2014-01-24,MSFT,7.000000000000001
2014-01-25,MSFT,5.6000000000000005
2014-01-26,MSFT,2.31
2014-01-27,MSFT,0.0
2014-01-28,MSFT,2.87
2014-01-29,MSFT,5.6000000000000005
2014-01-30,MSFT,1.6800000000000002
2014-01-31,MSFT,5.390000000000001
2014-02-01,MSFT,4.62
2014-02-02,MSFT,0.0
2014-02-03,MSFT,3.43
2014-02-04,MSFT,7.000000000000001
2014-02-05,MSFT,3.5000000000000004
2014-02-06,MSFT,3.5000000000000004
2014-02-07,MSFT,6.0200000000000005
2014-02-08,MSFT,0.0
2014-02-09,MSFT,0.0
2014-02-10,MSFT,2.5900000000000003
2014-02-11,MSFT,5.460000000000001
2014-02-12,MSFT,3.78
2014-02-13,MSFT,6.16
2014-02-14,MSFT,2.66
2014-02-15,MSFT,1.2600000000000002
2014-02-16,MSFT,1.6800000000000002
2014-02-17,MSFT,1.6800000000000002
2014-02-18,MSFT,5.670000000000001
2014-02-19,MSFT,2.5900000000000003
2014-02-20,MSFT,2.31
2014-02-21,MSFT,5.040000000000001
2014-02-22,MSFT,1.54
2014-02-23,MSFT,2.31
2014-02-24,MSFT,1.89
2014-02-25,MSFT,3.5000000000000004
2014-02-26,MSFT,4.760000000000001
2014-02-27,MSFT,4.41
2014-02-28,MSFT,3.71
2014-03-01,MSFT,1.4
2014-03-02,MSFT,0.0
2014-03-03,MSFT,5.670000000000001
2014-03-04,MSFT,0.91
2014-03-05,MSFT,4.69
2014-03-06,MSFT,1.89
