date,AMGN
2013-01-01,0.0
2013-01-02,10.73
2013-01-03,0.0
2013-01-04,7.03
2013-01-05,0.0
2013-01-06,12.95
2013-01-07,6.29
2013-01-08,22.2
2013-01-09,6.29
2013-01-10,5.92
2013-01-11,10.73
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,5.92
2013-01-15,5.92
2013-01-16,0.0
2013-01-17,26.64
2013-01-18,18.5
2013-01-19,21.46
2013-01-20,13.32
2013-01-21,0.0
2013-01-22,11.47
2013-01-23,37.0
2013-01-24,0.0
2013-01-25,19.98
2013-01-26,7.77
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,9.25
2013-01-31,8.51
2013-02-01,0.0
2013-02-02,0.0
2013-02-03,12.600000000000001
2013-02-04,0.0
2013-02-05,10.080000000000002
2013-02-06,0.0
2013-02-07,0.0
2013-02-08,8.96
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,14.560000000000002
2013-02-13,28.000000000000004
2013-02-14,10.360000000000001
2013-02-15,0.0
2013-02-16,10.920000000000002
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,25.76
2013-02-21,0.0
2013-02-22,0.0
2013-02-23,0.0
2013-02-24,0.0
2013-02-25,8.680000000000001
2013-02-26,7.840000000000001
2013-02-27,24.92
2013-02-28,27.160000000000004
2013-03-01,25.97
2013-03-02,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,17.64
2013-03-06,0.0
2013-03-07,16.169999999999998
2013-03-08,22.05
2013-03-09,10.78
2013-03-10,0.0
2013-03-11,16.66
2013-03-12,24.009999999999998
2013-03-13,9.31
2013-03-14,7.35
2013-03-15,25.48
2013-03-16,10.29
2013-03-17,0.0
2013-03-18,7.84
2013-03-19,0.0
2013-03-20,27.93
2013-03-21,17.64
2013-03-22,25.48
2013-03-23,0.0
2013-03-24,0.0
2013-03-25,39.2
2013-03-26,0.0
2013-03-27,49.0
2013-03-28,34.79
2013-03-29,10.78
2013-03-30,12.74
2013-03-31,15.68
2013-04-01,16.8
2013-04-02,54.400000000000006
2013-04-03,35.2
2013-04-04,26.400000000000002
2013-04-05,29.6
2013-04-06,0.0
2013-04-07,0.0
2013-04-08,27.200000000000003
2013-04-09,66.4
2013-04-10,40.0
2013-04-11,54.400000000000006
2013-04-12,32.0
2013-04-13,30.400000000000002
2013-04-14,0.0
2013-04-15,34.4
2013-04-16,47.2
2013-04-17,28.0
2013-04-18,21.6
2013-04-19,40.800000000000004
2013-04-20,16.8
2013-04-21,0.0
2013-04-22,17.6
2013-04-23,80.0
2013-04-24,61.6
2013-04-25,38.400000000000006
2013-04-26,53.6
2013-04-27,24.0
2013-04-28,12.0
2013-04-29,20.8
2013-04-30,32.800000000000004
2013-05-01,27.259999999999998
2013-05-02,33.64
2013-05-03,13.919999999999998
2013-05-04,0.0
2013-05-05,15.659999999999998
2013-05-06,19.139999999999997
2013-05-07,6.959999999999999
2013-05-08,16.24
2013-05-09,21.459999999999997
2013-05-10,12.76
2013-05-11,19.139999999999997
2013-05-12,0.0
2013-05-13,0.0
2013-05-14,10.44
2013-05-15,17.98
2013-05-16,20.88
2013-05-17,16.82
2013-05-18,12.18
2013-05-19,0.0
2013-05-20,21.459999999999997
2013-05-21,19.139999999999997
2013-05-22,19.139999999999997
2013-05-23,0.0
2013-05-24,17.4
2013-05-25,8.12
2013-05-26,16.82
2013-05-27,0.0
2013-05-28,23.779999999999998
2013-05-29,57.99999999999999
2013-05-30,12.76
2013-05-31,16.82
2013-06-01,28.62
2013-06-02,37.260000000000005
2013-06-03,38.34
2013-06-04,42.660000000000004
2013-06-05,0.0
2013-06-06,54.0
2013-06-07,37.800000000000004
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,53.46
2013-06-11,18.36
2013-06-12,17.28
2013-06-13,35.64
2013-06-14,38.34
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,0.0
2013-06-18,48.06
2013-06-19,36.72
2013-06-20,34.02
2013-06-21,38.88
2013-06-22,0.0
2013-06-23,39.42
2013-06-24,0.0
2013-06-25,35.64
2013-06-26,27.540000000000003
2013-06-27,17.82
2013-06-28,32.940000000000005
2013-06-29,0.0
2013-06-30,0.0
2013-07-01,50.160000000000004
2013-07-02,0.0
2013-07-03,0.0
2013-07-04,0.0
2013-07-05,12.16
2013-07-06,21.28
2013-07-07,9.120000000000001
2013-07-08,10.64
2013-07-09,9.88
2013-07-10,28.88
2013-07-11,23.56
2013-07-12,19.0
2013-07-13,0.0
2013-07-14,0.0
2013-07-15,25.84
2013-07-16,9.88
2013-07-17,12.16
2013-07-18,11.4
2013-07-19,38.76
2013-07-20,0.0
2013-07-21,0.0
2013-07-22,27.36
2013-07-23,25.080000000000002
2013-07-24,23.56
2013-07-25,47.88
2013-07-26,34.96
2013-07-27,24.32
2013-07-28,19.0
2013-07-29,0.0
2013-07-30,76.0
2013-07-31,69.92
2013-08-01,21.169999999999998
2013-08-02,17.52
2013-08-03,0.0
2013-08-04,12.41
2013-08-05,15.33
2013-08-06,15.33
2013-08-07,37.23
2013-08-08,32.12
2013-08-09,18.98
2013-08-10,0.0
2013-08-11,0.0
2013-08-12,0.0
2013-08-13,0.0
2013-08-14,15.33
2013-08-15,21.9
2013-08-16,24.82
2013-08-17,0.0
2013-08-18,10.95
2013-08-19,11.68
2013-08-20,26.28
2013-08-21,12.41
2013-08-22,0.0
2013-08-23,14.6
2013-08-24,0.0
2013-08-25,0.0
2013-08-26,73.0
2013-08-27,27.74
2013-08-28,17.52
2013-08-29,13.14
2013-08-30,23.36
2013-08-31,8.03
2013-09-01,21.32
2013-09-02,0.0
2013-09-03,37.96
2013-09-04,11.440000000000001
2013-09-05,31.720000000000002
2013-09-06,49.4
2013-09-07,0.0
2013-09-08,28.080000000000002
2013-09-09,49.4
2013-09-10,0.0
2013-09-11,28.080000000000002
2013-09-12,38.480000000000004
2013-09-13,41.6
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,0.0
2013-09-17,22.36
2013-09-18,17.16
2013-09-19,52.0
2013-09-20,19.76
2013-09-21,32.24
2013-09-22,0.0
2013-09-23,0.0
2013-09-24,28.6
2013-09-25,27.560000000000002
2013-09-26,34.84
2013-09-27,0.0
2013-09-28,0.0
2013-09-29,0.0
2013-09-30,14.56
2013-10-01,21.6
2013-10-02,10.8
2013-10-03,12.96
2013-10-04,0.0
2013-10-05,7.5600000000000005
2013-10-06,0.0
2013-10-07,0.0
2013-10-08,19.44
2013-10-09,18.900000000000002
2013-10-10,24.840000000000003
2013-10-11,28.080000000000002
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,7.0200000000000005
2013-10-15,11.88
2013-10-16,40.5
2013-10-17,19.98
2013-10-18,11.88
2013-10-19,0.0
2013-10-20,9.72
2013-10-21,17.82
2013-10-22,42.120000000000005
2013-10-23,7.0200000000000005
2013-10-24,54.0
2013-10-25,20.520000000000003
2013-10-26,0.0
2013-10-27,14.040000000000001
2013-10-28,14.580000000000002
2013-10-29,25.380000000000003
2013-10-30,6.48
2013-10-31,18.900000000000002
2013-11-01,21.119999999999997
2013-11-02,0.0
2013-11-03,0.0
2013-11-04,0.0
2013-11-05,13.44
2013-11-06,21.119999999999997
2013-11-07,34.56
2013-11-08,19.2
2013-11-09,0.0
2013-11-10,10.08
2013-11-11,0.0
2013-11-12,22.08
2013-11-13,14.399999999999999
2013-11-14,11.04
2013-11-15,24.48
2013-11-16,11.52
2013-11-17,0.0
2013-11-18,22.08
2013-11-19,19.2
2013-11-20,0.0
2013-11-21,36.96
2013-11-22,48.0
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,19.68
2013-11-26,34.56
2013-11-27,17.759999999999998
2013-11-28,0.0
2013-11-29,19.68
2013-11-30,0.0
2013-12-01,7.56
2013-12-02,5.3999999999999995
2013-12-03,5.76
2013-12-04,13.68
2013-12-05,5.76
2013-12-06,34.199999999999996
2013-12-07,6.84
2013-12-08,6.84
2013-12-09,11.16
2013-12-10,12.959999999999999
2013-12-11,5.76
2013-12-12,0.0
2013-12-13,11.16
2013-12-14,0.0
2013-12-15,0.0
2013-12-16,7.199999999999999
2013-12-17,15.479999999999999
2013-12-18,20.52
2013-12-19,0.0
2013-12-20,10.44
2013-12-21,10.799999999999999
2013-12-22,0.0
