date,BA
2013-01-01,42.25
2013-01-02,49.4
2013-01-03,52.65
2013-01-04,53.300000000000004
2013-01-05,65.0
2013-01-06,52.0
2013-01-07,50.050000000000004
2013-01-08,44.2
2013-01-09,49.4
2013-01-10,46.800000000000004
2013-01-11,46.15
2013-01-12,44.85
2013-01-13,42.25
2013-01-14,40.95
2013-01-15,47.45
2013-01-16,53.95
2013-01-17,56.550000000000004
2013-01-18,50.050000000000004
2013-01-19,49.4
2013-01-20,43.550000000000004
2013-01-21,46.15
2013-01-22,45.5
2013-01-23,46.15
2013-01-24,46.800000000000004
2013-01-25,45.5
2013-01-26,44.85
2013-01-27,47.45
2013-01-28,43.550000000000004
2013-01-29,45.5
2013-01-30,42.9
2013-01-31,40.95
2013-02-01,53.94
2013-02-02,52.199999999999996
2013-02-03,57.419999999999995
2013-02-04,50.459999999999994
2013-02-05,52.779999999999994
2013-02-06,55.099999999999994
2013-02-07,55.67999999999999
2013-02-08,53.36
2013-02-09,48.13999999999999
2013-02-10,49.3
2013-02-11,55.099999999999994
2013-02-12,48.72
2013-02-13,52.199999999999996
2013-02-14,49.879999999999995
2013-02-15,53.36
2013-02-16,48.13999999999999
2013-02-17,52.779999999999994
2013-02-18,49.879999999999995
2013-02-19,52.199999999999996
2013-02-20,57.99999999999999
2013-02-21,52.199999999999996
2013-02-22,46.4
2013-02-23,52.199999999999996
2013-02-24,47.559999999999995
2013-02-25,49.3
2013-02-26,53.36
2013-02-27,55.67999999999999
2013-02-28,53.36
2013-03-01,49.019999999999996
2013-03-02,56.42999999999999
2013-03-03,51.3
2013-03-04,50.73
2013-03-05,50.16
2013-03-06,50.16
2013-03-07,53.58
2013-03-08,54.15
2013-03-09,53.58
2013-03-10,55.28999999999999
2013-03-11,50.16
2013-03-12,56.42999999999999
2013-03-13,50.16
2013-03-14,50.73
2013-03-15,50.16
2013-03-16,53.58
2013-03-17,48.449999999999996
2013-03-18,48.449999999999996
2013-03-19,56.99999999999999
2013-03-20,49.589999999999996
2013-03-21,56.42999999999999
2013-03-22,50.73
2013-03-23,49.019999999999996
2013-03-24,51.3
2013-03-25,50.16
2013-03-26,49.019999999999996
2013-03-27,51.3
2013-03-28,50.16
2013-03-29,53.01
2013-03-30,47.879999999999995
2013-03-31,49.019999999999996
2013-04-01,56.839999999999996
2013-04-02,53.94
2013-04-03,51.62
2013-04-04,53.36
2013-04-05,53.36
2013-04-06,57.99999999999999
2013-04-07,57.419999999999995
2013-04-08,51.04
2013-04-09,54.519999999999996
2013-04-10,55.67999999999999
2013-04-11,55.099999999999994
2013-04-12,47.559999999999995
2013-04-13,49.3
2013-04-14,54.519999999999996
2013-04-15,52.199999999999996
2013-04-16,53.94
2013-04-17,54.519999999999996
2013-04-18,52.199999999999996
2013-04-19,48.13999999999999
2013-04-20,49.879999999999995
2013-04-21,55.67999999999999
2013-04-22,54.519999999999996
2013-04-23,56.839999999999996
2013-04-24,51.62
2013-04-25,57.419999999999995
2013-04-26,55.099999999999994
2013-04-27,51.04
2013-04-28,56.26
2013-04-29,51.62
2013-04-30,49.879999999999995
2013-05-01,56.26
2013-05-02,54.519999999999996
2013-05-03,54.519999999999996
2013-05-04,57.419999999999995
2013-05-05,53.94
2013-05-06,54.519999999999996
2013-05-07,56.839999999999996
2013-05-08,54.519999999999996
2013-05-09,53.94
2013-05-10,51.62
2013-05-11,53.94
2013-05-12,54.519999999999996
2013-05-13,57.99999999999999
2013-05-14,53.94
2013-05-15,52.199999999999996
2013-05-16,49.3
2013-05-17,53.36
2013-05-18,48.72
2013-05-19,51.04
2013-05-20,51.04
2013-05-21,48.13999999999999
2013-05-22,53.36
2013-05-23,56.839999999999996
2013-05-24,54.519999999999996
2013-05-25,53.36
2013-05-26,53.94
2013-05-27,53.94
2013-05-28,53.36
2013-05-29,53.36
2013-05-30,53.36
2013-05-31,53.94
2013-06-01,50.56
2013-06-02,59.52
2013-06-03,55.68
2013-06-04,57.6
2013-06-05,55.68
2013-06-06,51.84
2013-06-07,60.160000000000004
2013-06-08,55.68
2013-06-09,54.4
2013-06-10,54.4
2013-06-11,55.68
2013-06-12,60.160000000000004
2013-06-13,55.68
2013-06-14,56.32
2013-06-15,55.04
2013-06-16,59.52
2013-06-17,62.72
2013-06-18,58.24
2013-06-19,59.52
