date,CSCO
2013-01-01,25.959999999999997
2013-01-02,49.559999999999995
2013-01-03,41.3
2013-01-04,35.989999999999995
2013-01-05,7.67
2013-01-06,10.03
2013-01-07,37.169999999999995
2013-01-08,54.279999999999994
2013-01-09,31.27
2013-01-10,26.549999999999997
2013-01-11,51.33
2013-01-12,18.29
2013-01-13,15.34
2013-01-14,37.76
2013-01-15,45.43
2013-01-16,48.379999999999995
2013-01-17,48.97
2013-01-18,40.71
2013-01-19,14.16
2013-01-20,7.08
2013-01-21,14.16
2013-01-22,38.94
2013-01-23,36.58
2013-01-24,53.69
2013-01-25,59.0
2013-01-26,27.139999999999997
2013-01-27,14.16
2013-01-28,26.549999999999997
2013-01-29,43.66
2013-01-30,38.94
2013-01-31,30.68
2013-02-01,17.64
2013-02-02,10.08
2013-02-03,3.15
2013-02-04,26.46
2013-02-05,24.57
2013-02-06,29.61
2013-02-07,23.31
2013-02-08,20.16
2013-02-09,7.5600000000000005
2013-02-10,5.04
2013-02-11,23.94
2013-02-12,28.98
2013-02-13,63.0
2013-02-14,58.59
2013-02-15,26.46
2013-02-16,7.5600000000000005
2013-02-17,3.15
2013-02-18,18.9
2013-02-19,26.46
2013-02-20,26.46
2013-02-21,15.75
2013-02-22,30.87
2013-02-23,10.71
2013-02-24,5.67
2013-02-25,6.3
2013-02-26,27.72
2013-02-27,24.57
2013-02-28,21.42
2013-03-01,23.85
2013-03-02,16.43
2013-03-03,9.01
2013-03-04,32.86
2013-03-05,40.81
2013-03-06,36.04
2013-03-07,43.46
2013-03-08,42.93
2013-03-09,15.9
2013-03-10,15.370000000000001
2013-03-11,38.690000000000005
2013-03-12,36.57
2013-03-13,29.150000000000002
2013-03-14,39.22
2013-03-15,30.21
2013-03-16,14.84
2013-03-17,3.18
2013-03-18,30.21
2013-03-19,32.33
2013-03-20,28.09
2013-03-21,53.0
2013-03-22,43.99
2013-03-23,11.13
2013-03-24,7.95
2013-03-25,24.91
2013-03-26,30.740000000000002
2013-03-27,36.04
2013-03-28,33.92
2013-03-29,16.96
2013-03-30,12.72
2013-03-31,6.36
2013-04-01,38.879999999999995
2013-04-02,48.0
2013-04-03,26.4
2013-04-04,34.08
2013-04-05,44.64
2013-04-06,10.08
2013-04-07,4.32
2013-04-08,23.52
2013-04-09,27.36
2013-04-10,36.48
2013-04-11,36.0
2013-04-12,29.279999999999998
2013-04-13,4.8
2013-04-14,7.68
2013-04-15,20.64
2013-04-16,27.84
2013-04-17,31.68
2013-04-18,25.439999999999998
2013-04-19,36.0
2013-04-20,13.44
2013-04-21,4.32
2013-04-22,25.439999999999998
2013-04-23,22.56
2013-04-24,38.4
2013-04-25,31.2
2013-04-26,32.16
2013-04-27,17.28
2013-04-28,3.36
2013-04-29,19.2
2013-04-30,30.24
2013-05-01,8.879999999999999
2013-05-02,8.879999999999999
2013-05-03,11.84
2013-05-04,2.2199999999999998
2013-05-05,4.4399999999999995
2013-05-06,10.36
2013-05-07,14.06
2013-05-08,9.62
2013-05-09,11.1
2013-05-10,7.4
2013-05-11,5.92
2013-05-12,1.48
2013-05-13,18.5
2013-05-14,19.98
2013-05-15,39.22
2013-05-16,74.0
2013-05-17,46.62
2013-05-18,11.84
2013-05-19,7.4
2013-05-20,25.9
2013-05-21,19.98
2013-05-22,22.2
2013-05-23,23.68
2013-05-24,17.02
2013-05-25,5.18
2013-05-26,4.4399999999999995
2013-05-27,5.18
2013-05-28,19.24
2013-05-29,19.24
2013-05-30,15.54
2013-05-31,19.24
