date,CSCO
2013-01-01,20.299999999999997
2013-01-02,48.72
2013-01-03,38.86
2013-01-04,40.599999999999994
2013-01-05,19.72
2013-01-06,18.56
2013-01-07,42.339999999999996
2013-01-08,42.339999999999996
2013-01-09,25.52
2013-01-10,33.64
2013-01-11,48.13999999999999
2013-01-12,11.6
2013-01-13,6.38
2013-01-14,35.96
2013-01-15,57.99999999999999
2013-01-16,44.08
2013-01-17,46.4
2013-01-18,38.86
2013-01-19,14.499999999999998
2013-01-20,4.06
2013-01-21,16.24
2013-01-22,45.239999999999995
2013-01-23,47.559999999999995
2013-01-24,51.04
2013-01-25,57.419999999999995
2013-01-26,26.68
2013-01-27,13.919999999999998
2013-01-28,27.259999999999998
2013-01-29,33.059999999999995
2013-01-30,40.019999999999996
2013-01-31,33.059999999999995
2013-02-01,18.91
2013-02-02,11.59
2013-02-03,4.88
2013-02-04,19.52
2013-02-05,22.57
2013-02-06,27.45
2013-02-07,21.96
2013-02-08,21.349999999999998
2013-02-09,6.1
2013-02-10,3.66
2013-02-11,19.52
2013-02-12,28.669999999999998
2013-02-13,61.0
2013-02-14,53.07
2013-02-15,26.84
2013-02-16,9.76
2013-02-17,0.0
2013-02-18,13.42
2013-02-19,21.96
2013-02-20,26.23
2013-02-21,18.91
2013-02-22,20.74
2013-02-23,10.98
2013-02-24,0.0
2013-02-25,10.37
2013-02-26,34.16
2013-02-27,22.57
2013-02-28,29.28
2013-03-01,32.33
2013-03-02,17.490000000000002
2013-03-03,3.18
2013-03-04,18.55
2013-03-05,45.050000000000004
2013-03-06,40.28
2013-03-07,50.88
2013-03-08,46.64
2013-03-09,29.68
2013-03-10,20.14
2013-03-11,48.230000000000004
2013-03-12,39.75
2013-03-13,34.45
2013-03-14,40.28
2013-03-15,36.57
2013-03-16,9.01
2013-03-17,0.0
2013-03-18,32.33
2013-03-19,27.03
2013-03-20,29.68
2013-03-21,48.760000000000005
2013-03-22,53.0
2013-03-23,11.13
2013-03-24,0.0
2013-03-25,28.62
2013-03-26,37.63
2013-03-27,40.28
2013-03-28,35.510000000000005
2013-03-29,20.67
2013-03-30,16.43
2013-03-31,14.31
2013-04-01,33.660000000000004
2013-04-02,42.84
2013-04-03,27.03
2013-04-04,39.27
2013-04-05,43.86
2013-04-06,12.75
2013-04-07,8.16
2013-04-08,22.44
2013-04-09,27.03
2013-04-10,38.25
2013-04-11,45.39
2013-04-12,32.64
2013-04-13,15.81
2013-04-14,14.790000000000001
2013-04-15,31.11
2013-04-16,25.5
2013-04-17,30.09
2013-04-18,23.97
2013-04-19,26.01
2013-04-20,12.75
2013-04-21,0.0
2013-04-22,26.01
2013-04-23,27.54
2013-04-24,32.13
2013-04-25,51.0
2013-04-26,33.660000000000004
2013-04-27,16.32
2013-04-28,0.0
2013-04-29,26.52
2013-04-30,30.09
2013-05-01,11.4
2013-05-02,9.120000000000001
2013-05-03,10.64
2013-05-04,3.04
2013-05-05,3.8
2013-05-06,12.16
2013-05-07,15.2
2013-05-08,9.120000000000001
2013-05-09,17.48
2013-05-10,8.36
2013-05-11,5.32
2013-05-12,0.0
2013-05-13,18.240000000000002
2013-05-14,19.76
2013-05-15,42.56
2013-05-16,76.0
2013-05-17,47.88
2013-05-18,10.64
2013-05-19,5.32
2013-05-20,28.88
2013-05-21,22.8
2013-05-22,24.32
2013-05-23,23.56
2013-05-24,19.0
2013-05-25,7.6
2013-05-26,6.84
2013-05-27,7.6
2013-05-28,19.76
2013-05-29,24.32
2013-05-30,19.0
2013-05-31,18.240000000000002
2013-06-01,13.68
2013-06-02,0.0
2013-06-03,40.47
2013-06-04,44.459999999999994
2013-06-05,45.029999999999994
2013-06-06,27.36
2013-06-07,35.91
2013-06-08,30.209999999999997
2013-06-09,18.24
2013-06-10,31.919999999999998
2013-06-11,30.779999999999998
2013-06-12,31.349999999999998
2013-06-13,27.929999999999996
2013-06-14,30.779999999999998
2013-06-15,5.13
2013-06-16,5.13
2013-06-17,43.31999999999999
2013-06-18,41.04
2013-06-19,56.99999999999999
2013-06-20,37.62
2013-06-21,19.95
2013-06-22,7.409999999999999
2013-06-23,7.409999999999999
2013-06-24,19.95
2013-06-25,33.059999999999995
2013-06-26,32.489999999999995
2013-06-27,32.489999999999995
2013-06-28,33.629999999999995
2013-06-29,10.829999999999998
2013-06-30,5.699999999999999
2013-07-01,42.21
2013-07-02,21.42
2013-07-03,38.43
2013-07-04,16.38
2013-07-05,24.57
2013-07-06,10.71
2013-07-07,0.0
2013-07-08,36.54
2013-07-09,61.11
2013-07-10,51.03
2013-07-11,63.0
2013-07-12,41.58
2013-07-13,15.75
2013-07-14,9.45
2013-07-15,46.62
2013-07-16,39.69
2013-07-17,36.54
2013-07-18,52.29
2013-07-19,47.88
2013-07-20,5.04
2013-07-21,4.41
2013-07-22,42.84
2013-07-23,55.44
2013-07-24,59.85
2013-07-25,41.58
2013-07-26,40.32
2013-07-27,10.71
2013-07-28,23.94
2013-07-29,34.02
2013-07-30,39.69
2013-07-31,43.47
2013-08-01,18.17
2013-08-02,22.91
2013-08-03,8.690000000000001
2013-08-04,4.74
2013-08-05,16.59
2013-08-06,22.12
2013-08-07,15.8
2013-08-08,13.43
2013-08-09,17.380000000000003
2013-08-10,4.74
2013-08-11,3.16
2013-08-12,18.17
