date,HD
2013-01-01,54.0
2013-01-02,52.199999999999996
2013-01-03,51.0
2013-01-04,50.4
2013-01-05,60.0
2013-01-06,55.8
2013-01-07,48.6
2013-01-08,48.6
2013-01-09,46.199999999999996
2013-01-10,47.4
2013-01-11,42.0
2013-01-12,49.8
2013-01-13,51.6
2013-01-14,43.8
2013-01-15,44.4
2013-01-16,40.199999999999996
2013-01-17,40.8
2013-01-18,46.199999999999996
2013-01-19,46.8
2013-01-20,48.6
2013-01-21,42.0
2013-01-22,42.6
2013-01-23,43.8
2013-01-24,43.8
2013-01-25,46.199999999999996
2013-01-26,51.6
2013-01-27,54.0
2013-01-28,41.4
2013-01-29,39.6
2013-01-30,40.8
2013-01-31,41.4
2013-02-01,44.02
2013-02-02,57.04
2013-02-03,62.0
2013-02-04,48.36
2013-02-05,47.12
2013-02-06,45.88
2013-02-07,45.88
2013-02-08,48.36
2013-02-09,55.8
2013-02-10,57.66
2013-02-11,42.78
2013-02-12,43.4
2013-02-13,43.4
2013-02-14,41.54
2013-02-15,44.02
2013-02-16,52.7
2013-02-17,57.66
2013-02-18,50.839999999999996
2013-02-19,49.6
2013-02-20,46.5
2013-02-21,47.12
2013-02-22,42.78
2013-02-23,58.9
2013-02-24,53.94
2013-02-25,44.02
2013-02-26,44.64
2013-02-27,45.26
2013-02-28,45.26
2013-03-01,42.089999999999996
2013-03-02,56.12
2013-03-03,50.629999999999995
2013-03-04,45.14
2013-03-05,48.19
2013-03-06,49.41
2013-03-07,46.97
2013-03-08,46.36
2013-03-09,61.0
2013-03-10,56.73
2013-03-11,44.53
2013-03-12,44.53
2013-03-13,48.19
2013-03-14,43.31
2013-03-15,46.36
2013-03-16,56.73
2013-03-17,52.46
2013-03-18,43.31
2013-03-19,48.8
2013-03-20,44.53
2013-03-21,45.14
2013-03-22,43.92
2013-03-23,53.07
2013-03-24,54.9
2013-03-25,43.92
2013-03-26,47.58
2013-03-27,42.089999999999996
2013-03-28,47.58
2013-03-29,47.58
2013-03-30,48.8
2013-03-31,54.9
2013-04-01,39.760000000000005
2013-04-02,35.84
2013-04-03,40.88
2013-04-04,48.160000000000004
2013-04-05,44.24
2013-04-06,52.080000000000005
2013-04-07,50.96000000000001
2013-04-08,42.56
2013-04-09,43.120000000000005
2013-04-10,40.88
2013-04-11,40.32000000000001
2013-04-12,40.32000000000001
2013-04-13,56.00000000000001
2013-04-14,48.720000000000006
2013-04-15,39.2
2013-04-16,43.120000000000005
2013-04-17,39.2
2013-04-18,38.64
2013-04-19,39.2
2013-04-20,44.24
2013-04-21,49.28
2013-04-22,41.440000000000005
2013-04-23,41.440000000000005
2013-04-24,36.400000000000006
2013-04-25,40.32000000000001
2013-04-26,39.2
2013-04-27,52.080000000000005
2013-04-28,45.92
2013-04-29,38.080000000000005
2013-04-30,39.760000000000005
2013-05-01,43.31999999999999
2013-05-02,39.33
2013-05-03,45.029999999999994
2013-05-04,53.58
2013-05-05,54.72
2013-05-06,46.169999999999995
2013-05-07,47.309999999999995
2013-05-08,45.599999999999994
2013-05-09,43.31999999999999
2013-05-10,43.88999999999999
2013-05-11,53.58
2013-05-12,56.99999999999999
2013-05-13,47.309999999999995
2013-05-14,42.74999999999999
2013-05-15,44.459999999999994
2013-05-16,39.33
2013-05-17,41.61
2013-05-18,47.879999999999995
2013-05-19,47.309999999999995
2013-05-20,42.18
2013-05-21,43.31999999999999
2013-05-22,42.18
2013-05-23,44.459999999999994
2013-05-24,46.169999999999995
2013-05-25,55.28999999999999
2013-05-26,49.589999999999996
2013-05-27,49.589999999999996
2013-05-28,44.459999999999994
2013-05-29,38.19
2013-05-30,46.169999999999995
2013-05-31,42.74999999999999
2013-06-01,58.5
2013-06-02,60.45
2013-06-03,50.050000000000004
2013-06-04,52.65
2013-06-05,48.75
2013-06-06,48.75
2013-06-07,49.4
2013-06-08,62.400000000000006
2013-06-09,57.2
2013-06-10,54.6
2013-06-11,56.550000000000004
2013-06-12,54.6
2013-06-13,54.6
2013-06-14,57.2
2013-06-15,65.0
2013-06-16,60.45
2013-06-17,52.0
2013-06-18,55.9
2013-06-19,58.5
2013-06-20,55.25
2013-06-21,53.300000000000004
2013-06-22,59.800000000000004
2013-06-23,57.2
2013-06-24,55.9
2013-06-25,49.4
2013-06-26,55.25
2013-06-27,53.95
2013-06-28,49.4
2013-06-29,61.1
2013-06-30,63.050000000000004
2013-07-01,54.4
2013-07-02,55.68
2013-07-03,54.4
2013-07-04,60.160000000000004
2013-07-05,54.4
2013-07-06,61.44
2013-07-07,60.160000000000004
2013-07-08,51.84
2013-07-09,54.4
2013-07-10,55.04
2013-07-11,54.4
2013-07-12,55.04
2013-07-13,61.44
2013-07-14,60.160000000000004
2013-07-15,49.92
2013-07-16,53.76
2013-07-17,52.480000000000004
2013-07-18,55.04
2013-07-19,56.32
2013-07-20,62.08
2013-07-21,56.32
2013-07-22,53.76
2013-07-23,54.4
2013-07-24,52.480000000000004
2013-07-25,49.92
2013-07-26,54.4
2013-07-27,64.0
2013-07-28,62.72
2013-07-29,58.88
2013-07-30,50.56
2013-07-31,56.32
2013-08-01,46.97
2013-08-02,45.14
2013-08-03,53.68
2013-08-04,57.949999999999996
2013-08-05,48.8
2013-08-06,50.019999999999996
2013-08-07,49.41
2013-08-08,51.24
2013-08-09,48.8
2013-08-10,50.629999999999995
2013-08-11,58.56
2013-08-12,47.58
2013-08-13,48.8
2013-08-14,47.58
2013-08-15,49.41
2013-08-16,48.8
2013-08-17,61.0
2013-08-18,57.949999999999996
2013-08-19,48.8
2013-08-20,45.75
2013-08-21,49.41
2013-08-22,51.24
2013-08-23,46.97
2013-08-24,53.07
2013-08-25,57.949999999999996
2013-08-26,46.36
2013-08-27,48.8
2013-08-28,46.97
2013-08-29,47.58
2013-08-30,48.8
2013-08-31,51.85
2013-09-01,48.95
2013-09-02,46.2
2013-09-03,43.45
2013-09-04,40.150000000000006
2013-09-05,44.550000000000004
2013-09-06,45.1
2013-09-07,51.7
2013-09-08,54.45
2013-09-09,43.45
2013-09-10,44.550000000000004
2013-09-11,44.0
2013-09-12,41.25
2013-09-13,42.35
2013-09-14,50.050000000000004
2013-09-15,48.95
2013-09-16,41.800000000000004
2013-09-17,41.25
2013-09-18,41.800000000000004
2013-09-19,46.75000000000001
2013-09-20,48.400000000000006
2013-09-21,50.6
2013-09-22,47.85
2013-09-23,42.35
2013-09-24,42.35
2013-09-25,45.1
2013-09-26,46.75000000000001
2013-09-27,46.2
2013-09-28,50.6
2013-09-29,55.00000000000001
2013-09-30,39.050000000000004
2013-10-01,41.89
2013-10-02,43.66
2013-10-03,46.61
2013-10-04,44.839999999999996
2013-10-05,59.0
2013-10-06,56.64
2013-10-07,39.53
2013-10-08,44.839999999999996
2013-10-09,40.71
2013-10-10,42.48
2013-10-11,45.43
2013-10-12,49.559999999999995
2013-10-13,53.69
2013-10-14,43.66
2013-10-15,40.12
2013-10-16,41.3
2013-10-17,43.66
2013-10-18,44.25
2013-10-19,56.05
2013-10-20,51.33
2013-10-21,46.61
2013-10-22,43.66
2013-10-23,43.66
2013-10-24,44.25
2013-10-25,44.25
2013-10-26,52.51
2013-10-27,51.919999999999995
2013-10-28,44.839999999999996
2013-10-29,44.25
2013-10-30,41.3
2013-10-31,43.66
2013-11-01,30.360000000000003
2013-11-02,35.64
2013-11-03,35.64
2013-11-04,33.0
2013-11-05,30.360000000000003
2013-11-06,28.380000000000003
2013-11-07,30.360000000000003
2013-11-08,31.020000000000003
2013-11-09,34.980000000000004
2013-11-10,37.620000000000005
2013-11-11,34.32
2013-11-12,33.0
2013-11-13,33.0
2013-11-14,30.360000000000003
2013-11-15,31.020000000000003
2013-11-16,35.64
2013-11-17,36.96
2013-11-18,31.68
2013-11-19,33.0
2013-11-20,30.360000000000003
2013-11-21,33.660000000000004
2013-11-22,32.34
2013-11-23,40.260000000000005
2013-11-24,38.940000000000005
2013-11-25,35.64
2013-11-26,36.96
2013-11-27,37.620000000000005
2013-11-28,48.18
2013-11-29,66.0
2013-11-30,49.5
2013-12-01,52.44
2013-12-02,53.96
2013-12-03,48.64
2013-12-04,42.56
2013-12-05,41.04
2013-12-06,44.08
2013-12-07,52.44
2013-12-08,50.160000000000004
2013-12-09,38.0
2013-12-10,42.56
2013-12-11,42.56
2013-12-12,43.32
2013-12-13,44.84
2013-12-14,54.72
2013-12-15,52.44
2013-12-16,45.6
2013-12-17,45.6
2013-12-18,43.32
2013-12-19,41.8
2013-12-20,46.36
2013-12-21,53.2
2013-12-22,57.76
2013-12-23,52.44
2013-12-24,50.92
2013-12-25,76.0
2013-12-26,71.44
2013-12-27,63.84
2013-12-28,59.28
2013-12-29,57.76
2013-12-30,47.12
2013-12-31,48.64
2014-01-01,64.0
2014-01-02,59.52
2014-01-03,58.88
2014-01-04,60.160000000000004
2014-01-05,61.44
2014-01-06,51.2
2014-01-07,47.36
2014-01-08,49.28
2014-01-09,49.28
2014-01-10,49.92
2014-01-11,58.24
2014-01-12,63.36
2014-01-13,48.0
2014-01-14,46.72
2014-01-15,49.28
2014-01-16,48.0
2014-01-17,51.2
2014-01-18,57.6
2014-01-19,55.04
2014-01-20,49.28
2014-01-21,49.28
2014-01-22,46.08
2014-01-23,48.0
2014-01-24,49.28
2014-01-25,55.68
2014-01-26,57.6
2014-01-27,44.160000000000004
2014-01-28,44.800000000000004
2014-01-29,46.72
2014-01-30,46.72
2014-01-31,46.72
2014-02-01,57.949999999999996
2014-02-02,52.46
2014-02-03,44.53
2014-02-04,49.41
2014-02-05,45.14
2014-02-06,42.699999999999996
2014-02-07,42.089999999999996
2014-02-08,59.17
2014-02-09,53.68
2014-02-10,44.53
2014-02-11,44.53
2014-02-12,45.14
2014-02-13,50.629999999999995
2014-02-14,45.14
2014-02-15,57.949999999999996
2014-02-16,56.12
2014-02-17,51.85
2014-02-18,51.24
2014-02-19,48.19
2014-02-20,47.58
2014-02-21,45.75
2014-02-22,59.17
2014-02-23,61.0
2014-02-24,47.58
2014-02-25,46.97
2014-02-26,47.58
2014-02-27,47.58
2014-02-28,48.8
2014-03-01,53.900000000000006
2014-03-02,52.800000000000004
2014-03-03,42.900000000000006
2014-03-04,40.7
2014-03-05,46.2
2014-03-06,41.25
2014-03-07,41.800000000000004
2014-03-08,52.800000000000004
2014-03-09,51.150000000000006
2014-03-10,42.35
2014-03-11,44.0
2014-03-12,41.800000000000004
2014-03-13,41.800000000000004
2014-03-14,45.1
2014-03-15,52.25000000000001
2014-03-16,54.45
2014-03-17,43.45
2014-03-18,44.550000000000004
2014-03-19,44.0
2014-03-20,44.0
2014-03-21,44.550000000000004
2014-03-22,52.800000000000004
2014-03-23,53.35
2014-03-24,43.45
2014-03-25,42.35
2014-03-26,43.45
2014-03-27,46.2
2014-03-28,45.650000000000006
2014-03-29,55.00000000000001
2014-03-30,52.800000000000004
2014-03-31,46.2
2014-04-01,48.98
2014-04-02,48.98
2014-04-03,48.36
2014-04-04,48.36
2014-04-05,57.66
2014-04-06,55.8
2014-04-07,49.6
