date,IBM
2013-01-01,24.94
2013-01-02,54.18
2013-01-03,56.76
2013-01-04,57.62
2013-01-05,29.24
2013-01-06,30.099999999999998
2013-01-07,61.06
2013-01-08,63.64
2013-01-09,68.8
2013-01-10,64.5
2013-01-11,61.92
2013-01-12,34.4
2013-01-13,33.54
2013-01-14,63.64
2013-01-15,65.36
2013-01-16,63.64
2013-01-17,65.36
2013-01-18,58.48
2013-01-19,30.96
2013-01-20,30.099999999999998
2013-01-21,49.88
2013-01-22,73.96
2013-01-23,86.0
2013-01-24,79.98
2013-01-25,63.64
2013-01-26,36.98
2013-01-27,36.12
2013-01-28,63.64
2013-01-29,74.82
2013-01-30,65.36
2013-01-31,66.22
2013-02-01,70.55
2013-02-02,35.69
2013-02-03,35.69
2013-02-04,74.7
2013-02-05,75.53
2013-02-06,83.0
2013-02-07,70.55
2013-02-08,69.72
2013-02-09,33.199999999999996
2013-02-10,34.03
2013-02-11,78.02
2013-02-12,71.38
2013-02-13,74.7
2013-02-14,78.02
2013-02-15,73.03999999999999
2013-02-16,30.709999999999997
2013-02-17,34.86
2013-02-18,58.93
2013-02-19,71.38
2013-02-20,75.53
2013-02-21,76.36
2013-02-22,75.53
2013-02-23,36.519999999999996
2013-02-24,34.03
2013-02-25,63.91
2013-02-26,73.03999999999999
2013-02-27,82.17
2013-02-28,74.7
2013-03-01,74.8
2013-03-02,36.96
2013-03-03,37.84
2013-03-04,73.04
2013-03-05,82.72
2013-03-06,82.72
2013-03-07,88.0
2013-03-08,79.2
2013-03-09,41.36
2013-03-10,35.2
2013-03-11,67.76
2013-03-12,75.68
2013-03-13,75.68
2013-03-14,84.48
2013-03-15,77.44
2013-03-16,36.96
2013-03-17,34.32
2013-03-18,72.16
2013-03-19,86.24
2013-03-20,83.6
2013-03-21,75.68
2013-03-22,70.4
2013-03-23,36.08
2013-03-24,31.68
2013-03-25,73.92
2013-03-26,75.68
2013-03-27,79.2
2013-03-28,72.16
2013-03-29,61.6
2013-03-30,29.04
2013-03-31,33.44
2013-04-01,63.0
2013-04-02,65.7
2013-04-03,69.3
2013-04-04,72.0
2013-04-05,69.3
2013-04-06,30.6
2013-04-07,31.5
2013-04-08,65.7
2013-04-09,70.2
2013-04-10,68.4
2013-04-11,78.3
2013-04-12,72.9
2013-04-13,34.2
2013-04-14,34.2
2013-04-15,61.2
2013-04-16,79.2
2013-04-17,80.10000000000001
2013-04-18,85.5
2013-04-19,90.0
2013-04-20,36.0
2013-04-21,36.0
2013-04-22,82.8
2013-04-23,85.5
2013-04-24,82.8
2013-04-25,84.60000000000001
2013-04-26,68.4
2013-04-27,32.4
2013-04-28,31.5
2013-04-29,72.9
2013-04-30,80.10000000000001
2013-05-01,80.99
2013-05-02,89.0
2013-05-03,74.76
2013-05-04,42.72
2013-05-05,31.150000000000002
2013-05-06,70.31
2013-05-07,81.88
2013-05-08,77.43
2013-05-09,73.87
2013-05-10,60.52
2013-05-11,32.04
2013-05-12,29.37
2013-05-13,68.53
2013-05-14,83.66
2013-05-15,72.09
2013-05-16,72.09
2013-05-17,64.97
2013-05-18,29.37
2013-05-19,32.04
2013-05-20,67.64
2013-05-21,86.33
2013-05-22,71.2
2013-05-23,74.76
2013-05-24,62.300000000000004
2013-05-25,31.150000000000002
2013-05-26,30.26
2013-05-27,32.93
2013-05-28,80.1
2013-05-29,78.32000000000001
2013-05-30,86.33
2013-05-31,64.97
2013-06-01,21.12
2013-06-02,20.24
2013-06-03,51.92
2013-06-04,63.36
2013-06-05,53.68
2013-06-06,49.28
2013-06-07,49.28
2013-06-08,22.0
2013-06-09,21.12
2013-06-10,51.04
2013-06-11,51.92
2013-06-12,88.0
2013-06-13,84.48
2013-06-14,61.6
2013-06-15,26.4
2013-06-16,22.0
2013-06-17,56.32
2013-06-18,57.2
2013-06-19,48.4
2013-06-20,50.160000000000004
2013-06-21,48.4
2013-06-22,24.64
2013-06-23,19.36
2013-06-24,48.4
2013-06-25,50.160000000000004
2013-06-26,51.92
2013-06-27,47.52
2013-06-28,47.52
2013-06-29,22.0
2013-06-30,20.24
2013-07-01,53.82
2013-07-02,60.84
2013-07-03,50.7
2013-07-04,24.18
2013-07-05,42.9
2013-07-06,21.060000000000002
2013-07-07,23.400000000000002
2013-07-08,49.14
2013-07-09,62.400000000000006
2013-07-10,58.5
2013-07-11,56.940000000000005
2013-07-12,57.72
2013-07-13,28.080000000000002
2013-07-14,25.740000000000002
2013-07-15,59.28
2013-07-16,67.86
2013-07-17,78.0
2013-07-18,74.88
2013-07-19,53.82
2013-07-20,28.080000000000002
2013-07-21,24.96
