date,MCD
2013-01-01,8.4
2013-01-02,17.52
2013-01-03,12.0
2013-01-04,11.52
2013-01-05,9.84
2013-01-06,6.0
2013-01-07,14.399999999999999
2013-01-08,16.32
2013-01-09,12.959999999999999
2013-01-10,14.399999999999999
2013-01-11,13.92
2013-01-12,6.96
2013-01-13,3.36
2013-01-14,14.399999999999999
2013-01-15,11.04
2013-01-16,11.28
2013-01-17,13.44
2013-01-18,14.879999999999999
2013-01-19,5.76
2013-01-20,8.16
2013-01-21,6.96
2013-01-22,14.639999999999999
2013-01-23,24.0
2013-01-24,16.08
2013-01-25,16.8
2013-01-26,12.0
2013-01-27,10.32
2013-01-28,11.76
2013-01-29,15.6
2013-01-30,12.719999999999999
2013-01-31,16.32
2013-02-01,17.25
2013-02-02,17.48
2013-02-03,12.42
2013-02-04,19.32
2013-02-05,19.09
2013-02-06,10.35
2013-02-07,19.55
2013-02-08,17.02
2013-02-09,10.81
2013-02-10,6.44
2013-02-11,17.48
2013-02-12,15.64
2013-02-13,21.39
2013-02-14,18.86
2013-02-15,13.34
2013-02-16,13.8
2013-02-17,8.280000000000001
2013-02-18,12.88
2013-02-19,16.330000000000002
2013-02-20,22.540000000000003
2013-02-21,23.0
2013-02-22,11.73
2013-02-23,4.6000000000000005
2013-02-24,0.0
2013-02-25,17.71
2013-02-26,19.78
2013-02-27,20.93
2013-02-28,20.470000000000002
2013-03-01,16.72
2013-03-02,11.22
2013-03-03,8.14
2013-03-04,11.0
2013-03-05,19.8
2013-03-06,21.12
2013-03-07,13.86
2013-03-08,17.38
2013-03-09,7.04
2013-03-10,6.82
2013-03-11,15.62
2013-03-12,22.0
2013-03-13,14.3
2013-03-14,18.48
2013-03-15,17.16
2013-03-16,4.18
2013-03-17,9.46
2013-03-18,22.0
2013-03-19,14.52
2013-03-20,12.540000000000001
2013-03-21,10.34
2013-03-22,16.06
2013-03-23,8.36
2013-03-24,14.74
2013-03-25,13.86
2013-03-26,16.5
2013-03-27,12.540000000000001
2013-03-28,14.74
2013-03-29,13.42
2013-03-30,4.62
2013-03-31,9.24
2013-04-01,14.16
2013-04-02,13.44
2013-04-03,17.52
2013-04-04,13.68
2013-04-05,13.2
2013-04-06,12.0
2013-04-07,16.8
2013-04-08,19.68
2013-04-09,11.28
2013-04-10,16.32
2013-04-11,15.6
2013-04-12,21.119999999999997
2013-04-13,12.959999999999999
2013-04-14,10.08
2013-04-15,17.04
2013-04-16,12.48
2013-04-17,20.16
2013-04-18,16.32
2013-04-19,24.0
2013-04-20,13.92
2013-04-21,12.0
2013-04-22,19.2
2013-04-23,19.439999999999998
2013-04-24,21.84
2013-04-25,14.399999999999999
2013-04-26,18.72
2013-04-27,6.24
2013-04-28,7.199999999999999
2013-04-29,17.04
2013-04-30,19.439999999999998
2013-05-01,12.98
2013-05-02,18.26
2013-05-03,18.26
2013-05-04,9.24
2013-05-05,5.06
2013-05-06,14.74
2013-05-07,14.08
2013-05-08,22.0
2013-05-09,21.34
2013-05-10,15.84
2013-05-11,10.56
2013-05-12,17.16
2013-05-13,15.4
2013-05-14,17.38
2013-05-15,12.540000000000001
2013-05-16,13.2
2013-05-17,9.46
2013-05-18,11.66
2013-05-19,8.58
2013-05-20,15.18
2013-05-21,16.06
2013-05-22,18.48
2013-05-23,9.24
2013-05-24,13.2
2013-05-25,10.12
2013-05-26,9.46
2013-05-27,8.14
2013-05-28,14.08
2013-05-29,15.84
2013-05-30,15.84
2013-05-31,16.28
2013-06-01,14.7
2013-06-02,6.51
2013-06-03,15.12
2013-06-04,15.54
2013-06-05,17.43
2013-06-06,13.229999999999999
2013-06-07,13.44
2013-06-08,9.24
2013-06-09,4.83
2013-06-10,21.0
2013-06-11,16.169999999999998
2013-06-12,16.38
2013-06-13,14.91
2013-06-14,13.86
2013-06-15,5.25
2013-06-16,7.9799999999999995
2013-06-17,12.809999999999999
2013-06-18,15.54
2013-06-19,18.689999999999998
2013-06-20,19.529999999999998
2013-06-21,8.61
2013-06-22,13.02
2013-06-23,10.08
2013-06-24,13.229999999999999
2013-06-25,8.82
2013-06-26,19.74
2013-06-27,13.02
2013-06-28,17.009999999999998
2013-06-29,10.92
2013-06-30,13.86
2013-07-01,7.36
2013-07-02,8.0
2013-07-03,9.92
2013-07-04,8.0
2013-07-05,9.92
2013-07-06,9.92
2013-07-07,8.64
2013-07-08,14.4
2013-07-09,10.56
2013-07-10,10.88
2013-07-11,9.28
2013-07-12,11.52
2013-07-13,5.44
2013-07-14,6.72
2013-07-15,8.96
2013-07-16,17.28
2013-07-17,16.32
2013-07-18,12.8
2013-07-19,17.6
