date,MMM
2013-01-01,30.03
2013-01-02,33.54
2013-01-03,31.59
2013-01-04,39.0
2013-01-05,36.660000000000004
2013-01-06,31.59
2013-01-07,21.84
2013-01-08,31.59
2013-01-09,30.03
2013-01-10,27.69
2013-01-11,29.64
2013-01-12,29.25
2013-01-13,28.86
2013-01-14,33.15
2013-01-15,30.03
2013-01-16,39.0
2013-01-17,26.91
2013-01-18,32.76
2013-01-19,34.32
2013-01-20,31.98
2013-01-21,32.76
2013-01-22,33.93
2013-01-23,31.59
2013-01-24,39.0
2013-01-25,30.03
2013-01-26,29.64
2013-01-27,26.52
2013-01-28,34.71
2013-01-29,33.93
2013-01-30,32.76
2013-01-31,30.810000000000002
2013-02-01,29.97
2013-02-02,31.45
2013-02-03,24.05
2013-02-04,21.09
2013-02-05,27.009999999999998
2013-02-06,32.19
2013-02-07,28.86
2013-02-08,35.519999999999996
2013-02-09,36.26
2013-02-10,25.53
2013-02-11,32.93
2013-02-12,29.6
2013-02-13,30.34
2013-02-14,26.64
2013-02-15,37.0
2013-02-16,27.75
2013-02-17,31.08
2013-02-18,26.27
2013-02-19,31.08
2013-02-20,33.3
2013-02-21,29.97
2013-02-22,29.97
2013-02-23,28.12
2013-02-24,24.419999999999998
2013-02-25,27.009999999999998
2013-02-26,28.86
2013-02-27,29.97
2013-02-28,36.63
2013-03-01,31.200000000000003
2013-03-02,32.370000000000005
2013-03-03,31.59
2013-03-04,28.080000000000002
2013-03-05,37.83
2013-03-06,38.61
2013-03-07,37.44
2013-03-08,31.200000000000003
2013-03-09,31.59
2013-03-10,31.98
2013-03-11,25.35
2013-03-12,27.3
2013-03-13,21.84
2013-03-14,27.69
2013-03-15,35.1
2013-03-16,29.25
2013-03-17,25.740000000000002
2013-03-18,32.76
2013-03-19,34.71
2013-03-20,28.080000000000002
2013-03-21,28.080000000000002
2013-03-22,29.25
2013-03-23,39.0
2013-03-24,33.54
2013-03-25,31.200000000000003
2013-03-26,25.35
2013-03-27,28.080000000000002
2013-03-28,29.64
2013-03-29,28.470000000000002
2013-03-30,28.470000000000002
2013-03-31,27.3
2013-04-01,23.18
2013-04-02,25.080000000000002
2013-04-03,33.44
2013-04-04,25.84
2013-04-05,24.7
2013-04-06,24.32
2013-04-07,31.16
2013-04-08,28.12
2013-04-09,31.16
2013-04-10,22.04
2013-04-11,24.7
2013-04-12,26.98
2013-04-13,28.12
2013-04-14,17.86
2013-04-15,26.6
2013-04-16,25.84
2013-04-17,27.36
2013-04-18,25.84
2013-04-19,25.84
2013-04-20,24.7
2013-04-21,33.44
2013-04-22,31.54
2013-04-23,33.82
2013-04-24,28.5
2013-04-25,31.54
2013-04-26,30.02
2013-04-27,23.18
2013-04-28,38.0
2013-04-29,28.88
2013-04-30,32.68
2013-05-01,23.94
2013-05-02,30.4
2013-05-03,35.72
2013-05-04,31.54
2013-05-05,31.54
2013-05-06,24.7
2013-05-07,30.02
2013-05-08,27.740000000000002
2013-05-09,34.2
2013-05-10,37.62
2013-05-11,33.06
2013-05-12,28.88
2013-05-13,26.98
2013-05-14,35.72
2013-05-15,28.12
2013-05-16,36.86
2013-05-17,30.78
2013-05-18,30.4
2013-05-19,30.4
2013-05-20,24.7
2013-05-21,29.64
2013-05-22,26.6
2013-05-23,38.0
2013-05-24,30.4
2013-05-25,29.26
2013-05-26,34.58
2013-05-27,30.02
2013-05-28,37.24
2013-05-29,31.54
2013-05-30,31.16
2013-05-31,32.3
2013-06-01,24.79
2013-06-02,22.2
2013-06-03,25.53
2013-06-04,27.009999999999998
2013-06-05,30.34
2013-06-06,22.94
2013-06-07,28.49
2013-06-08,34.78
2013-06-09,22.57
2013-06-10,25.16
2013-06-11,23.68
2013-06-12,21.46
2013-06-13,34.78
2013-06-14,25.16
2013-06-15,27.38
2013-06-16,25.16
2013-06-17,24.05
2013-06-18,26.64
2013-06-19,21.09
2013-06-20,37.0
2013-06-21,26.64
2013-06-22,24.05
2013-06-23,27.75
2013-06-24,24.05
2013-06-25,30.71
2013-06-26,35.15
2013-06-27,30.34
2013-06-28,25.53
2013-06-29,30.34
2013-06-30,21.09
2013-07-01,25.53
2013-07-02,27.75
2013-07-03,25.16
2013-07-04,30.34
2013-07-05,29.23
2013-07-06,31.08
2013-07-07,26.64
2013-07-08,23.68
2013-07-09,26.27
2013-07-10,32.93
2013-07-11,24.05
2013-07-12,32.19
2013-07-13,27.38
2013-07-14,22.2
2013-07-15,29.23
2013-07-16,30.34
2013-07-17,35.89
