date,NKE
2013-01-01,3.1
2013-01-02,3.0
2013-01-03,5.9
2013-01-04,8.3
2013-01-05,3.2
2013-01-06,5.300000000000001
2013-01-07,10.0
2013-01-08,2.5
2013-01-09,5.4
2013-01-10,0.0
2013-01-11,6.300000000000001
2013-01-12,5.1000000000000005
2013-01-13,2.3000000000000003
2013-01-14,5.5
2013-01-15,0.0
2013-01-16,7.300000000000001
2013-01-17,4.4
2013-01-18,8.200000000000001
2013-01-19,2.3000000000000003
2013-01-20,3.9000000000000004
2013-01-21,0.0
2013-01-22,4.4
2013-01-23,7.6000000000000005
2013-01-24,3.9000000000000004
2013-01-25,3.5
2013-01-26,4.6000000000000005
2013-01-27,5.4
2013-01-28,3.2
2013-01-29,6.5
2013-01-30,0.0
2013-01-31,4.4
2013-02-01,8.28
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,6.84
2013-02-05,5.67
2013-02-06,1.53
2013-02-07,5.3999999999999995
2013-02-08,0.0
2013-02-09,3.42
2013-02-10,2.61
2013-02-11,7.38
2013-02-12,5.49
2013-02-13,0.0
2013-02-14,4.14
2013-02-15,9.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,4.95
2013-02-19,4.2299999999999995
2013-02-20,2.61
2013-02-21,4.41
2013-02-22,3.33
2013-02-23,2.6999999999999997
2013-02-24,0.0
2013-02-25,3.5999999999999996
2013-02-26,0.0
2013-02-27,2.07
2013-02-28,4.59
2013-03-01,1.43
2013-03-02,1.32
2013-03-03,3.85
2013-03-04,1.21
2013-03-05,1.1
2013-03-06,2.97
2013-03-07,2.31
2013-03-08,3.52
2013-03-09,0.0
2013-03-10,0.0
2013-03-11,0.99
2013-03-12,2.31
2013-03-13,3.19
2013-03-14,2.97
2013-03-15,2.75
2013-03-16,0.0
2013-03-17,1.54
2013-03-18,1.43
2013-03-19,3.41
2013-03-20,3.3
2013-03-21,3.52
2013-03-22,11.0
2013-03-23,0.0
2013-03-24,3.41
2013-03-25,4.29
2013-03-26,3.19
2013-03-27,1.54
2013-03-28,2.86
2013-03-29,1.65
2013-03-30,0.0
2013-03-31,1.43
2013-04-01,4.4399999999999995
2013-04-02,2.52
2013-04-03,6.72
2013-04-04,9.959999999999999
2013-04-05,4.4399999999999995
2013-04-06,11.04
2013-04-07,2.52
2013-04-08,7.92
2013-04-09,7.92
2013-04-10,6.359999999999999
2013-04-11,10.68
2013-04-12,11.04
2013-04-13,5.279999999999999
2013-04-14,3.96
2013-04-15,8.4
2013-04-16,6.359999999999999
2013-04-17,9.84
2013-04-18,4.32
2013-04-19,5.04
2013-04-20,5.279999999999999
2013-04-21,8.76
2013-04-22,9.959999999999999
2013-04-23,12.0
2013-04-24,8.64
2013-04-25,9.12
2013-04-26,3.36
2013-04-27,11.16
2013-04-28,3.7199999999999998
2013-04-29,6.12
2013-04-30,7.4399999999999995
2013-05-01,5.4
2013-05-02,2.3000000000000003
2013-05-03,2.6
2013-05-04,6.300000000000001
2013-05-05,1.9000000000000001
2013-05-06,10.0
2013-05-07,7.2
2013-05-08,0.0
2013-05-09,4.800000000000001
2013-05-10,4.5
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,1.5
2013-05-14,4.800000000000001
2013-05-15,7.1000000000000005
2013-05-16,0.0
2013-05-17,1.8
2013-05-18,3.5
2013-05-19,2.8000000000000003
2013-05-20,2.8000000000000003
2013-05-21,0.0
2013-05-22,3.7
2013-05-23,7.0
2013-05-24,8.6
2013-05-25,0.0
2013-05-26,7.7
2013-05-27,0.0
2013-05-28,9.700000000000001
2013-05-29,5.300000000000001
2013-05-30,8.3
2013-05-31,3.8000000000000003
2013-06-01,1.6
2013-06-02,2.1
2013-06-03,3.8000000000000003
2013-06-04,3.9000000000000004
2013-06-05,1.2000000000000002
2013-06-06,7.2
2013-06-07,4.3
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,1.7000000000000002
2013-06-11,3.0
2013-06-12,2.5
2013-06-13,3.9000000000000004
2013-06-14,3.2
2013-06-15,0.0
2013-06-16,3.0
2013-06-17,4.6000000000000005
2013-06-18,2.1
2013-06-19,4.6000000000000005
2013-06-20,3.0
2013-06-21,2.9000000000000004
2013-06-22,1.6
2013-06-23,2.8000000000000003
2013-06-24,1.8
2013-06-25,5.7
2013-06-26,4.0
2013-06-27,10.0
2013-06-28,9.200000000000001
2013-06-29,2.8000000000000003
2013-06-30,2.2
2013-07-01,3.92
2013-07-02,0.0
2013-07-03,3.04
2013-07-04,0.0
2013-07-05,0.0
2013-07-06,4.88
2013-07-07,6.32
2013-07-08,2.48
2013-07-09,0.0
2013-07-10,2.96
2013-07-11,0.0
2013-07-12,7.92
2013-07-13,0.0
2013-07-14,5.28
2013-07-15,0.0
2013-07-16,6.4
2013-07-17,2.8000000000000003
2013-07-18,0.0
2013-07-19,6.5600000000000005
2013-07-20,3.2
2013-07-21,2.72
2013-07-22,4.16
2013-07-23,0.0
2013-07-24,3.2800000000000002
2013-07-25,0.0
2013-07-26,1.76
2013-07-27,2.96
2013-07-28,0.0
2013-07-29,0.0
2013-07-30,2.32
2013-07-31,8.0
2013-08-01,8.0
2013-08-02,3.6
2013-08-03,0.0
2013-08-04,4.16
2013-08-05,4.88
2013-08-06,7.04
2013-08-07,0.0
2013-08-08,3.2800000000000002
2013-08-09,4.5600000000000005
2013-08-10,0.0
2013-08-11,2.8000000000000003
2013-08-12,6.32
2013-08-13,0.0
2013-08-14,3.7600000000000002
2013-08-15,6.24
2013-08-16,6.72
