date,TRV
2013-01-01,38.69
2013-01-02,41.61
2013-01-03,43.8
2013-01-04,66.42999999999999
2013-01-05,22.63
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,67.89
2013-01-09,25.55
2013-01-10,0.0
2013-01-11,73.0
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,44.53
2013-01-16,59.86
2013-01-17,39.42
2013-01-18,0.0
2013-01-19,41.61
2013-01-20,64.24
2013-01-21,29.2
2013-01-22,56.21
2013-01-23,64.24
2013-01-24,0.0
2013-01-25,34.31
2013-01-26,23.36
2013-01-27,20.439999999999998
2013-01-28,45.26
2013-01-29,28.47
2013-01-30,48.91
2013-01-31,0.0
2013-02-01,45.14
2013-02-02,25.16
2013-02-03,32.56
2013-02-04,39.22
2013-02-05,48.1
2013-02-06,12.58
2013-02-07,42.18
2013-02-08,28.86
2013-02-09,0.0
2013-02-10,14.8
2013-02-11,17.02
2013-02-12,37.0
2013-02-13,30.34
2013-02-14,27.38
2013-02-15,68.82
2013-02-16,38.48
2013-02-17,41.44
2013-02-18,20.72
2013-02-19,74.0
2013-02-20,42.18
2013-02-21,56.24
2013-02-22,56.24
2013-02-23,0.0
2013-02-24,26.64
2013-02-25,17.02
2013-02-26,55.5
2013-02-27,17.02
2013-02-28,65.86
2013-03-01,30.150000000000002
2013-03-02,0.0
2013-03-03,30.82
2013-03-04,0.0
2013-03-05,33.5
2013-03-06,28.810000000000002
2013-03-07,44.220000000000006
2013-03-08,67.0
2013-03-09,26.130000000000003
2013-03-10,60.970000000000006
2013-03-11,34.17
2013-03-12,35.510000000000005
2013-03-13,14.07
2013-03-14,23.450000000000003
2013-03-15,38.86
2013-03-16,0.0
2013-03-17,30.82
2013-03-18,54.940000000000005
2013-03-19,0.0
2013-03-20,47.57
2013-03-21,52.93
2013-03-22,60.970000000000006
2013-03-23,27.470000000000002
2013-03-24,34.17
2013-03-25,50.92
2013-03-26,31.490000000000002
2013-03-27,14.74
2013-03-28,28.14
2013-03-29,0.0
2013-03-30,0.0
2013-03-31,30.82
2013-04-01,21.76
2013-04-02,17.68
2013-04-03,60.52
2013-04-04,50.32
2013-04-05,0.0
2013-04-06,41.480000000000004
2013-04-07,39.440000000000005
2013-04-08,54.400000000000006
2013-04-09,63.24
2013-04-10,30.6
2013-04-11,51.00000000000001
2013-04-12,0.0
2013-04-13,0.0
2013-04-14,27.200000000000003
2013-04-15,51.00000000000001
2013-04-16,29.240000000000002
2013-04-17,0.0
2013-04-18,28.560000000000002
2013-04-19,0.0
2013-04-20,29.92
2013-04-21,0.0
2013-04-22,56.440000000000005
2013-04-23,34.0
2013-04-24,68.0
2013-04-25,58.480000000000004
2013-04-26,40.120000000000005
2013-04-27,0.0
2013-04-28,34.68
2013-04-29,51.00000000000001
2013-04-30,0.0
2013-05-01,23.04
2013-05-02,46.08
2013-05-03,35.2
2013-05-04,27.52
2013-05-05,0.0
2013-05-06,20.48
2013-05-07,27.52
2013-05-08,30.72
2013-05-09,0.0
2013-05-10,28.16
2013-05-11,29.44
2013-05-12,19.2
2013-05-13,30.080000000000002
2013-05-14,29.44
2013-05-15,17.92
2013-05-16,26.88
2013-05-17,0.0
2013-05-18,37.12
2013-05-19,31.36
2013-05-20,42.24
2013-05-21,29.44
2013-05-22,0.0
2013-05-23,14.08
2013-05-24,19.84
2013-05-25,23.04
2013-05-26,37.76
2013-05-27,0.0
2013-05-28,24.32
2013-05-29,64.0
2013-05-30,62.72
2013-05-31,46.72
2013-06-01,0.0
2013-06-02,0.0
2013-06-03,35.28
2013-06-04,0.0
2013-06-05,62.37
2013-06-06,44.73
2013-06-07,63.0
2013-06-08,29.61
2013-06-09,0.0
2013-06-10,0.0
2013-06-11,56.07
2013-06-12,38.43
2013-06-13,41.58
2013-06-14,13.23
2013-06-15,43.47
2013-06-16,0.0
2013-06-17,0.0
2013-06-18,27.72
2013-06-19,20.16
2013-06-20,0.0
2013-06-21,0.0
2013-06-22,53.55
2013-06-23,0.0
2013-06-24,22.68
2013-06-25,0.0
2013-06-26,22.68
2013-06-27,0.0
2013-06-28,0.0
2013-06-29,0.0
2013-06-30,0.0
2013-07-01,38.34
2013-07-02,15.66
2013-07-03,22.14
2013-07-04,0.0
2013-07-05,43.74
2013-07-06,43.2
2013-07-07,0.0
2013-07-08,17.28
2013-07-09,0.0
2013-07-10,18.900000000000002
2013-07-11,42.120000000000005
2013-07-12,12.420000000000002
2013-07-13,0.0
2013-07-14,0.0
2013-07-15,11.88
2013-07-16,11.88
2013-07-17,31.860000000000003
2013-07-18,54.0
2013-07-19,14.040000000000001
2013-07-20,18.900000000000002
2013-07-21,16.200000000000003
2013-07-22,23.76
2013-07-23,44.82
2013-07-24,0.0
2013-07-25,0.0
2013-07-26,0.0
2013-07-27,50.220000000000006
2013-07-28,21.060000000000002
2013-07-29,27.0
2013-07-30,29.160000000000004
2013-07-31,0.0
2013-08-01,11.78
2013-08-02,0.0
2013-08-03,9.92
2013-08-04,0.0
2013-08-05,0.0
