date,TRV
2013-01-01,0.0
2013-01-02,46.97
2013-01-03,33.88
2013-01-04,65.45
2013-01-05,63.14
2013-01-06,15.4
2013-01-07,45.43
2013-01-08,0.0
2013-01-09,29.26
2013-01-10,0.0
2013-01-11,43.120000000000005
2013-01-12,16.94
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,22.330000000000002
2013-01-16,43.89
2013-01-17,23.1
2013-01-18,21.560000000000002
2013-01-19,0.0
2013-01-20,16.94
2013-01-21,36.19
2013-01-22,60.06
2013-01-23,77.0
2013-01-24,43.120000000000005
2013-01-25,30.03
2013-01-26,26.18
2013-01-27,0.0
2013-01-28,61.6
2013-01-29,21.560000000000002
2013-01-30,48.51
2013-01-31,71.61
2013-02-01,27.3
2013-02-02,43.68
2013-02-03,46.02
2013-02-04,42.9
2013-02-05,21.060000000000002
2013-02-06,17.94
2013-02-07,46.800000000000004
2013-02-08,23.400000000000002
2013-02-09,0.0
2013-02-10,0.0
2013-02-11,32.76
2013-02-12,36.660000000000004
2013-02-13,33.54
2013-02-14,0.0
2013-02-15,78.0
2013-02-16,76.44
2013-02-17,0.0
2013-02-18,48.36
2013-02-19,0.0
2013-02-20,75.66
2013-02-21,17.16
2013-02-22,53.04
2013-02-23,0.0
2013-02-24,20.28
2013-02-25,12.48
2013-02-26,32.76
2013-02-27,49.14
2013-02-28,33.54
2013-03-01,11.36
2013-03-02,0.0
2013-03-03,40.47
2013-03-04,23.43
2013-03-05,24.14
2013-03-06,0.0
2013-03-07,63.19
2013-03-08,25.56
2013-03-09,71.0
2013-03-10,26.27
2013-03-11,47.57
2013-03-12,0.0
2013-03-13,0.0
2013-03-14,0.0
2013-03-15,41.89
2013-03-16,26.27
2013-03-17,14.2
2013-03-18,55.379999999999995
2013-03-19,0.0
2013-03-20,49.699999999999996
2013-03-21,49.699999999999996
2013-03-22,31.95
2013-03-23,17.04
2013-03-24,18.46
2013-03-25,39.76
2013-03-26,40.47
2013-03-27,28.4
2013-03-28,0.0
2013-03-29,14.2
2013-03-30,0.0
2013-03-31,53.25
2013-04-01,19.169999999999998
2013-04-02,15.62
2013-04-03,56.089999999999996
2013-04-04,34.08
2013-04-05,29.82
2013-04-06,26.979999999999997
2013-04-07,0.0
2013-04-08,21.299999999999997
2013-04-09,8.52
2013-04-10,19.88
2013-04-11,30.529999999999998
2013-04-12,19.169999999999998
2013-04-13,0.0
2013-04-14,0.0
2013-04-15,71.0
2013-04-16,16.33
2013-04-17,26.979999999999997
2013-04-18,33.37
2013-04-19,0.0
2013-04-20,17.04
2013-04-21,0.0
2013-04-22,25.56
2013-04-23,31.95
2013-04-24,25.56
2013-04-25,33.37
2013-04-26,0.0
2013-04-27,0.0
2013-04-28,0.0
2013-04-29,65.32
2013-04-30,0.0
2013-05-01,32.160000000000004
2013-05-02,32.160000000000004
2013-05-03,67.0
2013-05-04,0.0
2013-05-05,12.06
2013-05-06,38.190000000000005
2013-05-07,20.1
2013-05-08,28.810000000000002
2013-05-09,38.190000000000005
2013-05-10,10.05
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,40.870000000000005
2013-05-14,31.490000000000002
2013-05-15,13.4
2013-05-16,32.160000000000004
2013-05-17,46.230000000000004
2013-05-18,35.510000000000005
2013-05-19,32.160000000000004
2013-05-20,34.17
2013-05-21,14.07
2013-05-22,19.43
2013-05-23,0.0
2013-05-24,0.0
2013-05-25,14.74
2013-05-26,36.18
2013-05-27,0.0
2013-05-28,42.21
2013-05-29,21.44
2013-05-30,29.48
2013-05-31,14.07
2013-06-01,16.32
2013-06-02,0.0
2013-06-03,13.600000000000001
2013-06-04,23.8
2013-06-05,42.84
2013-06-06,0.0
2013-06-07,14.280000000000001
2013-06-08,21.76
2013-06-09,0.0
2013-06-10,34.0
2013-06-11,25.16
2013-06-12,41.480000000000004
2013-06-13,44.2
2013-06-14,27.880000000000003
2013-06-15,40.800000000000004
2013-06-16,0.0
2013-06-17,27.200000000000003
2013-06-18,25.840000000000003
2013-06-19,50.32
2013-06-20,0.0
2013-06-21,20.400000000000002
2013-06-22,68.0
2013-06-23,23.12
2013-06-24,44.88
2013-06-25,0.0
2013-06-26,17.68
2013-06-27,32.64
2013-06-28,0.0
2013-06-29,40.800000000000004
2013-06-30,0.0
2013-07-01,28.06
2013-07-02,12.2
2013-07-03,22.57
2013-07-04,0.0
2013-07-05,27.45
2013-07-06,0.0
2013-07-07,10.98
2013-07-08,0.0
2013-07-09,9.76
2013-07-10,14.64
2013-07-11,22.57
2013-07-12,13.42
2013-07-13,0.0
2013-07-14,21.96
2013-07-15,0.0
2013-07-16,0.0
2013-07-17,15.25
2013-07-18,12.2
2013-07-19,26.23
2013-07-20,0.0
2013-07-21,17.08
2013-07-22,10.37
2013-07-23,27.45
2013-07-24,11.59
2013-07-25,7.93
2013-07-26,10.37
2013-07-27,8.54
2013-07-28,61.0
2013-07-29,19.52
2013-07-30,19.52
2013-07-31,13.42
2013-08-01,11.56
2013-08-02,12.920000000000002
2013-08-03,12.920000000000002
2013-08-04,14.280000000000001
2013-08-05,0.0
2013-08-06,0.0
2013-08-07,0.0
2013-08-08,19.720000000000002
2013-08-09,21.76
2013-08-10,0.0
2013-08-11,35.36
2013-08-12,32.64
2013-08-13,21.080000000000002
2013-08-14,10.88
2013-08-15,0.0
2013-08-16,68.0
2013-08-17,17.0
2013-08-18,38.080000000000005
2013-08-19,28.560000000000002
2013-08-20,20.400000000000002
2013-08-21,10.88
2013-08-22,24.48
2013-08-23,0.0
2013-08-24,0.0
2013-08-25,19.040000000000003
2013-08-26,10.88
2013-08-27,25.840000000000003
2013-08-28,54.400000000000006
2013-08-29,19.720000000000002
2013-08-30,31.96
2013-08-31,59.160000000000004
2013-09-01,27.060000000000002
2013-09-02,50.160000000000004
2013-09-03,0.0
2013-09-04,0.0
2013-09-05,25.080000000000002
2013-09-06,25.080000000000002
2013-09-07,27.720000000000002
2013-09-08,0.0
2013-09-09,21.78
2013-09-10,38.940000000000005
2013-09-11,66.0
2013-09-12,36.96
2013-09-13,45.54
2013-09-14,13.860000000000001
2013-09-15,33.0
2013-09-16,0.0
2013-09-17,0.0
2013-09-18,39.6
2013-09-19,56.1
2013-09-20,11.88
2013-09-21,21.12
2013-09-22,31.68
2013-09-23,34.980000000000004
2013-09-24,10.56
2013-09-25,29.700000000000003
2013-09-26,38.940000000000005
2013-09-27,0.0
2013-09-28,0.0
2013-09-29,13.200000000000001
2013-09-30,24.42
2013-10-01,28.0
2013-10-02,9.1
2013-10-03,21.7
2013-10-04,0.0
2013-10-05,18.2
2013-10-06,17.5
2013-10-07,10.5
2013-10-08,20.299999999999997
2013-10-09,26.599999999999998
2013-10-10,23.799999999999997
2013-10-11,28.0
2013-10-12,25.9
2013-10-13,43.4
2013-10-14,58.099999999999994
2013-10-15,21.0
2013-10-16,0.0
2013-10-17,44.8
2013-10-18,11.899999999999999
2013-10-19,13.299999999999999
2013-10-20,28.7
2013-10-21,15.399999999999999
2013-10-22,28.7
2013-10-23,0.0
2013-10-24,29.4
2013-10-25,0.0
2013-10-26,70.0
2013-10-27,11.2
2013-10-28,40.599999999999994
2013-10-29,32.9
2013-10-30,13.299999999999999
2013-10-31,30.099999999999998
2013-11-01,53.25
2013-11-02,0.0
2013-11-03,24.849999999999998
2013-11-04,71.0
2013-11-05,0.0
2013-11-06,24.14
2013-11-07,15.62
2013-11-08,50.41
2013-11-09,24.849999999999998
2013-11-10,0.0
2013-11-11,14.2
2013-11-12,0.0
2013-11-13,21.299999999999997
2013-11-14,34.08
2013-11-15,0.0
2013-11-16,50.41
2013-11-17,39.05
2013-11-18,0.0
2013-11-19,42.599999999999994
2013-11-20,14.91
2013-11-21,23.43
2013-11-22,16.33
2013-11-23,0.0
2013-11-24,0.0
2013-11-25,54.669999999999995
2013-11-26,53.959999999999994
2013-11-27,23.43
2013-11-28,17.04
2013-11-29,0.0
2013-11-30,16.33
2013-12-01,0.0
2013-12-02,15.75
2013-12-03,12.6
2013-12-04,46.62
2013-12-05,30.87
2013-12-06,11.34
2013-12-07,0.0
2013-12-08,21.42
2013-12-09,17.01
2013-12-10,44.73
2013-12-11,20.16
2013-12-12,0.0
2013-12-13,22.68
2013-12-14,0.0
2013-12-15,15.75
2013-12-16,25.2
2013-12-17,63.0
2013-12-18,28.35
2013-12-19,46.62
2013-12-20,28.35
2013-12-21,34.65
2013-12-22,0.0
2013-12-23,19.53
2013-12-24,0.0
2013-12-25,0.0
2013-12-26,18.27
2013-12-27,0.0
2013-12-28,0.0
2013-12-29,39.06
2013-12-30,57.96
2013-12-31,32.13
2014-01-01,26.64
2014-01-02,45.36
2014-01-03,0.0
2014-01-04,15.84
2014-01-05,13.68
2014-01-06,21.599999999999998
2014-01-07,34.56
2014-01-08,25.919999999999998
2014-01-09,35.28
2014-01-10,0.0
2014-01-11,15.12
2014-01-12,23.759999999999998
2014-01-13,41.76
2014-01-14,43.199999999999996
2014-01-15,72.0
2014-01-16,20.88
2014-01-17,0.0
2014-01-18,15.84
2014-01-19,0.0
2014-01-20,60.48
2014-01-21,48.96
2014-01-22,25.919999999999998
2014-01-23,42.48
2014-01-24,0.0
2014-01-25,30.959999999999997
2014-01-26,46.08
2014-01-27,28.08
2014-01-28,53.28
2014-01-29,43.199999999999996
2014-01-30,23.759999999999998
2014-01-31,14.399999999999999
2014-02-01,58.080000000000005
2014-02-02,54.120000000000005
2014-02-03,62.040000000000006
2014-02-04,27.060000000000002
2014-02-05,19.14
2014-02-06,66.0
2014-02-07,0.0
2014-02-08,57.42
2014-02-09,0.0
2014-02-10,32.34
2014-02-11,26.400000000000002
2014-02-12,39.6
2014-02-13,19.14
2014-02-14,16.5
2014-02-15,17.82
2014-02-16,27.720000000000002
2014-02-17,56.1
2014-02-18,25.740000000000002
2014-02-19,0.0
2014-02-20,0.0
2014-02-21,48.18
2014-02-22,29.700000000000003
2014-02-23,54.78
2014-02-24,31.020000000000003
2014-02-25,15.180000000000001
2014-02-26,33.0
2014-02-27,27.720000000000002
2014-02-28,46.86
2014-03-01,38.4
2014-03-02,34.199999999999996
2014-03-03,17.4
2014-03-04,22.2
2014-03-05,21.599999999999998
2014-03-06,0.0
2014-03-07,0.0
2014-03-08,21.0
2014-03-09,16.8
2014-03-10,37.199999999999996
2014-03-11,23.4
2014-03-12,40.8
2014-03-13,52.8
2014-03-14,15.6
2014-03-15,21.0
2014-03-16,0.0
2014-03-17,18.0
2014-03-18,27.0
2014-03-19,13.799999999999999
2014-03-20,23.4
2014-03-21,19.8
2014-03-22,60.0
2014-03-23,34.199999999999996
2014-03-24,40.199999999999996
2014-03-25,24.0
2014-03-26,23.4
2014-03-27,33.0
2014-03-28,43.8
2014-03-29,39.0
2014-03-30,0.0
2014-03-31,15.0
2014-04-01,10.5
2014-04-02,14.0
2014-04-03,12.6
2014-04-04,0.0
2014-04-05,0.0
2014-04-06,0.0
2014-04-07,23.799999999999997
2014-04-08,16.099999999999998
2014-04-09,37.8
2014-04-10,16.099999999999998
2014-04-11,9.1
2014-04-12,14.7
2014-04-13,0.0
2014-04-14,0.0
2014-04-15,25.2
2014-04-16,0.0
2014-04-17,13.299999999999999
2014-04-18,19.599999999999998
2014-04-19,70.0
2014-04-20,19.599999999999998
2014-04-21,25.9
2014-04-22,25.9
2014-04-23,20.299999999999997
2014-04-24,23.799999999999997
2014-04-25,22.4
2014-04-26,25.9
2014-04-27,18.2
2014-04-28,8.399999999999999
2014-04-29,32.9
2014-04-30,12.6
2014-05-01,0.0
2014-05-02,11.1
2014-05-03,18.5
2014-05-04,30.34
2014-05-05,32.56
2014-05-06,26.64
2014-05-07,20.72
2014-05-08,0.0
2014-05-09,17.02
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,11.1
2014-05-13,14.06
2014-05-14,8.879999999999999
2014-05-15,9.62
2014-05-16,38.48
2014-05-17,12.58
2014-05-18,0.0
2014-05-19,18.5
2014-05-20,31.82
2014-05-21,22.94
2014-05-22,9.62
2014-05-23,0.0
2014-05-24,20.72
2014-05-25,29.6
2014-05-26,0.0
2014-05-27,52.54
2014-05-28,74.0
2014-05-29,22.94
2014-05-30,33.3
2014-05-31,0.0
2014-06-01,52.54
2014-06-02,24.849999999999998
2014-06-03,31.95
2014-06-04,25.56
