date,AAPL_unscaled,AAPL_monthly,scale,AAPL
2013-01-01,10,100.0,1.0,10.0
2013-01-02,31,100.0,1.0,31.0
2013-01-03,27,100.0,1.0,27.0
2013-01-04,24,100.0,1.0,24.0
2013-01-05,9,100.0,1.0,9.0
2013-01-06,5,100.0,1.0,5.0
2013-01-07,21,100.0,1.0,21.0
2013-01-08,21,100.0,1.0,21.0
2013-01-09,21,100.0,1.0,21.0
2013-01-10,22,100.0,1.0,22.0
2013-01-11,20,100.0,1.0,20.0
2013-01-12,6,100.0,1.0,6.0
2013-01-13,5,100.0,1.0,5.0
2013-01-14,33,100.0,1.0,33.0
2013-01-15,38,100.0,1.0,38.0
2013-01-16,37,100.0,1.0,37.0
2013-01-17,32,100.0,1.0,32.0
2013-01-18,29,100.0,1.0,29.0
2013-01-19,12,100.0,1.0,12.0
2013-01-20,8,100.0,1.0,8.0
2013-01-21,11,100.0,1.0,11.0
2013-01-22,28,100.0,1.0,28.0
2013-01-23,58,100.0,1.0,58.0
2013-01-24,100,100.0,1.0,100.0
2013-01-25,61,100.0,1.0,61.0
2013-01-26,20,100.0,1.0,20.0
2013-01-27,10,100.0,1.0,10.0
2013-01-28,36,100.0,1.0,36.0
2013-01-29,37,100.0,1.0,37.0
2013-01-30,34,100.0,1.0,34.0
2013-01-31,30,100.0,1.0,30.0
2013-02-01,88,63.0,0.63,55.44
2013-02-02,33,63.0,0.63,20.79
2013-02-03,19,63.0,0.63,11.97
2013-02-04,77,63.0,0.63,48.51
2013-02-05,84,63.0,0.63,52.92
2013-02-06,79,63.0,0.63,49.77
2013-02-07,89,63.0,0.63,56.07
2013-02-08,100,63.0,0.63,63.0
2013-02-09,32,63.0,0.63,20.16
2013-02-10,20,63.0,0.63,12.6
2013-02-11,89,63.0,0.63,56.07
2013-02-12,89,63.0,0.63,56.07
2013-02-13,83,63.0,0.63,52.29
2013-02-14,70,63.0,0.63,44.1
2013-02-15,70,63.0,0.63,44.1
2013-02-16,23,63.0,0.63,14.49
2013-02-17,13,63.0,0.63,8.19
2013-02-18,33,63.0,0.63,20.79
2013-02-19,68,63.0,0.63,42.84
2013-02-20,65,63.0,0.63,40.95
2013-02-21,61,63.0,0.63,38.43
2013-02-22,65,63.0,0.63,40.95
2013-02-23,22,63.0,0.63,13.86
2013-02-24,13,63.0,0.63,8.19
2013-02-25,55,63.0,0.63,34.65
2013-02-26,64,63.0,0.63,40.32
2013-02-27,84,63.0,0.63,52.92
2013-02-28,62,63.0,0.63,39.06
2013-03-01,75,57.0,0.57,42.74999999999999
2013-03-02,27,57.0,0.57,15.389999999999999
2013-03-03,16,57.0,0.57,9.12
2013-03-04,87,57.0,0.57,49.589999999999996
2013-03-05,100,57.0,0.57,56.99999999999999
2013-03-06,91,57.0,0.57,51.87
2013-03-07,73,57.0,0.57,41.61
2013-03-08,71,57.0,0.57,40.47
2013-03-09,24,57.0,0.57,13.68
2013-03-10,16,57.0,0.57,9.12
2013-03-11,68,57.0,0.57,38.76
2013-03-12,76,57.0,0.57,43.31999999999999
2013-03-13,75,57.0,0.57,42.74999999999999
2013-03-14,69,57.0,0.57,39.33
2013-03-15,82,57.0,0.57,46.739999999999995
2013-03-16,26,57.0,0.57,14.819999999999999
2013-03-17,20,57.0,0.57,11.399999999999999
2013-03-18,77,57.0,0.57,43.88999999999999
2013-03-19,84,57.0,0.57,47.879999999999995
2013-03-20,72,57.0,0.57,41.04
