date,CSCO_unscaled,CSCO_monthly,scale,CSCO
2013-01-01,42,58.0,0.58,24.36
2013-01-02,84,58.0,0.58,48.72
2013-01-03,68,58.0,0.58,39.44
2013-01-04,71,58.0,0.58,41.18
2013-01-05,0,58.0,0.58,0.0
2013-01-06,24,58.0,0.58,13.919999999999998
2013-01-07,69,58.0,0.58,40.019999999999996
2013-01-08,75,58.0,0.58,43.5
2013-01-09,44,58.0,0.58,25.52
2013-01-10,49,58.0,0.58,28.419999999999998
2013-01-11,84,58.0,0.58,48.72
2013-01-12,14,58.0,0.58,8.12
2013-01-13,8,58.0,0.58,4.64
2013-01-14,66,58.0,0.58,38.279999999999994
2013-01-15,77,58.0,0.58,44.66
2013-01-16,59,58.0,0.58,34.22
2013-01-17,81,58.0,0.58,46.98
2013-01-18,61,58.0,0.58,35.379999999999995
2013-01-19,17,58.0,0.58,9.86
2013-01-20,13,58.0,0.58,7.539999999999999
2013-01-21,26,58.0,0.58,15.079999999999998
2013-01-22,63,58.0,0.58,36.54
2013-01-23,69,58.0,0.58,40.019999999999996
2013-01-24,76,58.0,0.58,44.08
2013-01-25,100,58.0,0.58,57.99999999999999
2013-01-26,33,58.0,0.58,19.139999999999997
2013-01-27,33,58.0,0.58,19.139999999999997
2013-01-28,40,58.0,0.58,23.2
2013-01-29,59,58.0,0.58,34.22
2013-01-30,65,58.0,0.58,37.699999999999996
2013-01-31,42,58.0,0.58,24.36
2013-02-01,28,64.0,0.64,17.92
2013-02-02,13,64.0,0.64,8.32
2013-02-03,4,64.0,0.64,2.56
2013-02-04,41,64.0,0.64,26.240000000000002
2013-02-05,35,64.0,0.64,22.400000000000002
2013-02-06,52,64.0,0.64,33.28
2013-02-07,33,64.0,0.64,21.12
2013-02-08,36,64.0,0.64,23.04
2013-02-09,20,64.0,0.64,12.8
2013-02-10,11,64.0,0.64,7.04
2013-02-11,36,64.0,0.64,23.04
2013-02-12,48,64.0,0.64,30.72
2013-02-13,100,64.0,0.64,64.0
2013-02-14,91,64.0,0.64,58.24
2013-02-15,44,64.0,0.64,28.16
2013-02-16,10,64.0,0.64,6.4
2013-02-17,0,64.0,0.64,0.0
2013-02-18,30,64.0,0.64,19.2
2013-02-19,49,64.0,0.64,31.36
2013-02-20,40,64.0,0.64,25.6
2013-02-21,37,64.0,0.64,23.68
2013-02-22,41,64.0,0.64,26.240000000000002
2013-02-23,10,64.0,0.64,6.4
2013-02-24,7,64.0,0.64,4.48
2013-02-25,15,64.0,0.64,9.6
2013-02-26,40,64.0,0.64,25.6
2013-02-27,40,64.0,0.64,25.6
2013-02-28,34,64.0,0.64,21.76
2013-03-01,50,54.0,0.54,27.0
2013-03-02,33,54.0,0.54,17.82
2013-03-03,7,54.0,0.54,3.7800000000000002
2013-03-04,42,54.0,0.54,22.68
2013-03-05,81,54.0,0.54,43.74
2013-03-06,66,54.0,0.54,35.64
2013-03-07,100,54.0,0.54,54.0
2013-03-08,80,54.0,0.54,43.2
2013-03-09,45,54.0,0.54,24.3
2013-03-10,34,54.0,0.54,18.36
2013-03-11,91,54.0,0.54,49.14
2013-03-12,73,54.0,0.54,39.42
2013-03-13,60,54.0,0.54,32.400000000000006
2013-03-14,70,54.0,0.54,37.800000000000004
2013-03-15,65,54.0,0.54,35.1
2013-03-16,34,54.0,0.54,18.36
2013-03-17,12,54.0,0.54,6.48
2013-03-18,72,54.0,0.54,38.88
2013-03-19,83,54.0,0.54,44.82
2013-03-20,52,54.0,0.54,28.080000000000002
2013-03-21,94,54.0,0.54,50.760000000000005
2013-03-22,81,54.0,0.54,43.74
2013-03-23,32,54.0,0.54,17.28
2013-03-24,11,54.0,0.54,5.94
2013-03-25,70,54.0,0.54,37.800000000000004
2013-03-26,60,54.0,0.54,32.400000000000006
2013-03-27,79,54.0,0.54,42.660000000000004
