date,CVX_unscaled,CVX_monthly,scale,CVX
2013-01-01,51,22.0,0.22,11.22
2013-01-02,62,22.0,0.22,13.64
2013-01-03,74,22.0,0.22,16.28
2013-01-04,77,22.0,0.22,16.94
2013-01-05,33,22.0,0.22,7.26
2013-01-06,0,22.0,0.22,0.0
2013-01-07,72,22.0,0.22,15.84
2013-01-08,78,22.0,0.22,17.16
2013-01-09,75,22.0,0.22,16.5
2013-01-10,92,22.0,0.22,20.24
2013-01-11,84,22.0,0.22,18.48
2013-01-12,52,22.0,0.22,11.44
2013-01-13,13,22.0,0.22,2.86
2013-01-14,52,22.0,0.22,11.44
2013-01-15,72,22.0,0.22,15.84
2013-01-16,84,22.0,0.22,18.48
2013-01-17,100,22.0,0.22,22.0
2013-01-18,67,22.0,0.22,14.74
2013-01-19,42,22.0,0.22,9.24
2013-01-20,19,22.0,0.22,4.18
2013-01-21,34,22.0,0.22,7.48
2013-01-22,66,22.0,0.22,14.52
2013-01-23,100,22.0,0.22,22.0
2013-01-24,78,22.0,0.22,17.16
2013-01-25,87,22.0,0.22,19.14
2013-01-26,65,22.0,0.22,14.3
2013-01-27,33,22.0,0.22,7.26
2013-01-28,49,22.0,0.22,10.78
2013-01-29,71,22.0,0.22,15.62
2013-01-30,90,22.0,0.22,19.8
2013-01-31,98,22.0,0.22,21.56
2013-02-01,86,23.0,0.23,19.78
2013-02-02,70,23.0,0.23,16.1
2013-02-03,45,23.0,0.23,10.35
2013-02-04,76,23.0,0.23,17.48
2013-02-05,94,23.0,0.23,21.62
2013-02-06,69,23.0,0.23,15.870000000000001
2013-02-07,76,23.0,0.23,17.48
2013-02-08,70,23.0,0.23,16.1
2013-02-09,45,23.0,0.23,10.35
2013-02-10,16,23.0,0.23,3.68
2013-02-11,73,23.0,0.23,16.79
2013-02-12,17,23.0,0.23,3.91
2013-02-13,63,23.0,0.23,14.49
2013-02-14,94,23.0,0.23,21.62
2013-02-15,68,23.0,0.23,15.64
2013-02-16,47,23.0,0.23,10.81
2013-02-17,31,23.0,0.23,7.13
2013-02-18,65,23.0,0.23,14.950000000000001
2013-02-19,86,23.0,0.23,19.78
2013-02-20,87,23.0,0.23,20.01
2013-02-21,48,23.0,0.23,11.040000000000001
2013-02-22,99,23.0,0.23,22.77
2013-02-23,37,23.0,0.23,8.51
2013-02-24,35,23.0,0.23,8.05
2013-02-25,55,23.0,0.23,12.65
2013-02-26,72,23.0,0.23,16.560000000000002
2013-02-27,73,23.0,0.23,16.79
2013-02-28,100,23.0,0.23,23.0
2013-03-01,80,23.0,0.23,18.400000000000002
2013-03-02,35,23.0,0.23,8.05
2013-03-03,25,23.0,0.23,5.75
2013-03-04,29,23.0,0.23,6.67
2013-03-05,84,23.0,0.23,19.32
2013-03-06,52,23.0,0.23,11.96
2013-03-07,75,23.0,0.23,17.25
2013-03-08,61,23.0,0.23,14.030000000000001
2013-03-09,69,23.0,0.23,15.870000000000001
2013-03-10,49,23.0,0.23,11.270000000000001
2013-03-11,57,23.0,0.23,13.110000000000001
2013-03-12,66,23.0,0.23,15.180000000000001
2013-03-13,48,23.0,0.23,11.040000000000001
2013-03-14,53,23.0,0.23,12.190000000000001
2013-03-15,100,23.0,0.23,23.0
2013-03-16,41,23.0,0.23,9.43
2013-03-17,41,23.0,0.23,9.43
2013-03-18,45,23.0,0.23,10.35
2013-03-19,73,23.0,0.23,16.79
2013-03-20,48,23.0,0.23,11.040000000000001
2013-03-21,66,23.0,0.23,15.180000000000001
2013-03-22,49,23.0,0.23,11.270000000000001
2013-03-23,20,23.0,0.23,4.6000000000000005
2013-03-24,39,23.0,0.23,8.97
2013-03-25,64,23.0,0.23,14.72
2013-03-26,68,23.0,0.23,15.64
2013-03-27,58,23.0,0.23,13.34
2013-03-28,55,23.0,0.23,12.65
2013-03-29,40,23.0,0.23,9.200000000000001
2013-03-30,31,23.0,0.23,7.13
2013-03-31,9,23.0,0.23,2.0700000000000003
2013-04-01,26,24.0,0.24,6.24
2013-04-02,49,24.0,0.24,11.76
2013-04-03,100,24.0,0.24,24.0
2013-04-04,35,24.0,0.24,8.4
2013-04-05,44,24.0,0.24,10.559999999999999
2013-04-06,32,24.0,0.24,7.68
2013-04-07,38,24.0,0.24,9.12
2013-04-08,38,24.0,0.24,9.12
2013-04-09,59,24.0,0.24,14.16
2013-04-10,72,24.0,0.24,17.28
2013-04-11,70,24.0,0.24,16.8
2013-04-12,64,24.0,0.24,15.36
2013-04-13,44,24.0,0.24,10.559999999999999
2013-04-14,8,24.0,0.24,1.92
2013-04-15,57,24.0,0.24,13.68
2013-04-16,54,24.0,0.24,12.959999999999999
2013-04-17,81,24.0,0.24,19.439999999999998
2013-04-18,64,24.0,0.24,15.36
2013-04-19,56,24.0,0.24,13.44
2013-04-20,43,24.0,0.24,10.32
2013-04-21,14,24.0,0.24,3.36
2013-04-22,39,24.0,0.24,9.36
2013-04-23,43,24.0,0.24,10.32
2013-04-24,60,24.0,0.24,14.399999999999999
2013-04-25,66,24.0,0.24,15.84
2013-04-26,62,24.0,0.24,14.879999999999999
2013-04-27,27,24.0,0.24,6.4799999999999995
