date,HD_unscaled,HD_monthly,scale,HD
2013-01-01,100,63.0,0.63,63.0
2013-01-02,84,63.0,0.63,52.92
2013-01-03,83,63.0,0.63,52.29
2013-01-04,97,63.0,0.63,61.11
2013-01-05,91,63.0,0.63,57.33
2013-01-06,92,63.0,0.63,57.96
2013-01-07,71,63.0,0.63,44.73
2013-01-08,80,63.0,0.63,50.4
2013-01-09,80,63.0,0.63,50.4
2013-01-10,73,63.0,0.63,45.99
2013-01-11,76,63.0,0.63,47.88
2013-01-12,87,63.0,0.63,54.81
2013-01-13,92,63.0,0.63,57.96
2013-01-14,75,63.0,0.63,47.25
2013-01-15,72,63.0,0.63,45.36
2013-01-16,67,63.0,0.63,42.21
2013-01-17,73,63.0,0.63,45.99
2013-01-18,70,63.0,0.63,44.1
2013-01-19,77,63.0,0.63,48.51
2013-01-20,80,63.0,0.63,50.4
2013-01-21,75,63.0,0.63,47.25
2013-01-22,67,63.0,0.63,42.21
2013-01-23,68,63.0,0.63,42.84
2013-01-24,72,63.0,0.63,45.36
2013-01-25,71,63.0,0.63,44.73
2013-01-26,84,63.0,0.63,52.92
2013-01-27,85,63.0,0.63,53.55
2013-01-28,68,63.0,0.63,42.84
2013-01-29,65,63.0,0.63,40.95
2013-01-30,66,63.0,0.63,41.58
2013-01-31,70,63.0,0.63,44.1
2013-02-01,78,62.0,0.62,48.36
2013-02-02,89,62.0,0.62,55.18
2013-02-03,100,62.0,0.62,62.0
2013-02-04,85,62.0,0.62,52.7
2013-02-05,79,62.0,0.62,48.98
2013-02-06,80,62.0,0.62,49.6
2013-02-07,78,62.0,0.62,48.36
2013-02-08,83,62.0,0.62,51.46
2013-02-09,99,62.0,0.62,61.38
2013-02-10,97,62.0,0.62,60.14
2013-02-11,81,62.0,0.62,50.22
2013-02-12,79,62.0,0.62,48.98
2013-02-13,80,62.0,0.62,49.6
2013-02-14,78,62.0,0.62,48.36
2013-02-15,84,62.0,0.62,52.08
2013-02-16,97,62.0,0.62,60.14
2013-02-17,96,62.0,0.62,59.519999999999996
2013-02-18,88,62.0,0.62,54.56
2013-02-19,81,62.0,0.62,50.22
2013-02-20,86,62.0,0.62,53.32
2013-02-21,82,62.0,0.62,50.839999999999996
2013-02-22,79,62.0,0.62,48.98
2013-02-23,97,62.0,0.62,60.14
2013-02-24,91,62.0,0.62,56.42
2013-02-25,85,62.0,0.62,52.7
2013-02-26,77,62.0,0.62,47.74
2013-02-27,82,62.0,0.62,50.839999999999996
2013-02-28,77,62.0,0.62,47.74
2013-03-01,69,61.0,0.61,42.089999999999996
2013-03-02,87,61.0,0.61,53.07
2013-03-03,83,61.0,0.61,50.629999999999995
2013-03-04,72,61.0,0.61,43.92
2013-03-05,74,61.0,0.61,45.14
2013-03-06,74,61.0,0.61,45.14
2013-03-07,68,61.0,0.61,41.48
2013-03-08,76,61.0,0.61,46.36
2013-03-09,90,61.0,0.61,54.9
2013-03-10,85,61.0,0.61,51.85
2013-03-11,69,61.0,0.61,42.089999999999996
2013-03-12,75,61.0,0.61,45.75
2013-03-13,76,61.0,0.61,46.36
2013-03-14,72,61.0,0.61,43.92
2013-03-15,73,61.0,0.61,44.53
2013-03-16,87,61.0,0.61,53.07
2013-03-17,84,61.0,0.61,51.24
2013-03-18,68,61.0,0.61,41.48
2013-03-19,76,61.0,0.61,46.36
2013-03-20,76,61.0,0.61,46.36
