date,KO_unscaled,KO_monthly,scale,KO
2013-01-01,100,48.0,0.48,48.0
2013-01-02,94,48.0,0.48,45.12
2013-01-03,87,48.0,0.48,41.76
2013-01-04,92,48.0,0.48,44.16
2013-01-05,92,48.0,0.48,44.16
2013-01-06,92,48.0,0.48,44.16
2013-01-07,84,48.0,0.48,40.32
2013-01-08,92,48.0,0.48,44.16
2013-01-09,91,48.0,0.48,43.68
2013-01-10,92,48.0,0.48,44.16
2013-01-11,93,48.0,0.48,44.64
2013-01-12,94,48.0,0.48,45.12
2013-01-13,95,48.0,0.48,45.6
2013-01-14,86,48.0,0.48,41.28
2013-01-15,72,48.0,0.48,34.56
2013-01-16,83,48.0,0.48,39.839999999999996
2013-01-17,82,48.0,0.48,39.36
2013-01-18,82,48.0,0.48,39.36
2013-01-19,90,48.0,0.48,43.199999999999996
2013-01-20,90,48.0,0.48,43.199999999999996
2013-01-21,77,48.0,0.48,36.96
2013-01-22,81,48.0,0.48,38.879999999999995
2013-01-23,88,48.0,0.48,42.239999999999995
2013-01-24,83,48.0,0.48,39.839999999999996
2013-01-25,84,48.0,0.48,40.32
2013-01-26,84,48.0,0.48,40.32
2013-01-27,99,48.0,0.48,47.519999999999996
2013-01-28,84,48.0,0.48,40.32
2013-01-29,78,48.0,0.48,37.44
2013-01-30,80,48.0,0.48,38.4
2013-01-31,78,48.0,0.48,37.44
2013-02-01,82,50.0,0.5,41.0
2013-02-02,86,50.0,0.5,43.0
2013-02-03,100,50.0,0.5,50.0
2013-02-04,80,50.0,0.5,40.0
2013-02-05,84,50.0,0.5,42.0
2013-02-06,89,50.0,0.5,44.5
2013-02-07,92,50.0,0.5,46.0
2013-02-08,78,50.0,0.5,39.0
2013-02-09,89,50.0,0.5,44.5
2013-02-10,92,50.0,0.5,46.0
2013-02-11,70,50.0,0.5,35.0
2013-02-12,77,50.0,0.5,38.5
2013-02-13,78,50.0,0.5,39.0
2013-02-14,83,50.0,0.5,41.5
2013-02-15,84,50.0,0.5,42.0
2013-02-16,91,50.0,0.5,45.5
2013-02-17,100,50.0,0.5,50.0
2013-02-18,88,50.0,0.5,44.0
2013-02-19,86,50.0,0.5,43.0
2013-02-20,81,50.0,0.5,40.5
2013-02-21,77,50.0,0.5,38.5
2013-02-22,92,50.0,0.5,46.0
2013-02-23,81,50.0,0.5,40.5
