,date,AAPL
3288,2013-01-01,1.54
3289,2013-01-02,3.78
3290,2013-01-03,3.92
3291,2013-01-04,2.24
3292,2013-01-05,1.2600000000000002
3293,2013-01-06,0.98
3294,2013-01-07,1.2600000000000002
3295,2013-01-08,2.8000000000000003
3296,2013-01-09,1.96
3297,2013-01-10,2.9400000000000004
3298,2013-01-11,2.24
3299,2013-01-12,1.54
3300,2013-01-13,0.0
3301,2013-01-14,1.8200000000000005
3302,2013-01-15,4.62
3303,2013-01-16,4.2
3304,2013-01-17,3.08
3305,2013-01-18,3.5000000000000004
3306,2013-01-19,0.56
3307,2013-01-20,0.98
3308,2013-01-21,1.6800000000000002
3309,2013-01-22,2.9400000000000004
3310,2013-01-23,5.74
3311,2013-01-24,14.000000000000002
3312,2013-01-25,10.22
3313,2013-01-26,6.0200000000000005
3314,2013-01-27,2.1
3315,2013-01-28,5.6000000000000005
3316,2013-01-29,6.44
3317,2013-01-30,4.340000000000001
3318,2013-01-31,4.0600000000000005
3319,2013-02-01,12.0
3320,2013-02-02,7.08
3321,2013-02-03,4.08
3322,2013-02-04,7.439999999999999
3323,2013-02-05,7.8
3324,2013-02-06,9.6
3325,2013-02-07,10.8
3326,2013-02-08,11.04
3327,2013-02-09,5.16
3328,2013-02-10,3.48
3329,2013-02-11,9.24
3330,2013-02-12,9.96
3331,2013-02-13,10.8
3332,2013-02-14,8.76
3333,2013-02-15,9.36
3334,2013-02-16,4.44
3335,2013-02-17,3.48
3336,2013-02-18,3.6
3337,2013-02-19,12.0
3338,2013-02-20,5.76
3339,2013-02-21,8.28
3340,2013-02-22,6.84
3341,2013-02-23,4.8
3342,2013-02-24,1.7999999999999998
3343,2013-02-25,5.52
3344,2013-02-26,7.319999999999999
3345,2013-02-27,9.96
3346,2013-02-28,10.08
3347,2013-03-01,7.37
3348,2013-03-02,3.41
3349,2013-03-03,3.3
3350,2013-03-04,8.03
3351,2013-03-05,9.9
3352,2013-03-06,8.58
3353,2013-03-07,8.8
3354,2013-03-08,7.15
3355,2013-03-09,5.28
3356,2013-03-10,2.75
3357,2013-03-11,7.37
3358,2013-03-12,7.7
3359,2013-03-13,7.04
3360,2013-03-14,8.14
3361,2013-03-15,8.14
3362,2013-03-16,3.3
3363,2013-03-17,2.75
3364,2013-03-18,8.36
3365,2013-03-19,11.0
3366,2013-03-20,4.73
3367,2013-03-21,7.15
3368,2013-03-22,8.14
3369,2013-03-23,2.75
3370,2013-03-24,3.74
3371,2013-03-25,6.6
3372,2013-03-26,8.47
3373,2013-03-27,6.49
3374,2013-03-28,8.47
3375,2013-03-29,4.95
3376,2013-03-30,4.84
3377,2013-03-31,2.09
3378,2013-04-01,3.08
3379,2013-04-02,4.84
3380,2013-04-03,3.85
3381,2013-04-04,4.62
3382,2013-04-05,5.61
3383,2013-04-06,1.54
3384,2013-04-07,1.76
3385,2013-04-08,4.07
3386,2013-04-09,4.4
3387,2013-04-10,4.29
3388,2013-04-11,4.4
3389,2013-04-12,3.74
3390,2013-04-13,1.54
3391,2013-04-14,1.43
3392,2013-04-15,2.75
3393,2013-04-16,3.96
3394,2013-04-17,6.49
3395,2013-04-18,6.82
3396,2013-04-19,5.06
3397,2013-04-20,2.53
3398,2013-04-21,1.87
3399,2013-04-22,6.16
3400,2013-04-23,9.35
3401,2013-04-24,11.0
3402,2013-04-25,6.93
3403,2013-04-26,6.38
3404,2013-04-27,2.53
3405,2013-04-28,1.76
3406,2013-04-29,5.94
3407,2013-04-30,6.49
3408,2013-05-01,10.0
3409,2013-05-02,7.2
3410,2013-05-03,7.6
3411,2013-05-04,4.5
3412,2013-05-05,1.9
3413,2013-05-06,8.5
3414,2013-05-07,8.700000000000001
3415,2013-05-08,7.6
3416,2013-05-09,7.2
3417,2013-05-10,5.800000000000001
3418,2013-05-11,3.9
3419,2013-05-12,3.5
3420,2013-05-13,5.7
3421,2013-05-14,6.800000000000001
3422,2013-05-15,6.4
3423,2013-05-16,6.0
3424,2013-05-17,6.5
3425,2013-05-18,3.0
3426,2013-05-19,3.8
3427,2013-05-20,4.7
3428,2013-05-21,6.1000000000000005
3429,2013-05-22,4.9
3430,2013-05-23,6.5
3431,2013-05-24,8.700000000000001
3432,2013-05-25,1.3
3433,2013-05-26,1.3
3434,2013-05-27,0.5
3435,2013-05-28,5.1000000000000005
3436,2013-05-29,5.9
3437,2013-05-30,7.7
3438,2013-05-31,5.5
3439,2013-06-01,1.76
3440,2013-06-02,1.36
3441,2013-06-03,5.92
3442,2013-06-04,5.68
3443,2013-06-05,6.16
3444,2013-06-06,4.8
3445,2013-06-07,5.68
3446,2013-06-08,2.48
3447,2013-06-09,1.84
3448,2013-06-10,7.2
3449,2013-06-11,8.0
3450,2013-06-12,5.36
3451,2013-06-13,4.24
3452,2013-06-14,7.04
3453,2013-06-15,1.68
3454,2013-06-16,0.88
3455,2013-06-17,4.0
3456,2013-06-18,4.08
3457,2013-06-19,5.68
