date,BA
2013-01-01,0.0
2013-01-02,0.7000000000000001
2013-01-03,1.1
2013-01-04,0.95
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,1.35
2013-01-09,1.35
2013-01-10,0.0
2013-01-11,1.4500000000000002
2013-01-12,1.65
2013-01-13,0.45
2013-01-14,0.8
2013-01-15,0.0
2013-01-16,2.3000000000000003
2013-01-17,5.0
2013-01-18,2.25
2013-01-19,1.5
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.65
2013-01-23,1.75
2013-01-24,1.65
2013-01-25,1.65
2013-01-26,0.8500000000000001
2013-01-27,0.0
2013-01-28,1.3
2013-01-29,1.0
2013-01-30,1.15
2013-01-31,0.0
2013-02-01,0.8200000000000001
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,1.58
2013-02-05,2.0
2013-02-06,0.6
2013-02-07,1.8
2013-02-08,1.28
2013-02-09,0.54
2013-02-10,0.0
2013-02-11,0.0
2013-02-12,0.52
2013-02-13,1.16
2013-02-14,0.42
2013-02-15,0.46
2013-02-16,1.74
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.58
2013-02-20,1.32
2013-02-21,1.24
2013-02-22,1.88
2013-02-23,0.66
2013-02-24,0.0
2013-02-25,0.56
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.5
2013-03-01,1.24
2013-03-02,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,1.48
2013-03-06,0.0
2013-03-07,2.0
2013-03-08,0.0
2013-03-09,0.0
2013-03-10,0.0
2013-03-11,0.52
2013-03-12,0.0
2013-03-13,0.92
2013-03-14,0.8200000000000001
2013-03-15,0.0
2013-03-16,1.4
2013-03-17,1.3
2013-03-18,0.0
2013-03-19,1.4
2013-03-20,0.88
2013-03-21,1.12
2013-03-22,0.6
2013-03-23,0.8200000000000001
2013-03-24,0.68
2013-03-25,0.66
2013-03-26,1.0
2013-03-27,0.42
2013-03-28,0.0
2013-03-29,0.0
2013-03-30,1.76
2013-03-31,0.0
2013-04-01,2.1
2013-04-02,0.84
2013-04-03,1.65
2013-04-04,2.22
2013-04-05,0.0
2013-04-06,0.0
2013-04-07,0.0
2013-04-08,0.72
2013-04-09,0.93
2013-04-10,1.65
2013-04-11,1.14
2013-04-12,0.0
2013-04-13,0.0
2013-04-14,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.0
2013-04-18,0.0
2013-04-19,0.0
2013-04-20,0.8999999999999999
2013-04-21,0.0
2013-04-22,1.38
2013-04-23,0.87
2013-04-24,1.08
2013-04-25,0.75
2013-04-26,3.0
2013-04-27,0.93
2013-04-28,0.0
2013-04-29,0.0
2013-04-30,2.55
2013-05-01,1.59
2013-05-02,0.72
2013-05-03,0.6
2013-05-04,2.07
2013-05-05,0.0
2013-05-06,0.54
2013-05-07,0.63
2013-05-08,1.11
2013-05-09,0.0
2013-05-10,3.0
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,0.0
2013-05-14,1.08
