date,DIS
2013-01-01,0.0
2013-01-02,1.7999999999999998
2013-01-03,0.0
2013-01-04,1.83
2013-01-05,2.34
2013-01-06,0.0
2013-01-07,0.93
2013-01-08,1.11
2013-01-09,0.0
2013-01-10,0.84
2013-01-11,1.68
2013-01-12,1.47
2013-01-13,0.0
2013-01-14,0.93
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,1.77
2013-01-18,0.0
2013-01-19,0.0
2013-01-20,0.0
2013-01-21,1.56
2013-01-22,0.78
2013-01-23,0.78
2013-01-24,0.99
2013-01-25,2.07
2013-01-26,0.0
2013-01-27,3.0
2013-01-28,0.84
2013-01-29,1.74
2013-01-30,2.31
2013-01-31,0.75
2013-02-01,1.83
2013-02-02,1.14
2013-02-03,0.8999999999999999
2013-02-04,0.8999999999999999
2013-02-05,1.23
2013-02-06,1.53
2013-02-07,1.77
2013-02-08,0.0
2013-02-09,0.0
2013-02-10,1.86
2013-02-11,2.07
2013-02-12,1.53
2013-02-13,2.25
2013-02-14,1.3199999999999998
2013-02-15,0.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,1.47
2013-02-20,1.71
2013-02-21,2.16
2013-02-22,2.1
2013-02-23,1.5
2013-02-24,0.0
2013-02-25,0.99
2013-02-26,3.0
2013-02-27,1.44
2013-02-28,1.35
2013-03-01,0.46
2013-03-02,0.64
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,1.48
2013-03-06,1.46
2013-03-07,1.72
2013-03-08,1.28
2013-03-09,0.0
2013-03-10,0.72
2013-03-11,0.0
2013-03-12,0.0
2013-03-13,1.26
2013-03-14,0.38
2013-03-15,0.74
2013-03-16,2.0
2013-03-17,1.5
2013-03-18,0.0
2013-03-19,0.0
2013-03-20,0.0
2013-03-21,1.22
2013-03-22,0.7000000000000001
2013-03-23,0.64
2013-03-24,0.0
2013-03-25,0.64
2013-03-26,0.42
2013-03-27,0.88
2013-03-28,0.44
2013-03-29,0.48
2013-03-30,0.0
2013-03-31,0.0
2013-04-01,0.7000000000000001
2013-04-02,0.76
2013-04-03,0.6
2013-04-04,1.14
2013-04-05,1.04
2013-04-06,0.0
2013-04-07,0.64
2013-04-08,0.0
2013-04-09,0.0
2013-04-10,1.46
2013-04-11,1.04
2013-04-12,0.0
2013-04-13,0.0
2013-04-14,0.7000000000000001
2013-04-15,1.52
2013-04-16,1.3
2013-04-17,1.34
2013-04-18,0.0
2013-04-19,1.6
2013-04-20,0.0
2013-04-21,1.14
2013-04-22,0.96
2013-04-23,2.0
2013-04-24,0.0
2013-04-25,0.0
2013-04-26,0.0
2013-04-27,0.0
2013-04-28,0.0
2013-04-29,1.02
2013-04-30,1.7
2013-05-01,2.28
2013-05-02,1.32
2013-05-03,1.92
2013-05-04,1.6
2013-05-05,0.0
2013-05-06,0.64
2013-05-07,2.4
2013-05-08,1.96
2013-05-09,0.0
2013-05-10,3.3200000000000003
2013-05-11,0.84
2013-05-12,0.0
2013-05-13,1.48
2013-05-14,2.88
2013-05-15,2.28
2013-05-16,2.92
2013-05-17,1.24
2013-05-18,2.48
2013-05-19,1.92
2013-05-20,3.8
2013-05-21,1.64
2013-05-22,1.92
2013-05-23,2.16
