date,IBM Stock Price
2013-01-01,4.32
2013-01-02,20.25
2013-01-03,12.420000000000002
2013-01-04,6.210000000000001
2013-01-05,10.530000000000001
2013-01-06,0.0
2013-01-07,9.72
2013-01-08,10.8
2013-01-09,5.130000000000001
2013-01-10,15.39
2013-01-11,11.34
2013-01-12,5.130000000000001
2013-01-13,0.0
2013-01-14,3.7800000000000002
2013-01-15,8.64
2013-01-16,7.290000000000001
2013-01-17,4.050000000000001
2013-01-18,0.0
2013-01-19,3.24
2013-01-20,0.0
2013-01-21,4.32
2013-01-22,8.64
2013-01-23,25.650000000000002
2013-01-24,20.520000000000003
2013-01-25,27.0
2013-01-26,0.0
2013-01-27,0.0
2013-01-28,14.31
2013-01-29,11.610000000000001
2013-01-30,8.64
2013-01-31,2.7
2013-02-01,18.27
2013-02-02,3.36
2013-02-03,0.0
2013-02-04,12.6
2013-02-05,7.35
2013-02-06,9.66
2013-02-07,7.77
2013-02-08,12.809999999999999
2013-02-09,0.0
2013-02-10,7.14
2013-02-11,6.51
2013-02-12,2.31
2013-02-13,9.66
2013-02-14,6.93
2013-02-15,8.82
2013-02-16,5.25
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.0
2013-02-20,21.0
2013-02-21,4.62
2013-02-22,7.35
2013-02-23,2.94
2013-02-24,3.57
2013-02-25,0.0
2013-02-26,10.08
2013-02-27,4.2
2013-02-28,11.129999999999999
2013-03-01,8.64
2013-03-02,16.96
2013-03-03,0.0
2013-03-04,8.64
2013-03-05,24.32
2013-03-06,20.8
2013-03-07,20.16
2013-03-08,14.4
2013-03-09,18.88
2013-03-10,4.8
2013-03-11,24.32
2013-03-12,10.24
2013-03-13,12.48
2013-03-14,16.96
2013-03-15,18.88
2013-03-16,8.0
2013-03-17,14.72
2013-03-18,9.6
2013-03-19,11.52
2013-03-20,23.68
2013-03-21,17.92
2013-03-22,25.6
2013-03-23,32.0
2013-03-24,0.0
2013-03-25,13.76
2013-03-26,9.92
2013-03-27,16.0
2013-03-28,14.08
2013-03-29,0.0
2013-03-30,9.6
2013-03-31,0.0
2013-04-01,13.44
2013-04-02,19.84
2013-04-03,15.040000000000001
2013-04-04,6.08
2013-04-05,19.52
2013-04-06,15.68
2013-04-07,0.0
2013-04-08,18.88
2013-04-09,10.56
2013-04-10,24.0
2013-04-11,24.0
2013-04-12,8.64
2013-04-13,11.200000000000001
2013-04-14,7.04
2013-04-15,9.6
2013-04-16,20.48
2013-04-17,20.16
2013-04-18,23.68
2013-04-19,32.0
2013-04-20,13.44
2013-04-21,8.32
2013-04-22,17.28
2013-04-23,20.16
2013-04-24,18.240000000000002
2013-04-25,21.76
2013-04-26,12.8
2013-04-27,0.0
2013-04-28,9.92
2013-04-29,27.2
2013-04-30,16.32
2013-05-01,21.75
2013-05-02,28.999999999999996
2013-05-03,24.36
2013-05-04,0.0
2013-05-05,6.09
2013-05-06,22.33
2013-05-07,18.849999999999998
2013-05-08,17.98
2013-05-09,16.529999999999998
2013-05-10,9.569999999999999
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,19.72
2013-05-14,19.139999999999997
2013-05-15,15.95
2013-05-16,24.65
2013-05-17,19.43
2013-05-18,8.7
2013-05-19,8.99
2013-05-20,17.11
2013-05-21,18.27
2013-05-22,10.729999999999999
2013-05-23,23.49
2013-05-24,16.24
2013-05-25,8.7
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,26.68
2013-05-29,19.139999999999997
2013-05-30,17.689999999999998
2013-05-31,13.629999999999999
2013-06-01,9.569999999999999
2013-06-02,11.309999999999999
2013-06-03,20.009999999999998
2013-06-04,19.139999999999997
2013-06-05,15.37
2013-06-06,22.33
2013-06-07,27.549999999999997
2013-06-08,10.44
2013-06-09,20.59
2013-06-10,13.629999999999999
2013-06-11,5.8
2013-06-12,7.249999999999999
2013-06-13,9.86
2013-06-14,18.27
2013-06-15,11.6
2013-06-16,9.569999999999999
2013-06-17,15.95
2013-06-18,22.619999999999997
2013-06-19,0.0
2013-06-20,28.999999999999996
2013-06-21,26.099999999999998
2013-06-22,4.93
2013-06-23,0.0
2013-06-24,24.65
2013-06-25,16.529999999999998
2013-06-26,23.779999999999998
2013-06-27,18.849999999999998
2013-06-28,23.779999999999998
2013-06-29,6.09
2013-06-30,8.12
2013-07-01,15.66
2013-07-02,21.330000000000002
2013-07-03,12.690000000000001
2013-07-04,9.18
2013-07-05,0.0
2013-07-06,5.67
2013-07-07,0.0
2013-07-08,11.610000000000001
2013-07-09,16.470000000000002
2013-07-10,8.91
2013-07-11,5.4
2013-07-12,12.15
2013-07-13,4.59
2013-07-14,0.0
2013-07-15,5.130000000000001
2013-07-16,11.34
2013-07-17,27.0
2013-07-18,25.92
2013-07-19,12.96
2013-07-20,0.0
2013-07-21,17.55
2013-07-22,7.5600000000000005
2013-07-23,12.690000000000001
2013-07-24,18.630000000000003
2013-07-25,11.07
2013-07-26,0.0
2013-07-27,9.99
2013-07-28,0.0
2013-07-29,10.8
2013-07-30,14.31
2013-07-31,21.330000000000002
2013-08-01,15.079999999999998
2013-08-02,12.469999999999999
2013-08-03,12.76
2013-08-04,8.41
2013-08-05,20.009999999999998
2013-08-06,16.24
2013-08-07,18.849999999999998
2013-08-08,27.259999999999998
2013-08-09,0.0
2013-08-10,9.28
2013-08-11,0.0
2013-08-12,17.11
2013-08-13,16.529999999999998
2013-08-14,16.24
2013-08-15,21.75
2013-08-16,28.999999999999996
2013-08-17,0.0
2013-08-18,0.0
2013-08-19,23.779999999999998
2013-08-20,23.2
2013-08-21,22.33
2013-08-22,12.18
2013-08-23,22.33
2013-08-24,0.0
2013-08-25,0.0
2013-08-26,7.539999999999999
2013-08-27,13.049999999999999
2013-08-28,26.099999999999998
2013-08-29,13.919999999999998
2013-08-30,12.469999999999999
2013-08-31,0.0
2013-09-01,0.0
2013-09-02,0.0
2013-09-03,11.34
2013-09-04,6.210000000000001
2013-09-05,12.15
2013-09-06,10.8
2013-09-07,0.0
2013-09-08,0.0
2013-09-09,15.39
2013-09-10,13.770000000000001
2013-09-11,19.44
2013-09-12,15.120000000000001
2013-09-13,27.0
2013-09-14,0.0
2013-09-15,9.72
2013-09-16,12.420000000000002
2013-09-17,18.09
2013-09-18,15.66
2013-09-19,12.420000000000002
2013-09-20,5.4
2013-09-21,0.0
2013-09-22,19.98
2013-09-23,8.370000000000001
2013-09-24,16.470000000000002
2013-09-25,14.850000000000001
2013-09-26,23.220000000000002
2013-09-27,19.44
2013-09-28,13.5
2013-09-29,21.330000000000002
2013-09-30,14.580000000000002
2013-10-01,12.09
2013-10-02,17.16
2013-10-03,0.0
2013-10-04,10.530000000000001
2013-10-05,0.0
2013-10-06,0.0
2013-10-07,11.31
2013-10-08,15.600000000000001
2013-10-09,13.26
2013-10-10,25.35
2013-10-11,17.16
2013-10-12,12.09
2013-10-13,0.0
2013-10-14,7.41
2013-10-15,7.0200000000000005
2013-10-16,26.130000000000003
2013-10-17,39.0
2013-10-18,39.0
2013-10-19,19.89
2013-10-20,14.43
2013-10-21,17.55
2013-10-22,12.870000000000001
2013-10-23,14.82
2013-10-24,20.67
2013-10-25,23.01
2013-10-26,0.0
2013-10-27,7.800000000000001
2013-10-28,15.21
2013-10-29,24.57
2013-10-30,20.28
2013-10-31,10.92
2013-11-01,13.44
2013-11-02,10.56
2013-11-03,0.0
2013-11-04,0.0
2013-11-05,14.72
2013-11-06,29.12
2013-11-07,24.0
2013-11-08,11.200000000000001
2013-11-09,0.0
2013-11-10,8.32
2013-11-11,9.92
2013-11-12,24.96
2013-11-13,15.040000000000001
2013-11-14,12.8
2013-11-15,24.64
2013-11-16,5.76
2013-11-17,10.56
2013-11-18,25.6
2013-11-19,32.0
2013-11-20,24.32
