date,INTC
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,9.9
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,8.25
2013-01-09,7.05
2013-01-10,3.45
2013-01-11,15.0
2013-01-12,8.85
2013-01-13,3.9
2013-01-14,4.5
2013-01-15,5.4
2013-01-16,3.0
2013-01-17,14.25
2013-01-18,14.4
2013-01-19,0.0
2013-01-20,7.649999999999999
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,3.9
2013-01-24,0.0
2013-01-25,0.0
2013-01-26,0.0
2013-01-27,0.0
2013-01-28,3.3
2013-01-29,10.2
2013-01-30,8.549999999999999
2013-01-31,0.0
2013-02-01,8.120000000000001
2013-02-02,6.300000000000001
2013-02-03,0.0
2013-02-04,6.44
2013-02-05,4.62
2013-02-06,0.0
2013-02-07,0.0
2013-02-08,0.0
2013-02-09,0.0
2013-02-10,5.74
2013-02-11,0.0
2013-02-12,7.420000000000001
2013-02-13,0.0
2013-02-14,11.340000000000002
2013-02-15,0.0
2013-02-16,7.840000000000001
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,4.760000000000001
2013-02-20,0.0
2013-02-21,5.460000000000001
2013-02-22,4.62
2013-02-23,7.420000000000001
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,14.000000000000002
2013-03-01,0.0
2013-03-02,12.45
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,15.0
2013-03-06,13.95
2013-03-07,9.75
2013-03-08,14.25
2013-03-09,10.2
2013-03-10,0.0
2013-03-11,0.0
2013-03-12,10.2
2013-03-13,0.0
2013-03-14,8.549999999999999
2013-03-15,12.15
2013-03-16,9.3
2013-03-17,0.0
2013-03-18,5.7
2013-03-19,0.0
2013-03-20,11.4
2013-03-21,8.4
2013-03-22,10.95
2013-03-23,8.549999999999999
2013-03-24,9.0
2013-03-25,5.55
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,7.8
2013-03-29,0.0
2013-03-30,8.4
2013-03-31,0.0
2013-04-01,8.17
2013-04-02,18.05
2013-04-03,10.26
2013-04-04,13.49
2013-04-05,8.17
2013-04-06,14.44
2013-04-07,0.0
2013-04-08,11.21
2013-04-09,0.0
2013-04-10,7.41
2013-04-11,7.03
2013-04-12,0.0
2013-04-13,9.69
2013-04-14,0.0
2013-04-15,11.4
2013-04-16,18.43
2013-04-17,19.0
2013-04-18,13.68
2013-04-19,0.0
2013-04-20,0.0
2013-04-21,11.59
2013-04-22,0.0
2013-04-23,10.26
2013-04-24,7.41
2013-04-25,9.69
2013-04-26,0.0
2013-04-27,8.93
2013-04-28,16.15
2013-04-29,8.74
2013-04-30,15.39
2013-05-01,8.17
2013-05-02,7.98
2013-05-03,14.82
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,0.0
2013-05-07,15.01
2013-05-08,0.0
2013-05-09,13.49
2013-05-10,19.0
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,4.94
2013-05-14,0.0
2013-05-15,0.0
2013-05-16,0.0
2013-05-17,7.98
2013-05-18,0.0
2013-05-19,0.0
2013-05-20,6.2700000000000005
2013-05-21,4.75
2013-05-22,3.61
2013-05-23,8.17
2013-05-24,5.7
2013-05-25,0.0
2013-05-26,0.0
2013-05-27,12.73
2013-05-28,9.12
2013-05-29,0.0
2013-05-30,0.0
2013-05-31,4.5600000000000005
2013-06-01,0.0
2013-06-02,9.8
2013-06-03,0.0
2013-06-04,7.98
2013-06-05,14.000000000000002
2013-06-06,8.96
2013-06-07,0.0
2013-06-08,0.0
2013-06-09,0.0
2013-06-10,0.0
2013-06-11,0.0
2013-06-12,0.0
2013-06-13,9.1
2013-06-14,0.0
2013-06-15,0.0
2013-06-16,10.64
2013-06-17,0.0
2013-06-18,0.0
2013-06-19,0.0
2013-06-20,8.4
2013-06-21,11.2
2013-06-22,0.0
2013-06-23,0.0
2013-06-24,5.6000000000000005
2013-06-25,0.0
2013-06-26,5.180000000000001
2013-06-27,9.38
2013-06-28,8.680000000000001
2013-06-29,0.0
2013-06-30,0.0
2013-07-01,0.0
2013-07-02,0.0
2013-07-03,0.0
2013-07-04,0.0
2013-07-05,0.0
2013-07-06,0.0
2013-07-07,6.11
2013-07-08,0.0
2013-07-09,0.0
2013-07-10,8.450000000000001
2013-07-11,5.07
2013-07-12,4.55
2013-07-13,0.0
2013-07-14,0.0
2013-07-15,0.0
2013-07-16,0.0
2013-07-17,5.8500000000000005
2013-07-18,0.0
2013-07-19,13.0
2013-07-20,0.0
2013-07-21,0.0
2013-07-22,6.37
2013-07-23,12.35
2013-07-24,0.0
2013-07-25,4.55
2013-07-26,0.0
2013-07-27,0.0
2013-07-28,7.0200000000000005
2013-07-29,5.33
2013-07-30,0.0
2013-07-31,0.0
2013-08-01,7.04
2013-08-02,0.0
2013-08-03,0.0
2013-08-04,0.0
2013-08-05,6.08
2013-08-06,16.0
2013-08-07,0.0
2013-08-08,3.52
2013-08-09,6.72
2013-08-10,8.32
2013-08-11,0.0
2013-08-12,8.32
2013-08-13,8.0
2013-08-14,13.28
2013-08-15,0.0
2013-08-16,0.0
2013-08-17,6.4
2013-08-18,0.0
2013-08-19,0.0
2013-08-20,4.0
2013-08-21,11.2
2013-08-22,10.24
2013-08-23,4.16
2013-08-24,4.64
2013-08-25,4.0
2013-08-26,10.56
2013-08-27,0.0
2013-08-28,0.0
2013-08-29,10.08
2013-08-30,3.84
2013-08-31,7.2
2013-09-01,0.0
2013-09-02,6.44
2013-09-03,6.720000000000001
2013-09-04,0.0
2013-09-05,12.18
2013-09-06,8.4
2013-09-07,0.0
2013-09-08,0.0
2013-09-09,8.680000000000001
2013-09-10,4.48
2013-09-11,0.0
2013-09-12,3.5000000000000004
2013-09-13,14.000000000000002
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,4.62
2013-09-17,0.0
2013-09-18,8.82
2013-09-19,3.5000000000000004
2013-09-20,3.3600000000000003
2013-09-21,8.260000000000002
2013-09-22,0.0
2013-09-23,0.0
2013-09-24,0.0
2013-09-25,0.0
2013-09-26,0.0
2013-09-27,6.44
2013-09-28,0.0
2013-09-29,0.0
2013-09-30,12.32
2013-10-01,5.44
2013-10-02,0.0
2013-10-03,6.4
2013-10-04,16.0
2013-10-05,0.0
2013-10-06,5.6000000000000005
2013-10-07,0.0
2013-10-08,0.0
2013-10-09,6.24
2013-10-10,5.6000000000000005
2013-10-11,8.48
2013-10-12,6.72
2013-10-13,7.04
2013-10-14,5.6000000000000005
2013-10-15,0.0
2013-10-16,3.68
2013-10-17,9.28
2013-10-18,0.0
2013-10-19,0.0
2013-10-20,6.4
2013-10-21,7.2
2013-10-22,7.2
2013-10-23,4.0
2013-10-24,8.96
2013-10-25,5.6000000000000005
2013-10-26,0.0
2013-10-27,13.28
2013-10-28,5.92
2013-10-29,10.72
2013-10-30,5.76
2013-10-31,4.8
2013-11-01,0.0
2013-11-02,0.0
2013-11-03,6.11
2013-11-04,12.35
2013-11-05,5.720000000000001
2013-11-06,0.0
2013-11-07,7.800000000000001
2013-11-08,0.0
2013-11-09,7.28
2013-11-10,0.0
2013-11-11,0.0
2013-11-12,10.79
2013-11-13,0.0
2013-11-14,8.97
2013-11-15,11.44
2013-11-16,0.0
2013-11-17,0.0
2013-11-18,10.14
2013-11-19,8.06
2013-11-20,0.0
2013-11-21,5.8500000000000005
2013-11-22,7.800000000000001
2013-11-23,7.54
2013-11-24,0.0
2013-11-25,3.9
2013-11-26,4.94
2013-11-27,0.0
2013-11-28,13.0
2013-11-29,7.15
2013-11-30,0.0
2013-12-01,0.0
2013-12-02,4.0600000000000005
2013-12-03,0.0
2013-12-04,0.0
2013-12-05,0.0
2013-12-06,9.66
2013-12-07,0.0
2013-12-08,8.96
2013-12-09,6.300000000000001
2013-12-10,6.86
2013-12-11,4.0600000000000005
2013-12-12,11.06
2013-12-13,9.8
2013-12-14,0.0
2013-12-15,4.760000000000001
2013-12-16,6.16
2013-12-17,13.580000000000002
2013-12-18,11.340000000000002
2013-12-19,9.38
2013-12-20,5.6000000000000005
2013-12-21,0.0
2013-12-22,8.120000000000001
2013-12-23,7.56
2013-12-24,0.0
2013-12-25,0.0
2013-12-26,14.000000000000002
2013-12-27,0.0
2013-12-28,5.74
2013-12-29,5.040000000000001
2013-12-30,6.0200000000000005
2013-12-31,8.540000000000001
2014-01-01,5.44
2014-01-02,0.0
2014-01-03,0.0
2014-01-04,4.42
2014-01-05,0.0
2014-01-06,6.630000000000001
2014-01-07,0.0
2014-01-08,3.2300000000000004
2014-01-09,9.52
2014-01-10,0.0
2014-01-11,11.39
2014-01-12,0.0
2014-01-13,0.0
2014-01-14,10.03
2014-01-15,6.800000000000001
2014-01-16,16.490000000000002
2014-01-17,17.0
2014-01-18,0.0
2014-01-19,0.0
2014-01-20,0.0
2014-01-21,11.9
2014-01-22,4.42
2014-01-23,3.74
2014-01-24,14.62
2014-01-25,0.0
2014-01-26,0.0
2014-01-27,3.5700000000000003
2014-01-28,12.58
2014-01-29,12.41
2014-01-30,3.4000000000000004
2014-01-31,4.42
2014-02-01,0.0
2014-02-02,0.0
2014-02-03,0.0
2014-02-04,11.2
2014-02-05,5.74
2014-02-06,8.120000000000001
2014-02-07,0.0
2014-02-08,0.0
2014-02-09,0.0
2014-02-10,4.760000000000001
2014-02-11,0.0
2014-02-12,0.0
2014-02-13,8.260000000000002
2014-02-14,0.0
2014-02-15,0.0
2014-02-16,0.0
2014-02-17,0.0
2014-02-18,6.86
2014-02-19,0.0
2014-02-20,6.16
2014-02-21,3.08
2014-02-22,0.0
2014-02-23,0.0
2014-02-24,14.000000000000002
2014-02-25,0.0
2014-02-26,5.6000000000000005
2014-02-27,0.0
2014-02-28,0.0
2014-03-01,2.52
2014-03-02,0.0
2014-03-03,6.359999999999999
2014-03-04,2.52
2014-03-05,0.0
2014-03-06,2.4
2014-03-07,3.24
2014-03-08,0.0
2014-03-09,2.4
2014-03-10,0.0
2014-03-11,2.76
2014-03-12,1.92
2014-03-13,4.44
2014-03-14,4.8
2014-03-15,0.0
2014-03-16,0.0
2014-03-17,2.28
2014-03-18,0.0
2014-03-19,0.0
2014-03-20,4.8
2014-03-21,0.0
2014-03-22,0.0
2014-03-23,0.0
2014-03-24,3.72
2014-03-25,0.0
2014-03-26,0.0
2014-03-27,7.199999999999999
2014-03-28,2.52
2014-03-29,12.0
2014-03-30,0.0
2014-03-31,3.24
2014-04-01,0.0
2014-04-02,0.0
2014-04-03,5.89
2014-04-04,0.0
2014-04-05,0.0
2014-04-06,0.0
2014-04-07,4.75
2014-04-08,11.4
2014-04-09,17.29
2014-04-10,0.0
2014-04-11,9.31
2014-04-12,0.0
2014-04-13,0.0
2014-04-14,11.78
2014-04-15,19.0
2014-04-16,0.0
2014-04-17,0.0
2014-04-18,0.0
2014-04-19,0.0
2014-04-20,0.0
2014-04-21,8.36
2014-04-22,7.03
2014-04-23,7.98
2014-04-24,6.65
2014-04-25,11.21
2014-04-26,0.0
2014-04-27,9.88
2014-04-28,6.08
2014-04-29,7.03
2014-04-30,8.36
2014-05-01,0.0
2014-05-02,0.0
2014-05-03,12.0
2014-05-04,0.0
2014-05-05,0.0
2014-05-06,2.88
2014-05-07,0.0
2014-05-08,3.0
2014-05-09,3.12
2014-05-10,0.0
2014-05-11,0.0
2014-05-12,9.72
2014-05-13,2.16
2014-05-14,2.64
2014-05-15,0.0
2014-05-16,5.64
2014-05-17,4.32
2014-05-18,3.84
2014-05-19,2.76
2014-05-20,4.92
2014-05-21,0.0
2014-05-22,2.76
2014-05-23,0.0
2014-05-24,7.8
2014-05-25,0.0
2014-05-26,0.0
2014-05-27,5.88
2014-05-28,0.0
2014-05-29,3.0
2014-05-30,0.0
