date,MCD
2013-01-01,0.0
2013-01-02,5.67
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,5.4
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,5.4
2013-01-11,0.0
2013-01-12,9.45
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,7.56
2013-01-16,0.0
2013-01-17,13.23
2013-01-18,13.5
2013-01-19,0.0
2013-01-20,15.93
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,13.23
2013-01-24,0.0
2013-01-25,0.0
2013-01-26,7.83
2013-01-27,0.0
2013-01-28,27.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-01,15.04
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,11.52
2013-02-05,11.52
2013-02-06,12.48
2013-02-07,7.68
2013-02-08,20.16
2013-02-09,17.28
2013-02-10,0.0
2013-02-11,10.56
2013-02-12,24.0
2013-02-13,9.92
2013-02-14,7.68
2013-02-15,11.2
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,11.52
2013-02-20,7.68
2013-02-21,9.92
2013-02-22,17.28
2013-02-23,0.0
2013-02-24,0.0
2013-02-25,11.52
2013-02-26,32.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-02,0.0
2013-03-03,16.96
2013-03-04,6.08
2013-03-05,8.32
2013-03-06,32.0
2013-03-07,0.0
2013-03-08,13.12
2013-03-09,0.0
2013-03-10,0.0
2013-03-11,22.72
2013-03-12,17.6
2013-03-13,5.44
2013-03-14,8.64
2013-03-15,8.96
2013-03-16,0.0
2013-03-17,23.68
2013-03-18,11.52
2013-03-19,5.12
2013-03-20,0.0
2013-03-21,10.24
2013-03-22,14.72
2013-03-23,0.0
2013-03-24,0.0
2013-03-25,0.0
2013-03-26,8.32
2013-03-27,5.76
2013-03-28,8.64
2013-03-29,10.88
2013-03-30,0.0
2013-03-31,0.0
2013-04-01,0.0
2013-04-02,0.0
2013-04-03,0.0
2013-04-04,12.48
2013-04-05,0.0
2013-04-06,17.28
2013-04-07,13.44
2013-04-08,32.0
2013-04-09,0.0
2013-04-10,22.4
2013-04-11,0.0
2013-04-12,24.96
2013-04-13,9.6
2013-04-14,12.48
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,11.52
2013-04-18,15.68
2013-04-19,26.24
2013-04-20,8.96
2013-04-21,0.0
2013-04-22,0.0
2013-04-23,9.28
2013-04-24,25.6
2013-04-25,10.88
2013-04-26,12.16
2013-04-27,0.0
2013-04-28,0.0
2013-04-29,17.28
2013-04-30,19.84
2013-05-01,14.28
2013-05-02,0.0
2013-05-03,21.0
2013-05-04,0.0
2013-05-05,0.0
2013-05-06,11.55
2013-05-07,0.0
2013-05-08,16.38
2013-05-09,0.0
2013-05-10,5.88
2013-05-11,0.0
2013-05-12,0.0
2013-05-13,12.81
2013-05-14,10.08
2013-05-15,12.18
2013-05-16,6.93
2013-05-17,0.0
2013-05-18,0.0
2013-05-19,0.0
2013-05-20,0.0
2013-05-21,0.0
2013-05-22,0.0
2013-05-23,7.56
2013-05-24,12.18
2013-05-25,0.0
2013-05-26,0.0
2013-05-27,0.0
2013-05-28,0.0
2013-05-29,0.0
2013-05-30,0.0
2013-05-31,13.02
2013-06-01,18.0
2013-06-02,0.0
2013-06-03,5.04
2013-06-04,0.0
2013-06-05,7.56
2013-06-06,0.0
2013-06-07,3.96
2013-06-08,4.14
2013-06-09,0.0
2013-06-10,0.0
2013-06-11,0.0
2013-06-12,0.0
2013-06-13,0.0
2013-06-14,0.0
2013-06-15,0.0
2013-06-16,0.0
2013-06-17,0.0
2013-06-18,0.0
2013-06-19,0.0
2013-06-20,3.42
2013-06-21,6.84
2013-06-22,0.0
2013-06-23,0.0
2013-06-24,0.0
2013-06-25,0.0
2013-06-26,4.5
2013-06-27,0.0
2013-06-28,4.68
2013-06-29,5.4
2013-06-30,4.14
2013-07-01,0.0
2013-07-02,17.0
2013-07-03,0.0
2013-07-04,0.0
2013-07-05,0.0
2013-07-06,0.0
2013-07-07,11.56
2013-07-08,0.0
2013-07-09,0.0
2013-07-10,6.970000000000001
2013-07-11,0.0
2013-07-12,0.0
2013-07-13,0.0
2013-07-14,0.0
2013-07-15,0.0
2013-07-16,0.0
2013-07-17,0.0
2013-07-18,0.0
2013-07-19,0.0
2013-07-20,0.0
2013-07-21,0.0
2013-07-22,0.0
2013-07-23,14.79
2013-07-24,15.64
2013-07-25,0.0
2013-07-26,9.18
2013-07-27,10.37
2013-07-28,0.0
2013-07-29,0.0
2013-07-30,0.0
2013-07-31,0.0
2013-08-01,20.0
2013-08-02,0.0
2013-08-03,0.0
2013-08-04,9.6
2013-08-05,0.0
2013-08-06,10.0
2013-08-07,0.0
2013-08-08,0.0
2013-08-09,10.8
2013-08-10,8.200000000000001
2013-08-11,0.0
2013-08-12,0.0
2013-08-13,0.0
2013-08-14,0.0
2013-08-15,7.6
2013-08-16,8.8
2013-08-17,14.0
2013-08-18,0.0
2013-08-19,20.0
2013-08-20,9.2
2013-08-21,0.0
2013-08-22,0.0
2013-08-23,0.0
2013-08-24,0.0
2013-08-25,0.0
2013-08-26,0.0
2013-08-27,0.0
2013-08-28,6.2
2013-08-29,12.6
2013-08-30,12.6
2013-08-31,0.0
2013-09-01,0.0
2013-09-02,0.0
2013-09-03,19.36
2013-09-04,6.6
2013-09-05,0.0
2013-09-06,0.0
2013-09-07,10.34
2013-09-08,0.0
2013-09-09,0.0
2013-09-10,0.0
2013-09-11,0.0
2013-09-12,8.58
2013-09-13,0.0
2013-09-14,0.0
2013-09-15,0.0
2013-09-16,9.9
2013-09-17,9.24
2013-09-18,0.0
2013-09-19,8.8
2013-09-20,12.98
2013-09-21,0.0
2013-09-22,8.36
2013-09-23,0.0
2013-09-24,6.38
2013-09-25,22.0
2013-09-26,11.44
2013-09-27,7.48
2013-09-28,8.36
2013-09-29,0.0
2013-09-30,7.7
2013-10-01,14.08
2013-10-02,15.36
2013-10-03,0.0
2013-10-04,8.96
2013-10-05,0.0
2013-10-06,0.0
2013-10-07,0.0
2013-10-08,16.0
2013-10-09,32.0
2013-10-10,9.92
2013-10-11,0.0
2013-10-12,0.0
2013-10-13,0.0
2013-10-14,8.64
2013-10-15,0.0
2013-10-16,10.56
2013-10-17,0.0
2013-10-18,16.96
2013-10-19,0.0
2013-10-20,0.0
2013-10-21,0.0
2013-10-22,0.0
2013-10-23,0.0
2013-10-24,13.76
2013-10-25,13.44
2013-10-26,22.72
2013-10-27,0.0
2013-10-28,12.16
2013-10-29,12.8
2013-10-30,11.52
2013-10-31,20.8
2013-11-01,8.84
2013-11-02,16.64
2013-11-03,9.88
2013-11-04,5.2
2013-11-05,5.46
2013-11-06,14.82
2013-11-07,22.1
2013-11-08,12.48
2013-11-09,21.06
2013-11-10,11.7
2013-11-11,14.56
2013-11-12,21.06
2013-11-13,14.04
2013-11-14,0.0
2013-11-15,12.22
2013-11-16,7.800000000000001
2013-11-17,0.0
2013-11-18,26.0
2013-11-19,8.58
