date,Microsoft Stock Price
2013-01-01,1.9500000000000002
2013-01-02,2.75
2013-01-03,4.1000000000000005
2013-01-04,0.0
2013-01-05,1.3
2013-01-06,2.35
2013-01-07,1.5
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,1.2000000000000002
2013-01-11,0.0
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,3.2
2013-01-16,0.0
2013-01-17,2.5500000000000003
2013-01-18,0.0
2013-01-19,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,3.7
2013-01-23,3.2
2013-01-24,5.0
2013-01-25,3.35
2013-01-26,0.0
2013-01-27,3.8000000000000003
2013-01-28,2.0500000000000003
2013-01-29,1.4500000000000002
2013-01-30,1.8
2013-01-31,3.0500000000000003
2013-02-01,0.0
2013-02-02,1.05
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,2.3000000000000003
2013-02-06,2.5500000000000003
2013-02-07,3.45
2013-02-08,4.7
2013-02-09,1.4000000000000001
2013-02-10,0.0
2013-02-11,5.0
2013-02-12,2.0500000000000003
2013-02-13,1.75
2013-02-14,2.9000000000000004
2013-02-15,1.0
2013-02-16,0.0
2013-02-17,0.0
2013-02-18,1.2000000000000002
2013-02-19,1.1500000000000001
2013-02-20,3.5500000000000003
2013-02-21,0.0
2013-02-22,1.8
2013-02-23,2.2
2013-02-24,0.0
2013-02-25,0.0
2013-02-26,1.1
2013-02-27,1.55
2013-02-28,1.1
2013-03-01,2.12
2013-03-02,4.0
2013-03-03,1.4000000000000001
2013-03-04,2.8000000000000003
2013-03-05,0.0
2013-03-06,2.0
2013-03-07,4.0
2013-03-08,0.92
2013-03-09,0.0
2013-03-10,3.96
2013-03-11,1.04
2013-03-12,1.8
2013-03-13,1.0
2013-03-14,2.84
2013-03-15,1.16
2013-03-16,1.6400000000000001
2013-03-17,0.0
2013-03-18,3.08
2013-03-19,0.0
2013-03-20,2.32
2013-03-21,0.0
2013-03-22,3.04
2013-03-23,1.52
2013-03-24,3.04
2013-03-25,2.48
2013-03-26,0.0
2013-03-27,0.0
2013-03-28,1.56
2013-03-29,1.52
