date,NIKE Stock Price_unscaled,NIKE Stock Price_monthly,scale,NIKE Stock Price
2014-01-01,0,2.0,0.02,0.0
2014-01-02,30,2.0,0.02,0.6
2014-01-03,46,2.0,0.02,0.92
2014-01-04,0,2.0,0.02,0.0
2014-01-05,0,2.0,0.02,0.0
2014-01-06,58,2.0,0.02,1.16
2014-01-07,58,2.0,0.02,1.16
2014-01-08,29,2.0,0.02,0.58
2014-01-09,73,2.0,0.02,1.46
2014-01-10,100,2.0,0.02,2.0
2014-01-11,0,2.0,0.02,0.0
2014-01-12,0,2.0,0.02,0.0
2014-01-13,34,2.0,0.02,0.68
2014-01-14,32,2.0,0.02,0.64
2014-01-15,33,2.0,0.02,0.66
2014-01-16,66,2.0,0.02,1.32
2014-01-17,0,2.0,0.02,0.0
2014-01-18,0,2.0,0.02,0.0
2014-01-19,0,2.0,0.02,0.0
2014-01-20,0,2.0,0.02,0.0
2014-01-21,0,2.0,0.02,0.0
2014-01-22,28,2.0,0.02,0.56
2014-01-23,0,2.0,0.02,0.0
2014-01-24,46,2.0,0.02,0.92
2014-01-25,0,2.0,0.02,0.0
2014-01-26,49,2.0,0.02,0.98
2014-01-27,26,2.0,0.02,0.52
2014-01-28,25,2.0,0.02,0.5
2014-01-29,55,2.0,0.02,1.1
2014-01-30,57,2.0,0.02,1.1400000000000001
2014-01-31,0,2.0,0.02,0.0
2014-02-01,0,3.0,0.03,0.0
2014-02-02,0,3.0,0.03,0.0
2014-02-03,0,3.0,0.03,0.0
2014-02-04,48,3.0,0.03,1.44
2014-02-05,0,3.0,0.03,0.0
2014-02-06,37,3.0,0.03,1.1099999999999999
2014-02-07,63,3.0,0.03,1.89
2014-02-08,58,3.0,0.03,1.74
2014-02-09,0,3.0,0.03,0.0
2014-02-10,29,3.0,0.03,0.87
2014-02-11,44,3.0,0.03,1.3199999999999998
2014-02-12,62,3.0,0.03,1.8599999999999999
2014-02-13,34,3.0,0.03,1.02
2014-02-14,52,3.0,0.03,1.56
2014-02-15,0,3.0,0.03,0.0
2014-02-16,29,3.0,0.03,0.87
2014-02-17,63,3.0,0.03,1.89
2014-02-18,40,3.0,0.03,1.2
2014-02-19,73,3.0,0.03,2.19
2014-02-20,48,3.0,0.03,1.44
2014-02-21,100,3.0,0.03,3.0
2014-02-22,57,3.0,0.03,1.71
2014-02-23,0,3.0,0.03,0.0
2014-02-24,0,3.0,0.03,0.0
2014-02-25,28,3.0,0.03,0.84
2014-02-26,41,3.0,0.03,1.23
2014-02-27,26,3.0,0.03,0.78
2014-02-28,42,3.0,0.03,1.26
2014-03-01,0,3.0,0.03,0.0
2014-03-02,0,3.0,0.03,0.0
2014-03-03,17,3.0,0.03,0.51
2014-03-04,57,3.0,0.03,1.71
2014-03-05,0,3.0,0.03,0.0
2014-03-06,28,3.0,0.03,0.84
2014-03-07,84,3.0,0.03,2.52
2014-03-08,0,3.0,0.03,0.0
2014-03-09,25,3.0,0.03,0.75
2014-03-10,46,3.0,0.03,1.38
2014-03-11,37,3.0,0.03,1.1099999999999999
2014-03-12,52,3.0,0.03,1.56
2014-03-13,24,3.0,0.03,0.72
2014-03-14,39,3.0,0.03,1.17
2014-03-15,94,3.0,0.03,2.82
2014-03-16,36,3.0,0.03,1.08
2014-03-17,17,3.0,0.03,0.51
2014-03-18,100,3.0,0.03,3.0
2014-03-19,0,3.0,0.03,0.0
2014-03-20,0,3.0,0.03,0.0
2014-03-21,38,3.0,0.03,1.14
2014-03-22,0,3.0,0.03,0.0
2014-03-23,0,3.0,0.03,0.0
2014-03-24,22,3.0,0.03,0.6599999999999999
2014-03-25,26,3.0,0.03,0.78
2014-03-26,91,3.0,0.03,2.73
2014-03-27,35,3.0,0.03,1.05
2014-03-28,37,3.0,0.03,1.1099999999999999
2014-03-29,55,3.0,0.03,1.65
2014-03-30,0,3.0,0.03,0.0
2014-03-31,22,3.0,0.03,0.6599999999999999
2014-04-01,0,3.0,0.03,0.0
2014-04-02,16,3.0,0.03,0.48
2014-04-03,0,3.0,0.03,0.0
2014-04-04,24,3.0,0.03,0.72
2014-04-05,0,3.0,0.03,0.0
2014-04-06,47,3.0,0.03,1.41
2014-04-07,100,3.0,0.03,3.0
2014-04-08,17,3.0,0.03,0.51
2014-04-09,42,3.0,0.03,1.26
2014-04-10,17,3.0,0.03,0.51
2014-04-11,33,3.0,0.03,0.99
2014-04-12,44,3.0,0.03,1.3199999999999998
2014-04-13,0,3.0,0.03,0.0
2014-04-14,31,3.0,0.03,0.9299999999999999
2014-04-15,0,3.0,0.03,0.0
2014-04-16,45,3.0,0.03,1.3499999999999999
2014-04-17,0,3.0,0.03,0.0
2014-04-18,37,3.0,0.03,1.1099999999999999
2014-04-19,0,3.0,0.03,0.0
2014-04-20,31,3.0,0.03,0.9299999999999999
2014-04-21,25,3.0,0.03,0.75
2014-04-22,57,3.0,0.03,1.71
2014-04-23,0,3.0,0.03,0.0
2014-04-24,20,3.0,0.03,0.6
2014-04-25,0,3.0,0.03,0.0
2014-04-26,0,3.0,0.03,0.0
2014-04-27,0,3.0,0.03,0.0
2014-04-28,27,3.0,0.03,0.8099999999999999
2014-04-29,27,3.0,0.03,0.8099999999999999
2014-04-30,24,3.0,0.03,0.72
2014-05-01,32,3.0,0.03,0.96
2014-05-02,91,3.0,0.03,2.73
2014-05-03,37,3.0,0.03,1.1099999999999999
2014-05-04,79,3.0,0.03,2.37
2014-05-05,0,3.0,0.03,0.0
2014-05-06,0,3.0,0.03,0.0
2014-05-07,61,3.0,0.03,1.8299999999999998
2014-05-08,0,3.0,0.03,0.0
2014-05-09,25,3.0,0.03,0.75
2014-05-10,0,3.0,0.03,0.0
2014-05-11,0,3.0,0.03,0.0
2014-05-12,0,3.0,0.03,0.0
2014-05-13,30,3.0,0.03,0.8999999999999999
2014-05-14,32,3.0,0.03,0.96
2014-05-15,47,3.0,0.03,1.41
2014-05-16,52,3.0,0.03,1.56
2014-05-17,0,3.0,0.03,0.0
2014-05-18,19,3.0,0.03,0.57
2014-05-19,35,3.0,0.03,1.05
2014-05-20,38,3.0,0.03,1.14
2014-05-21,46,3.0,0.03,1.38
2014-05-22,59,3.0,0.03,1.77
2014-05-23,20,3.0,0.03,0.6
2014-05-24,30,3.0,0.03,0.8999999999999999
2014-05-25,0,3.0,0.03,0.0
2014-05-26,0,3.0,0.03,0.0
2014-05-27,17,3.0,0.03,0.51
2014-05-28,100,3.0,0.03,3.0
2014-05-29,91,3.0,0.03,2.73
2014-05-30,62,3.0,0.03,1.8599999999999999
2014-05-31,34,3.0,0.03,1.02
