date,TSLA
2013-01-01,0.0
2013-01-02,0.0
2013-01-03,0.0
2013-01-04,0.0
2013-01-05,0.0
2013-01-06,0.0
2013-01-07,0.0
2013-01-08,0.0
2013-01-09,0.0
2013-01-10,0.0
2013-01-11,0.0
2013-01-12,0.0
2013-01-13,0.0
2013-01-14,0.0
2013-01-15,0.0
2013-01-16,0.0
2013-01-17,0.0
2013-01-18,0.0
2013-01-19,0.0
2013-01-20,0.0
2013-01-21,0.0
2013-01-22,0.0
2013-01-23,0.0
2013-01-24,0.0
2013-01-25,0.0
2013-01-26,0.0
2013-01-27,0.0
2013-01-28,0.0
2013-01-29,0.0
2013-01-30,0.0
2013-01-31,0.0
2013-02-01,0.0
2013-02-02,0.0
2013-02-03,0.0
2013-02-04,0.0
2013-02-05,0.24
2013-02-06,0.0
2013-02-07,0.54
2013-02-08,0.0
2013-02-09,0.63
2013-02-10,0.0
2013-02-11,0.31
2013-02-12,0.0
2013-02-13,0.35
2013-02-14,0.0
2013-02-15,0.41
2013-02-16,0.41
2013-02-17,0.0
2013-02-18,0.0
2013-02-19,0.25
2013-02-20,0.36
2013-02-21,1.0
2013-02-22,0.0
2013-02-23,0.75
2013-02-24,0.0
2013-02-25,0.31
2013-02-26,0.0
2013-02-27,0.0
2013-02-28,0.0
2013-03-01,0.0
2013-03-02,0.0
2013-03-03,0.0
2013-03-04,0.0
2013-03-05,0.33
2013-03-06,0.0
2013-03-07,0.0
2013-03-08,0.0
2013-03-09,0.0
2013-03-10,0.91
2013-03-11,0.33
2013-03-12,0.0
2013-03-13,0.8300000000000001
2013-03-14,0.0
2013-03-15,0.75
2013-03-16,0.0
2013-03-17,0.0
2013-03-18,0.5
2013-03-19,0.48
2013-03-20,0.0
2013-03-21,0.35
2013-03-22,0.33
2013-03-23,0.38
2013-03-24,0.0
2013-03-25,0.44
2013-03-26,0.53
2013-03-27,1.0
2013-03-28,0.52
2013-03-29,0.0
2013-03-30,0.0
2013-03-31,0.0
2013-04-01,0.77
2013-04-02,0.67
2013-04-03,0.6900000000000001
2013-04-04,0.41
2013-04-05,0.43
2013-04-06,0.0
2013-04-07,0.26
2013-04-08,0.33
2013-04-09,0.0
2013-04-10,0.39
2013-04-11,0.16
2013-04-12,0.0
2013-04-13,0.0
2013-04-14,0.0
2013-04-15,0.0
2013-04-16,0.0
2013-04-17,0.21
2013-04-18,0.38
2013-04-19,0.0
2013-04-20,0.0
2013-04-21,0.0
2013-04-22,0.39
2013-04-23,0.15
2013-04-24,0.27
2013-04-25,0.24
2013-04-26,0.3
2013-04-27,1.0
2013-04-28,0.58
2013-04-29,0.0
2013-04-30,0.6
2013-05-01,0.0
2013-05-02,0.0
2013-05-03,1.08
2013-05-04,0.48
2013-05-05,0.0
2013-05-06,0.78
2013-05-07,1.56
2013-05-08,0.42
2013-05-09,6.0
2013-05-10,3.84
2013-05-11,4.68
2013-05-12,1.2
2013-05-13,5.88
2013-05-14,4.68
2013-05-15,4.56
2013-05-16,4.2
2013-05-17,4.92
2013-05-18,1.86
2013-05-19,4.14
2013-05-20,1.26
2013-05-21,2.1
2013-05-22,2.1
2013-05-23,4.08
2013-05-24,4.56
2013-05-25,1.14
2013-05-26,1.3199999999999998
2013-05-27,2.16
2013-05-28,2.64
2013-05-29,3.9
2013-05-30,6.0
2013-05-31,3.66
2013-06-01,1.4500000000000002
2013-06-02,1.1
2013-06-03,2.15
2013-06-04,4.800000000000001
2013-06-05,2.5500000000000003
2013-06-06,2.7
2013-06-07,1.95
2013-06-08,1.65
2013-06-09,2.1
2013-06-10,3.1
2013-06-11,2.1
2013-06-12,2.7
2013-06-13,1.65
2013-06-14,3.5
2013-06-15,1.1
2013-06-16,1.9
2013-06-17,3.4000000000000004
2013-06-18,2.85
2013-06-19,2.0500000000000003
2013-06-20,4.15
2013-06-21,3.8
2013-06-22,2.15
2013-06-23,1.0
2013-06-24,5.0
2013-06-25,2.6
2013-06-26,3.5
2013-06-27,3.0500000000000003
2013-06-28,2.4000000000000004
2013-06-29,1.55
2013-06-30,0.0
2013-07-01,3.12
2013-07-02,1.98
2013-07-03,1.44
2013-07-04,1.7999999999999998
2013-07-05,3.06
2013-07-06,2.28
2013-07-07,1.08
2013-07-08,3.18
2013-07-09,3.6
2013-07-10,4.5
2013-07-11,3.54
2013-07-12,4.56
2013-07-13,2.76
2013-07-14,2.4
2013-07-15,3.9
2013-07-16,4.859999999999999
2013-07-17,6.0
2013-07-18,3.36
2013-07-19,4.44
2013-07-20,1.2
2013-07-21,0.0
2013-07-22,3.66
2013-07-23,3.54
2013-07-24,3.84
2013-07-25,2.76
2013-07-26,4.92
2013-07-27,2.7
2013-07-28,0.6
2013-07-29,5.58
2013-07-30,3.0
2013-07-31,3.48
2013-08-01,3.68
2013-08-02,2.64
2013-08-03,2.4
2013-08-04,0.56
2013-08-05,2.88
2013-08-06,4.32
2013-08-07,2.48
2013-08-08,8.0
2013-08-09,6.08
2013-08-10,2.48
2013-08-11,2.24
2013-08-12,4.88
2013-08-13,5.2
2013-08-14,6.4
2013-08-15,4.48
2013-08-16,3.92
2013-08-17,0.0
2013-08-18,1.36
2013-08-19,4.0
2013-08-20,4.88
2013-08-21,4.96
2013-08-22,5.68
2013-08-23,4.48
2013-08-24,1.04
2013-08-25,3.68
2013-08-26,7.6
2013-08-27,6.0
2013-08-28,4.24
2013-08-29,3.28
2013-08-30,3.44
2013-08-31,3.68
2013-09-01,3.01
2013-09-02,2.03
2013-09-03,6.580000000000001
2013-09-04,7.000000000000001
2013-09-05,6.090000000000001
2013-09-06,6.510000000000001
2013-09-07,1.6800000000000002
2013-09-08,0.0
2013-09-09,4.69
2013-09-10,5.95
2013-09-11,4.48
2013-09-12,5.390000000000001
2013-09-13,4.2700000000000005
2013-09-14,3.2900000000000005
2013-09-15,1.61
2013-09-16,3.08
2013-09-17,4.69
2013-09-18,4.2
2013-09-19,5.6000000000000005
2013-09-20,4.69
2013-09-21,3.71
2013-09-22,2.45
2013-09-23,4.62
2013-09-24,5.880000000000001
2013-09-25,7.000000000000001
2013-09-26,5.95
2013-09-27,5.6000000000000005
2013-09-28,3.71
2013-09-29,1.8200000000000005
2013-09-30,3.640000000000001
2013-10-01,2.8000000000000003
2013-10-02,2.88
2013-10-03,8.0
2013-10-04,5.5200000000000005
2013-10-05,1.84
2013-10-06,1.44
2013-10-07,3.6
2013-10-08,3.68
2013-10-09,2.16
2013-10-10,3.12
2013-10-11,2.72
2013-10-12,0.48
2013-10-13,1.04
2013-10-14,2.64
2013-10-15,2.0
2013-10-16,1.84
2013-10-17,1.76
2013-10-18,2.24
2013-10-19,0.0
2013-10-20,0.8
2013-10-21,2.64
2013-10-22,3.2
2013-10-23,2.64
2013-10-24,1.84
2013-10-25,1.44
2013-10-26,0.48
2013-10-27,1.44
2013-10-28,1.04
2013-10-29,2.08
2013-10-30,1.68
2013-10-31,2.16
2013-11-01,3.6
2013-11-02,0.96
2013-11-03,0.4
2013-11-04,4.5600000000000005
2013-11-05,5.36
2013-11-06,6.48
2013-11-07,6.88
2013-11-08,8.0
2013-11-09,3.6
2013-11-10,4.8
2013-11-11,4.32
2013-11-12,4.16
2013-11-13,6.0
2013-11-14,5.44
2013-11-15,4.48
2013-11-16,1.76
2013-11-17,0.8
2013-11-18,3.28
2013-11-19,7.12
2013-11-20,5.44
2013-11-21,4.0
2013-11-22,3.36
2013-11-23,3.36
2013-11-24,2.0
2013-11-25,2.8000000000000003
2013-11-26,2.56
2013-11-27,3.04
2013-11-28,0.88
2013-11-29,3.2
2013-11-30,1.04
2013-12-01,1.25
2013-12-02,2.2
2013-12-03,3.8
2013-12-04,5.0
2013-12-05,4.0
2013-12-06,3.0500000000000003
2013-12-07,3.4000000000000004
2013-12-08,1.1
2013-12-09,1.8
2013-12-10,2.8000000000000003
2013-12-11,2.6
2013-12-12,1.35
2013-12-13,3.5
2013-12-14,1.1
2013-12-15,0.6000000000000001
2013-12-16,3.2
2013-12-17,2.5500000000000003
2013-12-18,3.7
2013-12-19,4.3
2013-12-20,2.5
2013-12-21,2.35
2013-12-22,2.2
2013-12-23,2.15
2013-12-24,3.2
2013-12-25,1.2000000000000002
2013-12-26,2.1
2013-12-27,1.7000000000000002
2013-12-28,1.05
2013-12-29,1.05
2013-12-30,1.85
2013-12-31,3.0
2014-01-01,0.65
2014-01-02,1.6
2014-01-03,1.2000000000000002
2014-01-04,0.0
2014-01-05,0.9
2014-01-06,1.9
2014-01-07,1.3
2014-01-08,2.3000000000000003
2014-01-09,0.0
2014-01-10,2.0500000000000003
2014-01-11,1.65
2014-01-12,2.1
2014-01-13,1.8
2014-01-14,3.5
2014-01-15,5.0
2014-01-16,2.9000000000000004
2014-01-17,3.25
2014-01-18,0.0
2014-01-19,0.0
2014-01-20,1.15
2014-01-21,1.95
2014-01-22,3.1500000000000004
2014-01-23,3.1
2014-01-24,2.7
2014-01-25,1.2000000000000002
2014-01-26,0.0
2014-01-27,1.9
2014-01-28,2.15
2014-01-29,3.0
2014-01-30,2.0500000000000003
2014-01-31,2.5500000000000003
2014-02-01,1.54
2014-02-02,0.35
2014-02-03,1.33
2014-02-04,1.54
2014-02-05,2.24
2014-02-06,1.7500000000000002
2014-02-07,1.1900000000000002
2014-02-08,1.12
2014-02-09,0.98
2014-02-10,2.45
2014-02-11,2.87
2014-02-12,2.8000000000000003
2014-02-13,2.1700000000000004
2014-02-14,1.6800000000000002
2014-02-15,1.1900000000000002
2014-02-16,0.77
2014-02-17,1.7500000000000002
2014-02-18,3.78
2014-02-19,5.390000000000001
2014-02-20,6.300000000000001
2014-02-21,3.2900000000000005
2014-02-22,2.24
2014-02-23,2.03
2014-02-24,3.01
2014-02-25,5.8100000000000005
2014-02-26,6.370000000000001
2014-02-27,7.000000000000001
2014-02-28,5.53
2014-03-01,3.28
2014-03-02,1.6
2014-03-03,5.36
2014-03-04,4.5600000000000005
2014-03-05,5.76
2014-03-06,4.88
2014-03-07,3.44
2014-03-08,2.24
2014-03-09,1.84
2014-03-10,3.52
2014-03-11,4.4
2014-03-12,5.5200000000000005
2014-03-13,2.88
2014-03-14,3.36
2014-03-15,2.96
2014-03-16,2.08
2014-03-17,4.72
2014-03-18,3.68
2014-03-19,3.04
2014-03-20,4.0
2014-03-21,3.6
2014-03-22,0.96
2014-03-23,1.52
2014-03-24,3.68
2014-03-25,2.72
2014-03-26,4.0
2014-03-27,3.6
2014-03-28,4.32
2014-03-29,1.28
2014-03-30,6.32
2014-03-31,8.0
2014-04-01,6.0
2014-04-02,4.62
2014-04-03,5.4
2014-04-04,4.2
2014-04-05,0.42
2014-04-06,0.0
2014-04-07,3.48
2014-04-08,3.72
2014-04-09,3.3
2014-04-10,2.52
2014-04-11,3.96
2014-04-12,2.1
2014-04-13,2.7
2014-04-14,2.7
2014-04-15,3.12
2014-04-16,3.72
2014-04-17,3.72
2014-04-18,2.04
2014-04-19,1.44
2014-04-20,3.24
2014-04-21,3.12
2014-04-22,2.58
2014-04-23,3.24
2014-04-24,3.42
2014-04-25,5.04
2014-04-26,0.84
2014-04-27,0.0
2014-04-28,2.52
2014-04-29,2.22
2014-04-30,2.28
2014-05-01,2.45
2014-05-02,3.45
2014-05-03,1.8
2014-05-04,1.05
2014-05-05,2.7
2014-05-06,2.0500000000000003
2014-05-07,3.45
2014-05-08,4.0
2014-05-09,5.0
2014-05-10,1.5
2014-05-11,0.7000000000000001
2014-05-12,3.1500000000000004
2014-05-13,3.3000000000000003
2014-05-14,3.25
2014-05-15,1.75
2014-05-16,2.5500000000000003
2014-05-17,1.35
2014-05-18,1.15
2014-05-19,2.15
2014-05-20,2.7
2014-05-21,2.0
2014-05-22,2.25
2014-05-23,2.5500000000000003
2014-05-24,1.6
2014-05-25,0.0
