,date,WBA
3288,2013-01-01,0.0
3289,2013-01-02,10.5
3290,2013-01-03,0.0
3291,2013-01-04,0.0
3292,2013-01-05,0.0
3293,2013-01-06,0.0
3294,2013-01-07,0.0
3295,2013-01-08,42.0
3296,2013-01-09,0.0
3297,2013-01-10,12.18
3298,2013-01-11,0.0
3299,2013-01-12,0.0
3300,2013-01-13,0.0
3301,2013-01-14,18.06
3302,2013-01-15,11.76
3303,2013-01-16,39.06
3304,2013-01-17,0.0
3305,2013-01-18,0.0
3306,2013-01-19,18.06
3307,2013-01-20,0.0
3308,2013-01-21,0.0
3309,2013-01-22,0.0
3310,2013-01-23,26.04
3311,2013-01-24,0.0
3312,2013-01-25,0.0
3313,2013-01-26,0.0
3314,2013-01-27,0.0
3315,2013-01-28,0.0
3316,2013-01-29,10.92
3317,2013-01-30,0.0
3318,2013-01-31,30.66
3319,2013-02-01,44.25
3320,2013-02-02,0.0
3321,2013-02-03,32.25
3322,2013-02-04,39.0
3323,2013-02-05,0.0
3324,2013-02-06,52.5
3325,2013-02-07,0.0
3326,2013-02-08,0.0
3327,2013-02-09,0.0
3328,2013-02-10,0.0
3329,2013-02-11,0.0
3330,2013-02-12,0.0
3331,2013-02-13,71.25
3332,2013-02-14,42.75
3333,2013-02-15,0.0
3334,2013-02-16,0.0
3335,2013-02-17,0.0
3336,2013-02-18,0.0
3337,2013-02-19,0.0
3338,2013-02-20,0.0
3339,2013-02-21,35.25
3340,2013-02-22,57.75
3341,2013-02-23,0.0
3342,2013-02-24,0.0
3343,2013-02-25,33.0
3344,2013-02-26,75.0
3345,2013-02-27,0.0
3346,2013-02-28,0.0
3347,2013-03-01,0.0
3348,2013-03-02,0.0
3349,2013-03-03,0.0
3350,2013-03-04,0.0
3351,2013-03-05,0.0
3352,2013-03-06,12.6
3353,2013-03-07,12.6
3354,2013-03-08,0.0
3355,2013-03-09,9.0
3356,2013-03-10,0.0
3357,2013-03-11,22.5
3358,2013-03-12,23.4
3359,2013-03-13,0.0
3360,2013-03-14,0.0
3361,2013-03-15,8.1
3362,2013-03-16,0.0
3363,2013-03-17,13.5
3364,2013-03-18,0.0
3365,2013-03-19,0.0
3366,2013-03-20,8.1
3367,2013-03-21,0.0
3368,2013-03-22,12.6
3369,2013-03-23,10.8
3370,2013-03-24,0.0
3371,2013-03-25,9.9
3372,2013-03-26,0.0
3373,2013-03-27,0.0
3374,2013-03-28,13.5
3375,2013-03-29,90.0
3376,2013-03-30,27.9
3377,2013-03-31,0.0
3378,2013-04-01,0.0
3379,2013-04-02,34.08
3380,2013-04-03,23.52
3381,2013-04-04,0.0
3382,2013-04-05,0.0
3383,2013-04-06,0.0
3384,2013-04-07,0.0
3385,2013-04-08,0.0
3386,2013-04-09,0.0
3387,2013-04-10,0.0
3388,2013-04-11,12.0
3389,2013-04-12,0.0
3390,2013-04-13,0.0
3391,2013-04-14,27.36
3392,2013-04-15,0.0
3393,2013-04-16,0.0
3394,2013-04-17,8.64
3395,2013-04-18,0.0
3396,2013-04-19,0.0
3397,2013-04-20,0.0
3398,2013-04-21,20.16
3399,2013-04-22,0.0
3400,2013-04-23,0.0
3401,2013-04-24,11.52
3402,2013-04-25,48.0
3403,2013-04-26,0.0
3404,2013-04-27,0.0
3405,2013-04-28,42.72
3406,2013-04-29,0.0
3407,2013-04-30,0.0
3408,2013-05-01,0.0
3409,2013-05-02,37.23
3410,2013-05-03,0.0
3411,2013-05-04,0.0
3412,2013-05-05,0.0
3413,2013-05-06,0.0
3414,2013-05-07,0.0
3415,2013-05-08,48.96
3416,2013-05-09,0.0
3417,2013-05-10,0.0
3418,2013-05-11,51.0
3419,2013-05-12,0.0
3420,2013-05-13,0.0
3421,2013-05-14,25.5
3422,2013-05-15,0.0
3423,2013-05-16,23.97
3424,2013-05-17,0.0
3425,2013-05-18,31.62
3426,2013-05-19,44.37
3427,2013-05-20,41.31
3428,2013-05-21,0.0
3429,2013-05-22,0.0
3430,2013-05-23,29.58
3431,2013-05-24,0.0
3432,2013-05-25,0.0
3433,2013-05-26,21.93
3434,2013-05-27,0.0
3435,2013-05-28,0.0
3436,2013-05-29,36.72
3437,2013-05-30,0.0
3438,2013-05-31,0.0
3439,2013-06-01,0.0
3440,2013-06-02,29.07
3441,2013-06-03,0.0
3442,2013-06-04,0.0
3443,2013-06-05,43.35
3444,2013-06-06,0.0
3445,2013-06-07,0.0
3446,2013-06-08,0.0
3447,2013-06-09,0.0
3448,2013-06-10,0.0
3449,2013-06-11,47.43
3450,2013-06-12,24.99
3451,2013-06-13,0.0
3452,2013-06-14,19.38
3453,2013-06-15,34.68
3454,2013-06-16,35.19
3455,2013-06-17,0.0
3456,2013-06-18,36.72
3457,2013-06-19,17.34
3458,2013-06-20,51.0
3459,2013-06-21,0.0
3460,2013-06-22,43.35
3461,2013-06-23,0.0
3462,2013-06-24,0.0
3463,2013-06-25,0.0
3464,2013-06-26,0.0
3465,2013-06-27,0.0
3466,2013-06-28,0.0
3467,2013-06-29,0.0
3468,2013-06-30,0.0
3469,2013-07-01,0.0
3470,2013-07-02,0.0
3471,2013-07-03,22.4
3472,2013-07-04,0.0
3473,2013-07-05,0.0
3474,2013-07-06,0.0
3475,2013-07-07,28.000000000000004
3476,2013-07-08,0.0
3477,2013-07-09,0.0
3478,2013-07-10,0.0
3479,2013-07-11,0.0
3480,2013-07-12,0.0
3481,2013-07-13,0.0
3482,2013-07-14,0.0
3483,2013-07-15,0.0
3484,2013-07-16,0.0
3485,2013-07-17,18.48
3486,2013-07-18,0.0
3487,2013-07-19,0.0
3488,2013-07-20,0.0
3489,2013-07-21,0.0
3490,2013-07-22,11.48
3491,2013-07-23,0.0
3492,2013-07-24,0.0
3493,2013-07-25,0.0
3494,2013-07-26,0.0
3495,2013-07-27,0.0
3496,2013-07-28,17.92
3497,2013-07-29,0.0
3498,2013-07-30,0.0
3499,2013-07-31,0.0
3500,2013-08-01,0.0
3501,2013-08-02,0.0
3502,2013-08-03,0.0
3503,2013-08-04,0.0
3504,2013-08-05,19.200000000000003
3505,2013-08-06,0.0
3506,2013-08-07,26.8
3507,2013-08-08,0.0
3508,2013-08-09,0.0
3509,2013-08-10,40.0
3510,2013-08-11,0.0
3511,2013-08-12,0.0
3512,2013-08-13,0.0
3513,2013-08-14,0.0
3514,2013-08-15,0.0
3515,2013-08-16,0.0
3516,2013-08-17,22.0
3517,2013-08-18,27.200000000000003
3518,2013-08-19,0.0
3519,2013-08-20,0.0
3520,2013-08-21,10.4
3521,2013-08-22,30.0
3522,2013-08-23,0.0
3523,2013-08-24,0.0
3524,2013-08-25,16.8
3525,2013-08-26,18.8
3526,2013-08-27,39.6
3527,2013-08-28,0.0
3528,2013-08-29,0.0
3529,2013-08-30,36.8
3530,2013-08-31,16.8
3531,2013-09-01,0.0
3532,2013-09-02,55.18
3533,2013-09-03,0.0
3534,2013-09-04,0.0
3535,2013-09-05,34.72
3536,2013-09-06,0.0
3537,2013-09-07,0.0
3538,2013-09-08,0.0
3539,2013-09-09,0.0
3540,2013-09-10,23.56
3541,2013-09-11,0.0
3542,2013-09-12,29.14
3543,2013-09-13,0.0
3544,2013-09-14,0.0
3545,2013-09-15,0.0
3546,2013-09-16,21.7
3547,2013-09-17,0.0
3548,2013-09-18,15.5
3549,2013-09-19,0.0
3550,2013-09-20,0.0
3551,2013-09-21,24.8
3552,2013-09-22,0.0
3553,2013-09-23,17.36
3554,2013-09-24,0.0
3555,2013-09-25,0.0
3556,2013-09-26,62.0
3557,2013-09-27,21.7
3558,2013-09-28,25.42
3559,2013-09-29,22.32
3560,2013-09-30,0.0
3561,2013-10-01,0.0
3562,2013-10-02,46.86
3563,2013-10-03,0.0
3564,2013-10-04,26.4
3565,2013-10-05,0.0
3566,2013-10-06,0.0
3567,2013-10-07,37.620000000000005
3568,2013-10-08,22.44
3569,2013-10-09,19.14
3570,2013-10-10,22.44
3571,2013-10-11,0.0
3572,2013-10-12,0.0
3573,2013-10-13,19.8
3574,2013-10-14,0.0
3575,2013-10-15,41.580000000000005
3576,2013-10-16,0.0
3577,2013-10-17,46.86
3578,2013-10-18,0.0
3579,2013-10-19,28.380000000000003
3580,2013-10-20,0.0
3581,2013-10-21,0.0
3582,2013-10-22,0.0
3583,2013-10-23,0.0
3584,2013-10-24,0.0
3585,2013-10-25,21.78
3586,2013-10-26,0.0
3587,2013-10-27,0.0
3588,2013-10-28,66.0
3589,2013-10-29,0.0
3590,2013-10-30,0.0
3591,2013-10-31,0.0
3592,2013-11-01,22.55
3593,2013-11-02,0.0
3594,2013-11-03,0.0
3595,2013-11-04,0.0
3596,2013-11-05,0.0
3597,2013-11-06,0.0
3598,2013-11-07,0.0
3599,2013-11-08,0.0
3600,2013-11-09,0.0
3601,2013-11-10,0.0
3602,2013-11-11,41.0
3603,2013-11-12,0.0
3604,2013-11-13,0.0
3605,2013-11-14,0.0
3606,2013-11-15,0.0
3607,2013-11-16,34.44
3608,2013-11-17,34.85
3609,2013-11-18,0.0
3610,2013-11-19,0.0
3611,2013-11-20,0.0
3612,2013-11-21,0.0
3613,2013-11-22,29.52
3614,2013-11-23,0.0
3615,2013-11-24,26.24
3616,2013-11-25,0.0
3617,2013-11-26,0.0
3618,2013-11-27,0.0
3619,2013-11-28,28.29
3620,2013-11-29,0.0
3621,2013-11-30,0.0
3622,2013-12-01,53.28
3623,2013-12-02,30.24
3624,2013-12-03,0.0
3625,2013-12-04,0.0
3626,2013-12-05,0.0
3627,2013-12-06,0.0
3628,2013-12-07,0.0
3629,2013-12-08,0.0
3630,2013-12-09,32.4
3631,2013-12-10,63.36
3632,2013-12-11,31.68
3633,2013-12-12,38.88
3634,2013-12-13,0.0
3635,2013-12-14,0.0
3636,2013-12-15,72.0
3637,2013-12-16,63.36
3638,2013-12-17,25.92
3639,2013-12-18,30.96
3640,2013-12-19,28.8
3641,2013-12-20,0.0
3642,2013-12-21,0.0
3643,2013-12-22,0.0
3644,2013-12-23,0.0
3645,2013-12-24,0.0
