date,AAPL
2013-01-01,10.0
2013-01-02,31.0
2013-01-03,27.0
2013-01-04,24.0
2013-01-05,9.0
2013-01-06,5.0
2013-01-07,21.0
2013-01-08,21.0
2013-01-09,21.0
2013-01-10,22.0
2013-01-11,20.0
2013-01-12,6.0
2013-01-13,5.0
2013-01-14,33.0
2013-01-15,38.0
2013-01-16,37.0
2013-01-17,32.0
2013-01-18,29.0
2013-01-19,12.0
2013-01-20,8.0
2013-01-21,11.0
2013-01-22,28.0
2013-01-23,58.0
2013-01-24,100.0
2013-01-25,61.0
2013-01-26,20.0
2013-01-27,10.0
2013-01-28,36.0
2013-01-29,37.0
2013-01-30,34.0
2013-01-31,30.0
2013-02-01,55.44
2013-02-02,20.79
2013-02-03,11.97
2013-02-04,48.51
2013-02-05,52.92
2013-02-06,49.77
2013-02-07,56.07
2013-02-08,63.0
2013-02-09,20.16
2013-02-10,12.6
2013-02-11,56.07
2013-02-12,56.07
2013-02-13,52.29
2013-02-14,44.1
2013-02-15,44.1
2013-02-16,14.49
2013-02-17,8.19
2013-02-18,20.79
2013-02-19,42.84
2013-02-20,40.95
2013-02-21,38.43
2013-02-22,40.95
2013-02-23,13.86
2013-02-24,8.19
2013-02-25,34.65
2013-02-26,40.32
2013-02-27,52.92
2013-02-28,39.06
2013-03-01,42.74999999999999
2013-03-02,15.39
2013-03-03,9.12
2013-03-04,49.59
2013-03-05,56.99999999999999
2013-03-06,51.87
2013-03-07,41.61
2013-03-08,40.47
2013-03-09,13.68
2013-03-10,9.12
2013-03-11,38.76
2013-03-12,43.31999999999999
2013-03-13,42.74999999999999
2013-03-14,39.33
2013-03-15,46.74
2013-03-16,14.82
2013-03-17,11.4
2013-03-18,43.88999999999999
2013-03-19,47.88
2013-03-20,41.04
2013-03-21,37.62
2013-03-22,38.19
2013-03-23,14.249999999999998
2013-03-24,6.84
2013-03-25,41.04
2013-03-26,42.74999999999999
2013-03-27,35.91
2013-03-28,37.62
2013-03-29,26.22
2013-03-30,7.409999999999999
2013-03-31,8.549999999999999
2013-04-01,25.5
2013-04-02,27.75
2013-04-03,26.25
2013-04-04,24.0
2013-04-05,26.25
2013-04-06,8.25
2013-04-07,7.5
2013-04-08,23.25
2013-04-09,24.75
2013-04-10,24.75
2013-04-11,25.5
2013-04-12,21.75
2013-04-13,6.75
2013-04-14,5.25
2013-04-15,22.5
2013-04-16,24.0
2013-04-17,41.25
2013-04-18,45.0
2013-04-19,41.25
2013-04-20,12.0
2013-04-21,9.0
2013-04-22,42.75
2013-04-23,75.0
2013-04-24,64.5
2013-04-25,42.0
2013-04-26,34.5
2013-04-27,9.75
2013-04-28,7.5
2013-04-29,35.25
2013-04-30,41.25
2013-05-01,61.0
2013-05-02,57.34
2013-05-03,57.95
2013-05-04,17.08
2013-05-05,10.98
2013-05-06,55.51
2013-05-07,60.39
2013-05-08,56.12
2013-05-09,52.46
2013-05-10,45.75
2013-05-11,13.42
2013-05-12,9.15
2013-05-13,41.48
2013-05-14,48.19
2013-05-15,56.73
2013-05-16,54.29
2013-05-17,44.53
2013-05-18,10.98
2013-05-19,8.54
2013-05-20,43.31
2013-05-21,53.68
2013-05-22,40.87
2013-05-23,40.87
2013-05-24,35.38
2013-05-25,12.81
2013-05-26,7.93
2013-05-27,10.37
2013-05-28,40.87
2013-05-29,39.04
2013-05-30,42.09
2013-05-31,39.04
2013-06-01,8.1
2013-06-02,4.5
2013-06-03,22.95
2013-06-04,24.3
2013-06-05,24.75
2013-06-06,21.15
2013-06-07,24.3
2013-06-08,6.75
2013-06-09,5.4
2013-06-10,45.0
2013-06-11,37.8
2013-06-12,24.75
2013-06-13,21.15
2013-06-14,21.15
2013-06-15,7.2
2013-06-16,5.4
2013-06-17,21.15
2013-06-18,19.8
2013-06-19,22.05
2013-06-20,23.85
2013-06-21,23.4
2013-06-22,5.8500000000000005
2013-06-23,3.6
2013-06-24,26.1
2013-06-25,26.55
2013-06-26,25.2
2013-06-27,22.95
2013-06-28,25.65
2013-06-29,6.3
2013-06-30,4.5
2013-07-01,22.0
2013-07-02,24.5
2013-07-03,20.0
2013-07-04,6.5
2013-07-05,18.0
2013-07-06,6.0
2013-07-07,3.5
2013-07-08,19.0
2013-07-09,19.0
2013-07-10,21.5
2013-07-11,21.0
2013-07-12,19.5
2013-07-13,6.5
2013-07-14,4.0
2013-07-15,18.5
