date,Apple
2004-01-01,16.490000000000002
2004-01-02,13.260000000000002
2004-01-03,16.66
2004-01-04,11.39
2004-01-05,13.090000000000002
2004-01-06,15.81
2004-01-07,13.940000000000001
2004-01-08,14.96
2004-01-09,14.110000000000001
2004-01-10,15.13
2004-01-11,14.96
2004-01-12,13.430000000000001
2004-01-13,13.600000000000001
2004-01-14,14.450000000000001
2004-01-15,12.920000000000002
2004-01-16,14.110000000000001
2004-01-17,17.0
2004-01-18,15.81
2004-01-19,12.920000000000002
2004-01-20,13.430000000000001
2004-01-21,13.090000000000002
2004-01-22,11.9
2004-01-23,14.110000000000001
2004-01-24,15.98
2004-01-25,15.3
2004-01-26,13.430000000000001
2004-01-27,15.13
2004-01-28,12.41
2004-01-29,13.090000000000002
2004-01-30,12.920000000000002
2004-01-31,13.600000000000001
2004-02-01,16.0
2004-02-02,11.040000000000001
2004-02-03,12.0
2004-02-04,11.84
2004-02-05,11.040000000000001
2004-02-06,11.040000000000001
2004-02-07,15.36
2004-02-08,13.280000000000001
2004-02-09,12.32
2004-02-10,12.32
2004-02-11,12.96
2004-02-12,11.200000000000001
2004-02-13,11.200000000000001
2004-02-14,12.48
2004-02-15,12.64
2004-02-16,14.08
2004-02-17,12.16
2004-02-18,12.48
2004-02-19,13.44
2004-02-20,11.040000000000001
2004-02-21,14.56
2004-02-22,15.040000000000001
2004-02-23,11.36
2004-02-24,12.32
2004-02-25,11.84
2004-02-26,11.200000000000001
2004-02-27,12.16
2004-02-28,14.56
2004-02-29,15.040000000000001
2004-03-01,12.299999999999999
2004-03-02,11.1
2004-03-03,12.45
2004-03-04,11.7
2004-03-05,11.4
2004-03-06,12.45
2004-03-07,14.25
2004-03-08,0.0
2004-03-09,0.0
2004-03-10,11.7
2004-03-11,13.35
2004-03-12,9.9
2004-03-13,13.95
2004-03-14,13.5
2004-03-15,11.85
2004-03-16,12.6
2004-03-17,11.25
2004-03-18,11.1
2004-03-19,12.6
2004-03-20,12.45
2004-03-21,13.35
2004-03-22,14.1
2004-03-23,0.0
2004-03-24,12.6
2004-03-25,12.299999999999999
2004-03-26,11.1
2004-03-27,15.0
2004-03-28,14.399999999999999
2004-03-29,12.75
2004-03-30,11.85
2004-03-31,12.45
2004-04-01,9.6
2004-04-02,11.4
2004-04-03,11.549999999999999
2004-04-04,12.299999999999999
2004-04-05,10.95
2004-04-06,11.1
2004-04-07,10.049999999999999
2004-04-08,9.75
2004-04-09,11.7
2004-04-10,12.45
2004-04-11,15.0
2004-04-12,0.0
2004-04-13,0.0
2004-04-14,10.2
2004-04-15,9.9
2004-04-16,9.9
2004-04-17,13.5
2004-04-18,13.049999999999999
2004-04-19,11.25
2004-04-20,10.5
2004-04-21,10.65
2004-04-22,10.35
2004-04-23,10.65
2004-04-24,12.45
2004-04-25,12.45
2004-04-26,9.6
2004-04-27,10.95
2004-04-28,11.549999999999999
2004-04-29,10.95
2004-04-30,12.0
2004-05-01,12.32
2004-05-02,14.4
2004-05-03,12.16
2004-05-04,12.96
2004-05-05,12.48
2004-05-06,13.44
2004-05-07,12.64
2004-05-08,15.52
2004-05-09,16.0
2004-05-10,11.040000000000001
2004-05-11,12.48
2004-05-12,11.36
2004-05-13,10.08
2004-05-14,12.32
2004-05-15,13.92
2004-05-16,14.24
2004-05-17,13.280000000000001
2004-05-18,13.6
2004-05-19,12.8
2004-05-20,12.96
2004-05-21,11.36
2004-05-22,13.76
2004-05-23,11.36
2004-05-24,12.8
2004-05-25,11.36
2004-05-26,12.96
2004-05-27,11.68
2004-05-28,12.96
2004-05-29,14.4
2004-05-30,14.24
2004-05-31,13.92
2004-06-01,11.52
2004-06-02,12.6
2004-06-03,12.059999999999999
2004-06-04,13.32
2004-06-05,14.76
2004-06-06,13.139999999999999
2004-06-07,14.219999999999999
2004-06-08,14.399999999999999
2004-06-09,13.68
2004-06-10,13.5
2004-06-11,14.399999999999999
2004-06-12,18.0
2004-06-13,13.86
2004-06-14,13.86
2004-06-15,12.24
2004-06-16,13.68
2004-06-17,13.32
