date,CAT
2013-01-01,53.07
2013-01-02,43.31
2013-01-03,47.58
2013-01-04,46.36
2013-01-05,54.29
2013-01-06,57.339999999999996
2013-01-07,49.41
2013-01-08,47.58
2013-01-09,48.19
2013-01-10,49.41
2013-01-11,46.36
2013-01-12,54.29
2013-01-13,50.019999999999996
2013-01-14,43.92
2013-01-15,45.14
2013-01-16,43.31
2013-01-17,46.36
2013-01-18,47.58
2013-01-19,52.46
2013-01-20,53.07
2013-01-21,48.19
2013-01-22,43.92
2013-01-23,47.58
2013-01-24,45.75
2013-01-25,48.19
2013-01-26,61.0
2013-01-27,54.9
2013-01-28,46.36
2013-01-29,46.36
2013-01-30,41.48
2013-01-31,45.75
2013-02-01,48.64
2013-02-02,51.84
2013-02-03,57.6
2013-02-04,45.44
2013-02-05,49.92
2013-02-06,48.64
2013-02-07,49.92
2013-02-08,51.2
2013-02-09,52.480000000000004
2013-02-10,55.68
2013-02-11,48.0
2013-02-12,48.64
2013-02-13,46.08
2013-02-14,55.04
2013-02-15,48.64
2013-02-16,56.32
2013-02-17,64.0
2013-02-18,50.56
2013-02-19,48.64
2013-02-20,46.72
2013-02-21,48.0
2013-02-22,53.120000000000005
2013-02-23,59.52
2013-02-24,56.96
2013-02-25,47.36
2013-02-26,55.68
2013-02-27,51.84
2013-02-28,53.120000000000005
2013-03-01,51.0
2013-03-02,57.599999999999994
2013-03-03,54.6
2013-03-04,46.8
2013-03-05,48.6
2013-03-06,45.0
2013-03-07,47.4
2013-03-08,52.199999999999996
2013-03-09,60.0
2013-03-10,54.0
2013-03-11,45.6
2013-03-12,51.0
2013-03-13,49.8
2013-03-14,46.8
2013-03-15,46.199999999999996
2013-03-16,51.6
2013-03-17,53.4
2013-03-18,45.6
2013-03-19,45.0
2013-03-20,49.199999999999996
2013-03-21,48.6
2013-03-22,45.6
2013-03-23,54.6
2013-03-24,54.6
2013-03-25,48.6
2013-03-26,46.199999999999996
2013-03-27,47.4
2013-03-28,46.8
2013-03-29,47.4
2013-03-30,49.199999999999996
2013-03-31,55.199999999999996
2013-04-01,43.31999999999999
2013-04-02,44.459999999999994
2013-04-03,45.029999999999994
2013-04-04,48.449999999999996
2013-04-05,48.449999999999996
2013-04-06,54.15
2013-04-07,55.85999999999999
2013-04-08,48.449999999999996
2013-04-09,45.599999999999994
2013-04-10,47.879999999999995
2013-04-11,47.309999999999995
2013-04-12,43.31999999999999
2013-04-13,51.87
2013-04-14,56.99999999999999
2013-04-15,41.04
2013-04-16,42.18
2013-04-17,46.169999999999995
2013-04-18,43.88999999999999
2013-04-19,43.88999999999999
2013-04-20,47.879999999999995
2013-04-21,52.44
2013-04-22,44.459999999999994
2013-04-23,44.459999999999994
2013-04-24,44.459999999999994
2013-04-25,49.019999999999996
2013-04-26,47.309999999999995
2013-04-27,55.85999999999999
2013-04-28,56.99999999999999
2013-04-29,43.88999999999999
2013-04-30,44.459999999999994
2013-05-01,44.08
2013-05-02,41.76
2013-05-03,42.919999999999995
2013-05-04,49.3
2013-05-05,51.04
2013-05-06,42.919999999999995
2013-05-07,43.5
2013-05-08,40.599999999999994
2013-05-09,44.08
2013-05-10,43.5
2013-05-11,52.779999999999994
2013-05-12,57.99999999999999
2013-05-13,41.76
2013-05-14,45.82
2013-05-15,44.66
2013-05-16,41.76
2013-05-17,41.76
2013-05-18,46.98
2013-05-19,48.13999999999999
2013-05-20,42.919999999999995
2013-05-21,46.98
2013-05-22,42.339999999999996
2013-05-23,43.5
2013-05-24,48.13999999999999
2013-05-25,52.199999999999996
2013-05-26,53.36
2013-05-27,49.3
2013-05-28,42.339999999999996
2013-05-29,42.919999999999995
2013-05-30,50.459999999999994
2013-05-31,48.72
2013-06-01,57.6
2013-06-02,61.44
2013-06-03,51.84
2013-06-04,51.84
2013-06-05,51.84
2013-06-06,50.56
2013-06-07,50.56
2013-06-08,56.32
2013-06-09,64.0
2013-06-10,51.2
2013-06-11,52.480000000000004
2013-06-12,48.64
2013-06-13,50.56
2013-06-14,51.2
2013-06-15,56.96
2013-06-16,60.160000000000004
2013-06-17,52.480000000000004
2013-06-18,53.120000000000005
2013-06-19,49.92
2013-06-20,49.92
2013-06-21,50.56
2013-06-22,53.76
2013-06-23,55.68
2013-06-24,51.84
2013-06-25,51.84
2013-06-26,50.56
2013-06-27,48.0
2013-06-28,51.2
2013-06-29,54.4
2013-06-30,58.88
2013-07-01,41.08
2013-07-02,41.08
2013-07-03,42.120000000000005
2013-07-04,42.120000000000005
2013-07-05,42.120000000000005
2013-07-06,45.760000000000005
2013-07-07,47.84
2013-07-08,41.08
2013-07-09,41.08
2013-07-10,45.24
2013-07-11,40.04
2013-07-12,43.68
2013-07-13,48.36
2013-07-14,46.28
2013-07-15,41.6
2013-07-16,37.44
2013-07-17,40.04
2013-07-18,43.160000000000004
2013-07-19,42.64
2013-07-20,47.84
2013-07-21,52.0
2013-07-22,43.160000000000004
2013-07-23,41.08
2013-07-24,42.120000000000005
2013-07-25,44.2
2013-07-26,44.72
2013-07-27,47.32
2013-07-28,47.84
2013-07-29,42.120000000000005
2013-07-30,43.160000000000004
2013-07-31,42.120000000000005
2013-08-01,46.019999999999996
2013-08-02,42.48
2013-08-03,51.33
2013-08-04,56.05
2013-08-05,45.43
2013-08-06,47.79
2013-08-07,45.43
2013-08-08,48.379999999999995
2013-08-09,50.739999999999995
2013-08-10,56.64
2013-08-11,56.05
2013-08-12,48.97
2013-08-13,46.019999999999996
2013-08-14,47.79
2013-08-15,47.199999999999996
2013-08-16,47.199999999999996
2013-08-17,59.0
2013-08-18,56.64
2013-08-19,46.61
2013-08-20,45.43
2013-08-21,47.79
2013-08-22,47.79
2013-08-23,45.43
2013-08-24,56.05
2013-08-25,54.87
2013-08-26,40.71
2013-08-27,47.199999999999996
2013-08-28,48.97
2013-08-29,50.739999999999995
2013-08-30,53.099999999999994
2013-08-31,49.559999999999995
2013-09-01,50.400000000000006
2013-09-02,53.2
2013-09-03,50.96000000000001
2013-09-04,44.24
2013-09-05,48.720000000000006
2013-09-06,55.440000000000005
2013-09-07,54.32000000000001
2013-09-08,55.440000000000005
2013-09-09,45.92
2013-09-10,43.120000000000005
2013-09-11,47.040000000000006
2013-09-12,48.160000000000004
2013-09-13,47.6
2013-09-14,50.400000000000006
2013-09-15,53.2
2013-09-16,44.800000000000004
2013-09-17,45.92
2013-09-18,48.160000000000004
2013-09-19,44.800000000000004
2013-09-20,48.160000000000004
2013-09-21,54.88
2013-09-22,56.00000000000001
2013-09-23,47.6
2013-09-24,46.480000000000004
2013-09-25,44.24
2013-09-26,46.480000000000004
2013-09-27,49.28
2013-09-28,52.080000000000005
2013-09-29,53.2
2013-09-30,47.040000000000006
2013-10-01,37.620000000000005
2013-10-02,38.28
2013-10-03,39.6
2013-10-04,40.260000000000005
2013-10-05,48.84
2013-10-06,50.160000000000004
2013-10-07,42.24
2013-10-08,42.24
2013-10-09,38.940000000000005
2013-10-10,41.580000000000005
2013-10-11,43.56
2013-10-12,44.88
2013-10-13,49.5
2013-10-14,39.6
2013-10-15,42.24
2013-10-16,40.260000000000005
2013-10-17,35.64
2013-10-18,41.580000000000005
2013-10-19,50.160000000000004
2013-10-20,46.2
2013-10-21,38.28
2013-10-22,42.24
2013-10-23,41.580000000000005
2013-10-24,44.22
2013-10-25,47.52
2013-10-26,56.760000000000005
2013-10-27,56.760000000000005
2013-10-28,40.92
2013-10-29,57.42
2013-10-30,53.46
2013-10-31,66.0
2013-11-01,59.0
2013-11-02,55.459999999999994
2013-11-03,59.0
2013-11-04,48.97
2013-11-05,47.79
2013-11-06,47.79
2013-11-07,48.97
2013-11-08,49.559999999999995
2013-11-09,53.69
2013-11-10,58.41
2013-11-11,51.919999999999995
2013-11-12,48.379999999999995
2013-11-13,50.15
2013-11-14,48.379999999999995
2013-11-15,47.79
2013-11-16,53.099999999999994
2013-11-17,51.33
2013-11-18,47.79
2013-11-19,47.79
2013-11-20,48.97
2013-11-21,48.97
2013-11-22,47.79
2013-11-23,56.05
2013-11-24,54.279999999999994
2013-11-25,48.379999999999995
2013-11-26,46.019999999999996
2013-11-27,50.739999999999995
2013-11-28,56.05
2013-11-29,53.69
