date,DIS
2013-01-01,24.48
2013-01-02,29.52
2013-01-03,24.119999999999997
2013-01-04,27.72
2013-01-05,26.279999999999998
2013-01-06,26.64
2013-01-07,27.72
2013-01-08,31.32
2013-01-09,32.4
2013-01-10,31.68
2013-01-11,32.04
2013-01-12,27.72
2013-01-13,29.88
2013-01-14,28.799999999999997
2013-01-15,30.959999999999997
2013-01-16,30.24
2013-01-17,30.24
2013-01-18,28.799999999999997
2013-01-19,25.2
2013-01-20,25.56
2013-01-21,27.0
2013-01-22,29.88
2013-01-23,36.0
2013-01-24,32.4
2013-01-25,32.04
2013-01-26,23.759999999999998
2013-01-27,23.759999999999998
2013-01-28,27.72
2013-01-29,28.439999999999998
2013-01-30,30.24
2013-01-31,28.08
2013-02-01,31.92
2013-02-02,29.64
2013-02-03,31.54
2013-02-04,35.72
2013-02-05,35.72
2013-02-06,36.86
2013-02-07,35.72
2013-02-08,29.26
2013-02-09,26.6
2013-02-10,26.22
2013-02-11,31.92
2013-02-12,33.44
2013-02-13,32.3
2013-02-14,36.86
2013-02-15,33.06
2013-02-16,26.22
2013-02-17,31.54
2013-02-18,28.88
2013-02-19,35.72
2013-02-20,31.92
2013-02-21,34.58
2013-02-22,30.4
2013-02-23,25.080000000000002
2013-02-24,31.92
2013-02-25,28.88
2013-02-26,32.68
2013-02-27,38.0
2013-02-28,31.16
2013-03-01,30.959999999999997
2013-03-02,28.439999999999998
2013-03-03,23.759999999999998
2013-03-04,28.439999999999998
2013-03-05,33.12
2013-03-06,28.08
2013-03-07,31.68
2013-03-08,30.959999999999997
2013-03-09,25.919999999999998
2013-03-10,25.919999999999998
2013-03-11,32.04
2013-03-12,29.88
2013-03-13,36.0
2013-03-14,29.88
2013-03-15,28.08
2013-03-16,24.84
2013-03-17,24.84
2013-03-18,30.24
2013-03-19,33.839999999999996
2013-03-20,31.68
2013-03-21,34.92
2013-03-22,31.32
2013-03-23,27.0
2013-03-24,22.68
2013-03-25,28.799999999999997
2013-03-26,23.04
2013-03-27,29.88
2013-03-28,30.24
2013-03-29,23.759999999999998
2013-03-30,24.84
2013-03-31,24.48
2013-04-01,35.15
2013-04-02,32.19
2013-04-03,26.64
2013-04-04,29.6
2013-04-05,27.009999999999998
2013-04-06,28.49
2013-04-07,30.71
2013-04-08,33.3
2013-04-09,33.3
2013-04-10,33.3
2013-04-11,31.08
2013-04-12,33.67
2013-04-13,23.68
2013-04-14,30.71
2013-04-15,31.45
2013-04-16,34.04
2013-04-17,34.78
2013-04-18,33.3
2013-04-19,34.41
2013-04-20,28.12
2013-04-21,29.23
2013-04-22,35.15
2013-04-23,37.0
2013-04-24,33.3
2013-04-25,35.15
2013-04-26,35.15
2013-04-27,27.75
2013-04-28,25.9
2013-04-29,29.97
2013-04-30,34.41
2013-05-01,30.099999999999998
2013-05-02,31.39
2013-05-03,33.11
2013-05-04,25.37
2013-05-05,28.81
2013-05-06,35.26
2013-05-07,41.28
2013-05-08,43.0
2013-05-09,34.83
2013-05-10,36.12
2013-05-11,27.95
2013-05-12,30.96
2013-05-13,33.54
2013-05-14,39.99
2013-05-15,36.12
2013-05-16,31.82
2013-05-17,35.69
2013-05-18,26.23
2013-05-19,32.68
2013-05-20,39.13
2013-05-21,29.669999999999998
2013-05-22,33.97
2013-05-23,39.13
2013-05-24,37.839999999999996
2013-05-25,29.24
2013-05-26,24.509999999999998
2013-05-27,29.669999999999998
2013-05-28,31.39
2013-05-29,32.68
2013-05-30,34.83
2013-05-31,30.53
2013-06-01,32.76
2013-06-02,34.71
2013-06-03,36.27
2013-06-04,36.660000000000004
2013-06-05,36.27
2013-06-06,35.88
2013-06-07,35.49
2013-06-08,31.59
2013-06-09,34.71
2013-06-10,31.59
2013-06-11,39.0
2013-06-12,37.050000000000004
2013-06-13,35.1
2013-06-14,38.22
2013-06-15,34.32
2013-06-16,30.810000000000002
2013-06-17,33.54
2013-06-18,38.22
2013-06-19,38.61
2013-06-20,35.88
2013-06-21,35.49
2013-06-22,33.93
2013-06-23,33.15
2013-06-24,38.22
2013-06-25,33.15
2013-06-26,32.370000000000005
2013-06-27,32.370000000000005
2013-06-28,33.15
2013-06-29,32.76
2013-06-30,30.42
2013-07-01,37.2
2013-07-02,37.2
2013-07-03,33.6
2013-07-04,40.0
2013-07-05,31.200000000000003
2013-07-06,29.6
2013-07-07,27.200000000000003
2013-07-08,37.6
2013-07-09,35.6
2013-07-10,31.6
2013-07-11,32.0
2013-07-12,35.6
2013-07-13,30.8
2013-07-14,36.4
2013-07-15,32.800000000000004
2013-07-16,33.2
2013-07-17,34.4
2013-07-18,31.6
2013-07-19,30.400000000000002
2013-07-20,33.2
2013-07-21,29.200000000000003
2013-07-22,31.6
2013-07-23,34.0
2013-07-24,30.400000000000002
2013-07-25,32.4
2013-07-26,34.800000000000004
2013-07-27,31.200000000000003
2013-07-28,34.0
2013-07-29,34.0
2013-07-30,31.200000000000003
2013-07-31,33.2
2013-08-01,29.25
2013-08-02,26.52
2013-08-03,25.740000000000002
2013-08-04,24.96
2013-08-05,28.86
2013-08-06,34.71
2013-08-07,28.470000000000002
2013-08-08,27.69
2013-08-09,31.59
2013-08-10,24.96
2013-08-11,23.79
2013-08-12,26.52
2013-08-13,39.0
2013-08-14,38.22
2013-08-15,30.810000000000002
2013-08-16,31.98
2013-08-17,25.740000000000002
2013-08-18,24.57
2013-08-19,30.03
2013-08-20,22.62
2013-08-21,26.91
2013-08-22,25.35
2013-08-23,26.91
2013-08-24,24.57
2013-08-25,27.69
2013-08-26,28.470000000000002
2013-08-27,27.3
2013-08-28,31.98
2013-08-29,27.69
2013-08-30,25.740000000000002
2013-08-31,23.400000000000002
2013-09-01,29.200000000000003
2013-09-02,29.6
2013-09-03,36.0
2013-09-04,29.200000000000003
2013-09-05,34.0
2013-09-06,33.2
2013-09-07,26.0
2013-09-08,26.8
2013-09-09,34.800000000000004
2013-09-10,39.2
2013-09-11,36.0
2013-09-12,32.4
2013-09-13,40.0
2013-09-14,26.400000000000002
2013-09-15,28.400000000000002
2013-09-16,36.4
2013-09-17,39.2
2013-09-18,32.800000000000004
2013-09-19,32.800000000000004
2013-09-20,34.4
2013-09-21,24.400000000000002
2013-09-22,28.400000000000002
2013-09-23,26.8
2013-09-24,36.0
2013-09-25,32.4
2013-09-26,30.0
2013-09-27,30.0
2013-09-28,26.400000000000002
2013-09-29,25.6
2013-09-30,35.2
2013-10-01,28.88
2013-10-02,29.64
2013-10-03,34.96
2013-10-04,31.16
2013-10-05,25.84
2013-10-06,29.26
2013-10-07,29.64
