date,GS
2013-01-01,57.0
2013-01-02,75.0
2013-01-03,60.75
2013-01-04,71.25
2013-01-05,57.0
2013-01-06,59.25
2013-01-07,63.75
2013-01-08,64.5
2013-01-09,66.75
2013-01-10,68.25
2013-01-11,63.0
2013-01-12,58.5
2013-01-13,55.5
2013-01-14,63.75
2013-01-15,60.0
2013-01-16,69.75
2013-01-17,67.5
2013-01-18,71.25
2013-01-19,62.25
2013-01-20,63.75
2013-01-21,55.5
2013-01-22,62.25
2013-01-23,66.0
2013-01-24,64.5
2013-01-25,63.75
2013-01-26,54.0
2013-01-27,58.5
2013-01-28,60.75
2013-01-29,61.5
2013-01-30,61.5
2013-01-31,59.25
2013-02-01,61.41
2013-02-02,60.029999999999994
2013-02-03,55.88999999999999
2013-02-04,57.959999999999994
2013-02-05,64.17
2013-02-06,69.0
2013-02-07,66.24
2013-02-08,64.17
2013-02-09,64.17
2013-02-10,64.86
2013-02-11,57.959999999999994
2013-02-12,65.55
2013-02-13,60.72
2013-02-14,60.72
2013-02-15,63.48
2013-02-16,64.86
2013-02-17,57.269999999999996
2013-02-18,56.58
2013-02-19,64.17
2013-02-20,64.86
2013-02-21,69.0
2013-02-22,60.72
2013-02-23,62.099999999999994
2013-02-24,57.959999999999994
2013-02-25,60.029999999999994
2013-02-26,64.17
2013-02-27,66.24
2013-02-28,68.30999999999999
2013-03-01,57.96
2013-03-02,48.51
2013-03-03,48.51
2013-03-04,52.92
2013-03-05,54.81
2013-03-06,52.29
2013-03-07,52.29
2013-03-08,56.07
2013-03-09,52.92
2013-03-10,51.660000000000004
2013-03-11,59.22
2013-03-12,61.11
2013-03-13,53.55
2013-03-14,63.0
2013-03-15,56.7
2013-03-16,52.29
2013-03-17,52.92
2013-03-18,54.81
2013-03-19,58.59
2013-03-20,59.85
2013-03-21,62.37
2013-03-22,52.92
2013-03-23,57.96
2013-03-24,53.55
2013-03-25,51.03
2013-03-26,52.92
2013-03-27,59.22
2013-03-28,61.74
2013-03-29,59.22
2013-03-30,53.55
2013-03-31,49.77
2013-04-01,54.599999999999994
2013-04-02,57.4
2013-04-03,63.699999999999996
2013-04-04,61.599999999999994
2013-04-05,64.39999999999999
2013-04-06,57.4
2013-04-07,60.9
2013-04-08,56.0
2013-04-09,58.099999999999994
2013-04-10,60.9
2013-04-11,51.099999999999994
2013-04-12,59.49999999999999
2013-04-13,57.4
2013-04-14,54.599999999999994
2013-04-15,56.0
2013-04-16,70.0
2013-04-17,59.49999999999999
2013-04-18,51.8
2013-04-19,57.4
2013-04-20,60.9
2013-04-21,58.8
2013-04-22,59.49999999999999
2013-04-23,61.599999999999994
2013-04-24,64.39999999999999
2013-04-25,58.8
2013-04-26,54.599999999999994
2013-04-27,57.4
2013-04-28,60.199999999999996
2013-04-29,61.599999999999994
2013-04-30,58.099999999999994
2013-05-01,65.52
2013-05-02,61.919999999999995
2013-05-03,67.67999999999999
2013-05-04,53.28
2013-05-05,60.48
2013-05-06,60.48
2013-05-07,72.0
2013-05-08,54.0
2013-05-09,67.67999999999999
2013-05-10,57.599999999999994
2013-05-11,70.56
2013-05-12,64.8
2013-05-13,52.559999999999995
2013-05-14,71.28
2013-05-15,59.04
2013-05-16,61.199999999999996
2013-05-17,63.36
2013-05-18,53.28
2013-05-19,56.16
2013-05-20,58.32
2013-05-21,59.04
2013-05-22,62.64
2013-05-23,64.8
2013-05-24,65.52
2013-05-25,54.0
2013-05-26,54.0
2013-05-27,47.519999999999996
2013-05-28,53.28
2013-05-29,59.76
2013-05-30,57.599999999999994
2013-05-31,59.04
2013-06-01,80.0
2013-06-02,67.2
2013-06-03,77.60000000000001
2013-06-04,78.4
2013-06-05,78.4
2013-06-06,75.2
2013-06-07,76.80000000000001
2013-06-08,71.2
2013-06-09,66.4
2013-06-10,74.4
2013-06-11,72.8
2013-06-12,73.60000000000001
2013-06-13,75.2
2013-06-14,68.8
2013-06-15,68.0
2013-06-16,67.2
2013-06-17,73.60000000000001
2013-06-18,76.0
2013-06-19,74.4
2013-06-20,63.2
2013-06-21,70.4
2013-06-22,62.400000000000006
2013-06-23,62.400000000000006
2013-06-24,70.4
2013-06-25,71.2
2013-06-26,69.60000000000001
2013-06-27,72.0
2013-06-28,76.80000000000001
2013-06-29,67.2
2013-06-30,68.8
2013-07-01,61.38
2013-07-02,57.42
2013-07-03,56.760000000000005
2013-07-04,56.1
2013-07-05,58.74
2013-07-06,54.78
2013-07-07,50.160000000000004
2013-07-08,56.1
2013-07-09,60.720000000000006
2013-07-10,57.42
2013-07-11,60.720000000000006
2013-07-12,58.74
2013-07-13,56.1
2013-07-14,52.14
2013-07-15,60.720000000000006
2013-07-16,64.68
2013-07-17,66.0
2013-07-18,61.38
2013-07-19,55.440000000000005
2013-07-20,62.040000000000006
2013-07-21,55.440000000000005
2013-07-22,57.42
2013-07-23,56.760000000000005
2013-07-24,58.74
2013-07-25,57.42
2013-07-26,58.74
2013-07-27,54.78
2013-07-28,50.160000000000004
2013-07-29,55.440000000000005
2013-07-30,55.440000000000005
2013-07-31,61.38
2013-08-01,63.9
2013-08-02,56.089999999999996
2013-08-03,62.48
2013-08-04,58.22
2013-08-05,63.19
2013-08-06,63.19
2013-08-07,59.64
2013-08-08,61.059999999999995
2013-08-09,57.51
2013-08-10,56.089999999999996
2013-08-11,52.54
2013-08-12,63.9
2013-08-13,58.93
2013-08-14,63.9
2013-08-15,56.8
2013-08-16,56.8
2013-08-17,62.48
2013-08-18,61.059999999999995
2013-08-19,56.8
2013-08-20,59.64
2013-08-21,57.51
2013-08-22,71.0
2013-08-23,61.769999999999996
2013-08-24,51.12
2013-08-25,53.959999999999994
2013-08-26,57.51
2013-08-27,60.349999999999994
2013-08-28,58.22
2013-08-29,55.379999999999995
2013-08-30,59.64
2013-08-31,58.22
2013-09-01,58.24
2013-09-02,58.88
2013-09-03,61.44
2013-09-04,60.160000000000004
2013-09-05,57.6
2013-09-06,61.44
2013-09-07,56.96
2013-09-08,53.120000000000005
2013-09-09,58.88
2013-09-10,62.08
2013-09-11,61.44
2013-09-12,57.6
2013-09-13,64.0
2013-09-14,63.36
2013-09-15,51.84
2013-09-16,57.6
2013-09-17,62.08
2013-09-18,60.160000000000004
2013-09-19,62.72
2013-09-20,59.52
2013-09-21,50.56
2013-09-22,56.32
2013-09-23,57.6
2013-09-24,62.72
2013-09-25,57.6
2013-09-26,61.44
2013-09-27,55.68
2013-09-28,57.6
2013-09-29,58.88
2013-09-30,58.24
2013-10-01,57.33
2013-10-02,59.22
2013-10-03,60.480000000000004
2013-10-04,51.03
2013-10-05,56.7
2013-10-06,55.44
2013-10-07,51.660000000000004
2013-10-08,55.44
2013-10-09,54.18
2013-10-10,56.7
2013-10-11,53.55
2013-10-12,48.51
2013-10-13,57.33
2013-10-14,49.77
2013-10-15,56.7
2013-10-16,51.660000000000004
2013-10-17,63.0
2013-10-18,57.33
2013-10-19,57.96
2013-10-20,55.44
2013-10-21,59.22
2013-10-22,59.85
2013-10-23,60.480000000000004
2013-10-24,60.480000000000004
2013-10-25,59.22
2013-10-26,51.660000000000004
2013-10-27,48.51
2013-10-28,55.44
2013-10-29,56.7
2013-10-30,59.22
2013-10-31,54.18
2013-11-01,53.55
2013-11-02,54.81
2013-11-03,49.77
2013-11-04,54.18
2013-11-05,63.0
2013-11-06,56.07
2013-11-07,57.96
2013-11-08,56.07
2013-11-09,51.03
2013-11-10,50.4
2013-11-11,49.77
2013-11-12,54.81
2013-11-13,59.22
2013-11-14,61.74
2013-11-15,61.11
2013-11-16,56.07
2013-11-17,48.51
2013-11-18,57.96
2013-11-19,57.33
2013-11-20,58.59
2013-11-21,57.96
2013-11-22,54.18
2013-11-23,59.85
2013-11-24,52.29
2013-11-25,53.55
2013-11-26,55.44
2013-11-27,56.07
2013-11-28,47.88
2013-11-29,59.85
2013-11-30,54.81
2013-12-01,47.57
2013-12-02,51.83
2013-12-03,57.51
2013-12-04,61.769999999999996
2013-12-05,53.959999999999994
2013-12-06,57.51
2013-12-07,54.669999999999995
2013-12-08,54.669999999999995
2013-12-09,50.41
2013-12-10,60.349999999999994
2013-12-11,61.059999999999995
2013-12-12,51.83
2013-12-13,56.089999999999996
2013-12-14,59.64
2013-12-15,51.12
2013-12-16,71.0
2013-12-17,56.8
2013-12-18,63.9
2013-12-19,61.059999999999995
2013-12-20,63.9
2013-12-21,58.93
2013-12-22,62.48
2013-12-23,60.349999999999994
2013-12-24,66.74
2013-12-25,56.8
2013-12-26,69.58
2013-12-27,59.64
2013-12-28,59.64
2013-12-29,58.22
2013-12-30,62.48
2013-12-31,68.16
2014-01-01,49.5
2014-01-02,75.0
2014-01-03,69.0
2014-01-04,61.5
2014-01-05,44.25
2014-01-06,61.5
2014-01-07,56.25
2014-01-08,60.75
2014-01-09,63.0
2014-01-10,61.5
2014-01-11,54.0
2014-01-12,53.25
2014-01-13,60.0
2014-01-14,60.75
2014-01-15,57.75
2014-01-16,61.5
2014-01-17,58.5
2014-01-18,57.0
2014-01-19,54.0
2014-01-20,51.75
2014-01-21,55.5
2014-01-22,54.0
2014-01-23,55.5
2014-01-24,60.0
2014-01-25,48.75
2014-01-26,57.75
2014-01-27,54.75
2014-01-28,56.25
2014-01-29,58.5
2014-01-30,55.5
2014-01-31,57.0
2014-02-01,59.76
2014-02-02,56.16
2014-02-03,52.559999999999995
2014-02-04,60.48
2014-02-05,68.39999999999999
2014-02-06,60.48
2014-02-07,66.96
2014-02-08,63.36
2014-02-09,58.32
2014-02-10,61.199999999999996
2014-02-11,60.48
2014-02-12,61.919999999999995
2014-02-13,57.599999999999994
2014-02-14,57.599999999999994
2014-02-15,64.8
2014-02-16,54.72
2014-02-17,62.64
2014-02-18,66.96
2014-02-19,68.39999999999999
2014-02-20,64.8
2014-02-21,64.08
2014-02-22,64.08
2014-02-23,61.919999999999995
2014-02-24,72.0
2014-02-25,72.0
2014-02-26,71.28
2014-02-27,66.96
2014-02-28,66.96
2014-03-01,66.0
2014-03-02,62.25
2014-03-03,68.25
2014-03-04,65.25
2014-03-05,64.5
2014-03-06,62.25
2014-03-07,68.25
2014-03-08,67.5
2014-03-09,65.25
2014-03-10,63.75
2014-03-11,66.75
2014-03-12,73.5
2014-03-13,66.0
2014-03-14,75.0
2014-03-15,66.0
2014-03-16,62.25
2014-03-17,62.25
2014-03-18,66.75
2014-03-19,66.75
2014-03-20,63.0
2014-03-21,69.75
2014-03-22,67.5
2014-03-23,66.75
2014-03-24,66.75
2014-03-25,62.25
2014-03-26,66.75
2014-03-27,64.5
2014-03-28,69.75
2014-03-29,63.0
2014-03-30,64.5
2014-03-31,60.0
2014-04-01,54.72
2014-04-02,61.199999999999996
2014-04-03,54.72
2014-04-04,56.16
2014-04-05,47.519999999999996
2014-04-06,54.72
2014-04-07,55.44
2014-04-08,58.32
2014-04-09,58.32
2014-04-10,58.32
2014-04-11,56.879999999999995
2014-04-12,58.32
2014-04-13,59.76
2014-04-14,55.44
2014-04-15,56.16
2014-04-16,57.599999999999994
2014-04-17,61.919999999999995
2014-04-18,56.879999999999995
2014-04-19,72.0
2014-04-20,59.76
2014-04-21,56.879999999999995
2014-04-22,57.599999999999994
2014-04-23,51.839999999999996
2014-04-24,59.04
2014-04-25,59.04
2014-04-26,56.16
2014-04-27,59.04
2014-04-28,54.0
2014-04-29,50.4
2014-04-30,56.879999999999995
2014-05-01,60.68
2014-05-02,63.64
2014-05-03,62.16
2014-05-04,74.0
2014-05-05,61.42
2014-05-06,57.72
2014-05-07,55.5
2014-05-08,57.72
2014-05-09,59.2
2014-05-10,55.5
2014-05-11,56.24
2014-05-12,64.38
2014-05-13,56.24
2014-05-14,52.54
2014-05-15,60.68
2014-05-16,56.24
2014-05-17,60.68
2014-05-18,54.76
2014-05-19,62.9
2014-05-20,58.46
2014-05-21,61.42
2014-05-22,60.68
2014-05-23,62.9
2014-05-24,65.12
2014-05-25,55.5
2014-05-26,67.34
2014-05-27,58.46
2014-05-28,58.46
2014-05-29,62.16
2014-05-30,56.24
2014-05-31,56.98
2014-06-01,60.04
2014-06-02,67.64
2014-06-03,69.92
2014-06-04,69.92
2014-06-05,76.0
2014-06-06,68.4
2014-06-07,60.8
2014-06-08,63.84
2014-06-09,69.92
2014-06-10,67.64
2014-06-11,66.12
2014-06-12,63.08
2014-06-13,71.44
2014-06-14,64.6
2014-06-15,53.2
2014-06-16,68.4
2014-06-17,71.44
2014-06-18,72.96000000000001
2014-06-19,72.2
2014-06-20,69.16
2014-06-21,63.08
2014-06-22,61.56
2014-06-23,67.64
2014-06-24,68.4
2014-06-25,65.36
2014-06-26,65.36
2014-06-27,62.32
2014-06-28,61.56
2014-06-29,59.28
2014-06-30,63.08
2014-07-01,68.4
2014-07-02,70.68
2014-07-03,61.56
2014-07-04,57.76
2014-07-05,54.72
2014-07-06,57.0
2014-07-07,69.92
2014-07-08,60.8
2014-07-09,64.6
2014-07-10,62.32
2014-07-11,62.32
2014-07-12,60.8
2014-07-13,54.72
2014-07-14,71.44
2014-07-15,73.72
2014-07-16,68.4
2014-07-17,76.0
2014-07-18,69.16
2014-07-19,61.56
2014-07-20,57.76
2014-07-21,69.16
2014-07-22,70.68
2014-07-23,66.12
2014-07-24,64.6
2014-07-25,69.92
2014-07-26,63.84
2014-07-27,75.24
2014-07-28,63.08
2014-07-29,66.12
2014-07-30,65.36
2014-07-31,71.44
2014-08-01,66.24
2014-08-02,64.08
2014-08-03,57.599999999999994
2014-08-04,62.64
2014-08-05,66.24
2014-08-06,72.0
2014-08-07,59.76
2014-08-08,66.96
2014-08-09,59.76
2014-08-10,62.64
2014-08-11,58.32
2014-08-12,66.96
2014-08-13,64.08
2014-08-14,63.36
2014-08-15,62.64
2014-08-16,58.32
2014-08-17,64.8
2014-08-18,56.879999999999995
2014-08-19,66.96
2014-08-20,59.76
2014-08-21,66.96
2014-08-22,56.879999999999995
2014-08-23,56.16
2014-08-24,56.879999999999995
2014-08-25,71.28
2014-08-26,61.919999999999995
2014-08-27,59.76
2014-08-28,66.96
2014-08-29,58.32
2014-08-30,61.199999999999996
2014-08-31,50.4
2014-09-01,70.68
2014-09-02,66.88
2014-09-03,63.84
2014-09-04,73.72
2014-09-05,72.2
2014-09-06,66.88
2014-09-07,58.52
2014-09-08,63.08
2014-09-09,67.64
2014-09-10,64.6
2014-09-11,60.8
2014-09-12,76.0
2014-09-13,66.12
2014-09-14,57.76
2014-09-15,63.84
2014-09-16,72.2
2014-09-17,69.16
2014-09-18,68.4
2014-09-19,64.6
2014-09-20,58.52
2014-09-21,52.44
2014-09-22,69.16
2014-09-23,72.2
2014-09-24,69.92
2014-09-25,72.96000000000001
2014-09-26,71.44
2014-09-27,63.84
2014-09-28,57.0
2014-09-29,72.96000000000001
2014-09-30,72.96000000000001
2014-10-01,72.0
2014-10-02,65.52
2014-10-03,64.08
2014-10-04,55.44
2014-10-05,53.28
2014-10-06,54.72
2014-10-07,62.64
2014-10-08,60.48
2014-10-09,57.599999999999994
2014-10-10,61.919999999999995
2014-10-11,56.879999999999995
2014-10-12,60.48
2014-10-13,42.48
2014-10-14,62.64
2014-10-15,63.36
2014-10-16,64.08
2014-10-17,58.32
2014-10-18,67.67999999999999
2014-10-19,59.04
2014-10-20,59.04
2014-10-21,65.52
2014-10-22,69.84
2014-10-23,64.08
2014-10-24,58.32
2014-10-25,57.599999999999994
2014-10-26,57.599999999999994
2014-10-27,56.879999999999995
2014-10-28,61.919999999999995
2014-10-29,59.76
2014-10-30,64.08
2014-10-31,64.08
2014-11-01,57.269999999999996
2014-11-02,66.92999999999999
2014-11-03,61.41
2014-11-04,68.30999999999999
2014-11-05,64.17
2014-11-06,64.17
2014-11-07,60.72
2014-11-08,56.58
2014-11-09,68.30999999999999
2014-11-10,63.48
2014-11-11,58.65
2014-11-12,68.30999999999999
2014-11-13,64.17
2014-11-14,67.61999999999999
2014-11-15,62.78999999999999
2014-11-16,59.339999999999996
2014-11-17,61.41
2014-11-18,59.339999999999996
2014-11-19,63.48
2014-11-20,64.86
2014-11-21,64.17
2014-11-22,69.0
2014-11-23,59.339999999999996
2014-11-24,61.41
2014-11-25,69.0
2014-11-26,64.17
2014-11-27,62.78999999999999
2014-11-28,64.17
2014-11-29,68.30999999999999
2014-11-30,56.58
2014-12-01,65.52
2014-12-02,65.52
2014-12-03,60.48
2014-12-04,62.64
2014-12-05,64.8
2014-12-06,55.44
2014-12-07,56.879999999999995
2014-12-08,59.76
2014-12-09,59.76
2014-12-10,62.64
2014-12-11,55.44
2014-12-12,62.64
2014-12-13,64.08
2014-12-14,59.76
2014-12-15,66.24
2014-12-16,72.0
2014-12-17,69.84
2014-12-18,70.56
2014-12-19,61.919999999999995
2014-12-20,70.56
2014-12-21,62.64
2014-12-22,72.0
2014-12-23,70.56
2014-12-24,71.28
2014-12-25,56.879999999999995
2014-12-26,60.48
2014-12-27,59.76
2014-12-28,54.72
2014-12-29,72.0
2014-12-30,69.84
2014-12-31,70.56
2015-01-01,52.56
2015-01-02,57.67
2015-01-03,54.019999999999996
2015-01-04,55.48
2015-01-05,64.24
2015-01-06,66.42999999999999
2015-01-07,63.51
2015-01-08,59.86
2015-01-09,58.4
2015-01-10,58.4
2015-01-11,51.1
2015-01-12,54.019999999999996
2015-01-13,58.4
2015-01-14,73.0
2015-01-15,62.78
2015-01-16,67.89
2015-01-17,57.67
2015-01-18,59.129999999999995
2015-01-19,48.91
2015-01-20,60.589999999999996
2015-01-21,56.94
2015-01-22,59.129999999999995
2015-01-23,61.32
2015-01-24,54.75
2015-01-25,54.75
2015-01-26,63.51
2015-01-27,54.75
2015-01-28,57.67
2015-01-29,64.97
2015-01-30,57.67
2015-01-31,55.48
2015-02-01,60.72
2015-02-02,52.44
2015-02-03,64.17
2015-02-04,62.78999999999999
2015-02-05,60.72
2015-02-06,69.0
2015-02-07,60.029999999999994
2015-02-08,58.65
2015-02-09,64.17
2015-02-10,66.24
2015-02-11,58.65
2015-02-12,67.61999999999999
2015-02-13,63.48
2015-02-14,59.339999999999996
2015-02-15,58.65
2015-02-16,54.51
2015-02-17,60.029999999999994
2015-02-18,62.099999999999994
2015-02-19,62.78999999999999
2015-02-20,62.78999999999999
2015-02-21,62.099999999999994
2015-02-22,54.51
2015-02-23,56.58
2015-02-24,59.339999999999996
2015-02-25,64.17
2015-02-26,63.48
2015-02-27,66.92999999999999
2015-02-28,58.65
2015-03-01,54.019999999999996
2015-03-02,54.75
2015-03-03,57.67
2015-03-04,62.05
2015-03-05,55.48
2015-03-06,59.86
2015-03-07,66.42999999999999
2015-03-08,73.0
2015-03-09,65.7
2015-03-10,62.78
2015-03-11,62.05
2015-03-12,58.4
2015-03-13,59.129999999999995
2015-03-14,62.05
2015-03-15,55.48
2015-03-16,60.589999999999996
2015-03-17,64.97
2015-03-18,58.4
2015-03-19,60.589999999999996
2015-03-20,59.129999999999995
2015-03-21,64.97
2015-03-22,55.48
2015-03-23,62.05
2015-03-24,64.97
2015-03-25,62.78
2015-03-26,64.24
2015-03-27,63.51
2015-03-28,56.21
2015-03-29,51.83
2015-03-30,56.94
2015-03-31,55.48
2015-04-01,68.0
2015-04-02,68.0
2015-04-03,68.0
2015-04-04,60.0
2015-04-05,80.0
2015-04-06,63.2
2015-04-07,69.60000000000001
2015-04-08,67.2
2015-04-09,68.8
2015-04-10,65.60000000000001
2015-04-11,63.2
2015-04-12,59.2
2015-04-13,61.6
2015-04-14,72.0
2015-04-15,68.0
2015-04-16,70.4
2015-04-17,68.0
2015-04-18,72.0
2015-04-19,75.2
2015-04-20,75.2
2015-04-21,68.0
2015-04-22,70.4
2015-04-23,64.8
2015-04-24,76.0
2015-04-25,63.2
2015-04-26,71.2
2015-04-27,64.0
