date,HD
2013-01-01,63.0
2013-01-02,52.92
2013-01-03,52.29
2013-01-04,61.11
2013-01-05,57.33
2013-01-06,57.96
2013-01-07,44.73
2013-01-08,50.4
2013-01-09,50.4
2013-01-10,45.99
2013-01-11,47.88
2013-01-12,54.81
2013-01-13,57.96
2013-01-14,47.25
2013-01-15,45.36
2013-01-16,42.21
2013-01-17,45.99
2013-01-18,44.1
2013-01-19,48.51
2013-01-20,50.4
2013-01-21,47.25
2013-01-22,42.21
2013-01-23,42.84
2013-01-24,45.36
2013-01-25,44.73
2013-01-26,52.92
2013-01-27,53.55
2013-01-28,42.84
2013-01-29,40.95
2013-01-30,41.58
2013-01-31,44.1
2013-02-01,48.36
2013-02-02,55.18
2013-02-03,62.0
2013-02-04,52.7
2013-02-05,48.98
2013-02-06,49.6
2013-02-07,48.36
2013-02-08,51.46
2013-02-09,61.38
2013-02-10,60.14
2013-02-11,50.22
2013-02-12,48.98
2013-02-13,49.6
2013-02-14,48.36
2013-02-15,52.08
2013-02-16,60.14
2013-02-17,59.52
2013-02-18,54.56
2013-02-19,50.22
2013-02-20,53.32
2013-02-21,50.84
2013-02-22,48.98
2013-02-23,60.14
2013-02-24,56.42
2013-02-25,52.7
2013-02-26,47.74
2013-02-27,50.84
2013-02-28,47.74
2013-03-01,42.09
2013-03-02,53.07
2013-03-03,50.63
2013-03-04,43.92
2013-03-05,45.14
2013-03-06,45.14
2013-03-07,41.48
2013-03-08,46.36
2013-03-09,54.9
2013-03-10,51.85
2013-03-11,42.09
2013-03-12,45.75
2013-03-13,46.36
2013-03-14,43.92
2013-03-15,44.53
2013-03-16,53.07
2013-03-17,51.24
2013-03-18,41.48
2013-03-19,46.36
2013-03-20,46.36
2013-03-21,45.14
2013-03-22,42.09
2013-03-23,50.63
2013-03-24,61.0
2013-03-25,42.7
2013-03-26,43.92
2013-03-27,42.7
2013-03-28,41.48
2013-03-29,45.75
2013-03-30,50.02
2013-03-31,50.63
2013-04-01,40.150000000000006
2013-04-02,36.85
2013-04-03,44.55
2013-04-04,42.900000000000006
2013-04-05,43.45
2013-04-06,48.95
2013-04-07,47.85
2013-04-08,41.25
2013-04-09,37.95
2013-04-10,40.150000000000006
2013-04-11,41.8
2013-04-12,40.150000000000006
2013-04-13,50.05
2013-04-14,46.2
2013-04-15,36.85
2013-04-16,36.85
2013-04-17,39.05
2013-04-18,36.3
2013-04-19,39.6
2013-04-20,44.55
2013-04-21,55.00000000000001
2013-04-22,40.7
2013-04-23,37.400000000000006
2013-04-24,40.150000000000006
2013-04-25,37.95
2013-04-26,34.650000000000006
2013-04-27,46.75000000000001
2013-04-28,47.3
2013-04-29,37.400000000000006
2013-04-30,37.400000000000006
2013-05-01,43.31999999999999
2013-05-02,40.47
2013-05-03,45.6
2013-05-04,49.02
2013-05-05,56.99999999999999
2013-05-06,47.31
2013-05-07,45.03
2013-05-08,46.74
2013-05-09,42.74999999999999
2013-05-10,45.03
2013-05-11,49.59
2013-05-12,56.42999999999999
2013-05-13,47.88
2013-05-14,43.31999999999999
2013-05-15,43.88999999999999
2013-05-16,42.74999999999999
2013-05-17,39.33
2013-05-18,47.31
2013-05-19,47.31
2013-05-20,43.31999999999999
2013-05-21,42.18
2013-05-22,44.46
2013-05-23,46.74
2013-05-24,41.61
2013-05-25,53.01
2013-05-26,51.87
2013-05-27,47.31
2013-05-28,45.03
2013-05-29,42.18
2013-05-30,42.18
2013-05-31,43.88999999999999
2013-06-01,60.720000000000006
2013-06-02,66.0
2013-06-03,54.120000000000005
2013-06-04,53.46
2013-06-05,54.120000000000005
2013-06-06,52.14
2013-06-07,52.8
2013-06-08,62.7
